"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0098984","GO:0098984","neuron to neuron synapse","80/666","440/17673",1.09663940362229e-32,6.05344950799502e-30,4.16722973376469e-30,"Ctnna2/Grin2a/Cnksr2/Ptpro/Cntnap2/Tanc1/Il1rapl1/Cacna1c/Dcc/Epha4/Hspa8/Gapdh/Eps8/Ctnnd2/Slc8a1/Nrxn1/Frmpd4/Pde4b/Plppr4/Sorcs2/Ywhaz/Chrm3/Ank2/Rogdi/Grm1/Atp1a3/Ptk2b/Prnp/Syn3/Atp1a1/Tanc2/Unc13b/Grip1/Anks1b/Adcy1/Mapk1/Nptn/Syt11/Hnrnpa2b1/Atp2b2/Bsn/Slc8a3/Syn2/Arhgap44/Baiap2/Dlg1/Syt1/Ephb2/Dnm2/Adgrb1/Macf1/Grid1/Dst/Grm7/Dgkb/Tmem108/Rnf112/Cap2/Rbmx/Ablim1/Epha7/Vti1a/Sort1/Chd4/Tsc1/Chrna7/Srgap2/Dnm3/Nsmf/Nlgn1/Dvl1/Hnrnph1/Rtn4/Lrfn2/Ctnnb1/Drosha/Adam10/Homer1/Hnrnpm/Itpr1",80,29.2179970757003,0.12012012012012,0.0248967351326883,4.82473382473383,140.969058782105,"ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL"
"GO:0032279","GO:0032279","asymmetric synapse","71/666","400/17673",2.23219134763891e-28,1.23216962389668e-25,4.24116356051394e-26,"Ctnna2/Grin2a/Cnksr2/Ptpro/Cntnap2/Tanc1/Il1rapl1/Cacna1c/Dcc/Epha4/Hspa8/Gapdh/Eps8/Ctnnd2/Slc8a1/Frmpd4/Pde4b/Plppr4/Sorcs2/Chrm3/Ank2/Grm1/Ptk2b/Prnp/Syn3/Atp1a1/Tanc2/Grip1/Anks1b/Adcy1/Mapk1/Nptn/Syt11/Hnrnpa2b1/Atp2b2/Bsn/Slc8a3/Syn2/Arhgap44/Baiap2/Dlg1/Dnm2/Adgrb1/Macf1/Grid1/Dst/Grm7/Dgkb/Tmem108/Rnf112/Cap2/Rbmx/Ablim1/Epha7/Sort1/Chd4/Tsc1/Chrna7/Srgap2/Dnm3/Nsmf/Dvl1/Hnrnph1/Rtn4/Lrfn2/Ctnnb1/Drosha/Adam10/Homer1/Hnrnpm/Itpr1",71,24.90932950187,0.106606606606607,0.0226333955751712,4.7101463963964,117.326588589884,"ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL"
"GO:0097060","GO:0097060","synaptic membrane","79/666","500/17673",5.58135857476331e-28,3.08090993326935e-25,7.06972086136687e-26,"Ctnna2/Grin2a/Cnksr2/Ptpro/Cntnap2/Syne1/Il1rapl1/Cacna1c/Dcc/Erc2/Epha4/Hspa8/Ank3/Cacna1e/Slc8a1/Nrxn1/Ntng1/Plppr4/Sorcs2/Chrm3/Lin7a/Rims2/Nrp1/Ank2/Cltc/Grm1/Atp1a3/Glra2/Apba1/Nrxn3/Kctd8/Unc13b/Grip1/Cntn5/Olfm1/Ntrk3/Adcy1/Nptn/L1cam/Cacna1a/Cdh8/Syt11/Slc1a2/Atp2b2/Bsn/Slc8a3/Baiap2/Cacna1h/Dlg1/Syt1/Ephb2/Dnm2/Dnm1/Gabra1/Adgrb1/Cacna1d/Grid1/Grm7/Dgkb/Kcnq5/Kcnn2/Epha7/Ptpra/Farp1/Clcn3/Chrna7/Srgap2/Dnm3/Gabrg3/Nlgn1/Cadps2/Rtn4/Lrfn2/Ctnnb1/Adam10/Atp2b3/Canx/Itpr1/Fcho2",79,24.5113209975792,0.118618618618619,0.028291744468964,4.19269369369369,102.768460970652,"ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL"
"GO:0099572","GO:0099572","postsynaptic specialization","71/666","425/17673",1.05507689304829e-26,5.82402444962659e-24,1.00232304839588e-24,"Ctnna2/Grin2a/Cnksr2/Ptpro/Tanc1/Il1rapl1/Cacna1c/Dcc/Epha4/Hspa8/Gapdh/Eps8/Ctnnd2/Slc8a1/Frmpd4/Pde4b/Plppr4/Sorcs2/Ywhaz/Chrm3/Ank2/Grm1/Ptk2b/Prnp/Syn3/Atp1a1/Tanc2/Grip1/Anks1b/Adcy1/Mapk1/Erbin/Nptn/Syt11/Hnrnpa2b1/Atp2b2/Bsn/Slc8a3/Syn2/Arhgap44/Baiap2/Dlg1/Dnm2/Gabra1/Adgrb1/Macf1/Grid1/Dst/Dgkb/Tmem108/Rnf112/Cap2/Rbmx/Ablim1/Epha7/Tsc1/Chrna7/Srgap2/Dnm3/Nsmf/Nlgn1/Dvl1/Hnrnph1/Rtn4/Lrfn2/Ctnnb1/Drosha/Adam10/Homer1/Hnrnpm/Itpr1",71,23.2347768104952,0.106606606606607,0.0240479827986194,4.43307896131425,103.001600249439,"ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL"
"GO:0014069","GO:0014069","postsynaptic density","66/666","377/17673",4.57931975696755e-26,2.52778450584609e-23,3.48028301529534e-24,"Ctnna2/Grin2a/Cnksr2/Ptpro/Tanc1/Il1rapl1/Cacna1c/Dcc/Epha4/Hspa8/Gapdh/Eps8/Ctnnd2/Slc8a1/Frmpd4/Pde4b/Plppr4/Sorcs2/Chrm3/Ank2/Grm1/Ptk2b/Prnp/Syn3/Atp1a1/Tanc2/Grip1/Anks1b/Adcy1/Mapk1/Nptn/Syt11/Hnrnpa2b1/Atp2b2/Bsn/Slc8a3/Syn2/Arhgap44/Baiap2/Dlg1/Dnm2/Adgrb1/Macf1/Grid1/Dst/Dgkb/Tmem108/Rnf112/Cap2/Rbmx/Ablim1/Epha7/Tsc1/Srgap2/Dnm3/Nsmf/Dvl1/Hnrnph1/Rtn4/Lrfn2/Ctnnb1/Drosha/Adam10/Homer1/Hnrnpm/Itpr1",66,22.5972599525063,0.0990990990990991,0.0213319753295988,4.64556599039358,104.977062311446,"ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL"
"GO:0150034","GO:0150034","distal axon","56/666","379/17673",1.18648805160311e-18,6.54941404484916e-16,7.51442432681969e-17,"Grin2a/Actb/Actg1/Hsp90ab1/Tanc1/Dcc/Erc2/Epha4/Hspa8/Hsp90aa1/Slc8a1/App/Nrxn1/Calm1/Chrm3/Nrp1/Calm2/Fgf13/Atp1a3/Ptk2b/Prnp/Cxadr/Unc13b/Grip1/Olfm1/Tubb3/Hnrnpk/L1cam/Slc4a10/Cdh8/Syt11/Dscam/Dpysl3/Slc8a3/Ywhae/Shtn1/Dnm2/Cyfip1/Arpc2/Crmp1/Rufy3/Grm7/Prkcb/Kcnq5/Crtac1/Ptprn/Rasgrf1/Ptprn2/Cbl/Tsc1/Clcn3/Chrna7/Dvl1/Klc1/Cplx2/Dpysl2",56,15.18379755321,0.0840840840840841,0.0214451423074747,3.92089186812142,59.5340283535832,"ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL"
"GO:0045211","GO:0045211","postsynaptic membrane","52/666","344/17673",7.88652747477029e-18,4.3533631660732e-15,4.28125777201816e-16,"Ctnna2/Grin2a/Cnksr2/Ptpro/Syne1/Il1rapl1/Cacna1c/Dcc/Epha4/Hspa8/Ank3/Cacna1e/Slc8a1/Plppr4/Sorcs2/Chrm3/Lin7a/Nrp1/Ank2/Grm1/Glra2/Kctd8/Grip1/Ntrk3/Adcy1/Nptn/Atp2b2/Slc8a3/Cacna1h/Dlg1/Ephb2/Dnm2/Gabra1/Adgrb1/Grid1/Grm7/Dgkb/Kcnn2/Epha7/Farp1/Clcn3/Chrna7/Srgap2/Dnm3/Gabrg3/Nlgn1/Cadps2/Rtn4/Lrfn2/Ctnnb1/Adam10/Canx",52,14.3611751016359,0.0780780780780781,0.0194647201946472,4.01126126126126,57.6064253513819,"ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL"
"GO:0042734","GO:0042734","presynaptic membrane","39/666","231/17673",2.74672911346559e-15,1.516194470633e-12,1.30469632889615e-13,"Ctnna2/Grin2a/Cntnap2/Cacna1c/Erc2/Epha4/Cacna1e/Nrxn1/Ntng1/Chrm3/Rims2/Cltc/Grm1/Atp1a3/Apba1/Nrxn3/Unc13b/Grip1/Cntn5/Nptn/L1cam/Cacna1a/Syt11/Slc1a2/Atp2b2/Cacna1h/Dlg1/Syt1/Ephb2/Dnm1/Cacna1d/Grm7/Kcnq5/Chrna7/Cadps2/Ctnnb1/Atp2b3/Canx/Fcho2",39,11.8192450915099,0.0585585585585586,0.0130707859446613,4.48010998010998,52.9515178918394,"ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL"
"GO:0044309","GO:0044309","neuron spine","37/666","210/17673",3.53679803498849e-15,1.95231251531365e-12,1.49331472588403e-13,"Grin2a/Ptpro/Cntnap2/Dock10/Epha4/Hspa8/Slc8a1/Frmpd4/Pde4b/Grm1/Atp1a3/Ptk2b/Apba1/Myo5b/Tanc2/Grip1/Hnrnpk/Syt11/Slc1a2/Atp2b2/Slc8a3/Arhgap44/Baiap2/Prkar2b/Ephb2/Cyfip1/Arpc2/Kcnn2/Chrna7/Srgap2/Dnm3/Nsmf/Nlgn1/Dvl1/Adam10/Homer1/Canx",37,11.7094506616628,0.0555555555555556,0.0118825326769649,4.67539682539682,54.7463284506791,"ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL"
"GO:0043197","GO:0043197","dendritic spine","36/666","204/17673",7.9824274470226e-15,4.40629995075648e-12,3.03332242986859e-13,"Grin2a/Ptpro/Dock10/Epha4/Hspa8/Slc8a1/Frmpd4/Pde4b/Grm1/Atp1a3/Ptk2b/Apba1/Myo5b/Tanc2/Grip1/Hnrnpk/Syt11/Slc1a2/Atp2b2/Slc8a3/Arhgap44/Baiap2/Prkar2b/Ephb2/Cyfip1/Arpc2/Kcnn2/Chrna7/Srgap2/Dnm3/Nsmf/Nlgn1/Dvl1/Adam10/Homer1/Canx",36,11.3559259423817,0.0540540540540541,0.0115430317433373,4.68282988871224,53.1778694169878,"ExcitatoryNeuronsMatureDG","24hrvs1hr_SAL"
