"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0098984","GO:0098984","neuron to neuron synapse","32/312","440/17673",1.24364286749401e-11,5.42228290227389e-09,4.04511206374368e-09,"Camk2b/Camk2a/Ywhaz/Hspa8/Pde4b/Rnf112/Dvl1/Dicer1/Dmd/Arhgef2/Cntnap2/Grik5/Ptprs/Nsmf/Slc8a1/Hnrnpa2b1/Cdkl5/Lrrtm3/Dmtn/Map4/Rogdi/Ctnnb1/Syp/Atp1a1/Baiap2/Frmpd4/Sort1/Rpl6/Srcin1/Hnrnph1/Slc16a7/Grin1",32,8.26581782727724,0.102564102564103,0.0248967351326883,4.11958041958042,34.0517012730701,"ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr"
"GO:0032279","GO:0032279","asymmetric synapse","30/312","400/17673",2.64451835443081e-11,1.15301000253183e-08,4.30082195536379e-09,"Camk2b/Camk2a/Hspa8/Pde4b/Rnf112/Dvl1/Dicer1/Dmd/Arhgef2/Cntnap2/Grik5/Ptprs/Nsmf/Slc8a1/Hnrnpa2b1/Cdkl5/Lrrtm3/Dmtn/Map4/Ctnnb1/Syp/Atp1a1/Baiap2/Frmpd4/Sort1/Rpl6/Srcin1/Hnrnph1/Slc16a7/Grin1",30,7.93816692512027,0.0961538461538462,0.0226333955751712,4.24831730769231,33.7238519393391,"ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr"
"GO:0014069","GO:0014069","postsynaptic density","28/312","377/17673",1.57676139380595e-10,6.87467967699393e-08,1.70954130065276e-08,"Camk2b/Camk2a/Hspa8/Pde4b/Rnf112/Dvl1/Dicer1/Dmd/Arhgef2/Grik5/Ptprs/Nsmf/Slc8a1/Hnrnpa2b1/Cdkl5/Lrrtm3/Dmtn/Map4/Ctnnb1/Syp/Atp1a1/Baiap2/Frmpd4/Rpl6/Srcin1/Hnrnph1/Slc16a7/Grin1",28,7.1627475328075,0.0897435897435897,0.0213319753295988,4.20699857172006,30.1336686401125,"ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr"
"GO:0099572","GO:0099572","postsynaptic specialization","29/312","425/17673",5.39009608362004e-10,2.35008189245834e-07,4.38299918378577e-08,"Camk2b/Camk2a/Ywhaz/Hspa8/Pde4b/Rnf112/Dvl1/Dicer1/Dmd/Arhgef2/Grik5/Ptprs/Nsmf/Slc8a1/Hnrnpa2b1/Cdkl5/Lrrtm3/Dmtn/Map4/Ctnnb1/Syp/Atp1a1/Baiap2/Frmpd4/Rpl6/Srcin1/Hnrnph1/Slc16a7/Grin1",29,6.62891700376099,0.092948717948718,0.0240479827986194,3.86513574660633,25.6216640725232,"ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr"
"GO:0043209","GO:0043209","myelin sheath","19/312","192/17673",1.42583812950911e-09,6.2166542446597e-07,9.27545225301713e-08,"Tuba1a/Actg1/Sptan1/Hspa8/Cox6a1/Ppia/Gpi1/Ckb/Actb/Calm1/Cltc/Hsp90aa1/Slc25a3/Gdi1/Atp1a1/Aco2/Cnrip1/Gnao1/Ywhag",19,6.20644328637353,0.0608974358974359,0.0108640298760822,5.60541866987179,34.7897130709386,"ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr"
"GO:0035770","GO:0035770","ribonucleoprotein granule","20/312","246/17673",1.57934413847109e-08,6.88594044373397e-06,8.56170769802751e-07,"Tuba1a/Pabpc1/Actb/Dhx36/Tubb5/Dcp1b/Top1/Hnrnpl/Atxn2l/Pum2/Usp3/Hnrnpk/Hnrnpa2b1/Caprin1/Tial1/Tia1/Eif4g1/Rpl6/Cnot1/Upf2",20,5.16203673781339,0.0641025641025641,0.0139195382787303,4.6052220137586,23.7723252208088,"ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr"
"GO:0036464","GO:0036464","cytoplasmic ribonucleoprotein granule","19/312","228/17673",2.44483788317185e-08,1.06594931706293e-05,1.13602241488737e-06,"Tuba1a/Pabpc1/Actb/Dhx36/Tubb5/Dcp1b/Top1/Atxn2l/Pum2/Usp3/Hnrnpk/Hnrnpa2b1/Caprin1/Tial1/Tia1/Eif4g1/Rpl6/Cnot1/Upf2",19,4.97226344431806,0.0608974358974359,0.0129010354778476,4.72035256410256,23.4708364987802,"ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr"
"GO:0098685","GO:0098685","Schaffer collateral - CA1 synapse","14/312","142/17673",2.25139999974745e-07,9.81610399889889e-05,9.15371842002582e-06,"Actg1/Camk2a/Tubb2b/Dvl1/Apba1/Actb/Ptprs/Pde4a/Ptpra/Adgrl3/Ctnnb1/Syp/Baiap2/Slc16a7",14,4.00806084902711,0.0448717948717949,0.00803485542918576,5.58464247020585,22.3835868406461,"ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr"
"GO:0150034","GO:0150034","distal axon","21/312","379/17673",4.12621678065424e-06,0.00179903051636525,0.000149122922248206,"Hsp90ab1/Actg1/Hspa8/Ptprn/Crmp1/Dvl1/Actb/Dicer1/Lrp1/Grik5/Slc8a1/Hnrnpk/Calm1/Hsp90aa1/Ywhae/Cdkl5/Unc13a/Syp/Pcdh9/Map3k12/Grin1",21,2.74496146979696,0.0673076923076923,0.0214451423074747,3.1385985386645,8.61533205779509,"ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr"
"GO:0044309","GO:0044309","neuron spine","15/312","210/17673",5.10039033429345e-06,0.00222377018575194,0.000165896906662808,"Camk2a/Hspa8/Pde4b/Dvl1/Apba1/Cntnap2/Rph3a/Nsmf/Slc8a1/Hnrnpk/Syp/Baiap2/Frmpd4/Grin1/Mt3",15,2.6529100966839,0.0480769230769231,0.0118825326769649,4.04601648351648,10.7337179804703,"ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr"
