"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0043209","GO:0043209","myelin sheath","34/523","192/17673",3.10795307097164e-17,1.68140261139566e-14,1.33478405574361e-14,"Tubb4b/Slc25a4/Tuba1a/Cox5a/Gnb4/Hspa8/Ppia/Hsp90aa1/Cox6a1/Gapdh/Cox5b/Ncam1/Gpi1/Tuba1b/Uqcrc1/Calm1/Cct2/Atp1a1/Eef1a1/Mpdz/Ckb/Ubb/Aldoa/Cntnap1/Mdh2/Eno2/Nfasc/Nme1/Serinc5/Calm2/Gdi1/Uchl1/Eno1/Dnm1",34,13.7743282824132,0.0650095602294455,0.0108640298760822,5.98392686424474,82.4245730460584,"L23ExcitatoryNeurons","PTZvsSAL_24hr"
"GO:0014069","GO:0014069","postsynaptic density","46/523","377/17673",2.86438238631017e-16,1.5496308709938e-13,4.2066035227321e-14,"Epha4/Map2/Slc8a1/Cadm1/Grm1/Epha7/Atp2b2/Cnksr2/Cdh2/Hspa8/Chrm3/Gria1/Ptprz1/Dgki/Adcy1/Epb41l3/Gapdh/Srgap2/Igsf11/Grik1/Atp1a1/Mpdz/Camk2b/Eps8/Syp/Nrg1/Dvl1/Pip5k1c/Homer2/Map4/Dtnb/Neto1/Grin3a/Pak3/Dst/Grin1/Mtmr2/Dnm3/Sh3gl1/Dgkz/Pcbp2/Itga8/Grk3/Cacna1c/Slc8a3/Ppp1r9a",46,12.809771740399,0.0879541108986616,0.0213319753295988,4.12311141090728,52.8161160339566,"L23ExcitatoryNeurons","PTZvsSAL_24hr"
"GO:0099572","GO:0099572","postsynaptic specialization","49/523","425/17673",2.9384362842614e-16,1.58969402978541e-13,4.2066035227321e-14,"Epha4/Map2/Slc8a1/Cadm1/Grm1/Kcnd3/Epha7/Atp2b2/Cnksr2/Cdh2/Hspa8/Chrm3/Ppfia2/Gria1/Ptprz1/Dgki/Adcy1/Epb41l3/Gapdh/Srgap2/Igsf11/Grik1/Atp1a1/Mpdz/Camk2b/Eps8/Syp/Nrg1/Dvl1/Pip5k1c/Homer2/Map4/Dtnb/Neto1/Gabrb1/Grin3a/Pak3/Dst/Grin1/Mtmr2/Dnm3/Sh3gl1/Dgkz/Pcbp2/Itga8/Grk3/Cacna1c/Slc8a3/Ppp1r9a",49,12.7986864567883,0.0936902485659656,0.0240479827986194,3.89597120683838,49.8633139209994,"L23ExcitatoryNeurons","PTZvsSAL_24hr"
"GO:0032279","GO:0032279","asymmetric synapse","47/523","400/17673",5.88655994159924e-16,3.18462892840519e-13,6.32030646361182e-14,"Epha4/Map2/Slc8a1/Cadm1/Grm1/Epha7/Atp2b2/Cnksr2/Cdh2/Hspa8/Chrm3/Gria1/Ptprz1/Dgki/Adcy1/Epb41l3/Gapdh/Cntnap2/Srgap2/Igsf11/Grik1/Atp1a1/Mpdz/Camk2b/Eps8/Syp/Nrg1/Dvl1/Pip5k1c/Homer2/Map4/Dtnb/Neto1/Grin3a/Pak3/Dst/Grin1/Mtmr2/Dnm3/Sh3gl1/Dgkz/Pcbp2/Itga8/Grk3/Cacna1c/Slc8a3/Ppp1r9a",47,12.4969411641872,0.0898661567877629,0.0226333955751712,3.97051147227533,49.6192482607551,"L23ExcitatoryNeurons","PTZvsSAL_24hr"
"GO:0098984","GO:0098984","neuron to neuron synapse","48/523","440/17673",5.26263801739807e-15,2.84708716741236e-12,4.52032907599666e-13,"Epha4/Map2/Slc8a1/Cadm1/Grm1/Epha7/Atp2b2/Cnksr2/Cdh2/Hspa8/Chrm3/Gria1/Ptprz1/Dgki/Adcy1/Epb41l3/Gapdh/Cntnap2/Srgap2/Igsf11/Grik1/Atp1a1/Mpdz/Camk2b/Eps8/Syp/Nrg1/Synpr/Dvl1/Pip5k1c/Homer2/Map4/Dtnb/Neto1/Grin3a/Pak3/Dst/Grin1/Mtmr2/Dnm3/Sh3gl1/Dgkz/Pcbp2/Itga8/Grk3/Cacna1c/Slc8a3/Ppp1r9a",48,11.5455992361384,0.0917782026768642,0.0248967351326883,3.68635494524596,42.5611768399667,"L23ExcitatoryNeurons","PTZvsSAL_24hr"
"GO:0150034","GO:0150034","distal axon","36/523","379/17673",7.57437473487782e-10,4.0977367315689e-07,5.42165770496517e-08,"Epha4/Map2/Slc8a1/Hsp90ab1/Hspa8/Lrp1/Chrm3/Hsp90aa1/Ptprz1/Apc/Dgki/Tspoap1/Ncam1/Pafah1b1/Calm1/Crmp1/Map3k12/Grik1/Klc1/Syp/Rimbp2/Ap3d1/Dvl1/Eno2/Prkcb/Rtn4r/Pcdh9/Ppp1r2/Grin1/Ywhae/Neo1/Calm2/Eno1/Dscam/Slc8a3/Ppp1r9a",36,6.38745594727687,0.0688336520076482,0.0214451423074747,3.20975496551759,20.5021684437968,"L23ExcitatoryNeurons","PTZvsSAL_24hr"
"GO:0097060","GO:0097060","synaptic membrane","42/523","500/17673",1.2523529870393e-09,6.77522965988263e-07,7.68360930394039e-08,"Epha4/Slc8a1/Cadm1/Grm1/Kcnd3/Cacna1a/Epha7/Atp2b2/Cnih3/Cntn6/Cnksr2/Cdh2/Hspa8/Chrm3/Ppfia2/Gria1/Ptprz1/Dgki/Adcy1/Ncam1/Cntnap2/Srgap2/Grik1/Syp/Nrg1/Pip5k1c/Eno2/Ptpn5/Neto1/Gabrb1/Grin3a/Ap2b1/Grin1/Mtmr2/Eno1/Atp2b4/Cntn5/Dnm3/Itga8/Dnm1/Cacna1c/Slc8a3",42,6.16907597892894,0.0803059273422562,0.028291744468964,2.83849330783939,17.5108808817425,"L23ExcitatoryNeurons","PTZvsSAL_24hr"
"GO:0030426","GO:0030426","growth cone","25/523","211/17673",3.83764007271066e-09,2.07616327933647e-06,2.06020677587625e-07,"Epha4/Map2/Hsp90ab1/Lrp1/Hsp90aa1/Ptprz1/Apc/Ncam1/Pafah1b1/Calm1/Crmp1/Map3k12/Klc1/Dvl1/Eno2/Rtn4r/Pcdh9/Ppp1r2/Grin1/Ywhae/Neo1/Calm2/Eno1/Dscam/Ppp1r9a",25,5.68273849450067,0.0478011472275335,0.0119391161659028,4.00374253531848,22.752221827524,"L23ExcitatoryNeurons","PTZvsSAL_24hr"
"GO:0030427","GO:0030427","site of polarized growth","25/523","218/17673",7.51997827523106e-09,4.0683082469e-06,3.58848086116289e-07,"Epha4/Map2/Hsp90ab1/Lrp1/Hsp90aa1/Ptprz1/Apc/Ncam1/Pafah1b1/Calm1/Crmp1/Map3k12/Klc1/Dvl1/Eno2/Rtn4r/Pcdh9/Ppp1r2/Grin1/Ywhae/Neo1/Calm2/Eno1/Dscam/Ppp1r9a",25,5.39058614895084,0.0478011472275335,0.0123352005884683,3.87518199519357,20.8895023879542,"L23ExcitatoryNeurons","PTZvsSAL_24hr"
"GO:0034702","GO:0034702","monoatomic ion channel complex","28/523","276/17673",1.46414675825438e-08,7.92103396215617e-06,6.20907737324641e-07,"Kcnip4/Cacna2d3/Cacnb4/Kcnd3/Cacna1a/Mcu/Cnih3/Gria1/Clcn2/Cntnap2/Calm1/Grik1/Olfm3/Ryr3/Eps8/Slc17a7/Dpp6/Cacnb1/Cachd1/Gabrb1/Grin3a/Grin1/Scn9a/Calm2/Clcn7/Cacna1c/Trpc4/Kcnmb2",28,5.10121812462895,0.0535372848948375,0.0156170429468681,3.42813201429878,17.4876491649617,"L23ExcitatoryNeurons","PTZvsSAL_24hr"
"GO:0044309","GO:0044309","neuron spine","24/523","210/17673",1.60858343450138e-08,8.70243638065248e-06,6.20907737324641e-07,"Epha4/Slc8a1/Asap1/Grm1/Kcnd3/Atp2b2/Hspa8/Ppfia2/Gria1/Ptprz1/Dgki/Cntnap2/Srgap2/Syp/Dvl1/Aplp2/Ppp1r2/Grin1/Mtmr2/Dnm3/Itga8/Grk3/Slc8a3/Ppp1r9a",24,5.06035914295118,0.0458891013384321,0.0118825326769649,3.86189565692434,19.5425789966405,"L23ExcitatoryNeurons","PTZvsSAL_24hr"
"GO:1902495","GO:1902495","transmembrane transporter complex","32/523","351/17673",1.82595738242821e-08,9.87842943893664e-06,6.20907737324641e-07,"Kcnip4/Cacna2d3/Cacnb4/Kcnd3/Cacna1a/Mcu/Cnih3/Gria1/Ndufa4/Clcn2/Uqcrc1/Cntnap2/Calm1/Grik1/Olfm3/Atp1a1/Atp2a2/Ryr3/Eps8/Slc17a7/Dpp6/Cacnb1/Cachd1/Gabrb1/Grin3a/Grin1/Scn9a/Calm2/Clcn7/Cacna1c/Trpc4/Kcnmb2",32,5.00531209794501,0.0611854684512428,0.0198608046172127,3.08071448415617,15.4199374778613,"L23ExcitatoryNeurons","PTZvsSAL_24hr"
"GO:0005751","GO:0005751","mitochondrial respiratory chain complex IV","8/523","18/17673",1.87946337155866e-08,1.01678968401323e-05,6.20907737324641e-07,"Cox6c/Cox5a/Cox8a/Ndufa4/Cox6a1/Cox5b/Cox7b/Cox6b1",8,4.99276886862916,0.0152963671128107,0.0010185028008827,15.0184831102613,74.9838149269455,"L23ExcitatoryNeurons","PTZvsSAL_24hr"
"GO:1990351","GO:1990351","transporter complex","33/523","374/17673",2.41789633856246e-08,1.30808191916229e-05,7.41730606115402e-07,"Kcnip4/Cacna2d3/Cacnb4/Kcnd3/Cacna1a/Mcu/Cnih3/Gria1/Ndufa4/Clcn2/Uqcrc1/Cntnap2/Calm1/Grik1/Olfm3/Atp1a1/Atp2a2/Ryr3/Eps8/Slc17a7/Timm9/Dpp6/Cacnb1/Cachd1/Gabrb1/Grin3a/Grin1/Scn9a/Calm2/Clcn7/Cacna1c/Trpc4/Kcnmb2",33,4.88336505729148,0.0630975143403442,0.021162224862785,2.98161061747835,14.5602931038431,"L23ExcitatoryNeurons","PTZvsSAL_24hr"
