"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0098984","GO:0098984","neuron to neuron synapse","111/1195","440/17673",2.95830280078071e-35,1.86964737009341e-32,1.31099524118808e-32,"Nrxn1/Prrt1/Kalrn/Grm5/Hspa8/Slc8a1/Ephb2/Ctnna2/Lrfn5/Nr3c1/Dtnbp1/Scn8a/Dlgap3/Grik2/Hnrnph1/Grin2a/Ywhaz/Ptprt/Tmem108/Gphn/Clstn2/Sorcs2/Eif4g2/Ogt/Shank2/Iqsec1/Rps14/Itga8/Gapdh/Pacsin1/Atp2b2/Pak3/Fabp5/Chd4/Rpl18a/Nrcam/Tnr/Cacng3/Grin3a/Adcy1/Rpl8/Cdkl5/Dlg4/Iqsec2/Plxna4/Prkcz/Efnb3/Tiam1/Dnajc6/Exoc4/Cntnap2/Dmtn/Grip1/Slc16a7/Lrrtm3/Clstn3/Grm3/Prkcg/Srcin1/Ptpro/Fmr1/Gap43/Adcy8/Prnp/Nr3c2/Syt7/Rps3/Hnrnpa3/Ctnnb1/Mpdz/Camk1/Zdhhc2/Tsc1/Dnm2/Atp1a3/Arhgef2/Eif3a/Rgs7bp/Grid2/Nck2/Arfgef2/Mapk1/Syp/Map2/Cacng2/Sema3a/Chrm3/Map4/Syngap1/Epb41l3/Clstn1/Rpl5/Rpl10a/Lrfn2/Pcbp2/Homer1/Ywhah/Grik5/Bcr/Slc8a3/Grm1/Dicer1/Palm/Ptprs/Dgkb/Plxnc1/Grik4/Akap7/Neto2/Arhgef9/Ppp3r1",111,31.7282402970271,0.0928870292887029,0.0248967351326883,3.73089197413465,118.374637077594,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0032279","GO:0032279","asymmetric synapse","103/1195","400/17673",1.42628648571101e-33,9.01413058969355e-31,3.16035058149649e-31,"Prrt1/Kalrn/Grm5/Hspa8/Slc8a1/Ctnna2/Lrfn5/Nr3c1/Dtnbp1/Scn8a/Dlgap3/Grik2/Hnrnph1/Grin2a/Ptprt/Tmem108/Gphn/Clstn2/Sorcs2/Eif4g2/Ogt/Shank2/Iqsec1/Rps14/Itga8/Gapdh/Pacsin1/Atp2b2/Pak3/Fabp5/Chd4/Rpl18a/Nrcam/Cacng3/Grin3a/Adcy1/Rpl8/Cdkl5/Dlg4/Iqsec2/Plxna4/Prkcz/Efnb3/Tiam1/Dnajc6/Exoc4/Cntnap2/Dmtn/Grip1/Slc16a7/Lrrtm3/Clstn3/Grm3/Prkcg/Srcin1/Ptpro/Fmr1/Gap43/Adcy8/Prnp/Nr3c2/Rps3/Hnrnpa3/Ctnnb1/Mpdz/Camk1/Zdhhc2/Tsc1/Dnm2/Arhgef2/Eif3a/Rgs7bp/Grid2/Nck2/Arfgef2/Mapk1/Syp/Map2/Cacng2/Sema3a/Chrm3/Map4/Syngap1/Epb41l3/Clstn1/Rpl5/Rpl10a/Lrfn2/Pcbp2/Homer1/Ywhah/Grik5/Bcr/Slc8a3/Grm1/Dicer1/Palm/Ptprs/Dgkb/Plxnc1/Grik4/Neto2/Arhgef9",103,30.0450761544997,0.0861924686192469,0.0226333955751712,3.80819874476987,114.417621298081,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0099572","GO:0099572","postsynaptic specialization","104/1195","425/17673",7.73922675082769e-32,4.8911913065231e-29,1.14323314459595e-29,"Prrt1/Kalrn/Grm5/Hspa8/Slc8a1/Ctnna2/Lrfn5/Nr3c1/Dtnbp1/Scn8a/Dlgap3/Grik2/Hnrnph1/Grin2a/Ywhaz/Ppfia2/Ptprt/Tmem108/Gphn/Clstn2/Sorcs2/Eif4g2/Shank2/Iqsec1/Rps14/Itga8/Gapdh/Pacsin1/Atp2b2/Pak3/Fabp5/Rpl18a/Nrcam/Cacng3/Grin3a/Adcy1/Rpl8/Gabrg2/Cdkl5/Dlg4/Iqsec2/Prkcz/Efnb3/Tiam1/Dnajc6/Exoc4/Dmtn/Grip1/Slc16a7/Lrrtm3/Clstn3/Grm3/Prkcg/Srcin1/Ptpro/Fmr1/Gabra2/Gap43/Adcy8/Prnp/Nr3c2/Rps3/Hnrnpa3/Ctnnb1/Mpdz/Camk1/Zdhhc2/Tsc1/Dnm2/Arhgef2/Eif3a/Rgs7bp/Grid2/Kcnd3/Nck2/Mapk1/Syp/Map2/Cdh10/Cacng2/Chrm3/Map4/Syngap1/Glrb/Epb41l3/Clstn1/Rpl5/Rpl10a/Lrfn2/Pcbp2/Homer1/Grik5/Gabra3/Bcr/Slc8a3/Grm1/Dicer1/Palm/Ptprs/Dgkb/Gabra1/Grik4/Neto2/Arhgef9",104,28.3105853505211,0.0870292887029289,0.0240479827986194,3.6189849864632,102.455583341521,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0014069","GO:0014069","postsynaptic density","95/1195","377/17673",3.27620523816089e-30,2.07056171051768e-27,3.62969054017298e-28,"Prrt1/Kalrn/Grm5/Hspa8/Slc8a1/Ctnna2/Lrfn5/Nr3c1/Dtnbp1/Scn8a/Dlgap3/Grik2/Hnrnph1/Grin2a/Ptprt/Tmem108/Gphn/Clstn2/Sorcs2/Eif4g2/Shank2/Iqsec1/Rps14/Itga8/Gapdh/Pacsin1/Atp2b2/Pak3/Fabp5/Rpl18a/Nrcam/Cacng3/Grin3a/Adcy1/Rpl8/Cdkl5/Dlg4/Iqsec2/Prkcz/Efnb3/Tiam1/Dnajc6/Exoc4/Dmtn/Grip1/Slc16a7/Lrrtm3/Clstn3/Grm3/Prkcg/Srcin1/Ptpro/Fmr1/Gap43/Adcy8/Prnp/Nr3c2/Rps3/Hnrnpa3/Ctnnb1/Mpdz/Camk1/Zdhhc2/Tsc1/Dnm2/Arhgef2/Eif3a/Rgs7bp/Grid2/Nck2/Mapk1/Syp/Map2/Cacng2/Chrm3/Map4/Syngap1/Epb41l3/Clstn1/Rpl5/Rpl10a/Lrfn2/Pcbp2/Homer1/Grik5/Bcr/Slc8a3/Grm1/Dicer1/Palm/Ptprs/Dgkb/Grik4/Neto2/Arhgef9",95,26.6839118213616,0.0794979079497908,0.0213319753295988,3.7267016636516,99.4429785774008,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0097060","GO:0097060","synaptic membrane","104/1195","500/17673",1.24025169601604e-25,7.83839071882134e-23,1.09925466110053e-23,"Cacna1a/Nrxn1/Prrt1/Apba1/Grm5/Hspa8/Slc8a1/Ephb2/Ctnna2/Cfl1/Nbea/Marcks/Kcnq5/Lrfn5/Cacna2d1/Nsg1/Dtnbp1/Ank3/Scn8a/Grik2/Cdh8/Grin2a/Ppfia2/Ptprt/Gphn/Marcksl1/Clstn2/Sorcs2/Shank2/Itga8/Pacsin1/Cask/Atp2b2/Unc13a/Gpm6a/Nrcam/Cyth1/Fcho2/Cacng3/Grin3a/Pcdh17/Adcy1/Gabrg2/Cacna1d/Kcnj6/Dlg4/Iqsec2/Efnb3/Tiam1/Dnajc6/Cntnap2/Cpe/Unc13c/Grip1/Slc16a7/Lrrtm3/Clstn3/Grm3/Prkcg/Ptpro/Fmr1/Gabra2/Adcy8/Gabbr2/Syt7/Igsf21/Ctnnb1/Arrb1/Snph/Dnm2/Atp1a3/Rgs7bp/Grid2/Kcnd3/Cltc/Clta/Syp/Cdh10/Cltb/Cacng2/Slc1a2/Chrm3/Htt/Glrb/Slc6a7/Clstn1/Atp2b1/Atad1/Atp2b4/Lrfn2/Grik5/Gabra3/Slc8a3/Grm1/Palm/Ptprs/Dgkb/Cspg5/Canx/Gabra1/Grik4/Neto2/Itsn2/Ap2m1",104,22.1057730921211,0.0870292887029289,0.028291744468964,3.07613723849372,68.0003917943664,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0150034","GO:0150034","distal axon","78/1195","379/17673",3.6368446414583e-19,2.29848581340165e-16,2.68616069132271e-17,"Nrxn1/Actg1/Cacna1b/Prkca/Hspa8/Slc8a1/Cfl1/Rufy3/Marcks/Kcnq5/Tshz3/Calm3/Stmn2/Tubb3/Dtnbp1/Ptbp2/Grik2/Cdh8/Hsp90aa1/Grin2a/Pcdh9/Lrp1/Shank2/Actb/Cxadr/Rimbp2/Pacsin1/Neo1/Unc13a/Dixdc1/Apc/Gpm6a/Iqgap1/Cck/Ywhae/Prkn/Cdkl5/Crtac1/Rab3a/Tiam1/Exoc4/Git2/Unc13c/Grip1/Prkcg/Calm1/Fmr1/Prnp/Pebp1/Hnrnpk/Syt7/Fez1/Ppp2ca/Tsc1/Dnm2/Setx/Atp1a3/Dcx/Syp/Map2/Tnk2/Nin/Timp2/Chrm3/Myo9a/Srsf10/Shtn1/Klc1/Grik5/Calm2/Slc8a3/Rasgrf1/Dicer1/Unc5c/Copa/Grik4/Usp9x/Stim1",78,15.6385581724359,0.0652719665271966,0.0214451423074747,3.04367141011912,47.5986324049279,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0042734","GO:0042734","presynaptic membrane","55/1195","231/17673",9.16703470651401e-17,5.79356593451685e-14,5.80349114502616e-15,"Cacna1a/Nrxn1/Apba1/Ephb2/Ctnna2/Marcks/Kcnq5/Cacna2d1/Scn8a/Grik2/Grin2a/Ppfia2/Marcksl1/Cask/Atp2b2/Unc13a/Gpm6a/Cyth1/Fcho2/Pcdh17/Cacna1d/Kcnj6/Efnb3/Dnajc6/Cntnap2/Unc13c/Grip1/Grm3/Gabra2/Adcy8/Gabbr2/Syt7/Igsf21/Ctnnb1/Snph/Atp1a3/Rgs7bp/Cltc/Clta/Syp/Cdh10/Cltb/Slc1a2/Chrm3/Slc6a7/Atp2b1/Atp2b4/Grik5/Gabra3/Grm1/Ptprs/Canx/Grik4/Itsn2/Ap2m1",55,13.2370540461198,0.0460251046025105,0.0130707859446613,3.52121936640765,46.6105710613818,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0045211","GO:0045211","postsynaptic membrane","68/1195","344/17673",6.43195290345191e-16,4.06499423498161e-13,3.56296338467533e-14,"Prrt1/Grm5/Hspa8/Slc8a1/Ephb2/Ctnna2/Nbea/Marcks/Lrfn5/Cacna2d1/Nsg1/Dtnbp1/Ank3/Scn8a/Grik2/Grin2a/Ptprt/Gphn/Clstn2/Sorcs2/Shank2/Itga8/Pacsin1/Atp2b2/Nrcam/Cacng3/Grin3a/Pcdh17/Adcy1/Gabrg2/Dlg4/Iqsec2/Efnb3/Tiam1/Grip1/Slc16a7/Lrrtm3/Clstn3/Grm3/Ptpro/Fmr1/Gabra2/Gabbr2/Igsf21/Ctnnb1/Arrb1/Dnm2/Rgs7bp/Grid2/Kcnd3/Cdh10/Cacng2/Chrm3/Glrb/Clstn1/Atad1/Lrfn2/Grik5/Gabra3/Slc8a3/Grm1/Ptprs/Dgkb/Cspg5/Canx/Gabra1/Grik4/Neto2",68,12.3909400659906,0.0569037656903766,0.0194647201946472,2.9234309623431,36.2240578414544,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0099634","GO:0099634","postsynaptic specialization membrane","42/1195","151/17673",1.17123435982029e-15,7.40220115406424e-13,5.76713059046014e-14,"Prrt1/Grm5/Hspa8/Lrfn5/Scn8a/Grik2/Grin2a/Ptprt/Clstn2/Itga8/Pacsin1/Atp2b2/Nrcam/Cacng3/Grin3a/Adcy1/Gabrg2/Dlg4/Iqsec2/Efnb3/Tiam1/Slc16a7/Lrrtm3/Clstn3/Ptpro/Gabra2/Rgs7bp/Grid2/Kcnd3/Cdh10/Cacng2/Chrm3/Clstn1/Lrfn2/Grik5/Gabra3/Grm1/Ptprs/Dgkb/Gabra1/Grik4/Neto2",42,12.1306391171721,0.0351464435146444,0.00854410682962711,4.11353043863781,49.8997532486181,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0098839","GO:0098839","postsynaptic density membrane","35/1195","114/17673",1.04990609176528e-14,6.63540649995657e-12,4.65274173298087e-13,"Prrt1/Grm5/Lrfn5/Scn8a/Grik2/Grin2a/Ptprt/Clstn2/Itga8/Pacsin1/Atp2b2/Nrcam/Cacng3/Grin3a/Adcy1/Dlg4/Iqsec2/Efnb3/Tiam1/Slc16a7/Lrrtm3/Clstn3/Ptpro/Rgs7bp/Grid2/Cacng2/Chrm3/Clstn1/Lrfn2/Grik5/Grm1/Ptprs/Dgkb/Grik4/Neto2",35,11.1781324661258,0.0292887029288703,0.00645051773892378,4.54051970931513,50.7545307757795,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
