"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0099572","GO:0099572","postsynaptic specialization","67/844","425/17673",3.67388642945443e-18,2.17861465266647e-15,1.62037727783306e-15,"Gphn/Homer1/Mapt/Hspa8/Gapdh/Map1b/Dnm2/Cpeb4/Cpeb1/Mapk10/Slc16a7/Fmr1/Kpna1/Syn3/Itpr1/Ywhaz/Prnp/Map4/Cacna1c/Nptn/Rgs7bp/Syt11/Dclk1/Shank1/Ntrk2/Frmpd4/Nr3c2/Ptpro/Cnksr2/Grik2/Stx1a/Camk2a/Dgcr8/Hnrnph1/Gabra1/Lrfn2/Shank2/Ppp1r9a/Syn1/Rpl5/Dmtn/Zdhhc2/Add3/Exoc4/Epb41l3/Mpdz/Iqsec3/Dlgap4/Cdh10/Glrb/Pak3/Adgra1/Dvl1/Pacsin1/Yes1/Ctnnd1/Gabrb1/Ablim1/Grm1/Crtc1/Nectin3/Pura/Rbmx/Kcnd3/Arhgef2/Mtmr2/Bmpr2",67,14.6618195797676,0.0793838862559242,0.0240479827986194,3.30106216894341,48.3995779426447,"MGE","24hrvs1hr_PTZ"
"GO:0098984","GO:0098984","neuron to neuron synapse","67/844","440/17673",2.32299609836806e-17,1.37753668633226e-14,5.1228177116643e-15,"Gphn/Homer1/Mapt/Hspa8/Ywhah/Gapdh/Map1b/Dnm2/Cpeb4/Cpeb1/Mapk10/Slc16a7/Fmr1/Kpna1/Syn3/Itpr1/Ywhaz/Elavl2/Prnp/Map4/Cacna1c/Nptn/Rgs7bp/Syt11/Dclk1/Shank1/Ntrk2/Frmpd4/Nr3c2/Ptpro/Cnksr2/Grik2/Stx1a/Camk2a/Ogt/Dgcr8/Hnrnph1/Lrfn2/Shank2/Ppp1r9a/Plxna4/Syn1/Rpl5/Dmtn/Zdhhc2/Add3/Exoc4/Ephb2/Epb41l3/Mpdz/Iqsec3/Stxbp5/Pak3/Adgra1/Dvl1/Pacsin1/Ctnnd1/Unc13b/Ablim1/Grm1/Crtc1/Nectin3/Pura/Rbmx/Arhgef2/Mtmr2/Bmpr2",67,13.8608968262624,0.0793838862559242,0.0248967351326883,3.18852595863852,44.1958293405479,"MGE","24hrvs1hr_PTZ"
"GO:0032279","GO:0032279","asymmetric synapse","63/844","400/17673",4.04786793436477e-17,2.40038568507831e-14,5.95107601578541e-15,"Gphn/Homer1/Mapt/Hspa8/Ywhah/Gapdh/Map1b/Dnm2/Cpeb4/Cpeb1/Mapk10/Slc16a7/Fmr1/Kpna1/Syn3/Itpr1/Elavl2/Prnp/Map4/Cacna1c/Nptn/Rgs7bp/Syt11/Dclk1/Shank1/Ntrk2/Frmpd4/Nr3c2/Ptpro/Cnksr2/Grik2/Stx1a/Camk2a/Ogt/Dgcr8/Hnrnph1/Lrfn2/Shank2/Ppp1r9a/Plxna4/Syn1/Rpl5/Dmtn/Zdhhc2/Add3/Exoc4/Epb41l3/Mpdz/Iqsec3/Pak3/Adgra1/Dvl1/Pacsin1/Ctnnd1/Ablim1/Grm1/Crtc1/Nectin3/Pura/Rbmx/Arhgef2/Mtmr2/Bmpr2",63,13.6197189718535,0.0746445497630332,0.0226333955751712,3.29798281990521,44.9175991811098,"MGE","24hrvs1hr_PTZ"
"GO:0014069","GO:0014069","postsynaptic density","59/844","377/17673",5.67531589153323e-16,3.3654623236792e-13,6.25778252250638e-14,"Gphn/Homer1/Mapt/Hspa8/Gapdh/Map1b/Dnm2/Cpeb4/Cpeb1/Mapk10/Slc16a7/Fmr1/Kpna1/Syn3/Itpr1/Prnp/Map4/Cacna1c/Nptn/Rgs7bp/Syt11/Dclk1/Shank1/Ntrk2/Frmpd4/Nr3c2/Ptpro/Cnksr2/Grik2/Stx1a/Camk2a/Dgcr8/Hnrnph1/Lrfn2/Shank2/Ppp1r9a/Syn1/Rpl5/Dmtn/Zdhhc2/Add3/Exoc4/Epb41l3/Mpdz/Iqsec3/Pak3/Adgra1/Dvl1/Pacsin1/Ctnnd1/Ablim1/Grm1/Crtc1/Nectin3/Pura/Rbmx/Arhgef2/Mtmr2/Bmpr2",59,12.4729552670029,0.0699052132701422,0.0213319753295988,3.27701547512791,40.8740674305466,"MGE","24hrvs1hr_PTZ"
"GO:0043209","GO:0043209","myelin sheath","40/844","192/17673",1.92368443508406e-15,1.14074487000485e-12,1.69689216484257e-13,"Atp1b1/Hsp90aa1/Gpi1/Snap25/Atp6v1a/Hspa8/Gapdh/Uchl1/Ubc/Mdh1/Calm1/Tuba1b/Aldoa/Cltc/Ppia/Ckb/Ubb/Slc25a12/Calm3/Gnao1/Thy1/Tuba1a/Calm2/Uqcrc2/Pkm/Eno2/Tubb4b/Syn1/Pebp1/Hba-a1/Exoc4/Actg1/Gpm6b/Mpdz/Pitpna/Eef1a2/Rps27a/Pacsin1/Pgam1/Plcb1",40,11.9428114755981,0.0473933649289099,0.0108640298760822,4.36241113744076,52.0994537935045,"MGE","24hrvs1hr_PTZ"
"GO:0150034","GO:0150034","distal axon","53/844","379/17673",1.81781083176192e-12,1.07796182323482e-09,1.33625041843551e-10,"Rufy3/Hsp90aa1/Gad1/Snap25/Gpm6a/Mapt/Hspa8/Map1b/Dnm2/Calm1/Cpeb1/Ptbp2/Fmr1/App/Slc4a10/Rasgrf1/Prnp/Kif5a/Rimbp2/Calm3/Kcnc1/Syt11/Dclk1/Ntrk2/Thy1/Calm2/Cacna1b/Grik2/Ppp2ca/Prkn/Eno2/Shank2/Ppp1r9a/Pebp1/Cfl1/Exoc4/Rab3a/Unc13a/Cttn/Actg1/Fez1/Hnrnpr/Amph/Cnr1/Dvl1/Hnrnpk/Pacsin1/Crtac1/Ctnnd1/Unc13b/Iqgap1/Flna/Prkcb",53,8.96739661971704,0.0627962085308057,0.0214451423074747,2.92822531230852,26.2585577673653,"MGE","24hrvs1hr_PTZ"
"GO:0008021","GO:0008021","synaptic vesicle","39/844","247/17673",4.17447010718547e-11,2.47546077356098e-08,2.41265418464769e-09,"Snap25/Atp6v1a/Hspa8/Calm1/Kirrel3/Cltc/Slc6a7/App/Syn3/Atp6ap2/Slc6a17/Calm3/Atp6v0c/Syt11/Atp6v0a1/Calm2/Stx1a/Rab10/Prkn/Syn1/Pebp1/Exoc4/Rab3a/Unc13a/Wdr7/Ap2a2/Amph/Atp6v1e1/Rab3c/Stxbp5/Atp6ap1/Trpm7/Clcn4/Vamp2/Gabbr1/Rab14/Unc13b/Rab3b/Mtmr2",39,7.60634395115879,0.0462085308056872,0.0139761217676682,3.30624844100773,25.1484628302873,"MGE","24hrvs1hr_PTZ"
"GO:0048786","GO:0048786","presynaptic active zone","26/844","118/17673",4.3761746547309e-11,2.59507157025542e-08,2.41265418464769e-09,"Gad1/Snap25/Gpm6a/Rims2/Cacna1d/Pnisr/Cacna1a/App/Rimbp2/Nptn/Syt11/Ntrk2/Nr3c2/Cacna1b/Flot1/Stx1a/Apba1/Shank2/Syn1/Rab3a/Unc13a/Rims4/Cdh10/Ctnnd1/Unc13b/Gabrb1",26,7.58585066011287,0.0308056872037915,0.00667685169467549,4.61380432163226,34.9996305588857,"MGE","24hrvs1hr_PTZ"
"GO:0070382","GO:0070382","exocytic vesicle","40/844","267/17673",1.22399788439012e-10,7.25830745443339e-08,5.99830542174806e-09,"Snap25/Atp6v1a/Hspa8/Syt4/Calm1/Kirrel3/Cltc/Slc6a7/App/Syn3/Atp6ap2/Slc6a17/Calm3/Atp6v0c/Syt11/Atp6v0a1/Calm2/Stx1a/Rab10/Prkn/Syn1/Pebp1/Exoc4/Rab3a/Unc13a/Wdr7/Ap2a2/Amph/Atp6v1e1/Rab3c/Stxbp5/Atp6ap1/Trpm7/Clcn4/Vamp2/Gabbr1/Rab14/Unc13b/Rab3b/Mtmr2",40,7.13916463947856,0.0473933649289099,0.0151077915464268,3.1370147505192,22.3956647804293,"MGE","24hrvs1hr_PTZ"
"GO:0030672","GO:0030672","synaptic vesicle membrane","27/844","142/17673",6.42889502322092e-10,3.81233474877001e-07,2.57771006194217e-08,"Atp6v1a/Calm1/Cltc/Slc6a7/Syn3/Atp6ap2/Slc6a17/Calm3/Atp6v0c/Syt11/Atp6v0a1/Calm2/Stx1a/Rab10/Prkn/Syn1/Rab3a/Unc13a/Amph/Atp6v1e1/Rab3c/Atp6ap1/Trpm7/Vamp2/Rab14/Unc13b/Rab3b",27,6.41880897236719,0.0319905213270142,0.00803485542918576,3.98146819304452,25.5562837607087,"MGE","24hrvs1hr_PTZ"
