"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0150034","GO:0150034","distal axon","45/569","379/17673",3.71282396099386e-14,1.97150952328774e-11,1.36006604044828e-11,"Actb/Hspa8/Actg1/Hsp90aa1/Hsp90ab1/Cfl1/Tubb3/Calm1/Hnrnpk/Calm2/Dnm2/Agrn/Dpysl3/Marcks/Dscam/App/Brsk2/Kcna6/Kcnk2/Prkn/Cxadr/Stmn2/Kcnc1/Arpc2/Nrp1/Gpm6a/Atp1a3/Ppp1r2/Ppp2ca/Rufy3/Dctn2/Crmp1/Amph/Clcn3/Olfm1/Pacsin1/Ctnnd1/Epha4/Ywhae/Slc9a6/Gad1/Grin2a/Cbl/Pard3/Prnp",45,10.7052011207458,0.0790861159929701,0.0214451423074747,3.68783358296507,39.4790002054817,"MGE","24hrvs1hr_SAL"
"GO:0043209","GO:0043209","myelin sheath","31/569","192/17673",1.11246387358644e-13,5.90718316874399e-11,1.72832210695873e-11,"Tuba1a/Actb/Ppia/Gapdh/Ubb/Hspa8/Tuba1b/Actg1/Hsp90aa1/Uchl1/Ckb/Aldoa/Mdh1/Eef1a1/Calm1/Slc25a4/Cox6a1/Calm2/Atp1b1/Atp6v1a/Gnb2/Pkm/Cltc/Gdi1/Ywhag/Atp1a3/Cox5a/Pdia3/Pacsin1/Pard3/Slc25a12",31,10.2286195624177,0.054481546572935,0.0108640298760822,5.01485610720562,51.2950552808736,"MGE","24hrvs1hr_SAL"
"GO:0099572","GO:0099572","postsynaptic specialization","47/569","425/17673",1.41543620828517e-13,7.51596626599425e-11,1.72832210695873e-11,"Gapdh/Hspa8/Dnajc6/Ywhaz/Dnm2/Camk2b/Grid2/Cadm1/Rbmx/Lrfn5/Gria1/Dgcr8/Dlgap1/Clstn1/Psd/Lrrc4c/Pak3/Slc16a7/Dapk1/Cdh2/Rpl5/Cacng2/Hnrnph1/Erbin/Eif4g2/Rnf112/Drp2/Pacsin1/Hnrnpa3/Hnrnpa2b1/Sorcs3/Ctnnd1/Epha4/Ablim1/Cacng8/Rpl10a/Grin2a/Erbb4/Myo6/Kpna1/Rps6kc1/Nlgn3/Kcnb1/Prnp/Prrt1/Clstn3/Adcy8",47,10.1240151778165,0.0826010544815466,0.0240479827986194,3.43484337847617,34.7744064971153,"MGE","24hrvs1hr_SAL"
"GO:0014069","GO:0014069","postsynaptic density","43/569","377/17673",5.63826682702298e-13,2.9939196851492e-10,5.16346541001052e-11,"Gapdh/Hspa8/Dnajc6/Dnm2/Camk2b/Grid2/Cadm1/Rbmx/Lrfn5/Gria1/Dgcr8/Dlgap1/Clstn1/Psd/Lrrc4c/Pak3/Slc16a7/Dapk1/Cdh2/Rpl5/Cacng2/Hnrnph1/Eif4g2/Rnf112/Drp2/Pacsin1/Hnrnpa3/Hnrnpa2b1/Sorcs3/Ctnnd1/Epha4/Ablim1/Cacng8/Rpl10a/Grin2a/Erbb4/Myo6/Kpna1/Rps6kc1/Prnp/Prrt1/Clstn3/Adcy8",43,9.52375985421486,0.0755711775043937,0.0213319753295988,3.54262445632666,33.7391045757236,"MGE","24hrvs1hr_SAL"
"GO:0032279","GO:0032279","asymmetric synapse","44/569","400/17673",1.05864951908225e-12,5.62142894632673e-10,7.75600068717099e-11,"Gapdh/Hspa8/Dnajc6/Dnm2/Camk2b/Grid2/Cadm1/Rbmx/Chd4/Lrfn5/Gria1/Dgcr8/Dlgap1/Clstn1/Psd/Lrrc4c/Pak3/Slc16a7/Dapk1/Cdh2/Rpl5/Cacng2/Hnrnph1/Eif4g2/Rnf112/Drp2/Pacsin1/Hnrnpa3/Hnrnpa2b1/Sorcs3/Ctnnd1/Epha4/Ablim1/Cacng8/Rpl10a/Grin2a/Erbb4/Myo6/Kpna1/Rps6kc1/Prnp/Prrt1/Clstn3/Adcy8",44,9.25015327435568,0.0773286467486819,0.0226333955751712,3.41657293497364,31.6038233215214,"MGE","24hrvs1hr_SAL"
"GO:0098984","GO:0098984","neuron to neuron synapse","46/569","440/17673",1.94870809744904e-12,1.03476399974544e-09,1.18973757528468e-10,"Gapdh/Hspa8/Dnajc6/Ywhaz/Dnm2/Camk2b/Grid2/Cadm1/Rbmx/Chd4/Lrfn5/Gria1/Dgcr8/Dlgap1/Clstn1/Psd/Lrrc4c/Pak3/Slc16a7/Dapk1/Atp1a3/Cdh2/Rpl5/Cacng2/Hnrnph1/Eif4g2/Rnf112/Drp2/Pacsin1/Hnrnpa3/Hnrnpa2b1/Sorcs3/Ctnnd1/Epha4/Ablim1/Cacng8/Rpl10a/Grin2a/Erbb4/Myo6/Kpna1/Rps6kc1/Prnp/Prrt1/Clstn3/Adcy8",46,8.98515868913975,0.0808435852372583,0.0248967351326883,3.24715609522288,29.176212803985,"MGE","24hrvs1hr_SAL"
"GO:0097060","GO:0097060","synaptic membrane","46/569","500/17673",1.56488228895529e-10,8.30952495435261e-08,8.18915844445778e-09,"Hspa8/Cfl1/Nbea/Nsg1/Dnajc6/Cacna1d/Dnm2/Grid2/Cadm1/Cpe/Lrfn5/Gria1/Marcks/Cltc/Cacna1a/Dlgap1/Clstn1/Lrrc4c/Kcnc1/Htr2a/Slc16a7/Nrp1/Gpm6a/Atp1a3/Cdh2/Cacng2/Gripap1/Cltb/Clcn3/Syne1/Comt/Olfm1/Pacsin1/Gabbr1/Sorcs3/Epha4/Abhd6/Cacng8/Rph3a/Grin2a/Erbb4/Nlgn3/Kcnb1/Prrt1/Clstn3/Adcy8",46,7.08042380360463,0.0808435852372583,0.028291744468964,2.85749736379613,20.2322923533596,"MGE","24hrvs1hr_SAL"
"GO:0030427","GO:0030427","site of polarized growth","28/569","218/17673",4.54523661796401e-10,2.41352064413889e-07,2.08123992506773e-08,"Hsp90aa1/Hsp90ab1/Cfl1/Tubb3/Calm1/Calm2/Dnm2/Agrn/Dpysl3/Marcks/Dscam/App/Cxadr/Stmn2/Arpc2/Nrp1/Gpm6a/Ppp1r2/Rufy3/Dctn2/Crmp1/Olfm1/Ctnnd1/Epha4/Ywhae/Fry/Cbl/Pard3",28,6.61734898207535,0.0492091388400703,0.0123352005884683,3.98932619596588,26.3987636420413,"MGE","24hrvs1hr_SAL"
"GO:0030426","GO:0030426","growth cone","27/569","211/17673",1.01452890645224e-09,5.38714849326139e-07,4.12931063678806e-08,"Hsp90aa1/Hsp90ab1/Cfl1/Tubb3/Calm1/Calm2/Dnm2/Agrn/Dpysl3/Marcks/Dscam/App/Cxadr/Stmn2/Arpc2/Nrp1/Gpm6a/Ppp1r2/Rufy3/Dctn2/Crmp1/Olfm1/Ctnnd1/Epha4/Ywhae/Cbl/Pard3",27,6.26864105324276,0.0474516695957821,0.0119391161659028,3.97447088514814,24.9145313555577,"MGE","24hrvs1hr_SAL"
"GO:0005751","GO:0005751","mitochondrial respiratory chain complex IV","9/569","18/17673",1.3099981117367e-09,6.9560899733219e-07,4.79872992509866e-08,"Ndufa4/Cox6a1/Cox4i1/Cox8a/Cox6b1/Cox6c/Cox7c/Cox5a/Cox7b",9,6.157634809265,0.015817223198594,0.0010185028008827,15.5298769771529,95.6273110581197,"MGE","24hrvs1hr_SAL"
