"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0014069","GO:0014069","postsynaptic density","41/601","377/17673",5.1410714463247e-11,2.77617858101534e-08,2.07807519514599e-08,"Map1b/Lrfn2/Nrg1/Ptprz1/Mapt/Clstn3/Cdh2/Ptprs/Zdhhc2/Cpeb4/Homer1/Nr3c2/Eps8/Sorcs3/Adgra1/Fyn/Ptpro/Add3/Camk2g/Hnrnpa2b1/Syn3/Usp8/Rpl18a/Lrrc4b/Cadm1/Shisa9/Gap43/Plcb4/Cpeb1/Dgkz/Grin2d/Hspa8/Rpl10a/Rheb/Fxr1/Pacsin1/Iqsec2/Prkcz/Epha4/Lrrtm3/Grm3",41,7.55655260080543,0.0682196339434276,0.0213319753295988,3.19799891427638,24.1658470130482,"MGE","PTZvsSAL_1hr"
"GO:0099572","GO:0099572","postsynaptic specialization","43/601","425/17673",1.76713378504701e-10,9.54252243925385e-08,3.57147038662132e-08,"Map1b/Lrfn2/Nrg1/Ptprz1/Mapt/Clstn3/Cdh2/Ptprs/Zdhhc2/Cpeb4/Homer1/Nr3c2/Eps8/Kcnb1/Sorcs3/Adgra1/Fyn/Ptpro/Add3/Camk2g/Hnrnpa2b1/Syn3/Usp8/Rpl18a/Lrrc4b/Cadm1/Shisa9/Gap43/Plcb4/Cpeb1/Dgkz/Grin2d/Hspa8/Rpl10a/Rheb/Fxr1/Pacsin1/Iqsec2/Prkcz/Epha4/Lrrtm3/Grm3/Dlgap4",43,7.02033681013363,0.0715474209650582,0.0240479827986194,2.97519428403641,20.88686594952,"MGE","PTZvsSAL_1hr"
"GO:0032279","GO:0032279","asymmetric synapse","41/601","400/17673",3.20556778992247e-10,1.73100660655813e-07,4.31908081168501e-08,"Map1b/Lrfn2/Nrg1/Ptprz1/Mapt/Clstn3/Cdh2/Ptprs/Zdhhc2/Cpeb4/Homer1/Nr3c2/Eps8/Sorcs3/Adgra1/Fyn/Ptpro/Add3/Camk2g/Hnrnpa2b1/Syn3/Usp8/Rpl18a/Lrrc4b/Cadm1/Shisa9/Gap43/Plcb4/Cpeb1/Dgkz/Grin2d/Hspa8/Rpl10a/Rheb/Fxr1/Pacsin1/Iqsec2/Prkcz/Epha4/Lrrtm3/Grm3",41,6.76170127459355,0.0682196339434276,0.0226333955751712,3.01411397670549,20.3805383180597,"MGE","PTZvsSAL_1hr"
"GO:0030426","GO:0030426","growth cone","28/601","211/17673",7.29513505986966e-10,3.93937293232962e-07,7.37192595523671e-08,"Map1b/Stmn2/Calm2/Dpysl3/Hsp90ab1/Ptprz1/Tubb3/Crmp1/Neo1/Pard3/Mapt/Agrn/Snap25/Ywhae/Dpysl2/Cfl1/Calm1/Cxadr/Marcks/Hnrnpr/Cpeb1/Kif3c/Calm3/Trak1/Fxr1/Epha4/Hsp90aa1/Map3k12",28,6.40457290347969,0.0465890183028286,0.0119391161659028,3.90221668467247,24.9920312421596,"MGE","PTZvsSAL_1hr"
"GO:0030427","GO:0030427","site of polarized growth","28/601","218/17673",1.54984674566566e-09,8.36917242659457e-07,1.25292873754866e-07,"Map1b/Stmn2/Calm2/Dpysl3/Hsp90ab1/Ptprz1/Tubb3/Crmp1/Neo1/Pard3/Mapt/Agrn/Snap25/Ywhae/Dpysl2/Cfl1/Calm1/Cxadr/Marcks/Hnrnpr/Cpeb1/Kif3c/Calm3/Trak1/Fxr1/Epha4/Hsp90aa1/Map3k12",28,6.07731748445986,0.0465890183028286,0.0123352005884683,3.7769161489261,22.9535185492074,"MGE","PTZvsSAL_1hr"
"GO:0043209","GO:0043209","myelin sheath","26/601","192/17673",1.91266937471722e-09,1.0328414623473e-06,1.28853515770423e-07,"Tuba1a/Actb/Calm2/Ubb/Eef1a1/Pard3/Cox6a1/Snap25/Dpysl2/Ppia/Calm1/Gpi1/Tuba1b/Uchl1/Actg1/Ywhag/Stxbp1/Ubc/Hspa8/Cltc/Calm3/Pacsin1/Prkcz/Cox5a/Hsp90aa1/Vcp",26,5.98596633609098,0.043261231281198,0.0108640298760822,3.98206114808652,23.8364839807017,"MGE","PTZvsSAL_1hr"
"GO:0150034","GO:0150034","distal axon","38/601","379/17673",2.69463223540941e-09,1.45510140712108e-06,1.55599816300333e-07,"Map1b/Actb/Stmn2/Kcnq5/Calm2/Dpysl3/Hsp90ab1/Ptprz1/Gad1/Tubb3/Crmp1/Neo1/Pard3/Mapt/Slc32a1/Agrn/Snap25/Ywhae/Dpysl2/Cfl1/Calm1/Cxadr/Actg1/Marcks/Kcnc1/Hnrnpr/Slc9a6/Cpeb1/Hspa8/Kif3c/Calm3/Trak1/Fxr1/Pacsin1/Brsk2/Epha4/Hsp90aa1/Map3k12",38,5.83710673931143,0.0632279534109817,0.0214451423074747,2.94835783807989,17.2098794065578,"MGE","PTZvsSAL_1hr"
"GO:0098984","GO:0098984","neuron to neuron synapse","41/601","440/17673",5.44631941648897e-09,2.94101248490404e-06,2.75182454727864e-07,"Map1b/Lrfn2/Nrg1/Ptprz1/Mapt/Clstn3/Cdh2/Ptprs/Zdhhc2/Cpeb4/Homer1/Nr3c2/Eps8/Sorcs3/Adgra1/Fyn/Ptpro/Add3/Camk2g/Hnrnpa2b1/Syn3/Usp8/Rpl18a/Lrrc4b/Cadm1/Shisa9/Gap43/Plcb4/Cpeb1/Dgkz/Grin2d/Hspa8/Rpl10a/Rheb/Fxr1/Pacsin1/Iqsec2/Prkcz/Epha4/Lrrtm3/Grm3",41,5.53150313186375,0.0682196339434276,0.0248967351326883,2.74010361518681,15.156891729037,"MGE","PTZvsSAL_1hr"
"GO:0016607","GO:0016607","nuclear speck","34/601","332/17673",1.10307205134277e-08,5.95658907725095e-06,4.95414816041664e-07,"Cwc22/Ddx5/Snrnp70/Basp1/Srrm2/Prpf4b/Mapt/Son/Morf4l1/Zbtb16/Fyttd1/Rad54l2/Srsf2/Bclaf1/Dhx36/Akap8l/Cdk13/Stk19/Mapk14/Dgkz/Adar/Luc7l3/Hectd1/Srek1/Csnk1a1/Ddx46/Fam193b/Chd5/Ddx39b/Ep400/Thoc1/Wrn/Ppp4r3b/Hp1bp3",34,5.2250023592159,0.0565723793677205,0.0187857183273921,3.0114568089329,15.7348689313512,"MGE","PTZvsSAL_1hr"
"GO:0022626","GO:0022626","cytosolic ribosome","17/601","119/17673",5.64003352023092e-07,0.000304561810092469,2.10081239964288e-05,"Rps29/Ubb/Eef1a1/Rpl41/Rplp1/Rpsa/Rpl15/Rpl18a/Rpl27a/Rps10/Rpl10a/Larp4/Gcn1/Abce1/Rpl19/Mcts1/Nemf",17,3.51632455505751,0.0282861896838602,0.00673343518361342,4.2008557166627,14.7715721087548,"MGE","PTZvsSAL_1hr"
