"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0045211","GO:0045211","postsynaptic membrane","16/173","344/17673",2.84023471512986e-07,9.9408215029545e-05,4.60102394860032e-05,"Tenm2/Cacna2d1/Itgb1/Kcnd3/Scn8a/Grik2/Ptpro/Ptprs/Grik3/Slc6a1/Rgs7/Dlg1/Adam22/Nrcam/Igsf9b/Gabbr2",16,4.00257772430914,0.092485549132948,0.0194647201946472,4.7514450867052,19.0180282623244,"OPCs","24hrvs1hr_SAL"
"GO:0098984","GO:0098984","neuron to neuron synapse","18/173","440/17673",3.33015452737785e-07,0.000116555408458225,4.60102394860032e-05,"Tanc1/Rtn3/Itgb1/Scn8a/Tnr/Grik2/Exoc4/Ptpro/Ptprs/Sptbn1/Grik3/Dlg1/Adam22/Nrcam/Numb/Zdhhc2/Igsf9b/Hnrnpa2b1",18,3.93346756934147,0.104046242774566,0.0248967351326883,4.17911192853389,16.4384012395362,"OPCs","24hrvs1hr_SAL"
"GO:0097060","GO:0097060","synaptic membrane","19/173","500/17673",4.75105733822859e-07,0.000166287006838001,4.60102394860032e-05,"Cpe/Tenm2/Cacna2d1/Itgb1/Kcnd3/Scn8a/Grik2/Ptpro/Ptprs/Grik3/Slc6a1/Rgs7/Dlg1/Adam22/Nrcam/Igsf9b/Slc1a2/Gabbr2/Adgrl1",19,3.77914168390743,0.109826589595376,0.028291744468964,3.88193063583815,14.6703658799332,"OPCs","24hrvs1hr_SAL"
"GO:0099572","GO:0099572","postsynaptic specialization","17/173","425/17673",9.81064336445311e-07,0.000343372517755859,7.12562518049753e-05,"Tanc1/Rtn3/Kcnd3/Scn8a/Grik2/Exoc4/Ptpro/Ptprs/Sptbn1/Grik3/Dlg1/Adam22/Nrcam/Numb/Zdhhc2/Igsf9b/Hnrnpa2b1",17,3.46423446708017,0.0982658959537572,0.0240479827986194,4.08624277456647,14.1557030605105,"OPCs","24hrvs1hr_SAL"
"GO:0032279","GO:0032279","asymmetric synapse","16/173","400/17673",2.07723482930422e-06,0.000727032190256478,0.000102025284565007,"Tanc1/Rtn3/Itgb1/Scn8a/Grik2/Exoc4/Ptpro/Ptprs/Sptbn1/Grik3/Dlg1/Adam22/Nrcam/Numb/Zdhhc2/Hnrnpa2b1",16,3.13844635978572,0.092485549132948,0.0226333955751712,4.08624277456647,12.8244537610388,"OPCs","24hrvs1hr_SAL"
"GO:0005912","GO:0005912","adherens junction","10/173","149/17673",2.10704392036427e-06,0.000737465372127496,0.000102025284565007,"Actb/Apc/Ctnna3/Magi1/Itgb1/Ahi1/Dlg1/Tjp1/Epha5/Cdh11",10,3.13225836727796,0.0578034682080925,0.00843093985175126,6.85611203786321,21.4751142975922,"OPCs","24hrvs1hr_SAL"
"GO:0014069","GO:0014069","postsynaptic density","15/173","377/17673",4.68109917965197e-06,0.00163838471287819,0.000194283214072774,"Tanc1/Rtn3/Scn8a/Grik2/Exoc4/Ptpro/Ptprs/Sptbn1/Grik3/Dlg1/Adam22/Nrcam/Numb/Zdhhc2/Hnrnpa2b1",15,2.78558411291595,0.0867052023121387,0.0213319753295988,4.0645650940648,11.3221879519396,"OPCs","24hrvs1hr_SAL"
"GO:0098839","GO:0098839","postsynaptic density membrane","8/173","114/17673",1.63407991434139e-05,0.00571927970019485,0.000580810012535856,"Scn8a/Grik2/Ptpro/Ptprs/Grik3/Dlg1/Adam22/Nrcam",8,2.24265866385185,0.046242774566474,0.00645051773892378,7.16884697292364,16.0772767736553,"OPCs","24hrvs1hr_SAL"
"GO:0099634","GO:0099634","postsynaptic specialization membrane","9/173","151/17673",1.79924840839912e-05,0.00629736942939691,0.000580810012535856,"Kcnd3/Scn8a/Grik2/Ptpro/Ptprs/Grik3/Dlg1/Adam22/Nrcam",9,2.20084082846348,0.0520231213872832,0.00854410682962711,6.08877234620832,13.4004187747547,"OPCs","24hrvs1hr_SAL"
"GO:0150034","GO:0150034","distal axon","13/173","379/17673",9.44010377737788e-05,0.0330403632208226,0.00250896821925368,"Hsp90ab1/Actb/Apc/Ptbp2/Slc4a10/Tanc1/Dpysl3/Grik2/Exoc4/Rasgrf1/Neo1/Grik3/Adgrl1",13,1.48095518701958,0.0751445086705202,0.0214451423074747,3.50403404151479,5.18931738927449,"OPCs","24hrvs1hr_SAL"
"GO:0042734","GO:0042734","presynaptic membrane","10/173","231/17673",9.49953546782642e-05,0.0332483741373925,0.00250896821925368,"Cacna2d1/Scn8a/Grik2/Ptprs/Grik3/Slc6a1/Dlg1/Slc1a2/Gabbr2/Adgrl1",10,1.47822958706532,0.0578034682080925,0.0130707859446613,4.42234066511523,6.53723481525548,"OPCs","24hrvs1hr_SAL"
