"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0097060","GO:0097060",1,"GO:0097060",8.26382390174106,514,"synaptic membrane","synaptic membrane",0.565041666666667,0.392,0
"GO:0043209","GO:0043209",2,"GO:0043209",6.35820733517432,208,"myelin sheath","myelin sheath",0.997791666666667,1,0
"GO:0045211","GO:0045211",1,"GO:0097060",6.05288793755183,352,"postsynaptic membrane","synaptic membrane",0.54625,0.406333333333333,0.938
"GO:0098984","GO:0098984",3,"GO:0098984",4.86879646728393,448,"neuron to neuron synapse","neuron to neuron synapse",0.638541666666667,0.30675,0
"GO:0044306","GO:0044306",4,"GO:0044306",3.66749622562979,224,"neuron projection terminus","neuron projection terminus",0.862166666666667,0.4625,0
"GO:0044309","GO:0044309",4,"GO:0044306",3.65187892697067,214,"neuron spine","neuron projection terminus",0.862166666666667,0.46225,0.582
"GO:0032279","GO:0032279",3,"GO:0098984",3.3743739707834,407,"asymmetric synapse","neuron to neuron synapse",0.641666666666667,0.3055,0.979
"GO:0042734","GO:0042734",1,"GO:0097060",3.34161658438417,238,"presynaptic membrane","synaptic membrane",0.563208333333333,0.423666666666667,0.886
"GO:0043194","GO:0043194",5,"GO:0043194",3.13982272438318,29,"axon initial segment","axon initial segment",0.881541666666667,0.665,0
"GO:0099572","GO:0099572",6,"GO:0099572",3.1392634432237,436,"postsynaptic specialization","postsynaptic specialization",0.634958333333333,0.55,0
"GO:0048786","GO:0048786",7,"GO:0048786",2.97462728627343,121,"presynaptic active zone","presynaptic active zone",0.672166666666667,0.487666666666667,0
"GO:0043679","GO:0043679",4,"GO:0044306",2.90330630413694,202,"axon terminus","neuron projection terminus",0.538625,0.465,0.989
"GO:0150034","GO:0150034",5,"GO:0043194",2.65887908507345,397,"distal axon","axon initial segment",0.854625,0.665,0.67
"GO:0043197","GO:0043197",4,"GO:0044306",2.65587608591236,208,"dendritic spine","neuron projection terminus",0.557291666666667,0.46375,0.579
"GO:0099634","GO:0099634",6,"GO:0099572",2.36066189933282,154,"postsynaptic specialization membrane","postsynaptic specialization",0.564291666666667,0.55,0.9
"GO:0016323","GO:0016323",8,"GO:0016323",2.19995802624656,267,"basolateral plasma membrane","basolateral plasma membrane",0.7865,0.349666666666667,0
"GO:0009925","GO:0009925",8,"GO:0016323",1.86496692861806,301,"basal plasma membrane","basolateral plasma membrane",0.783375,0.344,0.979
"GO:0014069","GO:0014069",3,"GO:0098984",1.80177604524701,384,"postsynaptic density","neuron to neuron synapse",0.585791666666667,0.30925,0.97
"GO:0098686","GO:0098686",3,"GO:0098984",1.77302289163621,61,"hippocampal mossy fiber to CA3 synapse","neuron to neuron synapse",0.691083333333333,0.3885,0.824
"GO:0048787","GO:0048787",7,"GO:0048786",1.7179631264387,66,"presynaptic active zone membrane","presynaptic active zone",0.594791666666667,0.498,0.941
"GO:0045178","GO:0045178",8,"GO:0016323",1.66185255008925,325,"basal part of cell","basolateral plasma membrane",0.916083333333333,0.346333333333333,0.972
"GO:0098982","GO:0098982",9,"GO:0098982",1.54967955905714,135,"GABA-ergic synapse","GABA-ergic synapse",0.72,1,0
"GO:0098685","GO:0098685",10,"GO:0098685",1.4009866920755,144,"Schaffer collateral - CA1 synapse","Schaffer collateral - CA1 synapse",0.716625,1,0
"GO:0099523","GO:0099523",7,"GO:0048786",1.30504153535818,32,"presynaptic cytosol","presynaptic active zone",0.718416666666667,0.613,0.596
