"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0032279","GO:0032279",1,"GO:0032279",20.5965175269196,407,"asymmetric synapse","asymmetric synapse",0.748258064516129,0.345333333333333,0
"GO:0014069","GO:0014069",1,"GO:0032279",20.2820845326336,384,"postsynaptic density","asymmetric synapse",0.695451612903226,0.348333333333333,0.985
"GO:0098984","GO:0098984",1,"GO:0032279",20.0324316214392,448,"neuron to neuron synapse","asymmetric synapse",0.747032258064516,0.350333333333333,0.979
"GO:0099572","GO:0099572",2,"GO:0099572",19.2629319538553,436,"postsynaptic specialization","postsynaptic specialization",0.722516129032258,0.407,0
"GO:0030426","GO:0030426",3,"GO:0030426",13.8110954505365,213,"growth cone","growth cone",0.81241935483871,0.374666666666667,0
"GO:0030427","GO:0030427",3,"GO:0030426",13.3511316603638,221,"site of polarized growth","growth cone",0.93741935483871,0.375666666666667,0.995
"GO:0150034","GO:0150034",4,"GO:0150034",13.3246060205318,397,"distal axon","distal axon",0.840516129032258,0.4842,0
"GO:0097060","GO:0097060",5,"GO:0097060",12.5000261551067,514,"synaptic membrane","synaptic membrane",0.705935483870968,0.392,0
"GO:0045211","GO:0045211",5,"GO:0097060",8.0142964591531,352,"postsynaptic membrane","synaptic membrane",0.68641935483871,0.406333333333333,0.938
"GO:0042734","GO:0042734",5,"GO:0097060",7.93156148390862,238,"presynaptic membrane","synaptic membrane",0.713709677419355,0.423666666666667,0.886
"GO:0043209","GO:0043209",6,"GO:0043209",7.62955036063175,208,"myelin sheath","myelin sheath",0.997741935483871,1,0
"GO:0005874","GO:0005874",7,"GO:0005874",5.95978934384821,467,"microtubule","microtubule",0.972935483870968,1,0
"GO:0043204","GO:0043204",8,"GO:0043204",5.73673505889052,153,"perikaryon","perikaryon",0.959870967741935,0.7185,0
"GO:0098839","GO:0098839",2,"GO:0099572",4.89159935806566,114,"postsynaptic density membrane","postsynaptic specialization",0.664322580645161,0.381333333333333,0.879
"GO:0099634","GO:0099634",2,"GO:0099572",4.48317112159201,154,"postsynaptic specialization membrane","postsynaptic specialization",0.684870967741935,0.374333333333333,0.9
"GO:0031252","GO:0031252",9,"GO:0031252",3.491853311151,415,"cell leading edge","cell leading edge",0.997354838709677,1,0
"GO:0097470","GO:0097470",10,"GO:0097470",3.26067047211618,29,"ribbon synapse","ribbon synapse",0.832258064516129,1,0
"GO:0048786","GO:0048786",11,"GO:0048786",3.15309010380235,121,"presynaptic active zone","presynaptic active zone",0.795483870967742,1,0
"GO:0043197","GO:0043197",4,"GO:0150034",3.05544086066655,208,"dendritic spine","distal axon",0.601,0.4538,0.609
"GO:0044309","GO:0044309",4,"GO:0150034",2.86009336244975,214,"neuron spine","distal axon",0.857903225806452,0.4518,0.613
"GO:0070382","GO:0070382",12,"GO:0070382",2.8501628242567,281,"exocytic vesicle","exocytic vesicle",0.910967741935484,0.347,0
"GO:0043198","GO:0043198",8,"GO:0043204",2.64528797523955,71,"dendritic shaft","perikaryon",0.859612903225806,0.7185,0.563
"GO:0044304","GO:0044304",4,"GO:0150034",2.63089809861989,88,"main axon","distal axon",0.862064516129032,0.5194,0.744
"GO:0044295","GO:0044295",3,"GO:0030426",2.42087903947692,48,"axonal growth cone","growth cone",0.831129032258064,0.413666666666667,0.881
"GO:0098685","GO:0098685",13,"GO:0098685",2.1487617427221,144,"Schaffer collateral - CA1 synapse","Schaffer collateral - CA1 synapse",0.806,1,0
"GO:0099738","GO:0099738",14,"GO:0099738",1.96321185449383,47,"cell cortex region","cell cortex region",0.909,0.573,0
"GO:0030133","GO:0030133",12,"GO:0070382",1.87621478446519,366,"transport vesicle","exocytic vesicle",0.910935483870968,0.355,0.971
"GO:0019898","GO:0019898",15,"GO:0019898",1.76894366944745,227,"extrinsic component of membrane","extrinsic component of membrane",0.964096774193548,1,0
"GO:0044306","GO:0044306",4,"GO:0150034",1.76894366944745,224,"neuron projection terminus","distal axon",0.871129032258064,0.5344,0.613
"GO:0005938","GO:0005938",14,"GO:0099738",1.74870215290904,306,"cell cortex","cell cortex region",0.898290322580645,0.573,0.854
"GO:0008021","GO:0008021",12,"GO:0070382",1.31596449483743,259,"synaptic vesicle","exocytic vesicle",0.706,0.349333333333333,0.988
