"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0044304","GO:0044304",1,"GO:0044304",4.16847618371045,88,"main axon","main axon",0.85125,0.449333333333333,0
"GO:0043194","GO:0043194",1,"GO:0044304",3.87958913264918,29,"axon initial segment","main axon",0.8600625,0.474,0.908
"GO:0043209","GO:0043209",2,"GO:0043209",3.4012687200377,208,"myelin sheath","myelin sheath",0.9975625,1,0
"GO:0097060","GO:0097060",3,"GO:0097060",3.2413842103491,514,"synaptic membrane","synaptic membrane",0.7158125,0.392,0
"GO:0030426","GO:0030426",4,"GO:0030426",2.8885737828994,213,"growth cone","growth cone",0.79375,0.5025,0
"GO:0030427","GO:0030427",4,"GO:0030426",2.71454196037268,221,"site of polarized growth","growth cone",0.9355,0.5025,0.995
"GO:0032279","GO:0032279",5,"GO:0032279",2.71083879278591,407,"asymmetric synapse","asymmetric synapse",0.71525,0.37725,0
"GO:0031252","GO:0031252",6,"GO:0031252",2.66068982590405,415,"cell leading edge","cell leading edge",0.9973125,1,0
"GO:0098685","GO:0098685",7,"GO:0098685",2.65993720263135,144,"Schaffer collateral - CA1 synapse","Schaffer collateral - CA1 synapse",0.7880625,1,0
"GO:0099572","GO:0099572",5,"GO:0032279",2.30867382707059,436,"postsynaptic specialization","asymmetric synapse",0.7195,0.48925,0.527
"GO:0005874","GO:0005874",8,"GO:0005874",2.27798616713904,467,"microtubule","microtubule",0.985625,1,0
"GO:0098984","GO:0098984",5,"GO:0032279",2.0835424202236,448,"neuron to neuron synapse","asymmetric synapse",0.7138125,0.379,0.979
"GO:0014069","GO:0014069",5,"GO:0032279",2.00799369581736,384,"postsynaptic density","asymmetric synapse",0.665625,0.266,0.985
"GO:0150034","GO:0150034",1,"GO:0044304",1.97641077453233,397,"distal axon","main axon",0.8509375,0.528666666666667,0.744
"GO:0042734","GO:0042734",3,"GO:0097060",1.78029677164245,238,"presynaptic membrane","synaptic membrane",0.739,0.423666666666667,0.886
"GO:0045211","GO:0045211",3,"GO:0097060",1.4736482928459,352,"postsynaptic membrane","synaptic membrane",0.6926875,0.406333333333333,0.938
