"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0097060","GO:0097060",1,"GO:0097060",8.43393115397397,514,"synaptic membrane","synaptic membrane",0.696818181818182,0.392,0
"GO:0150034","GO:0150034",2,"GO:0150034",7.69954628384442,397,"distal axon","distal axon",0.805,0.447333333333333,0
"GO:0043197","GO:0043197",2,"GO:0150034",6.90567568359427,208,"dendritic spine","distal axon",0.591454545454545,0.428166666666667,0.609
"GO:0044309","GO:0044309",2,"GO:0150034",6.71980883584505,214,"neuron spine","distal axon",0.822818181818182,0.4525,0.613
"GO:0045211","GO:0045211",1,"GO:0097060",5.20778388390739,352,"postsynaptic membrane","synaptic membrane",0.672818181818182,0.406333333333333,0.938
"GO:0098984","GO:0098984",3,"GO:0098984",4.99205508709966,448,"neuron to neuron synapse","neuron to neuron synapse",0.729136363636364,0.379,0
"GO:0099572","GO:0099572",3,"GO:0098984",4.52372511434913,436,"postsynaptic specialization","neuron to neuron synapse",0.726272727272727,0.48925,0.535
"GO:0030426","GO:0030426",4,"GO:0030426",3.99508293273657,213,"growth cone","growth cone",0.768454545454546,0.5025,0
"GO:0014069","GO:0014069",3,"GO:0098984",3.8806451927408,384,"postsynaptic density","neuron to neuron synapse",0.687954545454545,0.266,0.97
"GO:0030427","GO:0030427",4,"GO:0030426",3.83259416035029,221,"site of polarized growth","growth cone",0.952636363636364,0.5025,0.995
"GO:0042734","GO:0042734",1,"GO:0097060",3.54688520443898,238,"presynaptic membrane","synaptic membrane",0.687227272727273,0.423666666666667,0.886
"GO:0032279","GO:0032279",3,"GO:0098984",3.52337605078958,407,"asymmetric synapse","neuron to neuron synapse",0.730954545454545,0.37725,0.979
"GO:0044306","GO:0044306",2,"GO:0150034",3.20981710233338,224,"neuron projection terminus","distal axon",0.822772727272727,0.4525,0.613
"GO:0048786","GO:0048786",5,"GO:0048786",2.90046461653506,121,"presynaptic active zone","presynaptic active zone",0.761454545454545,1,0
"GO:0043198","GO:0043198",2,"GO:0150034",2.58181293222623,71,"dendritic shaft","distal axon",0.848681818181818,0.536166666666667,0.546
"GO:0034703","GO:0034703",6,"GO:0034703",2.32157220452402,194,"cation channel complex","cation channel complex",0.839454545454545,0.2915,0
"GO:1902495","GO:1902495",6,"GO:0034703",2.23113257111099,396,"transmembrane transporter complex","cation channel complex",0.834636363636364,0.27625,0.937
"GO:0099523","GO:0099523",7,"GO:0099523",2.21623597742244,32,"presynaptic cytosol","presynaptic cytosol",0.742909090909091,0.5215,0
"GO:0043679","GO:0043679",2,"GO:0150034",2.07219038888526,202,"axon terminus","distal axon",0.570772727272727,0.401333333333333,0.935
"GO:0034702","GO:0034702",6,"GO:0034703",1.98536138581443,301,"monoatomic ion channel complex","cation channel complex",0.835318181818182,0.2755,0.964
"GO:1990351","GO:1990351",6,"GO:0034703",1.927325074908,421,"transporter complex","cation channel complex",0.868772727272727,0.27825,0.933
"GO:0099522","GO:0099522",7,"GO:0099523",1.34451328225938,49,"cytosolic region","presynaptic cytosol",0.954772727272727,0.5215,0.957
