"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0098984","GO:0098984",1,"GO:0098984",27.2033335071107,448,"neuron to neuron synapse","neuron to neuron synapse",0.788666666666667,0.30675,0
"GO:0032279","GO:0032279",1,"GO:0098984",25.6914684714878,407,"asymmetric synapse","neuron to neuron synapse",0.7899,0.3055,0.979
"GO:0099572","GO:0099572",2,"GO:0099572",23.8648018656321,436,"postsynaptic specialization","postsynaptic specialization",0.754483333333333,0.325,0
"GO:0014069","GO:0014069",1,"GO:0098984",23.663006928676,384,"postsynaptic density","neuron to neuron synapse",0.735166666666667,0.30925,0.97
"GO:0097060","GO:0097060",3,"GO:0097060",14.8960313409066,514,"synaptic membrane","synaptic membrane",0.738933333333333,0.392,0
"GO:0150034","GO:0150034",4,"GO:0150034",14.4809430799617,397,"distal axon","distal axon",0.91335,0.446,0
"GO:0022626","GO:0022626",5,"GO:0022626",14.3318554574968,142,"cytosolic ribosome","cytosolic ribosome",0.8308,0.248,0
"GO:0043209","GO:0043209",6,"GO:0043209",13.0429795196501,208,"myelin sheath","myelin sheath",0.997883333333333,1,0
"GO:0030426","GO:0030426",7,"GO:0030426",9.45087659079016,213,"growth cone","growth cone",0.899133333333333,0.374666666666667,0
"GO:0031252","GO:0031252",8,"GO:0031252",9.16175063978131,415,"cell leading edge","cell leading edge",0.98255,0.5495,0
"GO:0030427","GO:0030427",7,"GO:0030426",9.00531794660471,221,"site of polarized growth","growth cone",0.9667,0.375666666666667,0.995
"GO:0044309","GO:0044309",4,"GO:0150034",8.83621449026563,214,"neuron spine","distal axon",0.9252,0.4472,0.613
"GO:0043197","GO:0043197",4,"GO:0150034",8.542088158455,208,"dendritic spine","distal axon",0.730833333333333,0.4492,0.609
"GO:0048786","GO:0048786",9,"GO:0048786",8.31819906350032,121,"presynaptic active zone","presynaptic active zone",0.815816666666667,0.5295,0
"GO:0098685","GO:0098685",10,"GO:0098685",7.15009306339534,144,"Schaffer collateral - CA1 synapse","Schaffer collateral - CA1 synapse",0.836916666666667,1,0
"GO:0005840","GO:0005840",5,"GO:0022626",6.93040010253714,267,"ribosome","cytosolic ribosome",0.834766666666667,0.243571428571429,0.917
"GO:0044391","GO:0044391",5,"GO:0022626",6.87504505240131,215,"ribosomal subunit","cytosolic ribosome",0.809433333333333,0.220142857142857,0.875
"GO:0045211","GO:0045211",3,"GO:0097060",6.83588592937995,352,"postsynaptic membrane","synaptic membrane",0.726216666666667,0.406333333333333,0.938
"GO:0022625","GO:0022625",5,"GO:0022626",6.64642804854316,79,"cytosolic large ribosomal subunit","cytosolic ribosome",0.810966666666667,0.239428571428571,0.932
"GO:0099501","GO:0099501",11,"GO:0099501",6.43423210229646,147,"exocytic vesicle membrane","exocytic vesicle membrane",0.8386,0.223571428571429,0
"GO:0030672","GO:0030672",11,"GO:0099501",6.43423210229646,147,"synaptic vesicle membrane","exocytic vesicle membrane",0.695883333333333,0.221428571428571,0.998
"GO:0070382","GO:0070382",11,"GO:0099501",6.37648227786036,281,"exocytic vesicle","exocytic vesicle membrane",0.867416666666667,0.219571428571429,0.931
"GO:0044306","GO:0044306",4,"GO:0150034",6.32016305229458,224,"neuron projection terminus","distal axon",0.925166666666667,0.4474,0.613
"GO:0005938","GO:0005938",12,"GO:0005938",6.23883137148718,306,"cell cortex","cell cortex",0.890066666666667,0.573,0
"GO:0008021","GO:0008021",11,"GO:0099501",6.17883967705688,259,"synaptic vesicle","exocytic vesicle membrane",0.699283333333333,0.222142857142857,0.924
"GO:0022627","GO:0022627",5,"GO:0022626",6.02634612144244,45,"cytosolic small ribosomal subunit","cytosolic ribosome",0.816316666666667,0.254428571428571,0.897
"GO:0042734","GO:0042734",3,"GO:0097060",5.79552521595925,238,"presynaptic membrane","synaptic membrane",0.7405,0.423666666666667,0.886
"GO:0005874","GO:0005874",13,"GO:0005874",5.74193379469121,467,"microtubule","microtubule",0.873333333333333,0.4135,0
"GO:0060076","GO:0060076",14,"GO:0060076",5.30262185626331,99,"excitatory synapse","excitatory synapse",0.844933333333333,1,0
"GO:0097470","GO:0097470",15,"GO:0097470",4.94884631521863,29,"ribbon synapse","ribbon synapse",0.848033333333333,0.517,0
