"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0043209","GO:0043209",1,"GO:0043209",21.3855377021931,208,"myelin sheath","myelin sheath",0.997826086956522,1,0
"GO:0097060","GO:0097060",2,"GO:0097060",15.8142905804648,514,"synaptic membrane","synaptic membrane",0.677891304347826,0.392,0
"GO:0098984","GO:0098984",3,"GO:0098984",13.8204313194984,448,"neuron to neuron synapse","neuron to neuron synapse",0.751369565217391,0.30675,0
"GO:0150034","GO:0150034",4,"GO:0150034",13.518531061645,397,"distal axon","distal axon",0.878717391304348,0.447333333333333,0
"GO:0032279","GO:0032279",3,"GO:0098984",11.9753813457666,407,"asymmetric synapse","neuron to neuron synapse",0.753195652173913,0.3055,0.979
"GO:0045211","GO:0045211",2,"GO:0097060",11.4912099555797,352,"postsynaptic membrane","synaptic membrane",0.670369565217391,0.406333333333333,0.938
"GO:0099572","GO:0099572",5,"GO:0099572",10.4248309702648,436,"postsynaptic specialization","postsynaptic specialization",0.73995652173913,0.407,0
"GO:0014069","GO:0014069",3,"GO:0098984",9.61436186148301,384,"postsynaptic density","neuron to neuron synapse",0.71454347826087,0.30925,0.97
"GO:0043197","GO:0043197",4,"GO:0150034",9.36499704275423,208,"dendritic spine","distal axon",0.680869565217391,0.428166666666667,0.609
"GO:0099634","GO:0099634",5,"GO:0099572",9.17564535623501,154,"postsynaptic specialization membrane","postsynaptic specialization",0.677695652173913,0.374333333333333,0.9
"GO:0044309","GO:0044309",4,"GO:0150034",9.09908416790303,214,"neuron spine","distal axon",0.894521739130435,0.4525,0.613
"GO:0098839","GO:0098839",5,"GO:0099572",8.32712859536325,114,"postsynaptic density membrane","postsynaptic specialization",0.658847826086957,0.381333333333333,0.879
"GO:0030426","GO:0030426",6,"GO:0030426",8.18228856234535,213,"growth cone","growth cone",0.860521739130435,0.374666666666667,0
"GO:0030427","GO:0030427",6,"GO:0030426",7.90109242035564,221,"site of polarized growth","growth cone",0.957195652173913,0.375666666666667,0.995
"GO:0042734","GO:0042734",2,"GO:0097060",6.60031524609002,238,"presynaptic membrane","synaptic membrane",0.67854347826087,0.423666666666667,0.886
"GO:0044306","GO:0044306",4,"GO:0150034",6.57813530161803,224,"neuron projection terminus","distal axon",0.894478260869565,0.4525,0.613
"GO:0070382","GO:0070382",7,"GO:0070382",6.20318570765786,281,"exocytic vesicle","exocytic vesicle",0.8855,0.211666666666667,0
"GO:0008021","GO:0008021",7,"GO:0070382",6.06993702842581,259,"synaptic vesicle","exocytic vesicle",0.679847826086956,0.213833333333333,0.988
"GO:0097470","GO:0097470",8,"GO:0097470",5.01567952068357,29,"ribbon synapse","ribbon synapse",0.817304347826087,0.517,0
"GO:0098685","GO:0098685",9,"GO:0098685",4.98994074578636,144,"Schaffer collateral - CA1 synapse","Schaffer collateral - CA1 synapse",0.805021739130435,1,0
"GO:0030133","GO:0030133",7,"GO:0070382",4.73742589332167,366,"transport vesicle","exocytic vesicle",0.886195652173913,0.2205,0.971
"GO:1902495","GO:1902495",10,"GO:1902495",4.6919170481087,396,"transmembrane transporter complex","transmembrane transporter complex",0.83095652173913,0.292,0
