"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0098984","GO:0098984",1,"GO:0098984",40.2904704677745,448,"neuron to neuron synapse","neuron to neuron synapse",0.789779220779221,0.30675,0
"GO:0099572","GO:0099572",2,"GO:0099572",37.2626617689007,436,"postsynaptic specialization","postsynaptic specialization",0.77487012987013,0.325,0
"GO:0032279","GO:0032279",1,"GO:0098984",36.8829924290935,407,"asymmetric synapse","neuron to neuron synapse",0.791311688311688,0.3055,0.979
"GO:0097060","GO:0097060",3,"GO:0097060",36.4200520809499,514,"synaptic membrane","synaptic membrane",0.70674025974026,0.392,0
"GO:0014069","GO:0014069",1,"GO:0098984",34.7410665592808,384,"postsynaptic density","neuron to neuron synapse",0.760220779220779,0.30925,0.97
"GO:0045211","GO:0045211",3,"GO:0097060",22.5347825490884,352,"postsynaptic membrane","synaptic membrane",0.700883116883117,0.406333333333333,0.938
"GO:0042734","GO:0042734",3,"GO:0097060",21.4308743130821,238,"presynaptic membrane","synaptic membrane",0.709883116883117,0.423666666666667,0.886
"GO:0150034","GO:0150034",4,"GO:0150034",20.2354163170826,397,"distal axon","distal axon",0.867584415584416,0.528666666666667,0
"GO:0030426","GO:0030426",5,"GO:0030426",19.0145207954428,213,"growth cone","growth cone",0.859883116883117,0.374666666666667,0
"GO:0030427","GO:0030427",5,"GO:0030426",19.0066818757426,221,"site of polarized growth","growth cone",0.973584415584416,0.375666666666667,0.995
"GO:0044309","GO:0044309",6,"GO:0044309",17.5870558815204,214,"neuron spine","neuron spine",0.88361038961039,0.46225,0
"GO:0043197","GO:0043197",6,"GO:0044309",16.7171893012166,208,"dendritic spine","neuron spine",0.686987012987013,0.46375,0.992
"GO:0098982","GO:0098982",7,"GO:0098982",15.7611802956447,135,"GABA-ergic synapse","GABA-ergic synapse",0.833025974025974,1,0
"GO:0098685","GO:0098685",8,"GO:0098685",14.4411800114071,144,"Schaffer collateral - CA1 synapse","Schaffer collateral - CA1 synapse",0.831038961038961,1,0
"GO:0031252","GO:0031252",9,"GO:0031252",13.7417890026035,415,"cell leading edge","cell leading edge",0.963142857142857,0.335,0
"GO:0048786","GO:0048786",10,"GO:0048786",11.7193875248848,121,"presynaptic active zone","presynaptic active zone",0.806324675324675,0.5295,0
"GO:0099634","GO:0099634",2,"GO:0099572",11.0847413509673,154,"postsynaptic specialization membrane","postsynaptic specialization",0.706688311688312,0.33,0.9
"GO:0060076","GO:0060076",11,"GO:0060076",10.1461975318266,99,"excitatory synapse","excitatory synapse",0.832077922077922,0.536,0
"GO:0098839","GO:0098839",2,"GO:0099572",9.79524897043775,114,"postsynaptic density membrane","postsynaptic specialization",0.697194805194805,0.336,0.879
"GO:0034702","GO:0034702",12,"GO:0034702",9.43702153875761,301,"monoatomic ion channel complex","monoatomic ion channel complex",0.86038961038961,0.206,0
"GO:0005938","GO:0005938",13,"GO:0005938",9.25813284561222,306,"cell cortex","cell cortex",0.875818181818182,0.5465,0
"GO:1990351","GO:1990351",12,"GO:0034702",9.07547090583476,421,"transporter complex","monoatomic ion channel complex",0.910818181818182,0.220428571428571,0.965
"GO:1902495","GO:1902495",12,"GO:0034702",8.78783925666089,396,"transmembrane transporter complex","monoatomic ion channel complex",0.860428571428571,0.217285714285714,0.969
"GO:0005874","GO:0005874",14,"GO:0005874",7.924920967023,467,"microtubule","microtubule",0.948428571428571,0.607,0
"GO:0008021","GO:0008021",15,"GO:0008021",6.82887130968224,259,"synaptic vesicle","synaptic vesicle",0.730805194805195,0.213833333333333,0
"GO:0070382","GO:0070382",15,"GO:0008021",6.73599074736414,281,"exocytic vesicle","synaptic vesicle",0.90774025974026,0.211666666666667,0.988
"GO:0048787","GO:0048787",10,"GO:0048786",6.37188689219361,66,"presynaptic active zone membrane","presynaptic active zone",0.732038961038961,0.5295,0.941
"GO:0099738","GO:0099738",16,"GO:0099738",5.98832337683035,47,"cell cortex region","cell cortex region",0.862181818181818,0.3428,0
"GO:0044306","GO:0044306",6,"GO:0044309",5.86498903105354,224,"neuron projection terminus","neuron spine",0.883558441558442,0.4625,0.582
"GO:0120111","GO:0120111",16,"GO:0099738",5.76434384327966,50,"neuron projection cytoplasm","cell cortex region",0.843168831168831,0.3454,0.746
"GO:0030027","GO:0030027",9,"GO:0031252",5.65708912927643,181,"lamellipodium","cell leading edge",0.880818181818182,0.367,0.913
"GO:0034703","GO:0034703",12,"GO:0034702",5.22004168441845,194,"cation channel complex","monoatomic ion channel complex",0.861896103896104,0.201,0.964
"GO:0043204","GO:0043204",17,"GO:0043204",5.20841280732425,153,"perikaryon","perikaryon",0.96887012987013,0.635333333333333,0
"GO:0030133","GO:0030133",15,"GO:0008021",5.1370137196488,366,"transport vesicle","synaptic vesicle",0.907662337662338,0.2205,0.964
"GO:0044295","GO:0044295",5,"GO:0030426",5.0116433387167,48,"axonal growth cone","growth cone",0.874441558441558,0.413666666666667,0.881
"GO:0098831","GO:0098831",16,"GO:0099738",4.92242604844245,22,"presynaptic active zone cytoplasmic component","cell cortex region",0.72551948051948,0.3642,0.955
"GO:0044304","GO:0044304",4,"GO:0150034",4.72240045303059,88,"main axon","distal axon",0.880337662337662,0.449333333333333,0.744
"GO:0043198","GO:0043198",17,"GO:0043204",4.69385903634083,71,"dendritic shaft","perikaryon",0.886402597402597,0.618333333333333,0.563
"GO:0031256","GO:0031256",9,"GO:0031252",4.3820323582294,159,"leading edge membrane","cell leading edge",0.871506493506494,0.331,0.901
"GO:0019898","GO:0019898",18,"GO:0019898",4.29965135434088,227,"extrinsic component of membrane","extrinsic component of membrane",0.920220779220779,0.397,0
"GO:0099568","GO:0099568",16,"GO:0099738",4.15222610991765,271,"cytoplasmic region","cell cortex region",0.929558441558442,0.3318,0.862
"GO:0032589","GO:0032589",9,"GO:0031252",4.04629662704648,71,"neuron projection membrane","cell leading edge",0.761623376623377,0.3565,0.846
