"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0043209","GO:0043209",1,"GO:0043209",14.4279847690467,208,"myelin sheath","myelin sheath",0.997740740740741,1,0
"GO:0150034","GO:0150034",2,"GO:0150034",7.92969445391967,397,"distal axon","distal axon",0.871851851851852,0.54125,0
"GO:0005874","GO:0005874",3,"GO:0005874",6.39202099355208,467,"microtubule","microtubule",0.968740740740741,1,0
"GO:0030426","GO:0030426",4,"GO:0030426",5.54124709296218,213,"growth cone","growth cone",0.840296296296296,0.5025,0
"GO:0030427","GO:0030427",4,"GO:0030426",5.25077753717307,221,"site of polarized growth","growth cone",0.960962962962963,0.5025,0.995
"GO:0097060","GO:0097060",5,"GO:0097060",4.964722754277,514,"synaptic membrane","synaptic membrane",0.716666666666667,0.392,0
"GO:0098984","GO:0098984",6,"GO:0098984",4.49378336648819,448,"neuron to neuron synapse","neuron to neuron synapse",0.775888888888889,0.379,0
"GO:0099572","GO:0099572",6,"GO:0098984",3.42345636357242,436,"postsynaptic specialization","neuron to neuron synapse",0.757037037037037,0.48925,0.535
"GO:0099501","GO:0099501",7,"GO:0099501",3.15956098373695,147,"exocytic vesicle membrane","exocytic vesicle membrane",0.769703703703704,0.211166666666667,0
"GO:0030672","GO:0030672",7,"GO:0099501",3.15956098373695,147,"synaptic vesicle membrane","exocytic vesicle membrane",0.635444444444444,0.208666666666667,0.998
"GO:0014069","GO:0014069",6,"GO:0098984",3.13598702472921,384,"postsynaptic density","neuron to neuron synapse",0.726037037037037,0.266,0.97
"GO:0032279","GO:0032279",6,"GO:0098984",3.06891124299402,407,"asymmetric synapse","neuron to neuron synapse",0.777407407407407,0.37725,0.979
"GO:0008021","GO:0008021",7,"GO:0099501",3.03669174559718,259,"synaptic vesicle","exocytic vesicle membrane",0.646740740740741,0.213833333333333,0.924
"GO:1902495","GO:1902495",8,"GO:1902495",2.80569072716929,396,"transmembrane transporter complex","transmembrane transporter complex",0.897333333333333,0.5055,0
"GO:0030658","GO:0030658",7,"GO:0099501",2.76006678890799,190,"transport vesicle membrane","exocytic vesicle membrane",0.769888888888889,0.2185,0.974
"GO:1990351","GO:1990351",8,"GO:1902495",2.73775561473458,421,"transporter complex","transmembrane transporter complex",0.96337037037037,0.5055,0.989
"GO:0044306","GO:0044306",2,"GO:0150034",2.54405049835065,224,"neuron projection terminus","distal axon",0.893407407407407,0.5565,0.613
"GO:0070382","GO:0070382",7,"GO:0099501",2.46674606219594,281,"exocytic vesicle","exocytic vesicle membrane",0.812518518518519,0.211666666666667,0.931
"GO:0042734","GO:0042734",5,"GO:0097060",2.42676403547063,238,"presynaptic membrane","synaptic membrane",0.720296296296296,0.423666666666667,0.886
"GO:0031252","GO:0031252",9,"GO:0031252",2.1151744472943,415,"cell leading edge","cell leading edge",0.936296296296296,0.448666666666667,0
"GO:0030673","GO:0030673",9,"GO:0031252",1.99469310299848,20,"axolemma","cell leading edge",0.758518518518518,0.466666666666667,0.753
"GO:0044309","GO:0044309",2,"GO:0150034",1.96556272335876,214,"neuron spine","distal axon",0.878148148148148,0.45325,0.613
"GO:0060076","GO:0060076",10,"GO:0060076",1.70578712092275,99,"excitatory synapse","excitatory synapse",0.833444444444444,1,0
"GO:0043197","GO:0043197",2,"GO:0150034",1.60691778679854,208,"dendritic spine","distal axon",0.676407407407407,0.455,0.609
"GO:0045211","GO:0045211",5,"GO:0097060",1.59947701715572,352,"postsynaptic membrane","synaptic membrane",0.698740740740741,0.406333333333333,0.938
"GO:0031256","GO:0031256",9,"GO:0031252",1.49979279184228,159,"leading edge membrane","cell leading edge",0.865333333333333,0.417333333333333,0.901
"GO:0030133","GO:0030133",7,"GO:0099501",1.49788765212721,366,"transport vesicle","exocytic vesicle membrane",0.814,0.2205,0.906
