"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0032279","GO:0032279",1,"GO:0032279",32.2413055813522,407,"asymmetric synapse","asymmetric synapse",0.782951612903226,0.345333333333333,0
"GO:0098984","GO:0098984",1,"GO:0032279",32.1919290944061,448,"neuron to neuron synapse","asymmetric synapse",0.78158064516129,0.350333333333333,0.979
"GO:0014069","GO:0014069",1,"GO:0032279",29.7761854880964,384,"postsynaptic density","asymmetric synapse",0.739870967741936,0.348333333333333,0.985
"GO:0099572","GO:0099572",2,"GO:0099572",26.9443447452949,436,"postsynaptic specialization","postsynaptic specialization",0.752516129032258,0.325,0
"GO:0097060","GO:0097060",3,"GO:0097060",24.1560073157211,514,"synaptic membrane","synaptic membrane",0.715951612903226,0.358,0
"GO:0150034","GO:0150034",4,"GO:0150034",15.0016470898216,397,"distal axon","distal axon",0.900725806451613,0.446,0
"GO:0042734","GO:0042734",3,"GO:0097060",14.0733863008984,238,"presynaptic membrane","synaptic membrane",0.715564516129032,0.397,0.886
"GO:0030426","GO:0030426",5,"GO:0030426",12.085434216656,213,"growth cone","growth cone",0.887790322580645,0.374666666666667,0
"GO:0030427","GO:0030427",5,"GO:0030426",11.4460165109901,221,"site of polarized growth","growth cone",0.967741935483871,0.375666666666667,0.995
"GO:0045211","GO:0045211",3,"GO:0097060",10.4580411849181,352,"postsynaptic membrane","synaptic membrane",0.705048387096774,0.3765,0.938
"GO:0031252","GO:0031252",6,"GO:0031252",8.03293599153047,415,"cell leading edge","cell leading edge",0.953967741935484,0.322,0
"GO:0044309","GO:0044309",4,"GO:0150034",7.94301117597347,214,"neuron spine","distal axon",0.912935483870968,0.4472,0.613
"GO:0060076","GO:0060076",7,"GO:0060076",7.4908598967449,99,"excitatory synapse","excitatory synapse",0.823387096774194,0.536,0
"GO:0043197","GO:0043197",4,"GO:0150034",7.27088112732524,208,"dendritic spine","distal axon",0.706387096774194,0.4492,0.609
"GO:0048786","GO:0048786",8,"GO:0048786",6.70260328159221,121,"presynaptic active zone","presynaptic active zone",0.800806451612903,0.709,0
"GO:0005938","GO:0005938",9,"GO:0005938",6.5557153488466,306,"cell cortex","cell cortex",0.89541935483871,0.445,0
"GO:0005874","GO:0005874",10,"GO:0005874",6.06025879221646,467,"microtubule","microtubule",0.944709677419355,0.684,0
