"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0097060","GO:0097060",1,"GO:0097060",6.81805310461204,514,"synaptic membrane","synaptic membrane",0.666222222222222,0.392,0
"GO:0042734","GO:0042734",1,"GO:0097060",5.44270171972337,238,"presynaptic membrane","synaptic membrane",0.679148148148148,0.423666666666667,0.886
"GO:0150034","GO:0150034",2,"GO:0150034",4.53760528731775,397,"distal axon","distal axon",0.917851851851852,0.592666666666667,0
"GO:0045211","GO:0045211",1,"GO:0097060",4.25021005549356,352,"postsynaptic membrane","synaptic membrane",0.643777777777778,0.406333333333333,0.938
"GO:0048786","GO:0048786",3,"GO:0048786",3.21488941178362,121,"presynaptic active zone","presynaptic active zone",0.755222222222222,0.5295,0
"GO:0099572","GO:0099572",4,"GO:0099572",3.15830988524137,436,"postsynaptic specialization","postsynaptic specialization",0.678296296296296,0.407,0
"GO:0030426","GO:0030426",5,"GO:0030426",3.06716097524423,213,"growth cone","growth cone",0.883851851851852,0.5025,0
"GO:0014069","GO:0014069",6,"GO:0014069",3.0085599682872,384,"postsynaptic density","postsynaptic density",0.647296296296296,0.348333333333333,0
"GO:0030427","GO:0030427",5,"GO:0030426",2.94101189999191,221,"site of polarized growth","growth cone",0.960888888888889,0.5025,0.995
"GO:0048787","GO:0048787",3,"GO:0048786",2.78546625989086,66,"presynaptic active zone membrane","presynaptic active zone",0.700481481481481,0.5295,0.941
"GO:0032279","GO:0032279",6,"GO:0014069",2.7304069030688,407,"asymmetric synapse","postsynaptic density",0.711037037037037,0.345333333333333,0.985
"GO:0005874","GO:0005874",7,"GO:0005874",2.42833360395832,467,"microtubule","microtubule",0.89762962962963,0.4135,0
"GO:0098984","GO:0098984",6,"GO:0014069",2.29137703150825,448,"neuron to neuron synapse","postsynaptic density",0.709666666666667,0.350333333333333,0.97
"GO:0043083","GO:0043083",8,"GO:0043083",2.18855768428638,25,"synaptic cleft","synaptic cleft",0.998148148148148,1,0
"GO:0034702","GO:0034702",9,"GO:0034702",2.0516553137254,301,"monoatomic ion channel complex","monoatomic ion channel complex",0.878703703703704,0.355333333333333,0
"GO:0005911","GO:0005911",10,"GO:0005911",1.95643106045857,543,"cell-cell junction","cell-cell junction",0.773962962962963,1,0
"GO:0098982","GO:0098982",11,"GO:0098982",1.88369329159104,135,"GABA-ergic synapse","GABA-ergic synapse",0.780185185185185,1,0
"GO:1902495","GO:1902495",9,"GO:0034702",1.87078363300326,396,"transmembrane transporter complex","monoatomic ion channel complex",0.876592592592593,0.347333333333333,0.969
"GO:0030017","GO:0030017",7,"GO:0005874",1.82400596060337,202,"sarcomere","microtubule",0.885074074074074,0.32175,0.769
"GO:1990351","GO:1990351",9,"GO:0034702",1.62468152825719,421,"transporter complex","monoatomic ion channel complex",0.92762962962963,0.348666666666667,0.965
"GO:0099634","GO:0099634",4,"GO:0099572",1.51554585637581,154,"postsynaptic specialization membrane","postsynaptic specialization",0.638925925925926,0.374333333333333,0.9
"GO:0043197","GO:0043197",2,"GO:0150034",1.49489028785428,208,"dendritic spine","distal axon",0.650518518518518,0.466333333333333,0.609
"GO:0030016","GO:0030016",7,"GO:0005874",1.48023656756129,228,"myofibril","microtubule",0.883296296296296,0.31225,0.786
"GO:0044309","GO:0044309",2,"GO:0150034",1.40823350632134,214,"neuron spine","distal axon",0.917074074074074,0.465,0.613
"GO:0031252","GO:0031252",12,"GO:0031252",1.34059817874186,415,"cell leading edge","cell leading edge",0.99737037037037,1,0
"GO:0043292","GO:0043292",7,"GO:0005874",1.32450775329289,241,"contractile fiber","microtubule",0.883111111111111,0.3125,0.791
"GO:0098839","GO:0098839",4,"GO:0099572",1.32328399241642,114,"postsynaptic density membrane","postsynaptic specialization",0.615296296296296,0.381333333333333,0.879
