"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0099572","GO:0099572",1,"GO:0099572",14.6618195797676,436,"postsynaptic specialization","postsynaptic specialization",0.760121951219512,0.48925,0
"GO:0098984","GO:0098984",1,"GO:0099572",13.8608968262624,448,"neuron to neuron synapse","postsynaptic specialization",0.785780487804878,0.379,0.535
"GO:0032279","GO:0032279",1,"GO:0099572",13.6197189718535,407,"asymmetric synapse","postsynaptic specialization",0.787658536585366,0.37725,0.527
"GO:0014069","GO:0014069",1,"GO:0099572",12.4729552670029,384,"postsynaptic density","postsynaptic specialization",0.740585365853659,0.266,0.981
"GO:0043209","GO:0043209",2,"GO:0043209",11.9428114755981,208,"myelin sheath","myelin sheath",0.997878048780488,1,0
"GO:0150034","GO:0150034",3,"GO:0150034",8.96739661971704,397,"distal axon","distal axon",0.907487804878049,0.446,0
"GO:0008021","GO:0008021",4,"GO:0008021",7.60634395115879,259,"synaptic vesicle","synaptic vesicle",0.656853658536585,0.213833333333333,0
"GO:0048786","GO:0048786",5,"GO:0048786",7.58585066011287,121,"presynaptic active zone","presynaptic active zone",0.79109756097561,1,0
"GO:0070382","GO:0070382",4,"GO:0008021",7.13916463947856,281,"exocytic vesicle","synaptic vesicle",0.841585365853659,0.211666666666667,0.988
"GO:0099501","GO:0099501",4,"GO:0008021",6.41880897236719,147,"exocytic vesicle membrane","synaptic vesicle",0.824317073170732,0.211166666666667,0.924
"GO:0030672","GO:0030672",4,"GO:0008021",6.41880897236719,147,"synaptic vesicle membrane","synaptic vesicle",0.66409756097561,0.208666666666667,0.939
"GO:0030427","GO:0030427",6,"GO:0030427",6.21091055321481,221,"site of polarized growth","site of polarized growth",0.973634146341463,0.5025,0
"GO:0030426","GO:0030426",6,"GO:0030427",5.99688136904047,213,"growth cone","site of polarized growth",0.887414634146341,0.5025,0.995
"GO:0098685","GO:0098685",7,"GO:0098685",5.73654634184802,144,"Schaffer collateral - CA1 synapse","Schaffer collateral - CA1 synapse",0.823390243902439,1,0
"GO:0030133","GO:0030133",4,"GO:0008021",5.14995335167071,366,"transport vesicle","synaptic vesicle",0.841682926829268,0.2205,0.964
"GO:0098982","GO:0098982",8,"GO:0098982",5.06950436380605,135,"GABA-ergic synapse","GABA-ergic synapse",0.825487804878049,1,0
"GO:0030658","GO:0030658",4,"GO:0008021",5.03417342527143,190,"transport vesicle membrane","synaptic vesicle",0.82390243902439,0.2185,0.902
"GO:0097060","GO:0097060",9,"GO:0097060",4.97585489254615,514,"synaptic membrane","synaptic membrane",0.751170731707317,0.392,0
"GO:0005938","GO:0005938",10,"GO:0005938",4.83848511070708,306,"cell cortex","cell cortex",0.888170731707317,1,0
"GO:0043204","GO:0043204",11,"GO:0043204",3.87047019680243,153,"perikaryon","perikaryon",0.982951219512195,1,0
"GO:0043197","GO:0043197",3,"GO:0150034",3.54672322272483,208,"dendritic spine","distal axon",0.71390243902439,0.4492,0.609
"GO:0044309","GO:0044309",3,"GO:0150034",3.28753180217084,214,"neuron spine","distal axon",0.916585365853659,0.4472,0.613
"GO:0016607","GO:0016607",12,"GO:0016607",3.04604855588599,369,"nuclear speck","nuclear speck",0.952975609756098,1,0
