"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0045211","GO:0045211",1,"GO:0045211",4.00257772430914,352,"postsynaptic membrane","postsynaptic membrane",0.395454545454546,0.406333333333333,0
"GO:0098984","GO:0098984",2,"GO:0098984",3.93346756934147,448,"neuron to neuron synapse","neuron to neuron synapse",0.467909090909091,0.350333333333333,0
"GO:0097060","GO:0097060",1,"GO:0045211",3.77914168390743,514,"synaptic membrane","postsynaptic membrane",0.439545454545455,0.392,0.938
"GO:0099572","GO:0099572",3,"GO:0099572",3.46423446708017,436,"postsynaptic specialization","postsynaptic specialization",0.445818181818182,0.407,0
"GO:0032279","GO:0032279",2,"GO:0098984",3.13844635978572,407,"asymmetric synapse","neuron to neuron synapse",0.469,0.345333333333333,0.979
"GO:0005912","GO:0005912",4,"GO:0005912",3.13225836727796,154,"adherens junction","adherens junction",0.659636363636364,1,0
"GO:0014069","GO:0014069",2,"GO:0098984",2.78558411291595,384,"postsynaptic density","neuron to neuron synapse",0.366909090909091,0.348333333333333,0.97
"GO:0098839","GO:0098839",3,"GO:0099572",2.24265866385185,114,"postsynaptic density membrane","postsynaptic specialization",0.329090909090909,0.381333333333333,0.879
"GO:0099634","GO:0099634",3,"GO:0099572",2.20084082846348,154,"postsynaptic specialization membrane","postsynaptic specialization",0.393090909090909,0.374333333333333,0.9
"GO:0150034","GO:0150034",5,"GO:0150034",1.48095518701958,397,"distal axon","distal axon",0.997454545454545,1,0
"GO:0042734","GO:0042734",1,"GO:0045211",1.47822958706532,238,"presynaptic membrane","postsynaptic membrane",0.486636363636364,0.423666666666667,0.843
