"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","31/495","324/17543",3.2175122330901e-09,2.28443368549397e-06,1.08854784731187e-06,"Hsp90aa1/Atp6v0c/Grik2/Fau/Hspa8/Prkar2b/Arih1/Ubb/Gpi1/Ckb/Sh3kbp1/Syt11/Hsp90ab1/Actg1/H13/Itch/Nlk/Tubb5/Faf1/Usp9x/Uchl1/Fhit/Dnm1l/Ctnnb1/Ywhaz/Tuba1b/Dnaja1/Bcl2/Ski/Ywhae/Pik3r1",31,5.64122144449908,0.0626262626262626,0.0184689049763438,3.39090285571767,19.1288339058877,"CGE","24hrvs1hr_PTZ"
"GO:0031625","GO:0031625","ubiquitin protein ligase binding","30/495","308/17543",3.82299613658512e-09,2.71432725697544e-06,1.08854784731187e-06,"Hsp90aa1/Atp6v0c/Grik2/Fau/Hspa8/Prkar2b/Arih1/Ubb/Gpi1/Ckb/Sh3kbp1/Syt11/Hsp90ab1/Actg1/H13/Nlk/Tubb5/Faf1/Usp9x/Uchl1/Fhit/Dnm1l/Ctnnb1/Ywhaz/Tuba1b/Dnaja1/Bcl2/Ski/Ywhae/Pik3r1",30,5.56633779214775,0.0606060606060606,0.017556860286154,3.45198740653286,19.214927959002,"CGE","24hrvs1hr_PTZ"
"GO:0044325","GO:0044325","transmembrane transporter binding","20/495","156/17543",1.68353435557252e-08,1.19530939245649e-05,3.19576170654293e-06,"Hsp90aa1/Prnp/Rims2/Snap25/Ppp1r9a/Calm1/Hsp90ab1/Homer1/Fhl1/Rasa1/Akap9/Kcnc1/Kcnab1/Grina/Cacna1c/Ctnnb1/Ywhaz/Camk2d/Cbarp/Ywhae",20,4.92251966789966,0.0404040404040404,0.00889243572935074,4.54364154364154,22.3661648624615,"CGE","24hrvs1hr_PTZ"
"GO:0019903","GO:0019903","protein phosphatase binding","18/495","170/17543",1.56021717441739e-06,0.00110775419383635,0.000222125655621003,"Hsp90aa1/Ppp1r9a/Ppp6r2/Cfl1/Akap11/Fbxl2/Tbk1/Cacna1c/Ctnnb1/Mapt/Kif3a/Bcl2/Strn/Ywhae/Pik3r1/Ctnnd1/Iqgap1/Anapc5",18,2.95555659710178,0.0363636363636364,0.00969047483326683,3.75251336898396,11.0907656434132,"CGE","24hrvs1hr_PTZ"
"GO:0008017","GO:0008017","microtubule binding","22/495","258/17543",4.32901583059815e-06,0.00307360123972468,0.000425962777742065,"Prnp/Macf1/Tiam1/Gapdh/Dnm2/Polb/Kif16b/Kif26b/Dclk2/Mast1/Kif5a/Clasp2/Map4k4/Tubgcp5/Dnm1l/Clasp1/Mapt/Dnm1/Sgip1/Kif3a/Map4/Togaram1",22,2.51235247731142,0.0444444444444444,0.0147067206293108,3.02204995693368,7.59245469586118,"CGE","24hrvs1hr_PTZ"
"GO:0015631","GO:0015631","tubulin binding","27/495","364/17543",5.174163803059e-06,0.00367365630017189,0.000425962777742065,"Ndn/Prnp/Macf1/Tiam1/Gnas/Syt11/Gapdh/Dnm2/Polb/Kif16b/Kif26b/Dclk2/Mast1/Kif5a/Clasp2/Map4k4/Tubgcp5/Dnm1l/Clasp1/Ino80/Mapt/Dip2b/Dnm1/Sgip1/Kif3a/Map4/Togaram1",27,2.43490147783999,0.0545454545454545,0.0207490167018184,2.62882117882118,6.40092057328874,"CGE","24hrvs1hr_PTZ"
"GO:0005516","GO:0005516","calmodulin binding","18/495","185/17543",5.23595651013813e-06,0.00371752912219807,0.000425962777742065,"Syt1/Kcnn2/Cacna1a/Esrrg/Fbxl2/Ddx5/Rasgrf2/Cacna1c/Camk2b/Camk2d/Strn/Pik3r1/Iqgap1/Camk2g/Add2/Marcks/Add1/Cask",18,2.42974562063778,0.0363636363636364,0.0105455167303198,3.44825552825553,8.37838376861889,"CGE","24hrvs1hr_PTZ"
"GO:0003729","GO:0003729","mRNA binding","24/495","311/17543",8.92673390264432e-06,0.00633798107087747,0.000635442505438234,"Hsp90aa1/Snrnp70/Ythdf3/Cpsf6/Fus/Celf4/Cpeb1/Rbmx/Rbm5/Sf3b1/Stau2/Rbfox3/Srrm3/Pcbp4/Ddx5/Pabpc4/Ireb2/Luc7l2/Eif3a/Cpeb2/Srrm2/Rc3h2/Nup98/Rps14",24,2.1980490622151,0.0484848484848485,0.0177278686655646,2.73495079411478,6.01155602820844,"CGE","24hrvs1hr_PTZ"
"GO:0019894","GO:0019894","kinesin binding","9/495","51/17543",1.11728566614365e-05,0.00793272822961994,0.000706960871793821,"Clstn3/Clstn2/Kcnc1/Stau2/Kif5a/Ap1g1/Kif3a/Magi2/Spag9",9,2.10057742412025,0.0181818181818182,0.00290714244998005,6.2541889483066,13.1374081109952,"CGE","24hrvs1hr_PTZ"
"GO:0019902","GO:0019902","phosphatase binding","19/495","217/17543",1.33234858032361e-05,0.00945967492029762,0.00075873745468955,"Hsp90aa1/Ppp1r9a/Ppp6r2/Cfl1/Akap11/Fbxl2/Tbk1/Cacna1c/Ctnnb1/Mapt/Kif3a/Bcl2/Magi2/Strn/Ywhae/Pik3r1/Ctnnd1/Iqgap1/Anapc5",19,2.02412378777862,0.0383838383838384,0.0123696061106994,3.10307685146395,6.28101167035336,"CGE","24hrvs1hr_PTZ"
"GO:0001664","GO:0001664","G protein-coupled receptor binding","20/495","239/17543",1.54884000010653e-05,0.0109967640007564,0.000801839655557545,"Gnai1/Prnp/Arhgef1/Psap/Hspa8/Calm1/Gnas/Homer1/Dnm2/Itch/Tafa5/Dvl1/Uchl1/Wnt5a/Usp4/Dnm1/Dnaja1/Aplp1/Magi2/Tub",20,1.95873509514846,0.0404040404040404,0.0136236675597104,2.96572418748151,5.80906804855069,"CGE","24hrvs1hr_PTZ"
"GO:0051020","GO:0051020","GTPase binding","24/495","324/17543",1.76357581641344e-05,0.0125213882965355,0.000836925014631292,"Hsp90aa1/Rasgrf1/Rims2/Xpo1/Ppp1r9a/Adcyap1r1/Exoc5/Rasa1/Kif16b/Ipo7/Fmnl2/Dvl1/Chm/Trip11/Ap1g1/Rabac1/Dnm1l/Dock3/Odf2/Kif3a/Depdc5/Iqgap1/Rab11fip2/Dmxl2",24,1.90234751648511,0.0484848484848485,0.0184689049763438,2.625215114104,4.99407145255494,"CGE","24hrvs1hr_PTZ"
"GO:0035254","GO:0035254","glutamate receptor binding","10/495","72/17543",3.26411418779775e-05,0.023175210733364,0.00142986702477618,"Rasgrf1/Prnp/Calm1/Fus/Gnas/Homer1/Gria2/Neto2/Cacng2/Ctnnb1",10,1.63497630810381,0.0202020202020202,0.00410420110585419,4.92227833894501,8.04780846606765,"CGE","24hrvs1hr_PTZ"
"GO:0005158","GO:0005158","insulin receptor binding","6/495","25/17543",5.49084311735527e-05,0.0389849861332224,0.00223349332818737,"Igf1/Irs1/Igf1r/Lmbrd1/Pik3r1/Grb10",6,1.4091026159198,0.0121212121212121,0.00142506982842159,8.50569696969697,11.9853998502211,"CGE","24hrvs1hr_PTZ"
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","9/495","63/17543",6.44075172859494e-05,0.0457293372730241,0.00244522574397885,"Tuba1a/Actg1/Tubb5/Tubb2a/Camk2b/Tuba1b/Odf2/Add2/Add1",9,1.33980509253478,0.0181818181818182,0.00359117596762241,5.06291486291486,6.78331911640338,"CGE","24hrvs1hr_PTZ"
