"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0031625","GO:0031625","ubiquitin protein ligase binding","18/200","308/17543",1.60024872890046e-08,7.85722125890127e-06,3.70907775264083e-06,"Ubb/Tubb5/Hsp90aa1/Mid1/Actg1/Hsp90ab1/Tuba1b/Ctnnb1/Uchl1/Ubc/Hspa8/Atp6v0c/Ywhaz/Ckb/Ywhae/Prkar1a/Gpi1/Grik2",18,5.10473101697514,0.09,0.017556860286154,5.1262012987013,26.1678787687387,"ExN_45","24hrvs1hr_SAL"
"GO:0044325","GO:0044325","transmembrane transporter binding","13/200","156/17543",2.77928586713709e-08,1.36462936076431e-05,3.70907775264083e-06,"Hsp90aa1/Hsp90ab1/Kcnh5/Ctnnb1/Ywhaz/Slc8a1/Calm3/Dpp10/Fyn/Kcnh1/Camk2d/Ywhae/Ywhaq",13,4.86498528886679,0.065,0.00889243572935074,7.30958333333333,35.5610153844125,"ExN_45","24hrvs1hr_SAL"
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","18/200","324/17543",3.48335880672141e-08,1.71032917410021e-05,3.70907775264083e-06,"Ubb/Tubb5/Hsp90aa1/Mid1/Actg1/Hsp90ab1/Tuba1b/Ctnnb1/Uchl1/Ubc/Hspa8/Atp6v0c/Ywhaz/Ckb/Ywhae/Prkar1a/Gpi1/Grik2",18,4.76692029619419,0.09,0.0184689049763438,4.87305555555556,23.2294674322596,"ExN_45","24hrvs1hr_SAL"
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","9/200","63/17543",3.77868510992899e-08,1.85533438897514e-05,3.70907775264083e-06,"Tuba1a/Tubb2b/Actb/Tubb5/Tubb2a/Actg1/Tuba1b/Tubb3/Tubb4b",9,4.73157780561818,0.045,0.00359117596762241,12.5307142857143,59.2900496028284,"ExN_45","24hrvs1hr_SAL"
"GO:0050998","GO:0050998","nitric-oxide synthase binding","5/200","21/17543",3.2134057043012e-06,0.00157778220081189,0.000252336911095652,"Actb/Ctnnb1/Calm3/Cdh2/Camk2d",5,2.80195294758658,0.025,0.00119705865587414,20.8845238095238,58.5174530470374,"ExN_45","24hrvs1hr_SAL"
"GO:0005516","GO:0005516","calmodulin binding","11/200","185/17543",9.18673718134918e-06,0.00451068795604245,0.000601167187481271,"Map2/Marcks/Arpp21/Kcnh5/Atp2b2/Eef1a1/Slc8a1/Ryr2/Gap43/Kcnh1/Camk2d",11,2.34575721583208,0.055,0.0105455167303198,5.21548648648649,12.2342650597504,"ExN_45","24hrvs1hr_SAL"
"GO:0045296","GO:0045296","cadherin binding","7/200","68/17543",1.21314044549808e-05,0.00595651958739555,0.000680453212286891,"Ctnna2/Ctnnb1/Cdh4/Cdh2/Cdh11/Cdh18/Ptprt",7,2.22500742574582,0.035,0.00387618993330673,9.02948529411765,20.0906718300745,"ExN_45","24hrvs1hr_SAL"
"GO:0035254","GO:0035254","glutamate receptor binding","7/200","72/17543",1.77391380461685e-05,0.00870991678066872,0.000870618222529058,"Grip1/Ctnnb1/Atp2b2/Calm3/Gnas/Fyn/Nsg1",7,2.05998599446065,0.035,0.00410420110585419,8.52784722222222,17.567245840678,"ExN_45","24hrvs1hr_SAL"
"GO:0050839","GO:0050839","cell adhesion molecule binding","13/200","280/17543",2.04806028438446e-05,0.0100559759963277,0.000893481270263631,"Tenm1/Kirrel3/Ctnna2/Ctnnb1/Ppia/Cdh4/Cdh2/L1cam/Cadm1/Itgb8/Cdh11/Cdh18/Ptprt",13,1.99757577198428,0.065,0.0159607820783218,4.07248214285714,8.13509166041004,"ExN_45","24hrvs1hr_SAL"
"GO:0097718","GO:0097718","disordered domain specific binding","5/200","31/17543",2.44569903491129e-05,0.0120083822614144,0.000960258673707274,"Hsp90aa1/Hsp90ab1/Ctnnb1/Gapdh/Fyn",5,1.92051549569978,0.025,0.00176708658724277,14.1475806451613,27.1706478556946,"ExN_45","24hrvs1hr_SAL"
"GO:0030165","GO:0030165","PDZ domain binding","8/200","116/17543",5.50461954043691e-05,0.0270276819435452,0.00196480678333298,"Kirrel3/Grip1/Atp2b2/L1cam/Cadm1/Dlg2/Shisa9/Grik2",8,1.56819120040919,0.04,0.00661232400387619,6.04931034482759,9.4864752513029,"ExN_45","24hrvs1hr_SAL"
