"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0003729","GO:0003729","mRNA binding","44/768","311/17543",5.68026500034596e-12,4.52717120527573e-09,2.12271621724766e-09,"Ddx5/Snrnp70/Hsp90aa1/Khdrbs3/Taco1/Rbfox3/Pabpc4/Srrm3/Rbm5/Hnrnpll/Cpsf6/Fus/Celf5/Pkm/Pum1/Srrm4/Rps3/Rbfox1/Rps3a1/Rps13/Ddx3x/Luc7l3/Ptbp2/Rps7/Srrm2/Rps14/Rc3h1/Eif4g3/Eef1a1/Hnrnpk/Rbmx/Hnrnpa3/Rbms1/Elavl3/Ybx3/Ncl/Rpl24/Cstf2/Ncbp1/Atxn2/Sf3b1/Pabpc1/Nova2/Rpl13a",44,8.34417308136059,0.0572916666666667,0.0177278686655646,3.23172896570204,26.9661058418642,"ExN","CA1_24hrvs1hr_PTZ"
"GO:0003735","GO:0003735","structural constituent of ribosome","30/768","156/17543",6.23363340459127e-12,4.96820582345924e-09,2.12271621724766e-09,"Ubb/Rpl9/Rpl13/Rpl19/Rplp1/Rpl28/Rps19/Rps23/Rps10/Rpl17/Rps3/Rps3a1/Rps13/Fau/Rpl18a/Rpl7a/Rps7/Rps14/Rpl4/Rpl8/Rpl11/Rpl18/Rpl24/Rps15/Rpl35a/Rpl27a/Rps24/Rpsa/Rpl36/Rpl13a",30,8.30380042045205,0.0390625,0.00889243572935074,4.39277844551282,36.4767555028021,"ExN","CA1_24hrvs1hr_PTZ"
"GO:0098918","GO:0098918","structural constituent of synapse","14/768","34/17543",5.20355676216947e-11,4.14723473944907e-08,1.18129867548198e-08,"Magi2/Rimbp2/Rims2/Shank2/Shank1/Actg1/Homer1/Ppfia2/Dlgap1/Actb/Nefl/Dlg4/Actn1/Shank3",14,7.38224138224818,0.0182291666666667,0.00193809496665337,9.40571384803922,69.4352499985799,"ExN","CA1_24hrvs1hr_PTZ"
"GO:0035254","GO:0035254","glutamate receptor binding","18/768","72/17543",1.28183485234163e-09,1.02162237731628e-06,2.12697088205205e-07,"Rasgrf1/Shank2/Shank1/Cacng8/Homer1/Fus/Calm3/Prnp/Nsg1/Exoc4/Calm1/Calm2/Dlg4/Syndig1/Eml2/Flot1/Shank3/Camk2a",18,5.99070960298177,0.0234375,0.00410420110585419,5.71061197916667,34.2106180224965,"ExN","CA1_24hrvs1hr_PTZ"
"GO:0099186","GO:0099186","structural constituent of postsynapse","11/768","24/17543",1.56153194586511e-09,1.24454096085449e-06,2.12697088205205e-07,"Magi2/Shank2/Shank1/Actg1/Homer1/Dlgap1/Actb/Nefl/Dlg4/Actn1/Shank3",11,5.90499080513788,0.0143229166666667,0.00136806703528473,10.4694552951389,61.8220372525973,"ExN","CA1_24hrvs1hr_PTZ"
"GO:0030695","GO:0030695","GTPase regulator activity","44/768","416/17543",5.98672646860431e-08,4.77142099547764e-05,5.82467973712329e-06,"Stxbp5l/Rapgefl1/Dock4/Srgap1/Rasgrf1/Hps4/Arap2/Agap1/Rasal1/Rgs11/Arhgef1/Acap2/Rap1gap2/Ranbp2/Srgap3/Agap3/Cyth3/Vps9d1/Arhgef12/Sbf1/Arhgef2/Arhgap20/Iqsec2/Plcb1/Rasgef1b/Sgsm1/Farp1/Rapgef4/Dennd6a/Dennd5a/Rasa1/Syngap1/Sh3bp5/Tbc1d5/Sergef/Rasgef1a/Arhgef11/Ranbp3/Rap1a/Mcf2l/Itsn2/Ranbp10/Sgsm2/Tbck",44,4.32135226276479,0.0572916666666667,0.0237131619449353,2.41602814503205,10.4405086914377,"ExN","CA1_24hrvs1hr_PTZ"
"GO:0060589","GO:0060589","nucleoside-triphosphatase regulator activity","44/768","416/17543",5.98672646860431e-08,4.77142099547764e-05,5.82467973712329e-06,"Stxbp5l/Rapgefl1/Dock4/Srgap1/Rasgrf1/Hps4/Arap2/Agap1/Rasal1/Rgs11/Arhgef1/Acap2/Rap1gap2/Ranbp2/Srgap3/Agap3/Cyth3/Vps9d1/Arhgef12/Sbf1/Arhgef2/Arhgap20/Iqsec2/Plcb1/Rasgef1b/Sgsm1/Farp1/Rapgef4/Dennd6a/Dennd5a/Rasa1/Syngap1/Sh3bp5/Tbc1d5/Sergef/Rasgef1a/Arhgef11/Ranbp3/Rap1a/Mcf2l/Itsn2/Ranbp10/Sgsm2/Tbck",44,4.32135226276479,0.0572916666666667,0.0237131619449353,2.41602814503205,10.4405086914377,"ExN","CA1_24hrvs1hr_PTZ"
"GO:0005516","GO:0005516","calmodulin binding","26/768","185/17543",1.45461657180769e-07,0.000115932940773073,1.23833805520997e-05,"Ddx5/Arpp21/Syt1/Camk4/Cacna1a/Cacna1c/Kcnq3/Ryr1/Unc13b/Atp2b1/Camk1d/Kcnn2/Slc8a1/Sptan1/Plcb1/Eef1a1/Ppp3cc/Ndufaf4/Add3/Unc13a/Slc8a3/Vamp2/Fbxl2/Kcnn3/Map6/Camk2a",26,3.93579314761401,0.0338541666666667,0.0105455167303198,3.21028997747748,12.6350372952098,"ExN","CA1_24hrvs1hr_PTZ"
"GO:0003779","GO:0003779","actin binding","42/768","414/17543",3.7579176282261e-07,0.00029950603496962,2.84371076662256e-05,"Dmd/Wipf3/Tmsb4x/Mical3/Myo16/Cfl1/Mtss1/Phactr3/Fhod3/Syne1/Snca/Diaph2/Hpca/Myo18a/Ablim1/Capza2/Vcl/Trpc5/Map1b/Hip1/Sptan1/Ywhah/Arpc1a/Enc1/Eps8/Arpc5/Cacnb2/Mical2/Macf1/Fmnl2/Dyrk1a/Nebl/Add3/Actr3/Flna/Bin1/Ablim2/Capzb/Shtn1/Actn1/Shank3/Epb41l1",42,3.52359442226432,0.0546875,0.0235991563586616,2.31734978864734,8.16540078971319,"ExN","CA1_24hrvs1hr_PTZ"
"GO:0044325","GO:0044325","transmembrane transporter binding","22/768","156/17543",1.23472557449846e-06,0.000984076282875275,8.40913101790006e-05,"Hsp90aa1/Rims2/Fhl1/Cacna1c/Pacs1/Kcnq3/Homer1/Atp2a2/Grina/Calm3/Prnp/Hsp90ab1/Slc8a1/Ywhah/Calm1/Rasa1/Calm2/Ywhaz/Vamp2/Flna/Snap25/Actn1",22,3.00697123495512,0.0286458333333333,0.00889243572935074,3.22137086004273,9.68656951327115,"ExN","CA1_24hrvs1hr_PTZ"
