"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0003735","GO:0003735","structural constituent of ribosome","57/1438","156/17543",2.79439458977786e-23,2.63511409816052e-20,2.16197897209129e-20,"Rps10/Rpl19/Rpl13/Rpl24/Ubb/Rplp1/Rps25/Rps14/Rps19/Rpl27/Rpsa/Fau/Rpl23/Rpl8/Rpl13a/Rpl18a/Rps23/Rps3/Rps17/Rpl7/Rpl17/Rps15/Rpl12/Rpl21/Rps5/Rpl4/Rps7/Rpl32/Rpl9/Rps27a/Rps16/Rps13/Rpl22l1/Rpl5/Rpl15/Rpl27a/Rpl28/Rpl7a/Rps9/Rps3a1/Rps6/Rpl11/Rpl30/Rpl23a/Rps4x/Rpl14/Rplp2/Rps12/Rpl35a/Rps15a/Rpl36/Rpl10a/Rpl3/Rpl34/Rpl6/Rps29/Rps8",57,19.579200575469,0.0396383866481224,0.00889243572935074,4.45753985235905,87.2750668424843,"ExcitatoryNeuronsCA3","24hrvs1hr_PTZ"
"GO:0003729","GO:0003729","mRNA binding","77/1438","311/17543",4.58436414878585e-19,4.32305539230506e-16,1.77342507860926e-16,"Taco1/Ddx5/Hsp90aa1/Snrnp70/Ptbp2/Khdrbs3/Rpl24/Pabpc4/Rps14/Srrm4/Srrm2/Srrm3/Fus/Rpl13a/Celf5/Ddx3x/Rbm5/Rps3/Rc3h1/Rpl7/Rps5/Pkm/Rps7/Pabpc1/Ncl/Rbms3/Luc7l3/Ncbp1/Eef1a1/Pcbp2/Rps13/Hnrnpk/Rpl5/Eif4g3/Xpo5/G3bp2/Eif3a/Eif4enif1/Rps3a1/Hdlbp/Pcbp3/Msi2/Rps6/Rbmx/Ago2/Rpl30/Nova2/Supt5/Ybx3/Calr/Cstf2/Angel2/Nup98/Dcp1b/Celf3/Eif4g2/Larp1/Syncrip/Cpsf6/Stau1/Pum1/Mbd2/Sf3b1/Cnbp/Auh/Eif2s2/Larp4b/Tial1/Rpl6/Serbp1/Luc7l2/Mecp2/Larp4/Fmr1/Hnrnpa3/Srsf6/Hnrnpll",77,15.3642091997154,0.0535465924895688,0.0177278686655646,3.02047547281192,46.4072170468916,"ExcitatoryNeuronsCA3","24hrvs1hr_PTZ"
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","64/1438","324/17543",2.7855466435955e-11,2.62677048491055e-08,7.1837781861147e-09,"Atp6v0c/Hsp90aa1/Actg1/Ckb/Nlk/Hsp90ab1/Gpi1/Ubb/Hspa8/Fhit/Uchl1/Ubc/Prkar2b/Tuba1b/Fau/Rpl23/Ywhaz/Elob/Slf2/Wbp1l/Stat2/Tubb5/Tpi1/Ube2d3/Map1lc3a/Cul4a/Rps27a/Psmd1/Itch/Pcbp2/Faf1/Prkar1a/Rpl5/Ctnnb1/Hspa5/Ube2b/Grik2/Foxo1/Uqcrc1/Dnaja1/Rpl11/Spop/Mid1/Sorbs1/Ube2d1/Calr/Ptprn/Slc25a5/Mfhas1/Ski/Stam/Ankra2/Vcl/Crk/Parp1/Cacul1/Cul9/Ube2l3/Hif1a/Ywhae/Stx8/Spopl/Shprh/Cul3",64,7.58057787220495,0.0445062586926286,0.0184689049763438,2.4097941242123,18.2676320145732,"ExcitatoryNeuronsCA3","24hrvs1hr_PTZ"
"GO:0031625","GO:0031625","ubiquitin protein ligase binding","60/1438","308/17543",2.08128890982211e-10,1.96265544196225e-07,4.02565091768224e-08,"Atp6v0c/Hsp90aa1/Actg1/Ckb/Nlk/Hsp90ab1/Gpi1/Ubb/Hspa8/Fhit/Uchl1/Ubc/Prkar2b/Tuba1b/Fau/Rpl23/Ywhaz/Elob/Slf2/Wbp1l/Tubb5/Tpi1/Ube2d3/Map1lc3a/Cul4a/Rps27a/Psmd1/Pcbp2/Faf1/Prkar1a/Rpl5/Ctnnb1/Hspa5/Ube2b/Grik2/Foxo1/Uqcrc1/Dnaja1/Rpl11/Spop/Mid1/Sorbs1/Ube2d1/Calr/Slc25a5/Mfhas1/Ski/Ankra2/Vcl/Crk/Parp1/Cacul1/Cul9/Ube2l3/Hif1a/Ywhae/Stx8/Spopl/Shprh/Cul3",60,6.70715593717476,0.0417246175243394,0.017556860286154,2.37654209490093,15.9398384217605,"ExcitatoryNeuronsCA3","24hrvs1hr_PTZ"
"GO:0035254","GO:0035254","glutamate receptor binding","24/1438","72/17543",1.18507509248921e-09,1.11752581221732e-06,1.83374777469383e-07,"Calm3/Gria2/Calm1/Fus/Homer1/Prnp/Nsg1/Exoc4/Calm2/Shank1/Nedd4/Ctnnb1/Homer3/Cdk5r1/Cacng8/Canx/Eml2/Neto2/Flot1/Flot2/Arpc2/Necab2/Dlg4/Plcg1",24,5.95174243689931,0.0166898470097357,0.00410420110585419,4.06652758460825,24.2029247961346,"ExcitatoryNeuronsCA3","24hrvs1hr_PTZ"
"GO:0019843","GO:0019843","rRNA binding","22/1438","72/17543",3.5285668935613e-08,3.32743858062831e-05,3.7031796322005e-06,"Taco1/Rpl19/Rpl23/Rpl8/Rps3/Rpl7/Rpl17/Rpl12/Rps5/Rpl4/Rpl9/Ncl/Kdm2b/Rps13/Rpl5/Rps9/Rpl11/Rpl23a/Rps4x/Rpl3/Rpl6/Eef2",22,4.47788995218398,0.0152990264255911,0.00410420110585419,3.7276502858909,16.6920077604466,"ExcitatoryNeuronsCA3","24hrvs1hr_PTZ"
"GO:0019001","GO:0019001","guanyl nucleotide binding","58/1438","335/17543",3.82913812309167e-08,3.61087725007545e-05,3.7031796322005e-06,"Hsp90aa1/Tuba1a/Tubb2b/Rab3a/Tubb2a/Hsp90ab1/Tuba1b/Gnai1/Dnm2/Urgcp/Eif2s3y/Nme1/Ran/Tubb5/Gnao1/Nme2/Mfn1/Eef1a1/Tubb4b/Arl5b/Rab14/Eef1a2/Agap3/Dnm1/Rab6a/Dync1li1/Tubb3/Agap1/Rngtt/Dapk1/Gnal/Tuba4a/Mfhas1/Rap1a/Anxa6/Eif5/Rab28/Arl3/Arf4/Drg1/Pde10a/Bms1/Arf1/Arf5/Arf3/Rab11a/Rac1/Suclg1/Rab3c/Trim23/Rab21/Cdc42/Gtpbp2/Efl1/Rabl6/Rab7/Rab1a/Eef2",58,4.44238727494094,0.0403337969401947,0.0190959357008493,2.11216656633384,9.38306187683714,"ExcitatoryNeuronsCA3","24hrvs1hr_PTZ"
"GO:0032561","GO:0032561","guanyl ribonucleotide binding","58/1438","335/17543",3.82913812309167e-08,3.61087725007545e-05,3.7031796322005e-06,"Hsp90aa1/Tuba1a/Tubb2b/Rab3a/Tubb2a/Hsp90ab1/Tuba1b/Gnai1/Dnm2/Urgcp/Eif2s3y/Nme1/Ran/Tubb5/Gnao1/Nme2/Mfn1/Eef1a1/Tubb4b/Arl5b/Rab14/Eef1a2/Agap3/Dnm1/Rab6a/Dync1li1/Tubb3/Agap1/Rngtt/Dapk1/Gnal/Tuba4a/Mfhas1/Rap1a/Anxa6/Eif5/Rab28/Arl3/Arf4/Drg1/Pde10a/Bms1/Arf1/Arf5/Arf3/Rab11a/Rac1/Suclg1/Rab3c/Trim23/Rab21/Cdc42/Gtpbp2/Efl1/Rabl6/Rab7/Rab1a/Eef2",58,4.44238727494094,0.0403337969401947,0.0190959357008493,2.11216656633384,9.38306187683714,"ExcitatoryNeuronsCA3","24hrvs1hr_PTZ"
"GO:0015631","GO:0015631","tubulin binding","61/1438","364/17543",5.83459587941909e-08,5.5020239142922e-05,5.01570522967606e-06,"Gapdh/Mast1/Polb/Ndn/Stmn4/Dnm2/Nisch/Ddx3x/Reep1/Rps3/Trim46/Prnp/Nme1/Fmn1/Wipf3/Mtus2/Mapt/Nav3/Ckap5/Map1lc3a/Jakmip1/Stmn3/Stmn2/Ccdc66/Mapre3/Ttll5/Ttll7/Clasp1/Dnm1/Arhgef2/Brsk1/Map4/Kif5a/Eml1/Mid1/Eml2/Reep3/Whamm/Dctn1/Zfp207/Hsph1/Ttll4/Arl3/Drg1/Rab11a/Kif13b/Cep350/Unc5c/Ift81/Cep295/Dixdc1/Cdk5rap2/Fmn2/Agbl4/Stmn1/Fmr1/Tbca/Tiam1/Phf6/Ccdc88c/Map6",61,4.25947752630138,0.0424200278164117,0.0207490167018184,2.04443557138272,8.70822737027581,"ExcitatoryNeuronsCA3","24hrvs1hr_PTZ"
"GO:0044325","GO:0044325","transmembrane transporter binding","34/1438","156/17543",1.06472815558625e-07,0.000100403865071783,7.9854106503635e-06,"Hsp90aa1/Fhl1/Dynlt1a/Calm3/Hsp90ab1/Calm1/Rims2/Ywhah/Ywhaz/Homer1/Prnp/Rasa1/Atp2a2/Calm2/Ywhaq/Ctnnb1/Usp10/Grina/Ppp2ca/Actn2/Kcnd3/Pacs1/Epn1/Itpr1/Ap2m1/Kcnip2/Snap25/Scn1b/Trpc1/Diaph1/Ywhae/Rims1/Cbarp/Fmr1",34,3.998249568595,0.023643949930459,0.00889243572935074,2.6588834207054,10.6308794897797,"ExcitatoryNeuronsCA3","24hrvs1hr_PTZ"
