"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0022839","GO:0022839","monoatomic ion gated channel activity","10/100","284/17543",5.06520580141449e-06,0.00169177873767244,0.000595933854017053,"Kcnq5/Grm7/Gabra2/Kcnj6/Cacna2d1/Cacna2d3/Kcnd2/Gabrb1/Snap25/Ryr2",10,2.77165643756856,0.1,0.0161887932508693,6.17711267605634,17.1208341141779,"ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr"
"GO:0022836","GO:0022836","gated channel activity","10/100","286/17543",5.38882390648213e-06,0.00179986718476503,0.000595933854017053,"Kcnq5/Grm7/Gabra2/Kcnj6/Cacna2d1/Cacna2d3/Kcnd2/Gabrb1/Snap25/Ryr2",10,2.74475954103658,0.1,0.016302798837143,6.13391608391608,16.8361246952464,"ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr"
"GO:0022843","GO:0022843","voltage-gated monoatomic cation channel activity","7/100","127/17543",8.0845104673114e-06,0.00270022649608201,0.000595933854017053,"Kcnq5/Grm7/Kcnj6/Cacna2d1/Cacna2d3/Kcnd2/Snap25",7,2.56859980551769,0.07,0.00723935472838169,9.66937007874016,24.8367421037305,"ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr"
"GO:0005216","GO:0005216","monoatomic ion channel activity","11/100","372/17543",8.81147332787861e-06,0.00294303209151146,0.000595933854017053,"Kcnq5/Grm7/Gabra2/Trpm7/Kcnj6/Cacna2d1/Cacna2d3/Kcnd2/Gabrb1/Snap25/Ryr2",11,2.53120500222579,0.11,0.0212050390469133,5.18744623655914,13.1304898627558,"ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr"
"GO:0015267","GO:0015267","channel activity","11/100","407/17543",2.03678277608287e-05,0.00680285447211678,0.000918338900795258,"Kcnq5/Grm7/Gabra2/Trpm7/Kcnj6/Cacna2d1/Cacna2d3/Kcnd2/Gabrb1/Snap25/Ryr2",11,2.16730881944553,0.11,0.0232001368067035,4.74135135135135,10.2759725998737,"ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr"
"GO:0022803","GO:0022803","passive transmembrane transporter activity","11/100","407/17543",2.03678277608287e-05,0.00680285447211678,0.000918338900795258,"Kcnq5/Grm7/Gabra2/Trpm7/Kcnj6/Cacna2d1/Cacna2d3/Kcnd2/Gabrb1/Snap25/Ryr2",11,2.16730881944553,0.11,0.0232001368067035,4.74135135135135,10.2759725998737,"ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr"
"GO:0005261","GO:0005261","monoatomic cation channel activity","9/100","277/17543",2.90768009218704e-05,0.00971165150790472,0.000995283445198473,"Kcnq5/Grm7/Trpm7/Kcnj6/Cacna2d1/Cacna2d3/Kcnd2/Snap25/Ryr2",9,2.01270691017629,0.09,0.0157897736989112,5.6998916967509,11.472211405307,"ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr"
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","5/100","63/17543",2.94325065506163e-05,0.00983045718790585,0.000995283445198473,"Tubb2b/Camk2b/Odf2/Tuba1a/Actb",5,2.00742628383953,0.05,0.00359117596762241,13.9230158730159,27.9494280138071,"ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr"
"GO:0030165","GO:0030165","PDZ domain binding","6/100","116/17543",5.27638067210399e-05,0.0176231114448273,0.00158599980436342,"Grm7/Kirrel3/Shisa9/Cask/L1cam/Nsf",6,1.75391741238115,0.06,0.00661232400387619,9.07396551724138,15.9149861200358,"ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr"
"GO:1901681","GO:1901681","sulfur compound binding","8/100","239/17543",6.68363293445143e-05,0.0223233340010678,0.00160549046091816,"Lrrtm4/Nrp2/Nrp1/Agrn/Nav2/Ptprs/Slit3/Ryr2",8,1.65124094279289,0.08,0.0136236675597104,5.87213389121339,9.69630790273327,"ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr"
"GO:0005244","GO:0005244","voltage-gated monoatomic ion channel activity","7/100","177/17543",6.87329912296293e-05,0.0229568190706962,0.00160549046091816,"Kcnq5/Grm7/Kcnj6/Cacna2d1/Cacna2d3/Kcnd2/Snap25",7,1.63908828856274,0.07,0.0100894943852249,6.93790960451978,11.3718463798753,"ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr"
"GO:0022832","GO:0022832","voltage-gated channel activity","7/100","178/17543",7.12163083831403e-05,0.0237862469999689,0.00160549046091816,"Kcnq5/Grm7/Kcnj6/Cacna2d1/Cacna2d3/Kcnd2/Snap25",7,1.62367407565004,0.07,0.0101464971783617,6.89893258426966,11.201617986736,"ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr"
"GO:0005516","GO:0005516","calmodulin binding","7/100","185/17543",9.07323546481961e-05,0.0303046064524975,0.00182907429274169,"Camk1d/Camk2b/Grm7/Ryr2/Sptan1/Cask/Dapk1",7,1.51849135153579,0.07,0.0105455167303198,6.63789189189189,10.0795814302674,"ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr"
"GO:0046873","GO:0046873","metal ion transmembrane transporter activity","10/100","400/17543",9.46563739045309e-05,0.0316152288841133,0.00182907429274169,"Kcnq5/Grm7/Trpm7/Kcnj6/Cacna2d1/Cacna2d3/Kcnd2/Snap25/Ryr2/Slc38a2",10,1.50010366968668,0.1,0.0228011172547455,4.38575,6.57907966932834,"ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr"
