"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0031267","GO:0031267","small GTPase binding","52/1091","287/17543",2.42424586842574e-12,2.14303334768836e-09,8.76947177371431e-10,"Diaph2/Myo5b/Acap2/Eps8/Dock10/Iqgap2/Mycbp2/Rims2/Rasgrf1/Myo5a/Akap13/Wasf1/Sorl1/Rock2/Sgsm1/Dvl1/Rims1/Dock9/Arhgef2/Daam1/Srgap2/Odf2/Dock4/Dock7/Gapvd1/Abi2/Erc1/Raf1/Sgsm2/Dock11/Rabgap1l/Ranbp2/Rph3a/Cdkl5/Rabgap1/Xpo7/Dock3/Map2k1/Cdc42se2/Rock1/Rab3gap1/Dennd1a/Gdi1/Cyfip2/Tnpo3/Usp33/Pkn2/Cyfip1/Xpo1/Nckap1/Hace1/Exoc2",52,8.66897107086001,0.0476626947754354,0.0163598016302799,2.91340297716189,25.2562061267739,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0051020","GO:0051020","GTPase binding","56/1091","324/17543",2.53607250685802e-12,2.24188809606249e-09,8.76947177371431e-10,"Diaph2/Myo5b/Acap2/Eps8/Dock10/Grip1/Iqgap2/Mycbp2/Rasa1/Rims2/Rasgrf1/Myo5a/Akap13/Wasf1/Sorl1/Rock2/Sgsm1/Dvl1/Hsp90aa1/Rims1/Dock9/Arhgef2/Daam1/Srgap2/Sptbn1/Odf2/Dock4/Dock7/Gapvd1/Abi2/Erc1/Raf1/Sgsm2/Dock11/Rabgap1l/Ranbp2/Rph3a/Cdkl5/Rabgap1/Xpo7/Dock3/Map2k1/Cdc42se2/Rock1/Rab3gap1/Dennd1a/Gdi1/Cyfip2/Tnpo3/Usp33/Pkn2/Cyfip1/Xpo1/Nckap1/Hace1/Exoc2",56,8.64938606902716,0.0513290559120073,0.0184689049763438,2.77921490081588,24.0385026459496,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0030695","GO:0030695","GTPase regulator activity","62/1091","416/17543",1.1535338158145e-10,1.01972389318002e-07,1.99439925523717e-08,"Acap2/Rapgef5/Dock10/Iqgap2/Rgs6/Mycbp2/Rasa1/Rapgefl1/Rasgrf1/Akap13/Rapgef2/Arhgap39/Sbf1/Sgsm1/Garnl3/Gnaq/Plcb1/Arhgap20/Kalrn/Itsn1/Plekhg5/Sergef/Agap1/Dock9/Arhgef2/Rap1gap2/Srgap2/Ccdc88a/Eif5/Fgd4/Arhgef12/Ralgapa1/Ralgps1/Dock4/Vav3/Dock7/Srgap3/Gapvd1/Ralgps2/Sgsm2/Dock11/Tbc1d5/Rabgap1l/Nrp1/Ranbp2/Sos1/Rabgap1/Madd/Arhgap26/Dock3/Rab3gap1/Mcf2l/Sh3bp5/Rasgrf2/Dennd1a/Gdi1/Stxbp5l/Arhgef25/Arhgap5/Gripap1/Iqsec1/Cyth1",62,6.9915174046115,0.0568285976168653,0.0237131619449353,2.39650021152084,16.7551729390031,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0060589","GO:0060589","nucleoside-triphosphatase regulator activity","62/1091","416/17543",1.1535338158145e-10,1.01972389318002e-07,1.99439925523717e-08,"Acap2/Rapgef5/Dock10/Iqgap2/Rgs6/Mycbp2/Rasa1/Rapgefl1/Rasgrf1/Akap13/Rapgef2/Arhgap39/Sbf1/Sgsm1/Garnl3/Gnaq/Plcb1/Arhgap20/Kalrn/Itsn1/Plekhg5/Sergef/Agap1/Dock9/Arhgef2/Rap1gap2/Srgap2/Ccdc88a/Eif5/Fgd4/Arhgef12/Ralgapa1/Ralgps1/Dock4/Vav3/Dock7/Srgap3/Gapvd1/Ralgps2/Sgsm2/Dock11/Tbc1d5/Rabgap1l/Nrp1/Ranbp2/Sos1/Rabgap1/Madd/Arhgap26/Dock3/Rab3gap1/Mcf2l/Sh3bp5/Rasgrf2/Dennd1a/Gdi1/Stxbp5l/Arhgef25/Arhgap5/Gripap1/Iqsec1/Cyth1",62,6.9915174046115,0.0568285976168653,0.0237131619449353,2.39650021152084,16.7551729390031,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0035254","GO:0035254","glutamate receptor binding","22/1091","72/17543",2.11265100159807e-10,1.86758348541269e-07,2.92212991168406e-08,"Myo5b/Grin2a/Grip1/Rasgrf1/Prnp/Shank2/Gsk3b/Grin2b/Dnm3/Exoc4/Dlg1/Atp2b2/Shank1/Canx/Nedd4/Fyn/Calm1/Calm2/Arpc2/Neto1/Fus/Gripap1",22,6.72871997508491,0.0201649862511457,0.00410420110585419,4.91325491394236,33.059916482128,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0044325","GO:0044325","transmembrane transporter binding","33/1091","156/17543",4.1403059687012e-10,3.66003047633186e-07,4.77224740602928e-08,"Cacna1c/Slc8a1/Rasa1/Rims2/Pde4d/Tspan18/Ank3/Prnp/Fgf13/Fgf12/Pde4b/Kcnb2/Pacs1/Hsp90aa1/Grina/Ywhah/Rims1/Dlg1/Scn3b/Atp2a2/Kcnip2/Agrn/Kcnq3/Fyn/Nptn/Calm1/Nedd4l/Sh3gl2/Calm2/Ywhaz/Pkd1/Hap1/Kcnd3",33,6.43651529830842,0.0302474793767186,0.00889243572935074,3.40148417119086,21.8937049048239,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0003729","GO:0003729","mRNA binding","50/1091","311/17543",5.36194707824615e-10,4.7399612171696e-07,5.29744245174094e-08,"Rbfox1/Ddx5/Cpeb1/Rbfox3/Srrm4/Myef2/Pabpc4/Srsf1/Hsp90aa1/Khdrbs2/Snrnp70/Celf4/Elavl3/Luc7l3/Hnrnpa2b1/Rps14/Hnrnpu/Srrm2/Pum1/Eif4g3/Pkm/Ddx17/Celf5/Rbm5/Hnrnpm/Pabpc1/Rpl6/Rc3h2/Cpsf6/Atxn2/Hnrnpc/Ythdf3/Luc7l2/Pcbp2/Eif3a/Celf3/Fus/G3bp2/Dhx9/Hnrnpa3/Hnrnpr/Pcf11/Fxr1/Serbp1/Taf15/Celf1/Rc3h1/Nova1/Eif4g1/Eif4g2",50,6.32422521175168,0.0458295142071494,0.0177278686655646,2.58516774191647,16.3491830100353,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0022890","GO:0022890","inorganic cation transmembrane transporter activity","65/1091","472/17543",1.18117689131441e-09,1.04416037192193e-06,1.0210963389389e-07,"Cacna1c/Trpm3/Grin2a/Slc8a1/Cacna2d1/Kcnip4/Atp1b1/Grik2/Trpc4/Cacna1a/Kcnd2/Trpc6/Ptk2b/Atp6v0c/Grin2b/Cacna1d/Ryr3/Kcnb2/Atp6v1a/Slc24a2/Slc4a10/Stim2/Cacna1b/Grm7/Kcnh7/Kcnj3/Atp6v0b/Slc1a2/Gria3/Gpm6a/Mcu/Scn3b/Atp2a2/Atp1a3/Kcnip2/Atp1a1/Kcnn2/Slc4a4/Atp2b2/Kcnc3/Atp2b3/Slc8a2/Cacna1e/Kcnk10/Slc12a5/Slc9a7/Kcnq3/Atp6v0a1/Kcnq5/Slc6a1/Slc2a13/Tmem63b/Slc25a12/Cacna1h/Slc9a9/Atp2c1/Rimbp2/Kcnk1/Slc4a7/Pkd1/Slc39a11/Atp6v1b2/Kcnd3/Cacnb2/Trpm7",65,5.98123279319982,0.0595783684692942,0.0269053183605997,2.21437143656108,13.2446710526841,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0030165","GO:0030165","PDZ domain binding","27/1091","116/17543",1.75755956327834e-09,1.55368265393806e-06,1.35054576967704e-07,"Erc2/Cntnap2/Grip1/Grik2/Cadm1/Lin7a/Grid2/Apba1/L1cam/Dlg2/Rapgef2/Cacna1d/Grm7/Shisa9/Adgrb1/Exoc4/Dlg1/Nos1ap/Dock4/Cxadr/Atp2b2/Erc1/Atp2b3/Rps6kb1/Cask/Dtna/Baiap2",27,5.80863768290828,0.0247479376718607,0.00661232400387619,3.74269888428838,21.7399817750563,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
"GO:0015631","GO:0015631","tubulin binding","54/1091","364/17543",2.20139050086029e-09,1.94602920276049e-06,1.5224353253318e-07,"Wipf3/Kif26b/Mast1/Nav3/Macf1/Clasp2/Prnp/Kif5c/Dnm3/Snca/Eml6/Map4k4/Fgf13/Strbp/Pde4b/Nisch/Mapt/Kif1b/Kif5a/Mast2/Dnm1/Gapdh/Dcx/Stmn2/Eml5/Arhgef2/Trim46/Ccdc88a/Klc1/Apc/Dync1i1/Clasp1/Maco1/Ccser2/Map4/Mtus2/Kif2a/Camsap2/Agbl4/Jakmip3/Zfp207/Dip2b/Bcas3/Hook3/Fyn/Unc5c/Polb/Syt11/Dctn1/Map2/Clip1/Rmdn1/Ckap5/Opa1",54,5.71085064685154,0.0494958753437214,0.0207490167018184,2.38545643174424,13.6229854062628,"ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ"
