"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0098918","GO:0098918","structural constituent of synapse","13/528","34/17543",7.47618918725536e-12,5.3080943229513e-09,4.28897169163597e-09,"Actb/Ppfia2/Erc2/Dnm3/Ctnnd2/Shank2/Magi2/Actg1/Erc1/Dlg2/Shank1/Rims2/Rimbp2",13,8.2750613684803,0.0246212121212121,0.00193809496665337,12.7038213012478,105.124900882033,"ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr"
"GO:0050839","GO:0050839","cell adhesion molecule binding","29/528","280/17543",7.32499547403936e-09,5.20074678656795e-06,2.10111712281655e-06,"Nrg1/Cadm1/Itga8/Cdh13/Tenm4/Nrxn2/Trpc4/Tenm1/Gsk3b/Tenm3/Ctnna2/Grin2a/Nrxn1/Ptprz1/Cdh11/Ntng1/Ctnnd2/Icam5/Rpsa/Fgfr1/Nrcam/Dscaml1/Nisch/Neo1/Cdh2/Frmd5/Rtn4/Tln2/Tenm2",29,5.28393429059612,0.0549242424242424,0.0159607820783218,3.44119994588745,18.1830743948722,"ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr"
"GO:0005516","GO:0005516","calmodulin binding","21/528","185/17543",1.89073874348891e-07,0.000134242450787713,3.61562321123318e-05,"Ddx5/Slc8a1/Cacna1c/Ppp3ca/Plcb1/Myo5b/Sntb2/Pde1a/Arpp21/Camk1d/Myo5a/Iqgap2/Ryr3/Camk4/Sptbn1/Syt7/Syt1/Add1/Camkv/Eef1a1/Kcnn2",21,3.87211012777682,0.0397727272727273,0.0105455167303198,3.77152948402948,14.6037775123194,"ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr"
"GO:0099186","GO:0099186","structural constituent of postsynapse","8/528","24/17543",3.07007510857473e-07,0.000217975332708805,4.40313403729796e-05,"Actb/Dnm3/Ctnnd2/Shank2/Magi2/Actg1/Dlg2/Shank1",8,3.66159265077425,0.0151515151515152,0.00136806703528473,11.0751262626263,40.5526009296292,"ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr"
"GO:0005216","GO:0005216","monoatomic ion channel activity","30/528","372/17543",1.03574655975541e-06,0.000735380057426342,0.000118838289487726,"Kcnh7/Kcnj3/Cacna2d1/Trpm3/Asic2/Ano3/Cacna1c/Grik2/Grid2/Scn3b/Trpc4/Grin2a/Pex5l/Glrb/Itpr1/Ryr3/Kcnb2/Unc80/Mcu/Clcn4/Trpc6/Gabra4/Clcn3/Kcnq5/Gria3/Kcnn2/Rimbp2/Stim2/Kcnd2/Kcnip4",30,3.13348815182251,0.0568181818181818,0.0212050390469133,2.67946603128055,8.39607506222849,"ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr"
"GO:0035254","GO:0035254","glutamate receptor binding","12/528","72/17543",1.44787256471768e-06,0.00102798952094955,0.000138436938205462,"Dnm3/Myo5b/Gsk3b/Grin2a/Rasgrf1/Shank2/Grip1/Exoc4/Shank1/Calm1/Neto1/Gnas",12,2.98801131240006,0.0227272727272727,0.00410420110585419,5.53756313131313,16.5463012794932,"ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr"
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","11/528","63/17543",2.47001518894264e-06,0.00175371078414927,0.000202429816236652,"Actb/Tuba1a/Tubb2a/Tubb3/Tubb2b/Tubb5/Actg1/Sptb/Sptbn1/Add1/Tln2",11,2.75604202739223,0.0208333333333333,0.00359117596762241,5.80125661375661,15.9885070392004,"ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr"
"GO:0015631","GO:0015631","tubulin binding","28/528","364/17543",5.87245505153611e-06,0.00416944308659064,0.000334245447567263,"Wipf3/Eml6/Snca/Kif26b/Stmn2/Dnm3/Dcx/Strbp/Mapt/Map4k4/Kif5c/Klc1/Clasp2/Ccdc88a/Stmn3/Maco1/Pde4b/Dnm1/Nisch/Kif2a/Taok1/Jakmip3/Gapdh/Nav3/Vapa/Gnas/Mast2/Fbxw11",28,2.37992194995977,0.053030303030303,0.0207490167018184,2.55579836829837,6.08260063638465,"ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr"
"GO:0051020","GO:0051020","GTPase binding","26/528","324/17543",5.94478187885549e-06,0.0042207951339874,0.000334245447567263,"Diaph2/Rasa1/Acap2/Myo5b/Dock10/Rasgrf1/Myo5a/Iqgap2/Arhgap44/Pex5l/Srgap2/Grip1/Erc1/Fmnl2/Dock7/Sptbn1/Sorl1/Wasf1/Ambra1/Gapvd1/Hsp90aa1/Gnb1/Gdi1/Ocrl/Rims2/Ap1g1",26,2.37460572681693,0.0492424242424242,0.0184689049763438,2.66623410026188,6.33125476351643,"ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr"
"GO:0015267","GO:0015267","channel activity","30/528","407/17543",6.40892647170257e-06,0.00455033779490883,0.000334245447567263,"Kcnh7/Kcnj3/Cacna2d1/Trpm3/Asic2/Ano3/Cacna1c/Grik2/Grid2/Scn3b/Trpc4/Grin2a/Pex5l/Glrb/Itpr1/Ryr3/Kcnb2/Unc80/Mcu/Clcn4/Trpc6/Gabra4/Clcn3/Kcnq5/Gria3/Kcnn2/Rimbp2/Stim2/Kcnd2/Kcnip4",30,2.34195636223969,0.0568181818181818,0.0232001368067035,2.44904511949966,5.7355567990243,"ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr"
