"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0030695","GO:0030695","GTPase regulator activity","86/1539","416/17543",3.21012798297082e-14,3.22296849490271e-11,1.20464276413589e-11,"Plcb1/Srgap1/Arhgap26/Stxbp5l/Kalrn/Asap1/Rasgef1b/Tbc1d1/Dennd5b/Rapgef5/Srgap3/Rasgrp1/Psd3/Arap2/Ranbp2/Arhgef28/Acap2/Lrrk2/Srgap2/Gnaq/Cpeb2/Dock9/Arhgef3/Elmo1/Arhgap12/Rasgrf1/Agap1/Ralgapa2/Mycbp2/Sbf2/Rasal1/Arhgap6/Fgd4/Tbcd/Tiam2/Rabgap1/Arhgap21/Itsn1/Rasa1/Arhgef2/Rasgrf2/Sbf1/Ophn1/Arhgap35/Ccdc88a/Rap1gap2/Arhgef7/Evi5/Rab3gap2/Agap3/Agap2/Cyth3/Ralgps2/Arhgap10/Mcf2l/Arhgef11/Psd/Sh3bp5/Garnl3/Ngef/Rgs7/Asap2/Rasgef1a/Hmgcr/Tbc1d5/Arfgef3/Rgs6/Rgl1/Rapgef1/Gdi1/Fbxo8/Gnb5/Trio/Itsn2/Plekhg5/Sgsm2/Rapgefl1/Arhgap33/Rasa3/Arhgef9/Agfg1/Ric1/Fam13b/Nrp1/Slit2/Iqgap1",86,10.4917439397737,0.0558804418453541,0.0237131619449353,2.35651584445444,24.7239608300355,"L23ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0060589","GO:0060589","nucleoside-triphosphatase regulator activity","86/1539","416/17543",3.21012798297082e-14,3.22296849490271e-11,1.20464276413589e-11,"Plcb1/Srgap1/Arhgap26/Stxbp5l/Kalrn/Asap1/Rasgef1b/Tbc1d1/Dennd5b/Rapgef5/Srgap3/Rasgrp1/Psd3/Arap2/Ranbp2/Arhgef28/Acap2/Lrrk2/Srgap2/Gnaq/Cpeb2/Dock9/Arhgef3/Elmo1/Arhgap12/Rasgrf1/Agap1/Ralgapa2/Mycbp2/Sbf2/Rasal1/Arhgap6/Fgd4/Tbcd/Tiam2/Rabgap1/Arhgap21/Itsn1/Rasa1/Arhgef2/Rasgrf2/Sbf1/Ophn1/Arhgap35/Ccdc88a/Rap1gap2/Arhgef7/Evi5/Rab3gap2/Agap3/Agap2/Cyth3/Ralgps2/Arhgap10/Mcf2l/Arhgef11/Psd/Sh3bp5/Garnl3/Ngef/Rgs7/Asap2/Rasgef1a/Hmgcr/Tbc1d5/Arfgef3/Rgs6/Rgl1/Rapgef1/Gdi1/Fbxo8/Gnb5/Trio/Itsn2/Plekhg5/Sgsm2/Rapgefl1/Arhgap33/Rasa3/Arhgef9/Agfg1/Ric1/Fam13b/Nrp1/Slit2/Iqgap1",86,10.4917439397737,0.0558804418453541,0.0237131619449353,2.35651584445444,24.7239608300355,"L23ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0015631","GO:0015631","tubulin binding","78/1539","364/17543",7.11933581945451e-14,7.14781316273233e-11,1.78108296114774e-11,"Stmn2/Stmn1/Macf1/Mid1/Nav3/Map2/Map4k4/Wipf3/Agbl4/Kif2a/Ccser2/Lrrk2/Apc/Sybu/Nisch/Kif26b/Kif1b/Klc1/Map1b/Dclk2/Snca/Mapt/Reep1/Tbcd/Eml6/Dctn1/Mast1/Ttll11/Dync1i1/Strbp/Fmn1/Arhgef2/Kif21b/Ccdc88a/Clasp1/Arhgef7/Eml1/Map6/Syt11/Mast2/Kif5a/Dst/Kif3a/Mtus2/Fgf13/Eml4/Polb/Agtpbp1/Ckap5/Gnas/Drg1/Fbxw11/Fmn2/Mapre2/Jakmip3/Cetn3/Kif16b/Dcx/Dnm2/Trim46/Hdgfl3/Ino80/Stmn3/Rps3/Phf6/Kif3c/Ttll7/Pacrg/Stmn4/Htt/Fmr1/Ddx3x/Map9/Kif13b/Camsap1/Mapre3/Mtcl1/Dnm3",78,10.1458268080767,0.050682261208577,0.0207490167018184,2.442634363687,24.7825452094249,"L23ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0005516","GO:0005516","calmodulin binding","47/1539","185/17543",1.5126431886346e-11,1.51869376138913e-08,2.83819629867491e-09,"Plcb1/Syt1/Gap43/Map2/Unc13c/Ryr2/Camk2d/Kcnh5/Slc8a1/Cacna1c/Scn3a/Camk1d/Marcks/Rit2/Sptbn1/Eef1a1/Arpp21/Camkv/Grin1/Kcnh1/Add3/Rasgrf2/Camk2a/Slc24a4/Kcnn3/Map6/Myo5a/Unc13a/Phka2/Atp2b1/Sptan1/Sntb2/Fbxl2/Unc13b/Adcy8/Pde1a/Nrgn/Kcnq2/Ddx5/Camk4/Pik3r1/Phkb/Camsap1/Camkk2/Add1/Iqgap1/Camk2g",47,7.8185297910794,0.0305393112410656,0.0105455167303198,2.89595209244332,22.6420877083068,"L23ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0022839","GO:0022839","monoatomic ion gated channel activity","61/1539","284/17543",3.48877825492961e-11,3.50273336794932e-08,5.13679022598862e-09,"Kcnip4/Kcnq5/Cacnb4/Grin2b/Kcnd2/Kcnj3/Snap25/Kcnmb2/Gria1/Ryr2/Kcnh5/Gria3/Kcnma1/Cacng3/Cacna1d/Grik2/Cacna1c/Scn3a/Cacna1b/Cacna1h/Grin3a/Itpr1/Grin2a/Kcnh7/Gabra4/Grik1/Cacna2d3/Gabra1/Kcnc2/Grik4/Asic2/Grin1/Kcnh1/Kcnb1/Kcnj9/Gabra2/Kcnab1/Grid2/Kcnn3/Glrb/Ptk2b/Cacnb2/Kcnk2/Kcnt1/Tmem63b/Tmem150c/Scn3b/Ano6/Gria4/Pex5l/Pkd2/Kcnq2/Gabrb2/Tmem63c/Kcnh3/Kcnk10/Gabrg2/Kcnj6/Kcnd3/Rasa3/Slc17a7",61,7.45559292041439,0.0396361273554256,0.0161887932508693,2.44836824716983,18.2540369701668,"L23ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0022836","GO:0022836","gated channel activity","61/1539","286/17543",4.73853506653156e-11,4.75748920679769e-08,5.13679022598862e-09,"Kcnip4/Kcnq5/Cacnb4/Grin2b/Kcnd2/Kcnj3/Snap25/Kcnmb2/Gria1/Ryr2/Kcnh5/Gria3/Kcnma1/Cacng3/Cacna1d/Grik2/Cacna1c/Scn3a/Cacna1b/Cacna1h/Grin3a/Itpr1/Grin2a/Kcnh7/Gabra4/Grik1/Cacna2d3/Gabra1/Kcnc2/Grik4/Asic2/Grin1/Kcnh1/Kcnb1/Kcnj9/Gabra2/Kcnab1/Grid2/Kcnn3/Glrb/Ptk2b/Cacnb2/Kcnk2/Kcnt1/Tmem63b/Tmem150c/Scn3b/Ano6/Gria4/Pex5l/Pkd2/Kcnq2/Gabrb2/Tmem63c/Kcnh3/Kcnk10/Gabrg2/Kcnj6/Kcnd3/Rasa3/Slc17a7",61,7.32262218831336,0.0396361273554256,0.016302798837143,2.43124679089591,17.8031016962801,"L23ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0008017","GO:0008017","microtubule binding","57/1539","258/17543",4.79097545621659e-11,4.81013935804146e-08,5.13679022598862e-09,"Macf1/Mid1/Nav3/Map2/Map4k4/Kif2a/Ccser2/Apc/Sybu/Kif26b/Kif1b/Map1b/Dclk2/Snca/Mapt/Reep1/Eml6/Dctn1/Mast1/Dync1i1/Strbp/Fmn1/Arhgef2/Kif21b/Ccdc88a/Clasp1/Eml1/Map6/Mast2/Kif5a/Dst/Kif3a/Mtus2/Fgf13/Eml4/Polb/Ckap5/Drg1/Fbxw11/Fmn2/Mapre2/Jakmip3/Cetn3/Kif16b/Dcx/Dnm2/Trim46/Hdgfl3/Rps3/Kif3c/Fmr1/Map9/Kif13b/Camsap1/Mapre3/Mtcl1/Dnm3",57,7.31784234118299,0.037037037037037,0.0147067206293108,2.5183749641114,18.4290709433496,"L23ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0051020","GO:0051020","GTPase binding","66/1539","324/17543",6.36998331368258e-11,6.39546324693731e-08,5.97605013507327e-09,"Rims2/Grip1/Srgap1/Eps8/Gria1/Flna/Dennd5b/Ranbp2/Acap2/Fmnl2/Lrrk2/Srgap2/Dock9/Myrip/Daam1/Rasgrf1/Sytl2/Lztr1/Mycbp2/Gnb1/Ranbp9/Sptbn1/Vcl/Rock2/Rabgap1/Plk2/Rasa1/Odf2/Diaph2/Arhgef2/Cyfip2/Arhgef7/Pak3/Cyfip1/Picalm/Evi5/Rab3gap2/Erc1/Rock1/Ranbp17/Myo5a/Ankfy1/Kif3a/Gnb2/Sorl1/Ybx1/Gdi1/Pex5l/Kif16b/Tnpo1/Raf1/Braf/Hace1/Atg16l1/Sgsm2/Cdkl5/Xpo6/Pak2/Ipo8/Cdc42se2/Rab11fip2/Dvl1/Ric1/Map2k1/Bin1/Iqgap1",66,7.19412799249852,0.0428849902534113,0.0184689049763438,2.32201044449258,16.704840337598,"L23ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0003729","GO:0003729","mRNA binding","64/1539","311/17543",7.9208171270237e-11,7.95250039553179e-08,6.60531299598584e-09,"Nova1/Celf4/Cpeb3/Khdrbs3/Cpeb2/Snrnp70/Eif3a/Hnrnpa1/Elavl3/Hnrnpll/Eef1a1/Pabpc4/Myef2/Srsf6/Khdrbs1/Rpl6/Celf5/Pum1/Larp1/Luc7l2/Mir124-2hg/Hnrnpa2b1/Cpeb1/Nova2/Fubp1/Stau2/Elavl4/Cdc40/Srsf1/Caprin1/Calr/Rbm5/Celf1/Cpsf6/Eif4g2/Eif4g3/Hnrnpu/Nup98/Ncl/Ybx1/Pcbp2/Syncrip/Supt5/Spen/Msi2/Rps3/Pabpc1/Zc3h12b/Sf3b1/Ddx5/Angel2/Luc7l3/Mecp2/Srsf3/Hnrnpk/Dhx36/Fmr1/Ddx3x/Ago2/Hnrnpl/Pcf11/Eif4g1/Atxn2l/Hnrnpd",64,7.09949630062019,0.041585445094217,0.0177278686655646,2.34576676298344,16.6537624559187,"L23ExcitatoryNeurons","PTZvsSAL_1hr"
"GO:0044325","GO:0044325","transmembrane transporter binding","41/1539","156/17543",9.59719248791882e-11,9.63558125787049e-08,6.97795092193017e-09,"Dpp10/Rims2/Homer1/Pde4d/Dlg1/Akap9/Snap25/Camk2d/Flna/Kcnh5/Slc8a1/Cacna1c/Lrrk2/Itpr1/Nptn/Agrn/Ank3/Kcnc2/Ywhaq/Fhl1/Atp2a2/Ywhaz/Kcnh1/Rasa1/Kcnb1/Kcnab1/Fgf13/Stx1a/Calm3/Hsp90ab1/Scn3b/Pkd2/Actn4/Ywhae/Eif3e/Fkbp1a/Ap2m1/Htt/Kcnd3/Fmr1/Calm2",41,7.01612208178989,0.0266406757634828,0.00889243572935074,2.99588060845371,21.0194640913782,"L23ExcitatoryNeurons","PTZvsSAL_1hr"
