"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0030695","GO:0030695","GTPase regulator activity","61/1164","416/17543",3.90582084295003e-09,3.57773189214223e-06,1.09004826248871e-06,"Kalrn/Srgap3/Mycbp2/Asap1/Rgs11/Rasgef1b/Iqsec1/Iqgap1/Arhgap20/Dennd6a/Cyth1/Iqsec2/Sbf1/Rasal1/Ranbp3/Tiam1/Git2/Rap1gap2/Sergef/Chn2/Agap3/Rgs17/Chn1/Evi5/Cyth3/Sgsm1/Dock7/Arrb1/Ralgapa2/Psd3/Arhgef2/Eif5/Arhgef11/Arfgef2/Rapgefl1/Arhgap5/Sipa1l3/Tbc1d12/Myo9b/Ralgps2/Gapvd1/Syngap1/Myo9a/Hmgcr/Ranbp2/Sos1/Ric1/Slit2/Evi5l/Bcr/Arhgap35/Rasgrf1/Vps9d1/Sirpa/Itsn2/Arhgef9/Depdc5/Smap1/Rpgr/Rasgrf2/Srgap1",61,5.44639220768309,0.0524054982817869,0.0237131619449353,2.20997513547449,12.0363913570216,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0060589","GO:0060589","nucleoside-triphosphatase regulator activity","61/1164","416/17543",3.90582084295003e-09,3.57773189214223e-06,1.09004826248871e-06,"Kalrn/Srgap3/Mycbp2/Asap1/Rgs11/Rasgef1b/Iqsec1/Iqgap1/Arhgap20/Dennd6a/Cyth1/Iqsec2/Sbf1/Rasal1/Ranbp3/Tiam1/Git2/Rap1gap2/Sergef/Chn2/Agap3/Rgs17/Chn1/Evi5/Cyth3/Sgsm1/Dock7/Arrb1/Ralgapa2/Psd3/Arhgef2/Eif5/Arhgef11/Arfgef2/Rapgefl1/Arhgap5/Sipa1l3/Tbc1d12/Myo9b/Ralgps2/Gapvd1/Syngap1/Myo9a/Hmgcr/Ranbp2/Sos1/Ric1/Slit2/Evi5l/Bcr/Arhgap35/Rasgrf1/Vps9d1/Sirpa/Itsn2/Arhgef9/Depdc5/Smap1/Rpgr/Rasgrf2/Srgap1",61,5.44639220768309,0.0524054982817869,0.0237131619449353,2.20997513547449,12.0363913570216,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0035254","GO:0035254","glutamate receptor binding","21/1164","72/17543",4.4958575225656e-09,4.11820549067009e-06,1.09004826248871e-06,"Calm3/Nsg1/Fus/Grin2a/Shank2/Atp2b2/Cacng3/Dlg4/Exoc4/Grip1/Gnas/Calm1/Prnp/Ctnnb1/Eml2/Cacng2/Homer1/Calm2/Rasgrf1/Canx/Neto2",21,5.38529198670353,0.0180412371134021,0.00410420110585419,4.39579753722795,23.6726532524048,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0015631","GO:0015631","tubulin binding","55/1164","364/17543",7.88670416896993e-09,7.22422101877646e-06,1.20379273601664e-06,"Stmn4/Stmn2/Ndn/Polb/Stmn3/Gapdh/Stmn1/Dixdc1/Apc/Dip2b/Rab11a/Prkn/Ncald/Dctn1/Tiam1/Gnas/Fmr1/Prnp/Dclk2/Mtus2/Rps3/Fez1/Kif13b/Kifc2/Hdgfl3/Mtcl1/Dnm2/Arhgef2/Ddx3x/Kif16b/Eml2/Numa1/Dcx/Map2/Nin/Nme1/Htt/Rmdn1/Ttll7/Map4/Ift81/Map9/Klc1/Jakmip1/Mapre3/Map6/Camsap2/Jakmip3/Togaram1/Unc5c/Katnbl1/Cetn3/Hook3/Stim1/Opa1",55,5.14120897562829,0.0472508591065292,0.0207490167018184,2.27725775084022,11.7078579884389,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0003735","GO:0003735","structural constituent of ribosome","32/1164","156/17543",8.27498624613464e-09,7.57988740145933e-06,1.20379273601664e-06,"Ubb/Fau/Rps10/Rpl9/Rpl13a/Rps9/Rps24/Rps14/Rpl27a/Rpl18a/Rps23/Rpl11/Rpl8/Rps27a/Rplp1/Rpsa/Rplp2/Rpl19/Rpl7a/Rps3/Rpl18/Rps29/Rpl17/Rps15/Mrpl1/Rpl13/Rps3a1/Rpl5/Rpl10a/Rpl15/Rps8/Rps2",32,5.12033724572521,0.0274914089347079,0.00889243572935074,3.09154991629218,15.8297781834095,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0003729","GO:0003729","mRNA binding","47/1164","311/17543",9.59927087050829e-08,8.79293211738559e-05,1.16370108272302e-05,"Ddx5/Snrnp70/Rbfox3/Fus/Ptbp2/Hsp90aa1/Srrm2/Eef1a1/Rpl13a/Eif4g2/Rps14/Taco1/Srrm4/Luc7l3/Srrm3/Ythdf3/Rbm5/Pkm/Cstf2/G3bp2/Fmr1/Cpeb3/Hnrnpk/Rps3/Zfp638/Hnrnpa3/Paip2/Dhx36/Dhx9/Eif3a/Ddx3x/Nova2/Pabpc1/Rps3a1/Rpl5/Ybx3/Pcbp2/Gnl3/Ireb2/Ncl/Nup98/Copa/Cpsf6/Pum2/Larp4b/Rps2/Sf3b1",47,4.05586627964057,0.0403780068728522,0.0177278686655646,2.27765715295964,9.23787284327113,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0005516","GO:0005516","calmodulin binding","33/1164","185/17543",1.68105880073151e-07,0.000153984986147006,1.74678440797815e-05,"Cacna1a/Ddx5/Slc8a1/Marcks/Pde1a/Ryr2/Eef1a1/Marcksl1/Cask/Atp2b2/Unc13a/Iqgap1/Adcy1/Unc13c/Ppp3cb/Gap43/Adcy8/Syt7/Camk1d/Vamp2/Camk1/Fbxl2/Map2/Myo9b/Camkv/Atp2b1/Atp2b4/Ewsr1/Map6/Camsap2/Slc8a3/Phka2/Rasgrf2",33,3.81252162170493,0.0283505154639175,0.0105455167303198,2.68839509612706,10.2495644316699,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0003712","GO:0003712","transcription coregulator activity","61/1164","463/17543",2.08496652733492e-07,0.000190982933903879,1.89567351366899e-05,"Runx1t1/Ddx5/Camta1/Noc2l/Bcl11a/Fus/Nr3c1/Ncoa6/Zmynd8/Trerf1/Wwc1/Chd4/Mrtfb/Rcor1/Tcf4/Mrtfa/Prkn/Pkm/Sfmbt1/Kdm5b/Ski/Nrip1/Sertad2/Pias1/Supt20/Jazf1/Ctnnb1/Ncoa7/Hdac7/Med13l/Arrb1/Dhx9/Nucks1/Asxl1/Cnot6/Basp1/Mlip/Cdyl2/Kdm2b/Usp22/Mta3/Sfmbt2/Phf8/Mysm1/Tacc1/Pkn1/Nipbl/Ewsr1/Med27/Phf24/Gon4l/Tcf25/Kdm3b/Thrap3/Actn1/Ssbp3/Kctd1/Nup98/Pias2/Trim24/Rcor3",61,3.71900543925759,0.0524054982817869,0.0263922932223679,1.98563640681941,7.3845925973493,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0051020","GO:0051020","GTPase binding","46/1164","324/17543",8.19335071280942e-07,0.000750510925293343,6.62176063456293e-05,"Xpo1/Mycbp2/Hsp90aa1/Kpnb1/Odf2/Pak3/Iqgap1/Rabac1/Diaph2/Rab11fip4/Cdkl5/Ranbp3/Rab11fip3/Git2/Grip1/Radil/Fnbp1l/Rptor/Evi5/Sgsm1/Dock7/Ipo4/Golga4/Arhgef2/Bicdl1/Kif16b/Clta/Myo9b/Gapvd1/Ranbp2/Pkn1/Ric1/Rab11fip2/Ankfy1/Vcl/Evi5l/Rusc2/Ipo11/Rasgrf1/Vps9d1/Atp6ap1/Mapkap1/Tnpo3/Pex5l/Depdc5/Srgap1",46,3.1246429812887,0.0395189003436426,0.0184689049763438,2.13975329854482,6.68596512598742,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
"GO:0004674","GO:0004674","protein serine/threonine kinase activity","54/1164","410/17543",1.04822379654074e-06,0.000960172997631318,7.62444887799633e-05,"Prpf4b/Clk1/Kalrn/Akt3/Prkca/Clk4/Prkg1/Ksr2/Cit/Cask/Pak3/Ksr1/Map2k6/Prkce/Pkm/Cdkl5/Prkcz/Mark3/Cdk17/Sik3/Prkcg/Wnk2/Tlk1/Stk3/Araf/Mapk14/Dclk2/Camk1d/Mark2/Speg/Rps6kb1/Srpk2/Camk1/Mapk1/Mast4/Mink1/Tnk2/Map3k13/Mapk4/Wnk1/Camkv/Atr/Pkn1/Cdk7/Cdk12/Cdk19/Bcr/Tbk1/Ulk4/Map2k5/Rps6kb2/Map3k3/Limk2/Sgk3",54,3.01765051159807,0.0463917525773196,0.0233711451861141,1.98500125722907,5.9900400594001,"L45ExcitatoryNeurons","24hrvs1hr_PTZ"
