"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0004674","GO:0004674","protein serine/threonine kinase activity","56/1067","410/17543",1.04677190588892e-08,9.41047943394143e-06,7.20619817317218e-06,"Acvr2a/Sgk1/Csnk1g3/Speg/Cask/Rps6kb2/Eef2k/Cdk14/Akt3/Ksr1/Pak3/Mark1/Pak2/Map3k5/Camk2d/Cdk11b/Map3k10/Clk1/Pak1/Mark3/Sik2/Prkcg/Stk25/Limk2/Aatk/Hipk3/Nrbp2/Map2k4/Cdk19/Stk38/Camk1/Brsk2/Prpf4b/Csnk2a1/Mtor/Prkcz/Cdkl1/Cdk8/Acvr1/Map3k13/Sgk3/Cdk12/Mast3/Mapk4/Lmtk3/Ksr2/Camk4/Pik3ca/Rps6ka5/Rps6ka2/Prkci/Prkcb/Ptk2b/Stk4/Map2k1/Mapk14",56,5.02638825008909,0.0524835988753515,0.0233711451861141,2.24565798797632,11.2875489244829,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0048156","GO:0048156","tau protein binding","10/1067","22/17543",2.19284433931044e-07,0.000197136706104008,7.54800104162645e-05,"Hsp90aa1/Hsp90ab1/Fyn/Sgk1/Ppp2ca/Snca/Aatf/Ppp2r2a/Bin1/Smad2",10,3.70523250421254,0.00937207122774133,0.001254061449011,7.47337479764846,27.6905912164099,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0044325","GO:0044325","transmembrane transporter binding","27/1067","156/17543",7.57457872737984e-07,0.000680954627591448,0.000153195905303516,"Hsp90aa1/Hsp90ab1/Fyn/Ywhae/Kcnab1/Calm1/Cabp1/Ank3/Pkd1/Prnp/Grina/Ppp2ca/Ywhaz/Kcnc2/Cbarp/Agrn/Camk2d/Fhl1/Flna/Ywhaq/Pacs1/Akap6/Kcnb1/Ctnnb1/Calm2/Cacna1c/Pde4b",27,3.16688182442074,0.0253045923149016,0.00889243572935074,2.84563117295076,9.01177764062282,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0035254","GO:0035254","glutamate receptor binding","17/1067","72/17543",1.05595230533772e-06,0.00094930112249861,0.000153195905303516,"Fyn/Nsg1/Calm1/Cabp1/Prnp/Gnas/Grin2a/Shank1/Ophn1/Sdcbp/Shisa7/Atp2b2/Neto2/Canx/Gria1/Ctnnb1/Calm2",17,3.0225960055959,0.0159325210871603,0.00410420110585419,3.88200301988962,11.7337268216296,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0051020","GO:0051020","GTPase binding","43/1067","324/17543",1.17400447302412e-06,0.00105543002124868,0.000153195905303516,"Hsp90aa1/Xpo1/Gnb2/Ranbp2/Kpnb1/Rab7/Dock9/Atg16l1/Pak3/Nckap1/Ipo9/Pak2/Dock4/Rab3gap2/Arhgef7/Gdi1/Kif3a/Pex5l/Coro1c/Flna/Pak1/Xpo6/Rnf152/Git2/Nup153/Rptor/Gria1/Rapgef4/Iqgap1/Wasf1/Bin1/Abi2/Rap1gap/Myo9b/Cse1l/Sgsm3/Map2k1/Usp6nl/Ipo5/Pde6d/Gdi2/Ybx1/Rph3a",43,2.97657055666523,0.0402999062792877,0.0184689049763438,2.18204091314057,6.49499873549314,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0019903","GO:0019903","protein phosphatase binding","28/1067","170/17543",1.33519367007652e-06,0.00120033910939879,0.000153195905303516,"Ptprt/Hsp90aa1/Cfl1/Magi3/Ywhae/Ppp3cb/Anapc4/Traf3/Mtmr3/Ppp2ca/Pik3r1/Map3k5/Ghr/Kif3a/Anapc5/Akap6/Iqgap1/Ppp2r2a/Sirpa/Shoc2/Ctnnb1/Cabin1/Ap3b1/Mfhas1/Myo16/Cacna1c/Mapk14/Cadm4",28,2.92069604350612,0.0262417994376757,0.00969047483326683,2.70799933844203,7.90924295360484,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0022890","GO:0022890","inorganic cation transmembrane transporter activity","55/1067","472/17543",2.65901464807423e-06,0.00239045416861874,0.000251369509129863,"Ryr2/Cacnb4/Kcnn2/Atp6v0c/Kcnab1/Slc38a2/Slc6a7/Atp6v0b/Atp1a3/Grik2/Slc6a11/Kcnh7/Pkd1/Nipa1/Cacna1d/Tmem63c/Kcnk1/Slc4a10/Grin2a/Kcnc2/Atp6v1b2/Kcnmb4/Atp2b3/Kcna6/Slc24a3/Slc6a6/Atp2b2/Tusc3/Slc24a2/Kcnt1/Tmem175/Trpm3/Slc20a1/Atp6v1h/Kcnmb2/Trpc4/Slc30a9/Cacna1a/Atp6v1a/Atp1b1/Gria1/Kcnk9/Tfrc/Slc23a2/Kcnb1/Atp1a1/Mcu/Scn8a/Slc4a4/Slc25a4/Slc1a1/Kcnk2/Grik5/Cacna1c/Ptk2b",55,2.62151957847176,0.0515463917525773,0.0269053183605997,1.91584396295649,5.02242245818737,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0019902","GO:0019902","phosphatase binding","32/1067","217/17543",2.92111356175376e-06,0.00262608109201663,0.000251369509129863,"Ptprt/Hsp90aa1/Cfl1/Magi3/Ywhae/Sbf2/Ppp3cb/Anapc4/Trpc4ap/Traf3/Magi2/Mtmr3/Ppp2ca/Pik3r1/Map3k5/Ghr/Kif3a/Anapc5/Akap6/Iqgap1/Ppp2r2a/Sirpa/Shoc2/Ctnnb1/Cabin1/Ap3b1/Mfhas1/Myo16/Cacna1c/Mapk14/Cadm4/Smad2",32,2.58069186725203,0.0299906279287723,0.0123696061106994,2.42454186983618,6.25699548529826,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0042277","GO:0042277","peptide binding","37/1067","272/17543",3.61206241350263e-06,0.00324724410973887,0.000276291089874938,"Hsp90ab1/Ephb2/Tubb3/Hspa8/Ppia/Kpnb1/Atp1a3/Cabp1/Rps6kb2/Cltb/Prnp/Itm2b/Pcsk5/Clstn1/Cltc/Ctsb/Clstn3/Igf1r/Pik3r1/Ghr/Pex5l/Cst3/Nup153/Pex7/Ide/Gria1/Calr/Tomm70a/Apba1/Sec61a2/Lnpep/Ppib/Dhcr24/Trhde/Tpp2/Ppp3ca/Ipo5",37,2.48848506230481,0.0346766635426429,0.0155047597332269,2.23651731076686,5.56553991942945,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0015631","GO:0015631","tubulin binding","45/1067","364/17543",4.63252639628221e-06,0.0041646412302577,0.000294261383446846,"Mid1/Gapdh/Agbl4/Stmn1/Ndn/Unc5c/Fyn/Stmn2/Cep295/Hdgfl3/Stmn3/Prnp/Stmn4/Dnm1/Gnas/Ccser2/Arhgef7/Mtcl1/Kif3a/Fbxw11/Kif1a/Map6/Pak1/Kif5b/Snca/Kif5a/Clip3/Mid2/Dctn1/Dnal1/Kif13b/Kif3c/Jakmip3/Tbcel/Alms1/Rmdn1/Eml1/Syt11/Kifc2/Ift81/Kif13a/Pde4b/Jakmip1/Ino80/Togaram1",45,2.38042240564507,0.042174320524836,0.0207490167018184,2.03259369496483,4.83843157306717,"L56ExcitatoryNeurons","24hrvs1hr_SAL"
