"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0003729","GO:0003729",1,"GO:0003729",14.2990911715693,386,"mRNA binding","mRNA binding",0.942894736842105,0.69,0
"GO:0031625","GO:0031625",2,"GO:0031625",4.306497502897,338,"ubiquitin protein ligase binding","ubiquitin protein ligase binding",0.836052631578947,0.463,0
"GO:0044389","GO:0044389",2,"GO:0031625",3.99915141031881,358,"ubiquitin-like protein ligase binding","ubiquitin protein ligase binding",0.835421052631579,0.46125,0.99
"GO:0044325","GO:0044325",3,"GO:0044325",3.70994847273935,169,"transmembrane transporter binding","transmembrane transporter binding",0.936684210526316,1,0
"GO:0051020","GO:0051020",2,"GO:0031625",3.21859276777106,337,"GTPase binding","ubiquitin protein ligase binding",0.835842105263158,0.46175,0.582
"GO:0003735","GO:0003735",4,"GO:0003735",3.19579580680369,178,"structural constituent of ribosome","structural constituent of ribosome",0.962263157894737,0.6415,0
"GO:0030674","GO:0030674",5,"GO:0030674",2.87250098653645,452,"protein-macromolecule adaptor activity","protein-macromolecule adaptor activity",0.954157894736842,0.5645,0
"GO:0005200","GO:0005200",4,"GO:0003735",2.8536440113943,73,"structural constituent of cytoskeleton","structural constituent of ribosome",0.962263157894737,0.6415,0.717
"GO:0003725","GO:0003725",1,"GO:0003729",2.263422188373,82,"double-stranded RNA binding","mRNA binding",0.945736842105263,0.69,0.62
"GO:0035591","GO:0035591",5,"GO:0030674",2.21463053533535,88,"signaling adaptor activity","protein-macromolecule adaptor activity",0.954157894736842,0.5645,0.871
"GO:0050998","GO:0050998",6,"GO:0050998",2.18813498500954,22,"nitric-oxide synthase binding","nitric-oxide synthase binding",0.880210526315789,1,0
"GO:0031267","GO:0031267",2,"GO:0031625",2.0623131495422,297,"small GTPase binding","ubiquitin protein ligase binding",0.837052631578947,0.465,0.576
"GO:0035254","GO:0035254",7,"GO:0035254",1.99653622852945,76,"glutamate receptor binding","glutamate receptor binding",0.940105263157895,1,0
"GO:0060589","GO:0060589",8,"GO:0060589",1.74419555882922,429,"nucleoside-triphosphatase regulator activity","nucleoside-triphosphatase regulator activity",0.827052631578947,0.463,0
"GO:0030695","GO:0030695",8,"GO:0060589",1.74419555882922,429,"GTPase regulator activity","nucleoside-triphosphatase regulator activity",0.827052631578947,0.463,0.994
"GO:0099106","GO:0099106",8,"GO:0060589",1.4455184561856,136,"ion channel regulator activity","nucleoside-triphosphatase regulator activity",0.840736842105263,0.4645,0.575
"GO:0016247","GO:0016247",8,"GO:0060589",1.41403398545151,145,"channel regulator activity","nucleoside-triphosphatase regulator activity",0.840052631578947,0.4625,0.579
"GO:0055105","GO:0055105",9,"GO:0055105",1.35226483682328,14,"ubiquitin-protein transferase inhibitor activity","ubiquitin-protein transferase inhibitor activity",0.846052631578947,0.5225,0
"GO:0055106","GO:0055106",9,"GO:0055105",1.30507891886405,30,"ubiquitin-protein transferase regulator activity","ubiquitin-protein transferase inhibitor activity",0.840315789473684,0.5225,0.955
