"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0022839","GO:0022839",1,"GO:0022839",2.77165643756856,315,"monoatomic ion gated channel activity","monoatomic ion gated channel activity",0.419928571428571,0.1879,0
"GO:0022836","GO:0022836",1,"GO:0022839",2.74475954103658,320,"gated channel activity","monoatomic ion gated channel activity",0.432714285714286,0.2058,0.988
"GO:0022843","GO:0022843",1,"GO:0022839",2.56859980551769,143,"voltage-gated monoatomic cation channel activity","monoatomic ion gated channel activity",0.446642857142857,0.2253,0.875
"GO:0005216","GO:0005216",1,"GO:0022839",2.53120500222579,437,"monoatomic ion channel activity","monoatomic ion gated channel activity",0.425785714285714,0.1961,0.925
"GO:0022803","GO:0022803",1,"GO:0022839",2.16730881944553,501,"passive transmembrane transporter activity","monoatomic ion gated channel activity",0.437071428571429,0.2119,0.913
"GO:0015267","GO:0015267",1,"GO:0022839",2.16730881944553,501,"channel activity","monoatomic ion gated channel activity",0.437071428571429,0.2119,0.913
"GO:0005261","GO:0005261",1,"GO:0022839",2.01270691017629,322,"monoatomic cation channel activity","monoatomic ion gated channel activity",0.442,0.2188,0.868
"GO:0005200","GO:0005200",2,"GO:0005200",2.00742628383953,73,"structural constituent of cytoskeleton","structural constituent of cytoskeleton",1,1,0
"GO:0030165","GO:0030165",3,"GO:0030165",1.75391741238115,121,"PDZ domain binding","PDZ domain binding",0.983214285714286,1,0
"GO:1901681","GO:1901681",4,"GO:1901681",1.65124094279289,301,"sulfur compound binding","sulfur compound binding",0.991,1,0
"GO:0005244","GO:0005244",1,"GO:0022839",1.63908828856274,197,"voltage-gated monoatomic ion channel activity","monoatomic ion gated channel activity",0.438,0.2132,0.917
"GO:0022832","GO:0022832",1,"GO:0022839",1.62367407565004,198,"voltage-gated channel activity","monoatomic ion gated channel activity",0.45,0.23,0.916
"GO:0005516","GO:0005516",5,"GO:0005516",1.51849135153579,195,"calmodulin binding","calmodulin binding",0.982928571428571,1,0
"GO:0046873","GO:0046873",1,"GO:0022839",1.50010366968668,437,"metal ion transmembrane transporter activity","monoatomic ion gated channel activity",0.513214285714286,0.3185,0.806
