"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0005200","GO:0005200",1,"GO:0005200",11.0728562797161,73,"structural constituent of cytoskeleton","structural constituent of cytoskeleton",1,1,0
"GO:0044389","GO:0044389",2,"GO:0044389",6.72741815931516,358,"ubiquitin-like protein ligase binding","ubiquitin-like protein ligase binding",0.8583,0.505,0
"GO:0031625","GO:0031625",2,"GO:0044389",5.50648021006771,338,"ubiquitin protein ligase binding","ubiquitin-like protein ligase binding",0.8585,0.505,0.99
"GO:0005525","GO:0005525",3,"GO:0005525",5.46291732918907,363,"GTP binding","GTP binding",0.7442,0.353666666666667,0
"GO:0019001","GO:0019001",3,"GO:0005525",5.22333293404293,387,"guanyl nucleotide binding","GTP binding",0.7406,0.346666666666667,0.968
"GO:0032561","GO:0032561",3,"GO:0005525",5.22333293404293,387,"guanyl ribonucleotide binding","GTP binding",0.7405,0.345666666666667,0.971
"GO:0097718","GO:0097718",4,"GO:0097718",2.58153004294189,36,"disordered domain specific binding","disordered domain specific binding",0.9453,1,0
"GO:0003924","GO:0003924",5,"GO:0003924",2.10563347199267,305,"GTPase activity","GTPase activity",1,1,0
"GO:0044183","GO:0044183",6,"GO:0044183",1.85041060836947,55,"protein folding chaperone","protein folding chaperone",1,1,0
"GO:0019103","GO:0019103",7,"GO:0019103",1.74239866293384,11,"pyrimidine nucleotide binding","pyrimidine nucleotide binding",0.8556,1,0
