"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0060589","GO:0060589",1,"GO:0060589",10.4917439397737,429,"nucleoside-triphosphatase regulator activity","nucleoside-triphosphatase regulator activity",0.920616666666667,0.319571428571429,0
"GO:0030695","GO:0030695",1,"GO:0060589",10.4917439397737,429,"GTPase regulator activity","nucleoside-triphosphatase regulator activity",0.920616666666667,0.319571428571429,0.994
"GO:0015631","GO:0015631",2,"GO:0015631",10.1458268080767,387,"tubulin binding","tubulin binding",0.9141,0.4075,0
"GO:0005516","GO:0005516",3,"GO:0005516",7.8185297910794,195,"calmodulin binding","calmodulin binding",0.947666666666667,1,0
"GO:0022839","GO:0022839",4,"GO:0022839",7.45559292041439,315,"monoatomic ion gated channel activity","monoatomic ion gated channel activity",0.7037,0.174571428571429,0
"GO:0022836","GO:0022836",4,"GO:0022839",7.32262218831336,320,"gated channel activity","monoatomic ion gated channel activity",0.709083333333333,0.177642857142857,0.988
"GO:0008017","GO:0008017",2,"GO:0015631",7.31784234118299,269,"microtubule binding","tubulin binding",0.9168,0.4215,0.952
"GO:0051020","GO:0051020",5,"GO:0051020",7.19412799249852,337,"GTPase binding","GTPase binding",0.9202,0.4725,0
"GO:0003729","GO:0003729",6,"GO:0003729",7.09949630062019,386,"mRNA binding","mRNA binding",0.926866666666667,0.4745,0
"GO:0044325","GO:0044325",7,"GO:0044325",7.01612208178989,169,"transmembrane transporter binding","transmembrane transporter binding",0.948,1,0
"GO:0005216","GO:0005216",4,"GO:0022839",6.9885116159993,437,"monoatomic ion channel activity","monoatomic ion gated channel activity",0.712733333333333,0.206785714285714,0.925
"GO:0003779","GO:0003779",2,"GO:0015631",6.77859829743749,448,"actin binding","tubulin binding",0.91645,0.45475,0.787
"GO:0035254","GO:0035254",8,"GO:0035254",6.0807956460278,76,"glutamate receptor binding","glutamate receptor binding",0.93755,0.518,0
"GO:0022803","GO:0022803",4,"GO:0022839",5.96200609493705,501,"passive transmembrane transporter activity","monoatomic ion gated channel activity",0.718633333333333,0.211,0.913
"GO:0015267","GO:0015267",4,"GO:0022839",5.96200609493705,501,"channel activity","monoatomic ion gated channel activity",0.718633333333333,0.211,0.913
"GO:0019902","GO:0019902",5,"GO:0051020",5.81126694239917,243,"phosphatase binding","GTPase binding",0.921133333333333,0.47325,0.569
"GO:0031267","GO:0031267",5,"GO:0051020",5.46392737529239,297,"small GTPase binding","GTPase binding",0.920866666666667,0.4755,0.985
"GO:0015079","GO:0015079",9,"GO:0015079",5.33009634623522,160,"potassium ion transmembrane transporter activity","potassium ion transmembrane transporter activity",0.760316666666667,0.3225,0
"GO:0004970","GO:0004970",10,"GO:0004970",5.24979439797774,19,"ionotropic glutamate receptor activity","ionotropic glutamate receptor activity",0.70225,0.514,0
"GO:0005261","GO:0005261",4,"GO:0022839",5.18574166475435,322,"monoatomic cation channel activity","monoatomic ion gated channel activity",0.719666666666667,0.233214285714286,0.868
"GO:0050839","GO:0050839",11,"GO:0050839",5.01334606879792,306,"cell adhesion molecule binding","cell adhesion molecule binding",0.93425,0.586,0
"GO:0099507","GO:0099507",4,"GO:0022839",4.76217847657944,24,"ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential","monoatomic ion gated channel activity",0.769766666666667,0.368642857142857,0.703
"GO:0004674","GO:0004674",12,"GO:0004674",4.71064769934165,441,"protein serine/threonine kinase activity","protein serine/threonine kinase activity",1,1,0
"GO:0022890","GO:0022890",9,"GO:0015079",4.49472271186567,538,"inorganic cation transmembrane transporter activity","potassium ion transmembrane transporter activity",0.765466666666667,0.33425,0.856
"GO:0008066","GO:0008066",10,"GO:0004970",4.21522858925005,27,"glutamate receptor activity","ionotropic glutamate receptor activity",0.948466666666667,0.514,0.972
"GO:0022843","GO:0022843",4,"GO:0022839",3.93642582448861,143,"voltage-gated monoatomic cation channel activity","monoatomic ion gated channel activity",0.7199,0.216785714285714,0.875
"GO:0015276","GO:0015276",4,"GO:0022839",3.85357668142826,138,"ligand-gated monoatomic ion channel activity","monoatomic ion gated channel activity",0.70815,0.200214285714286,0.916
"GO:0022834","GO:0022834",4,"GO:0022839",3.77179806896276,142,"ligand-gated channel activity","monoatomic ion gated channel activity",0.7131,0.202928571428571,0.916
"GO:0005244","GO:0005244",4,"GO:0022839",3.75784428980732,197,"voltage-gated monoatomic ion channel activity","monoatomic ion gated channel activity",0.716083333333333,0.198428571428571,0.917
"GO:0019903","GO:0019903",5,"GO:0051020",3.75620970730638,191,"protein phosphatase binding","GTPase binding",0.92255,0.47975,0.556
"GO:0046873","GO:0046873",9,"GO:0015079",3.74723206658679,437,"metal ion transmembrane transporter activity","potassium ion transmembrane transporter activity",0.741883333333333,0.3245,0.876
"GO:0022832","GO:0022832",4,"GO:0022839",3.69127297196507,198,"voltage-gated channel activity","monoatomic ion gated channel activity",0.721133333333333,0.201571428571429,0.916
"GO:0005096","GO:0005096",1,"GO:0060589",3.62491761701421,238,"GTPase activator activity","nucleoside-triphosphatase regulator activity",0.921383333333333,0.326142857142857,0.928
"GO:0022835","GO:0022835",13,"GO:0022835",3.55014228945579,57,"transmitter-gated channel activity","transmitter-gated channel activity",0.689583333333333,0.2474,0
"GO:0022824","GO:0022824",13,"GO:0022835",3.55014228945579,57,"transmitter-gated monoatomic ion channel activity","transmitter-gated channel activity",0.683366666666667,0.2474,0.998
"GO:0005267","GO:0005267",9,"GO:0015079",3.52559824243653,122,"potassium channel activity","potassium ion transmembrane transporter activity",0.73265,0.33075,0.978
"GO:0035255","GO:0035255",8,"GO:0035254",3.51997052871583,50,"ionotropic glutamate receptor binding","glutamate receptor binding",0.939316666666667,0.518,0.964
"GO:0005085","GO:0005085",1,"GO:0060589",3.45907642914006,201,"guanyl-nucleotide exchange factor activity","nucleoside-triphosphatase regulator activity",0.925366666666667,0.360285714285714,0.917
"GO:0098918","GO:0098918",14,"GO:0098918",3.407149286384,37,"structural constituent of synapse","structural constituent of synapse",0.952966666666667,0.2945,0
"GO:1904315","GO:1904315",13,"GO:0022835",3.08888904930839,55,"transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential","transmitter-gated channel activity",0.69415,0.227,0.952
"GO:0005543","GO:0005543",15,"GO:0005543",3.04061651898838,492,"phospholipid binding","phospholipid binding",0.97495,1,0
"GO:0003727","GO:0003727",6,"GO:0003729",2.86526887203862,101,"single-stranded RNA binding","mRNA binding",0.93015,0.468,0.632
"GO:0099529","GO:0099529",13,"GO:0022835",2.8225935440697,57,"neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential","transmitter-gated channel activity",0.91695,0.2498,0.893
"GO:0099186","GO:0099186",14,"GO:0098918",2.70909433366537,27,"structural constituent of postsynapse","structural constituent of synapse",0.95195,0.27925,0.969
"GO:0030165","GO:0030165",16,"GO:0030165",2.69454173205747,121,"PDZ domain binding","PDZ domain binding",0.949916666666667,1,0
"GO:0097110","GO:0097110",17,"GO:0097110",2.65434114538542,89,"scaffold protein binding","scaffold protein binding",0.95115,1,0
"GO:0005230","GO:0005230",4,"GO:0022839",2.52374731490113,71,"extracellular ligand-gated monoatomic ion channel activity","monoatomic ion gated channel activity",0.716816666666667,0.235285714285714,0.87
"GO:0099106","GO:0099106",1,"GO:0060589",2.46814135342702,136,"ion channel regulator activity","nucleoside-triphosphatase regulator activity",0.936683333333333,0.457285714285714,0.575
"GO:0016247","GO:0016247",1,"GO:0060589",2.31797578839348,145,"channel regulator activity","nucleoside-triphosphatase regulator activity",0.936366666666667,0.454571428571429,0.579
"GO:0036002","GO:0036002",18,"GO:0036002",2.23163687266719,38,"pre-mRNA binding","pre-mRNA binding",0.941666666666667,1,0
"GO:0005249","GO:0005249",4,"GO:0022839",2.16888822597512,97,"voltage-gated potassium channel activity","monoatomic ion gated channel activity",0.71915,0.246928571428571,0.836
"GO:0003730","GO:0003730",6,"GO:0003729",2.06525451970449,119,"mRNA 3'-UTR binding","mRNA binding",0.932133333333333,0.50175,0.891
"GO:0098919","GO:0098919",14,"GO:0098918",2.02109299818582,11,"structural constituent of postsynaptic density","structural constituent of synapse",0.952333333333333,0.285,0.921
"GO:0070717","GO:0070717",6,"GO:0003729",1.90809548826794,41,"poly-purine tract binding","mRNA binding",0.934283333333333,0.49225,0.579
"GO:0008047","GO:0008047",1,"GO:0060589",1.82625611317473,554,"enzyme activator activity","nucleoside-triphosphatase regulator activity",0.9278,0.381142857142857,0.77
"GO:0019894","GO:0019894",2,"GO:0015631",1.69596610865439,53,"kinesin binding","tubulin binding",0.93,0.52975,0.631
