"","target","source","weight"
"1","Bcl6","Atp6v1h",0.00826738926910811
"2","Bbx","Atp6v1h",0.0152458717010359
"3","Pbx1","Atp6v1h",0.0381149731642593
"4","Klf8","Atp6v1h",0.0183663353189237
"5","Foxp1","Atp6v1h",0.0352078534267716
"6","Etv1","Atp6v1h",0.0112347158499732
"7","Setbp1","Atp6v1h",0.0351892152584715
"8","Tcf4","Atp6v1h",0.0436891535458918
"9","Atf7","Atp6v1h",0.0192343391019178
"10","Nr3c1","Atp6v1h",0.0139314652627042
"11","Bcl11b","Atp6v1h",0.0174925168534625
"12","Atf6","Atp6v1h",0.0172300913770012
"13","Bcl11a","Atp6v1h",0.0300827698176647
"14","Chd2","Atp6v1h",0.0255855459479697
"15","Cpeb1","Atp6v1h",0.0126921944146255
"16","Nfix","Atp6v1h",0.0251388012362921
"17","Nr3c2","Atp6v1h",0.0269697032686395
"18","Zbtb16","Atp6v1h",0.0166107166160237
"19","Cnot3","Atp6v1h",0.0145803242403874
"20","Zfp692","Atp6v1h",0.0121090444008927
"21","Zfp91","Atp6v1h",0.0126125586057682
"22","Zeb2","Atp6v1h",0.0342637069856229
"23","Ski","Atp6v1h",0.0177073695419247
"24","Tfdp2","Atp6v1h",0.0132308910192537
"25","Parp1","Atp6v1h",0.0122079104042276
"26","Dido1","Atp6v1h",0.0153026870871488
"27","Celf5","Atp6v1h",0.0251706240740374
"28","Clk1","Atp6v1h",0.0227695376457059
"29","Dnmt3a","Atp6v1h",0.0249038310843569
"30","Hnrnpll","Atp6v1h",0.0180002566058667
"31","Hspa5","Atp6v1h",0.0170047688326772
"32","Kdm4c","Atp6v1h",0.0277420347113233
"33","Kdm7a","Atp6v1h",0.0142715281349403
"34","Las1l","Atp6v1h",0.0252065003820491
"35","Luzp2","Atp6v1h",0.0225286377328706
"36","Msra","Atp6v1h",0.0347634128223926
"37","Noc2l","Atp6v1h",0.0137670666314348
"38","Pkm","Atp6v1h",0.0147701032118931
"39","Prnp","Atp6v1h",0.0190581516090888
"40","Rps10","Atp6v1h",0.0127756681519551
"41","Rufy3","Atp6v1h",0.0249053814585589
"42","Sf3b1","Atp6v1h",0.0288369577859922
"43","Snrnp70","Atp6v1h",0.0356847030427909
"44","Srrm3","Atp6v1h",0.016654930109199
"45","Supt20","Atp6v1h",0.0163890070895395
"46","Ywhaz","Atp6v1h",0.0281397917029115
"47","Zmat4","Atp6v1h",0.014358963464454
"48","Bcl6","Kcnq5",0.00648782282546959
"49","Bbx","Kcnq5",0.00932635974695756
"50","Pbx1","Kcnq5",0.052344232310693
"51","Klf8","Kcnq5",0.0206975521473111
"52","Foxp1","Kcnq5",0.0714355855010938
"53","Etv1","Kcnq5",0.00767566629943752
"54","Setbp1","Kcnq5",0.0320804117330837
"55","Tcf4","Kcnq5",0.0461221933520947
"56","Atf7","Kcnq5",0.0147119185171643
"57","Nr3c1","Kcnq5",0.00939137893305371
"58","Bcl11b","Kcnq5",0.027184368926098
"59","Atf6","Kcnq5",0.011646794615075
"60","Bcl11a","Kcnq5",0.0843300528745262
"61","Chd2","Kcnq5",0.0170883632022586
"62","Cpeb1","Kcnq5",0.0114230669062178
"63","Nfix","Kcnq5",0.0308676844434294
"64","Nr3c2","Kcnq5",0.0363397239035309
"65","Zbtb16","Kcnq5",0.0190168168568908
"66","Cnot3","Kcnq5",0.00811089011372512
"67","Zfp692","Kcnq5",0.00737248017857702
"68","Zfp91","Kcnq5",0.00709793161123997
"69","Zeb2","Kcnq5",0.026321444813521
"70","Ski","Kcnq5",0.0122040196322534
"71","Tfdp2","Kcnq5",0.00780455170080382
"72","Parp1","Kcnq5",0.00647973689119884
"73","Dido1","Kcnq5",0.00904159645496086
"74","Celf5","Kcnq5",0.0333479510869054
"75","Clk1","Kcnq5",0.014447426858064
"76","Dnmt3a","Kcnq5",0.0222088259938813
"77","Hnrnpll","Kcnq5",0.0122671865552648
"78","Hspa5","Kcnq5",0.00935815395799645
"79","Kdm4c","Kcnq5",0.0198054293271326
"80","Kdm7a","Kcnq5",0.0080902396184761
"81","Las1l","Kcnq5",0.0290982062108616
"82","Luzp2","Kcnq5",0.0240006231549803
"83","Msra","Kcnq5",0.0518412471389831
"84","Noc2l","Kcnq5",0.008162449077696
"85","Pkm","Kcnq5",0.0088935872604408
"86","Prnp","Kcnq5",0.0127272978506838
"87","Rps10","Kcnq5",0.00733067194027527
"88","Rufy3","Kcnq5",0.0181662054531324
"89","Sf3b1","Kcnq5",0.0177410729456904
"90","Snrnp70","Kcnq5",0.0235639417708136
"91","Srrm3","Kcnq5",0.0185904126545672
"92","Supt20","Kcnq5",0.0105275265011738
"93","Ywhaz","Kcnq5",0.0381768055226154
"94","Zmat4","Kcnq5",0.0190520946297002
"95","Bcl6","Bend6",0.00970529163572293
"96","Bbx","Bend6",0.0113407703345741
"97","Pbx1","Bend6",0.0355004833182009
"98","Klf8","Bend6",0.0301147449800659
"99","Foxp1","Bend6",0.0393389059090602
"100","Etv1","Bend6",0.0108369953803869
"101","Setbp1","Bend6",0.0343911866090169
"102","Tcf4","Bend6",0.0385574872876291
"103","Atf7","Bend6",0.0184072476633114
"104","Nr3c1","Bend6",0.0136160378159312
"105","Bcl11b","Bend6",0.0168513484330148
"106","Atf6","Bend6",0.0155120671374149
"107","Bcl11a","Bend6",0.0293925629892057
"108","Chd2","Bend6",0.0257300903514448
"109","Cpeb1","Bend6",0.0127482331219911
"110","Nfix","Bend6",0.0230654818126528
"111","Nr3c2","Bend6",0.0315310172818668
"112","Zbtb16","Bend6",0.0160675643599466
"113","Cnot3","Bend6",0.0140396373212795
"114","Zfp692","Bend6",0.0117209830701665
"115","Zfp91","Bend6",0.0129538932983081
"116","Zeb2","Bend6",0.0318300057321296
"117","Ski","Bend6",0.0189254789566636
"118","Tfdp2","Bend6",0.0126065173403198
