"","target","source","weight"
"1","Pbx1","2010300C02Rik",0.128650879232156
"2","Esrrg","2010300C02Rik",0.0386629465752794
"3","Runx2","2010300C02Rik",0.0956763988647229
"4","Nfib","2010300C02Rik",0.134921060215303
"5","Smarca5","2010300C02Rik",0.0340921256106104
"6","Bcl11a","2010300C02Rik",0.0751922686110963
"7","Nfix","2010300C02Rik",0.0664015036709524
"8","Parp1","2010300C02Rik",0.0416362795169102
"9","Celf4","2010300C02Rik",0.0909557092718584
"10","Hnrnpll","2010300C02Rik",0.0414345685151886
"11","Las1l","2010300C02Rik",0.0676404057705456
"12","Luzp1","2010300C02Rik",0.0341544953596791
"13","Luzp2","2010300C02Rik",0.0630783390507375
"14","Snrnp70","2010300C02Rik",0.0875030197349596
"15","Pbx1","Nyap2",0.100367862757984
"16","Esrrg","Nyap2",0.0519594819569808
"17","Runx2","Nyap2",0.0299157978781406
"18","Nfib","Nyap2",0.112787983816832
"19","Smarca5","Nyap2",0.0365703892380917
"20","Bcl11a","Nyap2",0.0845831970950017
"21","Nfix","Nyap2",0.0645557287103096
"22","Parp1","Nyap2",0.0295416405003335
"23","Celf4","Nyap2",0.144755322266268
"24","Hnrnpll","Nyap2",0.0466656196550929
"25","Las1l","Nyap2",0.0936481177890017
"26","Luzp1","Nyap2",0.0345297522753895
"27","Luzp2","Nyap2",0.0729475640887802
"28","Snrnp70","Nyap2",0.0971715419717929
"29","Pbx1","Pid1",0.10469427604052
"30","Esrrg","Pid1",0.0411631468589921
"31","Runx2","Pid1",0.0285388092850109
"32","Nfib","Pid1",0.137981134281253
"33","Smarca5","Pid1",0.0330710788111267
"34","Bcl11a","Pid1",0.0684606747734605
"35","Nfix","Pid1",0.058456661278893
"36","Parp1","Pid1",0.0269377682701214
"37","Celf4","Pid1",0.0798808469587926
"38","Hnrnpll","Pid1",0.0405403264969013
"39","Las1l","Pid1",0.0643483825462362
"40","Luzp1","Pid1",0.0337736344426145
"41","Luzp2","Pid1",0.185133012440772
"42","Snrnp70","Pid1",0.0970202475153056
"43","Pbx1","R3hdm1",0.10838785049096
"44","Esrrg","R3hdm1",0.0342152400556166
"45","Runx2","R3hdm1",0.0578993828983443
"46","Nfib","R3hdm1",0.142332527294841
"47","Smarca5","R3hdm1",0.0310054820605717
"48","Bcl11a","R3hdm1",0.125098427393612
"49","Nfix","R3hdm1",0.0686999699862628
"50","Parp1","R3hdm1",0.0239531359204111
"51","Celf4","R3hdm1",0.109385382385307
"52","Hnrnpll","R3hdm1",0.0439287177240435
"53","Las1l","R3hdm1",0.0588032516652697
"54","Luzp1","R3hdm1",0.0290902127742598
"55","Luzp2","R3hdm1",0.0733590887360564
"56","Snrnp70","R3hdm1",0.0938413306144446
"57","Pbx1","Nme7",0.120853906654004
"58","Esrrg","Nme7",0.0445993718416509
"59","Runx2","Nme7",0.0317386817573951
"60","Nfib","Nme7",0.130724886969826
"61","Smarca5","Nme7",0.0407866786155442
"62","Bcl11a","Nme7",0.0765902911662399
"63","Nfix","Nme7",0.0756163394557811
"64","Parp1","Nme7",0.0339355093563094
"65","Celf4","Nme7",0.0964969480809563
"66","Hnrnpll","Nme7",0.0462637181801717
"67","Las1l","Nme7",0.0757355909241578
"68","Luzp1","Nme7",0.0398829134768265
"69","Luzp2","Nme7",0.0717580705361869
"70","Snrnp70","Nme7",0.115017092984951
"71","Pbx1","Pbx1",0
"72","Esrrg","Pbx1",0.0528223132930004
"73","Runx2","Pbx1",0.0290164113654511
"74","Nfib","Pbx1",0.166459187918559
"75","Smarca5","Pbx1",0.0406473053525164
"76","Bcl11a","Pbx1",0.112062528131994
