"","target","source","weight"
"1","Klf7","Prex2",0.0811259836295159
"2","Pbx1","Prex2",0.197683250066651
"3","Klf8","Prex2",0.0456867857647171
"4","Bach2","Prex2",0.0994543119924867
"5","Nfkb1","Prex2",0.0446309683363994
"6","Cnot3","Prex2",0.0438767515973095
"7","Zfp536","Prex2",0.0586768226990243
"8","Lcorl","Prex2",0.0708670492619936
"9","Foxn3","Prex2",0.0869615309224381
"10","Zfp704","Prex2",0.0533552343853727
"11","Hdac8","Prex2",0.0954798713869574
"12","Kcnip1","Prex2",0.0514534910402961
"13","Rufy3","Prex2",0.0707479489168385
"14","Klf7","Kcnq5",0.0970876070106574
"15","Pbx1","Kcnq5",0.12800507053268
"16","Klf8","Kcnq5",0.0770553626637153
"17","Bach2","Kcnq5",0.084180660452379
"18","Nfkb1","Kcnq5",0.0330197645801743
"19","Cnot3","Kcnq5",0.0314509823109018
"20","Zfp536","Kcnq5",0.127683943255108
"21","Lcorl","Kcnq5",0.068129107234894
"22","Foxn3","Kcnq5",0.0861816098148564
"23","Zfp704","Kcnq5",0.0502097722914572
"24","Hdac8","Kcnq5",0.0804667310963258
"25","Kcnip1","Kcnq5",0.0550979707970054
"26","Rufy3","Kcnq5",0.0814314179598457
"27","Klf7","Nck2",0.0865291411977698
"28","Pbx1","Nck2",0.137427958392795
"29","Klf8","Nck2",0.0700089902185143
"30","Bach2","Nck2",0.104833283358503
"31","Nfkb1","Nck2",0.0479635346062334
"32","Cnot3","Nck2",0.0501102321585951
"33","Zfp536","Nck2",0.0697492394490466
"34","Lcorl","Nck2",0.0840801810900933
"35","Foxn3","Nck2",0.0920033106645876
"36","Zfp704","Nck2",0.0696100654176688
"37","Hdac8","Nck2",0.0591918687176871
"38","Kcnip1","Nck2",0.0368483859395219
"39","Rufy3","Nck2",0.0916438087889847
"40","Klf7","Raph1",0.101414564792855
"41","Pbx1","Raph1",0.13483351101867
"42","Klf8","Raph1",0.0956679920586679
"43","Bach2","Raph1",0.101412870841004
"44","Nfkb1","Raph1",0.0429885389542795
"45","Cnot3","Raph1",0.0456894870602146
"46","Zfp536","Raph1",0.068583549322239
"47","Lcorl","Raph1",0.0752181620321706
"48","Foxn3","Raph1",0.0845905695219823
"49","Zfp704","Raph1",0.0656030631862696
"50","Hdac8","Raph1",0.061364153570967
"51","Kcnip1","Raph1",0.0371867761803948
"52","Rufy3","Raph1",0.0854467614602852
"53","Klf7","Klf7",0
"54","Pbx1","Klf7",0.163079406047359
"55","Klf8","Klf7",0.0806458919752703
"56","Bach2","Klf7",0.112832963004754
"57","Nfkb1","Klf7",0.0517105529190351
"58","Cnot3","Klf7",0.0544036986061915
"59","Zfp536","Klf7",0.071397409113125
"60","Lcorl","Klf7",0.0871082018891432
"61","Foxn3","Klf7",0.0973907758568396
"62","Zfp704","Klf7",0.0738719127192773
"63","Hdac8","Klf7",0.0685328566402977
"64","Kcnip1","Klf7",0.0465030652996829
"65","Rufy3","Klf7",0.0925232659290245
"66","Klf7","Map2",0.0840298040943616
"67","Pbx1","Map2",0.140416873812374
"68","Klf8","Map2",0.065893009282737
"69","Bach2","Map2",0.0992088633097765
"70","Nfkb1","Map2",0.0439173189611901
"71","Cnot3","Map2",0.0479384984980866
"72","Zfp536","Map2",0.0736185468190182
"73","Lcorl","Map2",0.0797372989147228
"74","Foxn3","Map2",0.0931053430939248
"75","Zfp704","Map2",0.064256083816056
"76","Hdac8","Map2",0.0799295467451068
"77","Kcnip1","Map2",0.0457745988999035
