"","target","source","weight"
"1","Pbx1","A830018L16Rik",0.197763680543679
"2","Ezh2","A830018L16Rik",0.107584699327484
"3","Lcorl","A830018L16Rik",0.161912317500188
"4","Zfp644","A830018L16Rik",0.140088987956979
"5","Kdm4c","A830018L16Rik",0.182168588415231
"6","Snrnp70","A830018L16Rik",0.21048172625644
"7","Pbx1","Kcnq5",0.231864174023557
"8","Ezh2","Kcnq5",0.119038792134734
"9","Lcorl","Kcnq5",0.130808445878951
"10","Zfp644","Kcnq5",0.123792834621021
"11","Kdm4c","Kcnq5",0.19677812784541
"12","Snrnp70","Kcnq5",0.197717625496327
"13","Pbx1","Dpp10",0.271943770475007
"14","Ezh2","Dpp10",0.0994174284398718
"15","Lcorl","Dpp10",0.127346517738054
"16","Zfp644","Dpp10",0.132498140816725
"17","Kdm4c","Dpp10",0.170050026875481
"18","Snrnp70","Dpp10",0.198744115654862
"19","Pbx1","Cdc73",0.228684450933879
"20","Ezh2","Cdc73",0.100387736829679
"21","Lcorl","Cdc73",0.14216407435008
"22","Zfp644","Cdc73",0.135238120659401
"23","Kdm4c","Cdc73",0.16802602726241
"24","Snrnp70","Cdc73",0.22549958996455
"25","Pbx1","Rgl1",0.201258562443288
"26","Ezh2","Rgl1",0.0948078204059071
"27","Lcorl","Rgl1",0.138948706913897
"28","Zfp644","Rgl1",0.150002373327228
"29","Kdm4c","Rgl1",0.189135774805984
"30","Snrnp70","Rgl1",0.225846762103696
"31","Pbx1","Pbx1",0
"32","Ezh2","Pbx1",0.127420470895764
"33","Lcorl","Pbx1",0.20217793825885
"34","Zfp644","Pbx1",0.163058521602108
"35","Kdm4c","Pbx1",0.232098097258072
"36","Snrnp70","Pbx1",0.275244971985205
"37","Pbx1","Itga8",0.236064298964514
"38","Ezh2","Itga8",0.102124805417276
"39","Lcorl","Itga8",0.137064820373161
"40","Zfp644","Itga8",0.13078266512671
"41","Kdm4c","Itga8",0.173690048193916
"42","Snrnp70","Itga8",0.220273361924423
"43","Pbx1","Sptan1",0.220792457361381
"44","Ezh2","Sptan1",0.109532098888175
"45","Lcorl","Sptan1",0.143899717488882
"46","Zfp644","Sptan1",0.130178167376213
"47","Kdm4c","Sptan1",0.170493438482018
"48","Snrnp70","Sptan1",0.22510412040333
"49","Pbx1","Upp2",0.216755549279832
"50","Ezh2","Upp2",0.095516554634987
"51","Lcorl","Upp2",0.140756554858671
"52","Zfp644","Upp2",0.138509844323707
"53","Kdm4c","Upp2",0.185793539273898
"54","Snrnp70","Upp2",0.222667957628904
"55","Pbx1","Cwc22",0.21957952691012
"56","Ezh2","Cwc22",0.100150401179211
"57","Lcorl","Cwc22",0.14363191347873
"58","Zfp644","Cwc22",0.136587542037748
"59","Kdm4c","Cwc22",0.177382884589575
"60","Snrnp70","Cwc22",0.222667731804615
"61","Pbx1","Nnat",0.232438213748823
"62","Ezh2","Nnat",0.105935771082596
"63","Lcorl","Nnat",0.156703827060597
"64","Zfp644","Nnat",0.116927356458687
"65","Kdm4c","Nnat",0.166018268976589
"66","Snrnp70","Nnat",0.221976562672709
"67","Pbx1","Snhg11",0.173449468353754
"68","Ezh2","Snhg11",0.187144407874475
"69","Lcorl","Snhg11",0.141035876385999
"70","Zfp644","Snhg11",0.104759128085322
"71","Kdm4c","Snhg11",0.199272860394276
"72","Snrnp70","Snhg11",0.194338258906174
"73","Pbx1","Fat4",0.226883183898788
"74","Ezh2","Fat4",0.0982158469628289
"75","Lcorl","Fat4",0.177707241904943
"76","Zfp644","Fat4",0.11856889532284
"77","Kdm4c","Fat4",0.162637939330916
"78","Snrnp70","Fat4",0.215986892579684
"79","Pbx1","Gm43376",0.216247191192399
"80","Ezh2","Gm43376",0.102876961105342
"81","Lcorl","Gm43376",0.147318629678117
"82","Zfp644","Gm43376",0.131464550692962
"83","Kdm4c","Gm43376",0.173930448967948
"84","Snrnp70","Gm43376",0.228162218363232
"85","Pbx1","4930509J09Rik",0.243410245241102
"86","Ezh2","4930509J09Rik",0.0980828310353678
"87","Lcorl","4930509J09Rik",0.14845753022784
"88","Zfp644","4930509J09Rik",0.128357632506783
"89","Kdm4c","4930509J09Rik",0.164852653456427
"90","Snrnp70","4930509J09Rik",0.21683910753248
"91","Pbx1","Gria2",0.254539482200699
"92","Ezh2","Gria2",0.11186258209609
"93","Lcorl","Gria2",0.130111383669769
"94","Zfp644","Gria2",0.124648992491743
"95","Kdm4c","Gria2",0.152045260805943
"96","Snrnp70","Gria2",0.226792298735755
"97","Pbx1","Negr1",0.220233836815945
"98","Ezh2","Negr1",0.0916740721053062
"99","Lcorl","Negr1",0.21795368071383
"100","Zfp644","Negr1",0.116604702884592
"101","Kdm4c","Negr1",0.152882679707571
"102","Snrnp70","Negr1",0.200651027772755
"103","Pbx1","Orc3",0.23730028714586
"104","Ezh2","Orc3",0.104445744948778
"105","Lcorl","Orc3",0.145839167681668
"106","Zfp644","Orc3",0.123413248474028
"107","Kdm4c","Orc3",0.160951735800878
"108","Snrnp70","Orc3",0.228049815948788
"109","Pbx1","Kdm4c",0.261242040020688
"110","Ezh2","Kdm4c",0.118065512953966
"111","Lcorl","Kdm4c",0.182205459285969
"112","Zfp644","Kdm4c",0.164877799259804
"113","Kdm4c","Kdm4c",0
"114","Snrnp70","Kdm4c",0.273609188479572
"115","Pbx1","Rundc3b",0.2044645833714
"116","Ezh2","Rundc3b",0.104045674912402
"117","Lcorl","Rundc3b",0.145369823876191
"118","Zfp644","Rundc3b",0.140219669530801
"119","Kdm4c","Rundc3b",0.183183760148654
"120","Snrnp70","Rundc3b",0.222716488160552
"121","Pbx1","Dmtf1",0.231746119248106
"122","Ezh2","Dmtf1",0.103505548260256
"123","Lcorl","Dmtf1",0.141957193432902
"124","Zfp644","Dmtf1",0.129713259121993
"125","Kdm4c","Dmtf1",0.165388315364478
"126","Snrnp70","Dmtf1",0.227689564572266
"127","Pbx1","Rsbn1l",0.238492629044593
"128","Ezh2","Rsbn1l",0.103302490828988
"129","Lcorl","Rsbn1l",0.145662997206581
"130","Zfp644","Rsbn1l",0.122916622994159
"131","Kdm4c","Rsbn1l",0.164121507490946
"132","Snrnp70","Rsbn1l",0.225503752434733
"133","Pbx1","D5Ertd579e",0.213585564289787
"134","Ezh2","D5Ertd579e",0.0959373024296729
"135","Lcorl","D5Ertd579e",0.139921929896361
"136","Zfp644","D5Ertd579e",0.134730763277803
"137","Kdm4c","D5Ertd579e",0.195174815150377
"138","Snrnp70","D5Ertd579e",0.220649624955998
"139","Pbx1","Lcorl",0.285800890285538
"140","Ezh2","Lcorl",0.111483779343339
"141","Lcorl","Lcorl",0
"142","Zfp644","Lcorl",0.148292026225808
"143","Kdm4c","Lcorl",0.201043700419129
"144","Snrnp70","Lcorl",0.253379603726186
"145","Pbx1","Pcdh7",0.239814706534973
"146","Ezh2","Pcdh7",0.105091631704363
"147","Lcorl","Pcdh7",0.160109031460855
"148","Zfp644","Pcdh7",0.142968184374673
"149","Kdm4c","Pcdh7",0.15822229199234
"150","Snrnp70","Pcdh7",0.193794153932797
"151","Pbx1","Zfp644",0.252709041020121
"152","Ezh2","Zfp644",0.117606476200216
"153","Lcorl","Zfp644",0.174027405150094
"154","Zfp644","Zfp644",0
"155","Kdm4c","Zfp644",0.195342906112554
"156","Snrnp70","Zfp644",0.260314171517016
"157","Pbx1","Cox6a1",0.234939583415469
"158","Ezh2","Cox6a1",0.0940744672368945
"159","Lcorl","Cox6a1",0.144561946290079
"160","Zfp644","Cox6a1",0.125618292178293
"161","Kdm4c","Cox6a1",0.168155625159555
"162","Snrnp70","Cox6a1",0.23265008571971
"163","Pbx1","Mtus2",0.196303042686554
"164","Ezh2","Mtus2",0.118835411299737
"165","Lcorl","Mtus2",0.14175200880124
"166","Zfp644","Mtus2",0.131634535890269
"167","Kdm4c","Mtus2",0.18564321448879
"168","Snrnp70","Mtus2",0.225831786833409
"169","Pbx1","Bmt2",0.220607137754924
"170","Ezh2","Bmt2",0.0984788185268129
"171","Lcorl","Bmt2",0.146595031073438
"172","Zfp644","Bmt2",0.134381692590653
"173","Kdm4c","Bmt2",0.171980525182652
"174","Snrnp70","Bmt2",0.227956794871519
"175","Pbx1","Cadps2",0.227073643908365
"176","Ezh2","Cadps2",0.0986974250039306
"177","Lcorl","Cadps2",0.132022383244429
"178","Zfp644","Cadps2",0.132355603156129
"179","Kdm4c","Cadps2",0.189317346648097
