"","target","source","weight"
"1","Sox5","Kcnh1",0.132246732005189
"2","Rora","Kcnh1",0.15611383074523
"3","Tcf4","Kcnh1",0.257037235114999
"4","Pbx3","Kcnh1",0.0433830403564856
"5","Las1l","Kcnh1",0.145095624409806
"6","Mkx","Kcnh1",0.0622894956056766
"7","Snrnp70","Kcnh1",0.203834041762614
"8","Sox5","Pbx3",0.173548997725448
"9","Rora","Pbx3",0.189186333025638
"10","Tcf4","Pbx3",0.26592541031724
"11","Pbx3","Pbx3",0
"12","Las1l","Pbx3",0.139292211907208
"13","Mkx","Pbx3",0.0284927075694611
"14","Snrnp70","Pbx3",0.203554339455006
"15","Sox5","Kcnh7",0.129609279074032
"16","Rora","Kcnh7",0.212885781060154
"17","Tcf4","Kcnh7",0.223808714793
"18","Pbx3","Kcnh7",0.0479558869558057
"19","Las1l","Kcnh7",0.147685228924336
"20","Mkx","Kcnh7",0.0385979867970014
"21","Snrnp70","Kcnh7",0.19945712239567
"22","Sox5","Cwc22",0.131549550913956
"23","Rora","Cwc22",0.162787536360331
"24","Tcf4","Cwc22",0.271841055201949
"25","Pbx3","Cwc22",0.0502258264320466
"26","Las1l","Cwc22",0.135975976032122
"27","Mkx","Cwc22",0.0313261957181139
"28","Snrnp70","Cwc22",0.216293859341481
"29","Sox5","Snhg11",0.165289161657669
"30","Rora","Snhg11",0.224605718413656
"31","Tcf4","Snhg11",0.165111401576339
"32","Pbx3","Snhg11",0.0395424072729712
"33","Las1l","Snhg11",0.212788834575933
"34","Mkx","Snhg11",0.0315161333487087
"35","Snrnp70","Snhg11",0.161146343154723
"36","Sox5","Nlgn1",0.135981111090363
"37","Rora","Nlgn1",0.151319423388225
"38","Tcf4","Nlgn1",0.258359338540691
"39","Pbx3","Nlgn1",0.0671197667943552
"40","Las1l","Nlgn1",0.139136308216341
"41","Mkx","Nlgn1",0.0512325398260977
"42","Snrnp70","Nlgn1",0.196851512143927
"43","Sox5","Egfem1",0.167701087435452
"44","Rora","Egfem1",0.176340451439355
"45","Tcf4","Egfem1",0.239546362974438
"46","Pbx3","Egfem1",0.0502339091869172
"47","Las1l","Egfem1",0.13552921811676
"48","Mkx","Egfem1",0.0350336624289326
"49","Snrnp70","Egfem1",0.195615308418144
"50","Sox5","Pex5l",0.168360747906108
"51","Rora","Pex5l",0.18018748306583
"52","Tcf4","Pex5l",0.180661097731817
"53","Pbx3","Pex5l",0.0641030565615224
"54","Las1l","Pex5l",0.177546557504871
"55","Mkx","Pex5l",0.029181916664354
"56","Snrnp70","Pex5l",0.199959140565498
"57","Sox5","Lhfp",0.132937808405399
"58","Rora","Lhfp",0.30029552826481
"59","Tcf4","Lhfp",0.22678574902701
"60","Pbx3","Lhfp",0.0485559804602159
"61","Las1l","Lhfp",0.0983050114307608
"62","Mkx","Lhfp",0.0277689318857658
"63","Snrnp70","Lhfp",0.165350990526038
"64","Sox5","Fstl5",0.142523997647016
"65","Rora","Fstl5",0.187694217570103
"66","Tcf4","Fstl5",0.247137605799446
"67","Pbx3","Fstl5",0.052275556367449
"68","Las1l","Fstl5",0.144070237358181
"69","Mkx","Fstl5",0.0384805138825447
"70","Snrnp70","Fstl5",0.18781787137526
"71","Sox5","Adgrl2",0.205152939944843
"72","Rora","Adgrl2",0.151982901203779
"73","Tcf4","Adgrl2",0.215551544647906
"74","Pbx3","Adgrl2",0.0712986016247278
"75","Las1l","Adgrl2",0.139345005407651
"76","Mkx","Adgrl2",0.0335718246497154
"77","Snrnp70","Adgrl2",0.183097182521377
"78","Sox5","Sh3gl2",0.183579555770654
"79","Rora","Sh3gl2",0.178297356953254
"80","Tcf4","Sh3gl2",0.248922306339891
"81","Pbx3","Sh3gl2",0.0464938163542271
"82","Las1l","Sh3gl2",0.129736337099723
"83","Mkx","Sh3gl2",0.0279056096862632
"84","Snrnp70","Sh3gl2",0.185065017795988
"85","Sox5","Dab1",0.0951059367874113
"86","Rora","Dab1",0.322813400789381
"87","Tcf4","Dab1",0.21082001550835
"88","Pbx3","Dab1",0.0433386271474525
"89","Las1l","Dab1",0.110216885337092
"90","Mkx","Dab1",0.0432524417494391
"91","Snrnp70","Dab1",0.174452692680875
"92","Sox5","Grm3",0.177797607987804
"93","Rora","Grm3",0.296255394007508
"94","Tcf4","Grm3",0.205521898607693
"95","Pbx3","Grm3",0.0445448198373174
"96","Las1l","Grm3",0.0895791392132764
"97","Mkx","Grm3",0.029762858282527
"98","Snrnp70","Grm3",0.156538282063874
"99","Sox5","Slit2",0.167220272599638
"100","Rora","Slit2",0.182122971915745
"101","Tcf4","Slit2",0.236921013495714
"102","Pbx3","Slit2",0.0456030046095489
"103","Las1l","Slit2",0.14166725572104
"104","Mkx","Slit2",0.0401269557777804
"105","Snrnp70","Slit2",0.186338525880534
"106","Sox5","Adgrl3",0.171187362536522
"107","Rora","Adgrl3",0.160478580486368
"108","Tcf4","Adgrl3",0.257901297090294
"109","Pbx3","Adgrl3",0.0535272800675235
"110","Las1l","Adgrl3",0.136577841563492
"111","Mkx","Adgrl3",0.0278657990491932
"112","Snrnp70","Adgrl3",0.192461839206607
"113","Sox5","Epha5",0.136261462509641
"114","Rora","Epha5",0.158628214908232
"115","Tcf4","Epha5",0.251074888670063
"116","Pbx3","Epha5",0.0486357483256558
"117","Las1l","Epha5",0.176897969814667
"118","Mkx","Epha5",0.0283685221008329
"119","Snrnp70","Epha5",0.200133193670909
"120","Sox5","Adamts3",0.136095788872585
"121","Rora","Adamts3",0.175295361631364
"122","Tcf4","Adamts3",0.265346652626392
"123","Pbx3","Adamts3",0.0441464549731903
"124","Las1l","Adamts3",0.137615706678372
"125","Mkx","Adamts3",0.0354433082582372
"126","Snrnp70","Adamts3",0.20605672695986
"127","Sox5","Actb",0.128861660700132
"128","Rora","Actb",0.173532806107052
"129","Tcf4","Actb",0.272616619650959
"130","Pbx3","Actb",0.047603584223502
"131","Las1l","Actb",0.135384921491295
"132","Mkx","Actb",0.0281799020634261
"133","Snrnp70","Actb",0.213820505763633
"134","Sox5","Grid2",0.130355318993952
"135","Rora","Grid2",0.223425281352689
"136","Tcf4","Grid2",0.305643749298932
"137","Pbx3","Grid2",0.0413286796092826
"138","Las1l","Grid2",0.107857557822275
"139","Mkx","Grid2",0.0383523227256084
"140","Snrnp70","Grid2",0.15303709019726
"141","Sox5","Gapdh",0.129695693182477
"142","Rora","Gapdh",0.158583907788996
"143","Tcf4","Gapdh",0.281678449120162
"144","Pbx3","Gapdh",0.048243231832263
"145","Las1l","Gapdh",0.137282277721192
"146","Mkx","Gapdh",0.0339434044531542
"147","Snrnp70","Gapdh",0.210573035901754
"148","Sox5","Sox5",0
"149","Rora","Sox5",0.209370661422181
"150","Tcf4","Sox5",0.373369106794711
"151","Pbx3","Sox5",0.0750260128547872
"152","Las1l","Sox5",0.134470270465902
"153","Mkx","Sox5",0.0472198181940327
"154","Snrnp70","Sox5",0.160544130268387
"155","Sox5","Snrnp70",0.179182195912764
"156","Rora","Snrnp70",0.215266423672832
"157","Tcf4","Snrnp70",0.318363456288026
"158","Pbx3","Snrnp70",0.0725454613530175
"159","Las1l","Snrnp70",0.174185212028454
"160","Mkx","Snrnp70",0.0404572507449061
"161","Snrnp70","Snrnp70",0
"162","Sox5","Hs3st2",0.22191735825764
"163","Rora","Hs3st2",0.14996462362129
"164","Tcf4","Hs3st2",0.249993779135463
"165","Pbx3","Hs3st2",0.0427614007785591
"166","Las1l","Hs3st2",0.129733190035822
"167","Mkx","Hs3st2",0.0413354469506263
"168","Snrnp70","Hs3st2",0.164294201220601
"169","Sox5","Cpne7",0.198557939317599
"170","Rora","Cpne7",0.171584241393419
"171","Tcf4","Cpne7",0.246289603625973
"172","Pbx3","Cpne7",0.0578980189075521
"173","Las1l","Cpne7",0.12568150514332
"174","Mkx","Cpne7",0.034565755615931
"175","Snrnp70","Cpne7",0.165422935996206
"176","Sox5","Fat3",0.13724315978952
"177","Rora","Fat3",0.159957502390135
"178","Tcf4","Fat3",0.260567742048402
"179","Pbx3","Fat3",0.0546286891581633
"180","Las1l","Fat3",0.143487114824073
"181","Mkx","Fat3",0.0346823156800608
"182","Snrnp70","Fat3",0.209433476109647
"183","Sox5","Hspa8",0.13356983757528
"184","Rora","Hspa8",0.174305530337459
"185","Tcf4","Hspa8",0.271127162223809
"186","Pbx3","Hspa8",0.0476094704798177
"187","Las1l","Hspa8",0.136286964182296
"188","Mkx","Hspa8",0.027537318079363
"189","Snrnp70","Hspa8",0.209563717121976
"190","Sox5","Cadm1",0.114644392927654
"191","Rora","Cadm1",0.214870009410686
"192","Tcf4","Cadm1",0.260581203187842
"193","Pbx3","Cadm1",0.0520686801454503
"194","Las1l","Cadm1",0.128025268319675
"195","Mkx","Cadm1",0.0302853660111428
"196","Snrnp70","Cadm1",0.199525079997549
"197","Sox5","Rora",0.208139744218536
"198","Rora","Rora",0
"199","Tcf4","Rora",0.295149434737138
"200","Pbx3","Rora",0.0826384590376257
"201","Las1l","Rora",0.152951690260124
"202","Mkx","Rora",0.0496537328649999
"203","Snrnp70","Rora",0.211466938881577
"204","Sox5","Camkv",0.114684397894291
"205","Rora","Camkv",0.221514473697365
"206","Tcf4","Camkv",0.245792967414991
"207","Pbx3","Camkv",0.0422466926419112
"208","Las1l","Camkv",0.144494445512417
"209","Mkx","Camkv",0.0308035722628686
"210","Snrnp70","Camkv",0.200463450576156
"211","Sox5","Utrn",0.114821513744945
"212","Rora","Utrn",0.202449409100769
"213","Tcf4","Utrn",0.25865449318159
"214","Pbx3","Utrn",0.0505582916505211
"215","Las1l","Utrn",0.126387454671769
"216","Mkx","Utrn",0.0509014556143343
"217","Snrnp70","Utrn",0.196227382036072
"218","Sox5","Gm34544",0.162209448749976
"219","Rora","Gm34544",0.142932788711766
"220","Tcf4","Gm34544",0.240092092709808
"221","Pbx3","Gm34544",0.0460931567646409
"222","Las1l","Gm34544",0.169452520739496
"223","Mkx","Gm34544",0.0395955716091084
"224","Snrnp70","Gm34544",0.199624420715205
"225","Sox5","Pcdh15",0.170086090184785
"226","Rora","Pcdh15",0.169877836905177
"227","Tcf4","Pcdh15",0.269715480555822
"228","Pbx3","Pcdh15",0.0494460186115489
"229","Las1l","Pcdh15",0.122003734779477
"230","Mkx","Pcdh15",0.0336797486823821
"231","Snrnp70","Pcdh15",0.185191090280807
"232","Sox5","5730522E02Rik",0.107410675075288
"233","Rora","5730522E02Rik",0.296290746758286
"234","Tcf4","5730522E02Rik",0.191452206950514
"235","Pbx3","5730522E02Rik",0.0504469843888781
"236","Las1l","5730522E02Rik",0.124741233886712
"237","Mkx","5730522E02Rik",0.0433675236542478
"238","Snrnp70","5730522E02Rik",0.186290629286073
"239","Sox5","Tenm2",0.0928795207659439
"240","Rora","Tenm2",0.394470707768305
"241","Tcf4","Tenm2",0.143054000275257
"242","Pbx3","Tenm2",0.0428586345527905
"243","Las1l","Tenm2",0.132329065851704
"244","Mkx","Tenm2",0.0260864524850327
"245","Snrnp70","Tenm2",0.168321618300966
"246","Sox5","Ddx5",0.139703372317096
"247","Rora","Ddx5",0.157729424397022
"248","Tcf4","Ddx5",0.28042620256975
"249","Pbx3","Ddx5",0.0463314134744569
"250","Las1l","Ddx5",0.126688840144238
"251","Mkx","Ddx5",0.0294840362388496
"252","Snrnp70","Ddx5",0.219636710858587
"253","Sox5","Klhl29",0.11980009472715
"254","Rora","Klhl29",0.173578365037201
"255","Tcf4","Klhl29",0.223833832840827
"256","Pbx3","Klhl29",0.0498335838908798
"257","Las1l","Klhl29",0.168442445051046
"258","Mkx","Klhl29",0.0479833025344923
"259","Snrnp70","Klhl29",0.216528375918405
"260","Sox5","Hsp90aa1",0.132017994946147
"261","Rora","Hsp90aa1",0.170382668446905
"262","Tcf4","Hsp90aa1",0.270447356196089
"263","Pbx3","Hsp90aa1",0.0467938506828305
"264","Las1l","Hsp90aa1",0.138008804233772
"265","Mkx","Hsp90aa1",0.0306549890597955
"266","Snrnp70","Hsp90aa1",0.211694336434461
"267","Sox5","Ckb",0.133773602949699
"268","Rora","Ckb",0.171200709283458
"269","Tcf4","Ckb",0.279460700925804
