"","target","source","weight"
"1","Sox5","Vxn",0.115195379334733
"2","Pbx1","Vxn",0.0799452595173578
"3","Pou2f2","Vxn",0.0242061943285422
"4","Foxp1","Vxn",0.0590369529868037
"5","Esrrg","Vxn",0.0323692409232239
"6","Rora","Vxn",0.0745542952747091
"7","Tcf4","Vxn",0.107780248454373
"8","Bach2","Vxn",0.0567795908461395
"9","Bcl11a","Vxn",0.0469217738576746
"10","Nfix","Vxn",0.0438511647201384
"11","Zbtb16","Vxn",0.0312655830520567
"12","Zeb2","Vxn",0.0752392401186355
"13","Zfp811","Vxn",0.0214420072386014
"14","Hnrnpll","Vxn",0.0411131607016857
"15","Las1l","Vxn",0.0439752274687394
"16","Rufy3","Vxn",0.0453458749582031
"17","Snrnp70","Vxn",0.0761825517111842
"18","Zmat4","Vxn",0.0247962545071994
"19","Sox5","Kcnq5",0.062247827864808
"20","Pbx1","Kcnq5",0.085475725748987
"21","Pou2f2","Kcnq5",0.0133451062353324
"22","Foxp1","Kcnq5",0.112213247121509
"23","Esrrg","Kcnq5",0.025303762734347
"24","Rora","Kcnq5",0.0552196124701634
"25","Tcf4","Kcnq5",0.0859528947086546
"26","Bach2","Kcnq5",0.05265329208946
"27","Bcl11a","Kcnq5",0.129458116770708
"28","Nfix","Kcnq5",0.0579074449750531
"29","Zbtb16","Kcnq5",0.0342695453233157
"30","Zeb2","Kcnq5",0.0556889019634336
"31","Zfp811","Kcnq5",0.0130736810664387
"32","Hnrnpll","Kcnq5",0.0262574019282459
"33","Las1l","Kcnq5",0.0601188821656491
"34","Rufy3","Kcnq5",0.0424094778892213
"35","Snrnp70","Kcnq5",0.0543338628402665
"36","Zmat4","Kcnq5",0.034071216104406
"37","Sox5","Itm2c",0.0562558812817037
"38","Pbx1","Itm2c",0.0804141374041152
"39","Pou2f2","Itm2c",0.0189011594133701
"40","Foxp1","Itm2c",0.0636605142231478
"41","Esrrg","Itm2c",0.0298553324346596
"42","Rora","Itm2c",0.0683093698296459
"43","Tcf4","Itm2c",0.11668581456507
"44","Bach2","Itm2c",0.0553553173571881
"45","Bcl11a","Itm2c",0.0549995460836169
"46","Nfix","Itm2c",0.0556336405760998
"47","Zbtb16","Itm2c",0.0464831712280527
"48","Zeb2","Itm2c",0.0788378517761792
"49","Zfp811","Itm2c",0.0152935848226219
"50","Hnrnpll","Itm2c",0.0357999813087222
"51","Las1l","Itm2c",0.0473506728110389
"52","Rufy3","Itm2c",0.0522882335096648
"53","Snrnp70","Itm2c",0.0826464224944643
"54","Zmat4","Itm2c",0.0412293688806391
"55","Sox5","Agap1",0.0650605417976265
"56","Pbx1","Agap1",0.084137922909056
"57","Pou2f2","Agap1",0.0203795615539214
"58","Foxp1","Agap1",0.0653210708600382
"59","Esrrg","Agap1",0.0323313092592432
"60","Rora","Agap1",0.0715959713605707
"61","Tcf4","Agap1",0.109691773063984
"62","Bach2","Agap1",0.0652933180998261
"63","Bcl11a","Agap1",0.053032819943981
"64","Nfix","Agap1",0.0543548235174573
"65","Zbtb16","Agap1",0.0314343174775867
"66","Zeb2","Agap1",0.0823584540339907
"67","Zfp811","Agap1",0.0223936967238879
"68","Hnrnpll","Agap1",0.0327265354043245
"69","Las1l","Agap1",0.0480356995656914
"70","Rufy3","Agap1",0.0511582999399867
"71","Snrnp70","Agap1",0.08254046345142
"72","Zmat4","Agap1",0.0281534210374076
"73","Sox5","Rnf152",0.0530824788056552
"74","Pbx1","Rnf152",0.0830874602498675
"75","Pou2f2","Rnf152",0.0212098798461142
"76","Foxp1","Rnf152",0.0801371783115047
"77","Esrrg","Rnf152",0.055176423503536
"78","Rora","Rnf152",0.0634098753575641
"79","Tcf4","Rnf152",0.0977859934327404
"80","Bach2","Rnf152",0.0565958777236042
"81","Bcl11a","Rnf152",0.0686031739455236
"82","Nfix","Rnf152",0.0519891976610075
"83","Zbtb16","Rnf152",0.0313970689654905
"84","Zeb2","Rnf152",0.0755675191212108
"85","Zfp811","Rnf152",0.0212947381180026
"86","Hnrnpll","Rnf152",0.0345413083021871
"87","Las1l","Rnf152",0.0510588545303439
"88","Rufy3","Rnf152",0.0504680748994793
"89","Snrnp70","Rnf152",0.0748754210562168
"90","Zmat4","Rnf152",0.0297194761699518
"91","Sox5","Dpp10",0.092173615150964
"92","Pbx1","Dpp10",0.0973462127767022
"93","Pou2f2","Dpp10",0.0109950994421589
"94","Foxp1","Dpp10",0.0584743761823361
"95","Esrrg","Dpp10",0.0533490379250798
"96","Rora","Dpp10",0.0690481176232945
"97","Tcf4","Dpp10",0.157030528552249
"98","Bach2","Dpp10",0.0551516874785794
"99","Bcl11a","Dpp10",0.0496327565792898
"100","Nfix","Dpp10",0.0448647729176849
"101","Zbtb16","Dpp10",0.0304294186344287
"102","Zeb2","Dpp10",0.0788075665073448
"103","Zfp811","Dpp10",0.0108437917911516
"104","Hnrnpll","Dpp10",0.0246322375957611
"105","Las1l","Dpp10",0.0375460304799597
"106","Rufy3","Dpp10",0.0306076895422582
"107","Snrnp70","Dpp10",0.0448233865827655
"108","Zmat4","Dpp10",0.0542436742379914
"109","Sox5","R3hdm1",0.0460498122223634
"110","Pbx1","R3hdm1",0.0804562582286864
"111","Pou2f2","R3hdm1",0.0154022947478928
"112","Foxp1","R3hdm1",0.109295947382563
"113","Esrrg","R3hdm1",0.0245183087247815
"114","Rora","R3hdm1",0.0629801900171988
"115","Tcf4","R3hdm1",0.0882578151680706
"116","Bach2","R3hdm1",0.0561611188067645
"117","Bcl11a","R3hdm1",0.0988922261975724
"118","Nfix","R3hdm1",0.0577090887254815
"119","Zbtb16","R3hdm1",0.0526156163351096
"120","Zeb2","R3hdm1",0.066715673617984
