"","target","source","weight"
"1","E2f3","Pcmtd1",0.0258188045297764
"2","Pou2f2","Pcmtd1",0.02165173623257
"3","Foxp2","Pcmtd1",0.0163087541465544
"4","Esrrg","Pcmtd1",0.0321007848051566
"5","Atf7","Pcmtd1",0.046418206829665
"6","Mef2c","Pcmtd1",0.0530748528248337
"7","Atf6","Pcmtd1",0.037906583946255
"8","Mta3","Pcmtd1",0.02618443290131
"9","Zkscan3","Pcmtd1",0.0304345400578284
"10","Satb1","Pcmtd1",0.0307806802320985
"11","Zbtb20","Pcmtd1",0.0957740403671693
"12","Foxn3","Pcmtd1",0.0585992348833364
"13","Kmt2a","Pcmtd1",0.0746744347369984
"14","Lin28b","Pcmtd1",0.013288976975112
"15","Hdac8","Pcmtd1",0.0404087962360295
"16","Zhx3","Pcmtd1",0.0323135188460259
"17","Hivep3","Pcmtd1",0.0627148118371656
"18","Kdm5d","Pcmtd1",0.0297819306397119
"19","Luzp2","Pcmtd1",0.0545485938191598
"20","R3hdm2","Pcmtd1",0.056793582039049
"21","Rnf138","Pcmtd1",0.0284666050411651
"22","Smap2","Pcmtd1",0.0271264000474789
"23","Snrnp70","Pcmtd1",0.0859824472221775
"24","Zfp949","Pcmtd1",0.0188472508033726
"25","E2f3","Jph1",0.0206672966391697
"26","Pou2f2","Jph1",0.0207686155428947
"27","Foxp2","Jph1",0.0165778506302931
"28","Esrrg","Jph1",0.0299402091666393
"29","Atf7","Jph1",0.0381962516782731
"30","Mef2c","Jph1",0.0713550717539275
"31","Atf6","Jph1",0.0473243488611172
"32","Mta3","Jph1",0.023737849081386
"33","Zkscan3","Jph1",0.0259405274916742
"34","Satb1","Jph1",0.0295089282484058
"35","Zbtb20","Jph1",0.152497765888987
"36","Foxn3","Jph1",0.052211435604847
"37","Kmt2a","Jph1",0.0624820863933438
"38","Lin28b","Jph1",0.010395497476913
"39","Hdac8","Jph1",0.0367315159578639
"40","Zhx3","Jph1",0.0274147716345131
"41","Hivep3","Jph1",0.060679253429387
"42","Kdm5d","Jph1",0.0240701142238059
"43","Luzp2","Jph1",0.0616781787909519
"44","R3hdm2","Jph1",0.0509922075347739
"45","Rnf138","Jph1",0.0245929403049952
"46","Smap2","Jph1",0.0239002032077954
"47","Snrnp70","Jph1",0.0734109819306284
"48","Zfp949","Jph1",0.0149260985274139
"49","E2f3","Adgrb3",0.0159625985851608
"50","Pou2f2","Adgrb3",0.0198095719224229
