Description,p.adjust,Regulation,CellType,Comparison
Hepatocellular carcinoma - Mus musculus (house mouse),7.88187200690377e-4,Up,Astrocytes,24hrvs1hr_PTZ
Endometrial cancer - Mus musculus (house mouse),7.88187200690377e-4,Up,Astrocytes,24hrvs1hr_PTZ
Acute myeloid leukemia - Mus musculus (house mouse),9.274014617607711e-4,Up,Astrocytes,24hrvs1hr_PTZ
Colorectal cancer - Mus musculus (house mouse),0.0013836228622714185,Up,Astrocytes,24hrvs1hr_PTZ
Prostate cancer - Mus musculus (house mouse),0.0019858256787527156,Up,Astrocytes,24hrvs1hr_PTZ
Breast cancer - Mus musculus (house mouse),0.003867572044948577,Up,Astrocytes,24hrvs1hr_PTZ
Gastric cancer - Mus musculus (house mouse),0.003867572044948577,Up,Astrocytes,24hrvs1hr_PTZ
Thyroid cancer - Mus musculus (house mouse),0.006445744151255673,Up,Astrocytes,24hrvs1hr_PTZ
Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse),0.009767759138244824,Up,Astrocytes,24hrvs1hr_PTZ
Basal cell carcinoma - Mus musculus (house mouse),0.01494786610281092,Up,Astrocytes,24hrvs1hr_PTZ
ErbB signaling pathway - Mus musculus (house mouse),0.023075328203281713,Up,Astrocytes,24hrvs1hr_PTZ
Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),0.023075328203281713,Up,Astrocytes,24hrvs1hr_PTZ
Adherens junction - Mus musculus (house mouse),0.024329902344873058,Up,Astrocytes,24hrvs1hr_PTZ
Human papillomavirus infection - Mus musculus (house mouse),0.02450363832291358,Up,Astrocytes,24hrvs1hr_PTZ
Melanogenesis - Mus musculus (house mouse),0.024845930519185627,Up,Astrocytes,24hrvs1hr_PTZ
C-type lectin receptor signaling pathway - Mus musculus (house mouse),0.02909492642557684,Up,Astrocytes,24hrvs1hr_PTZ
T cell receptor signaling pathway - Mus musculus (house mouse),0.032371511737369414,Up,Astrocytes,24hrvs1hr_PTZ
Insulin signaling pathway - Mus musculus (house mouse),0.03840549488097725,Up,Astrocytes,24hrvs1hr_PTZ
Alcoholic liver disease - Mus musculus (house mouse),0.03840549488097725,Up,Astrocytes,24hrvs1hr_PTZ
Measles - Mus musculus (house mouse),0.03852371996938866,Up,Astrocytes,24hrvs1hr_PTZ
Phospholipase D signaling pathway - Mus musculus (house mouse),0.03867980404337236,Up,Astrocytes,24hrvs1hr_PTZ
Ubiquitin mediated proteolysis - Mus musculus (house mouse),0.03956826460326899,Up,Astrocytes,24hrvs1hr_PTZ
Hippo signaling pathway - Mus musculus (house mouse),0.03956826460326899,Up,Astrocytes,24hrvs1hr_PTZ
Cushing syndrome - Mus musculus (house mouse),0.03979930317750364,Up,Astrocytes,24hrvs1hr_PTZ
Wnt signaling pathway - Mus musculus (house mouse),0.044348905532238435,Up,Astrocytes,24hrvs1hr_PTZ
Nicotine addiction - Mus musculus (house mouse),0.0010247288439234285,Down,Astrocytes,24hrvs1hr_PTZ
Glutamatergic synapse - Mus musculus (house mouse),0.0024266613449241887,Down,Astrocytes,24hrvs1hr_PTZ
Dopaminergic synapse - Mus musculus (house mouse),0.0034283469603169706,Down,Astrocytes,24hrvs1hr_PTZ
Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),0.004479915761527636,Down,Astrocytes,24hrvs1hr_PTZ
Calcium signaling pathway - Mus musculus (house mouse),0.004479915761527636,Down,Astrocytes,24hrvs1hr_PTZ
