gene,GO,GO_ont,GO_q,DEG_adjp,GO_fc,DEG_log2FC,ID,GO_p,GO_r,GO_ct,GO_cp,DEG_p,DEG_pct1,DEG_pct2,DEG_reg,DEG_sig,DEG_FDR,DEG_edit
Prkcg,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,7.232629897345979e-41,4.35010947393337,0.721836071868865,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,2.88762322727112e-45,0.755,0.703,Up,Sig,40.14070375772229,Prkcg
Magi2,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,2.4430603652694097e-36,4.35010947393337,-0.478471799564663,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,9.75390412132952e-41,0.994,1,Down,Sig,35.612065801966594,Magi2
Nrg1,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,3.22025084336538e-36,4.35010947393337,0.40505147743595,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,1.28568325283083e-40,0.982,0.875,Up,Sig,35.4921102973581,Nrg1
Rimbp2,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,2.80174851930543e-32,4.35010947393337,0.691149440300444,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,1.1185964464029299e-36,0.735,0.653,Up,Sig,31.552570848914403,Rimbp2
Stxbp5l,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,1.14590562782498e-17,4.35010947393337,-0.696704359029095,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,4.57502147093457e-22,0.853,0.917,Down,Sig,16.940851147641318,Stxbp5l
Rims2,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,2.1913970233321499e-16,4.35010947393337,-0.639000295049138,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,8.74913971067255e-21,0.758,0.882,Down,Sig,15.659278932607272,Rims2
Syt1,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,6.91767577526511e-16,4.35010947393337,-0.384252501072645,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,2.76187797950458e-20,0.975,0.989,Down,Sig,15.1600397968046,Syt1
Atp6v0a1,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,1.5921737362940702e-15,4.35010947393337,0.430863116460785,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,6.35674426595627e-20,0.76,0.731,Up,Sig,14.798009544263543,Atp6v0a1
Dnm2,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,1.7770341025160399e-13,4.35010947393337,0.683075683932038,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,7.09479818946797e-18,0.429,0.363,Up,Sig,12.75030423770262,Dnm2
Cacna1a,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,2.71397383992979e-12,4.35010947393337,0.364407031589406,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,1.08355245735209e-16,0.827,0.817,Up,Sig,11.566394342832838,Cacna1a
Actg1,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,8.00957349967501e-11,4.35010947393337,-0.461827927420161,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,3.1978175029644304e-15,0.546,0.693,Down,Sig,10.09639060896809,Actg1
Mapk10,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,8.80933699737461e-11,4.35010947393337,-0.413687399977765,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,3.5171226084459702e-15,0.897,0.956,Down,Sig,10.055056775948536,Mapk10
Slc17a7,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,1.4901510598345801e-10,4.35010947393337,0.498003515682046,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,5.9494193309960604e-15,0.681,0.626,Up,Sig,9.826769703985544,Slc17a7
Rab3a,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,2.30205993273174e-10,4.35010947393337,-0.572194069399957,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,9.1909607247644e-15,0.156,0.304,Down,Sig,9.637883373966062,Rab3a
Snca,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,1.11511033290436e-9,4.35010947393337,0.309040492588599,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,4.45207143731527e-14,0.842,0.82,Up,Sig,8.952682159879569,Snca
Ppfia2,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,1.50018483879497e-9,4.35010947393337,-0.256847252145752,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,5.989479134407191e-14,0.981,0.997,Down,Sig,8.82385522792888,Ppfia2
Unc13b,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,1.5931450475169501e-9,4.35010947393337,0.367852672477136,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,6.36062222029363e-14,0.744,0.718,Up,Sig,8.797744682159614,Unc13b
