pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,0.000549080280144104,0.130132026394153,0.477270815362862,0.679602393045219,2.15325863029362,13,Dpf3|Trerf1|Tcf7l2|Samd4|Mbtd1|Ago3|Klf7|Pou2f1|Zfp608|Nedd4
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.00305601643064419,0.334027285336781,0.431707695803346,0.679538097409209,1.99496589393841,10,Dpf3|Trerf1|Tcf7l2|Mbtd1|Klf7|Pou2f1|Zfp608|Nedd4
GOBP_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY,0.00422819348527571,0.334027285336781,0.407017918923954,-0.692050714537151,-1.81304255728765,9,Ppia|Serinc1|Clu|Cd81|Fgfr3|Apoe|Ntrk2
GOBP_ANION_TRANSPORT,0.0194967359876721,0.369589863330832,0.352487857583619,-0.715789473684211,-1.60809303946307,6,Gja1|Ttyh3|Slc1a3|Slco1c1|Ntrk2|Slc4a10
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,0.0209815276883297,0.369589863330832,0.352487857583619,-0.671743765843284,-1.61000562403885,7,Ppia|Htra1|Clu|Cd81|Apoe|Gpm6a
GOBP_DEFENSE_RESPONSE,0.0242713804368741,0.369589863330832,0.352487857583619,-0.705552482392451,-1.58509460899358,6,Htra1|Cst3|Clu|Cd81|Apoe
GOBP_GROWTH,0.0194967359876721,0.369589863330832,0.352487857583619,-0.715789473684211,-1.60809303946307,6,Mt1|Gja1|Cd81|Fgfr3|Apoe|Slc4a10
GOBP_ION_HOMEOSTASIS,0.0225039448451877,0.369589863330832,0.352487857583619,-0.594710956613237,-1.59643477681852,10,Mt1|Gja1|Atp1b1|Slc1a3|Apoe|Sgcd|Slc4a10
GOBP_MAPK_CASCADE,0.0311890180026018,0.369589863330832,0.352487857583619,-0.688001471671156,-1.54566449830588,6,Ppia|Cd81|Fgfr3|Apoe|Ntrk2
GOBP_NITROGEN_COMPOUND_TRANSPORT,0.0116797928809003,0.369589863330832,0.380730400722792,-0.520961245785538,-1.66483123494553,18,Azin1|Ppia|Gja1|Clu|Cd81|Mlc1|Atp1b1|Slc1a3|Apoe|Cpe|Ntrk2
GOBP_ORGANIC_ACID_TRANSPORT,0.011571426503822,0.369589863330832,0.380730400722792,-0.760416666666667,-1.61309010038706,5,Gja1|Slc1a3|Slco1c1|Apoe|Ntrk2
GOBP_POSITIVE_REGULATION_OF_KINASE_ACTIVITY,0.0290564894042096,0.369589863330832,0.352487857583619,-0.692637999105723,-1.55608092348245,6,Ppia|Clu|Cd81|Fgfr3|Ntrk2
GOBP_POSITIVE_REGULATION_OF_MAPK_CASCADE,0.0311890180026018,0.369589863330832,0.352487857583619,-0.688001471671156,-1.54566449830588,6,Ppia|Cd81|Fgfr3|Apoe|Ntrk2
GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION,0.0273595976727273,0.369589863330832,0.352487857583619,-0.565747591075521,-1.58239312909671,12,Ppia|Serinc1|Clu|Cd81|Fgfr3|Atp1b1|Apoe|Ntrk2
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.0117577613770301,0.369589863330832,0.380730400722792,0.607654483216355,1.84939847855143,11,Dpf3|Trerf1|Tcf7l2|Samd4|Mbtd1|Klf7|Pou2f1
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS,0.0306933991888835,0.369589863330832,0.352487857583619,0.567077154494699,1.6648067073233,10,Dpf3|Trerf1|Tcf7l2|Samd4|Klf7|Pou2f1
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II,0.0182324868794934,0.369589863330832,0.352487857583619,0.706228933244305,1.70253448352897,6,Dpf3|Trerf1|Tcf7l2|Klf7|Pou2f1
GOBP_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY,0.00836436878118983,0.369589863330832,0.380730400722792,-0.713573159445482,-1.71026045686954,7,Ppia|Serinc1|Clu|Cd81|Fgfr3|Ntrk2
GOBP_POSITIVE_REGULATION_OF_TRANSPORT,0.0128414222640291,0.369589863330832,0.380730400722792,-0.568181053543872,-1.63382176341566,13,Azin1|Ppia|Clu|Cd81|Mlc1|Mfge8|Atp1b1|Apoe
GOBP_REGULATION_OF_RESPONSE_TO_STRESS,0.025650534432073,0.369589863330832,0.352487857583619,-0.632624061467969,-1.60142819647145,8,Ppia|Htra1|Clu|Cd81|Mlc1|Apoe
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS,0.0434335954406603,0.490179148544595,0.321775918075361,0.563893409054019,1.60739423131213,9,Dpf3|Trerf1|Tcf7l2|Samd4|Klf7|Pou2f1
GOBP_CELL_ACTIVATION,0.049645390070922,0.492053264604811,0.271288554688953,-0.671761019496746,-1.50917868919642,6,Ppia|Gja1|Clu|Cd81|Apoe
GOBP_CIRCULATORY_SYSTEM_PROCESS,0.0498281786941581,0.492053264604811,0.266350657088526,-0.555722116038885,-1.52233209508025,11,Gja1|Kcnn2|Atp1b1|Slc1a3|Slco1c1|Apoe|Sgcd|Kcnj3|Asic2
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS,0.0487394957983193,0.492053264604811,0.266350657088526,-0.554774440071767,-1.48922968304512,10,Azin1|Cst3|Clu|Cd81|Pde10a|Apoe
GOBP_ANIMAL_ORGAN_MORPHOGENESIS,0.0641891891891892,0.539833333333333,0.231126709673834,-0.598408724317276,-1.51481529474629,8,Htra1|Gja1|Fgfr3|Cpe|Ntrk2|Slc4a10
GOBP_BIOLOGICAL_ADHESION,0.0683333333333333,0.539833333333333,0.222056046145248,-0.511767687453146,-1.47160342703911,13,Ppia|Sparcl1|Cd81|Unc5d|Mfge8|Atp1b1
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS,0.0569476082004556,0.539833333333333,0.287857117255149,0.65374018795041,1.57599775492243,6,Tcf7l2|Dalrd3|Samd4|Ago3
GOBP_DEVELOPMENTAL_GROWTH,0.0672727272727273,0.539833333333333,0.234392647294686,-0.708333333333333,-1.50260447707287,5,Gja1|Cd81|Fgfr3|Apoe|Slc4a10
GOBP_METAL_ION_HOMEOSTASIS,0.0592334494773519,0.539833333333333,0.245041785430996,-0.624578232578647,-1.49696136865744,7,Mt1|Atp1b1|Slc1a3|Apoe|Sgcd
GOBP_ORGANIC_ANION_TRANSPORT,0.0672727272727273,0.539833333333333,0.234392647294686,-0.708333333333333,-1.50260447707287,5,Gja1|Slc1a3|Slco1c1|Ntrk2|Slc4a10
GOBP_CELLULAR_ION_HOMEOSTASIS,0.0818815331010453,0.625997527256379,0.206587922696891,-0.59231754689529,-1.41964038999477,7,Mt1|Atp1b1|Slc1a3|Apoe|Slc4a10
GOBP_SMALL_MOLECULE_METABOLIC_PROCESS,0.0851063829787234,0.63031914893617,0.204294756516886,-0.626190760252153,-1.40680051880985,6,Azin1|Scd2|Pde10a|Slc1a3|Apoe
