pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,1.12695887517166e-05,0.00620954340219584,0.593325476396405,-0.818939785358319,-2.26458901363022,9,Hsp90aa1|Ppia|Actg1|Hspa8|Hsp90ab1|Pak3
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II,6.55655381594511e-05,0.0180633057629288,0.538434096309916,0.615311150120828,2.56960083032616,13,Pou2f1|Klf7|Gli3|Wwox|Rorb|Stox2|Maml2|Pbx1|Rora|Ahi1
GOBP_EPITHELIAL_TUBE_MORPHOGENESIS,0.000132816471358317,0.0243939585728109,0.518848077743792,0.759036144578313,2.38242689623286,7,Gli3|Pbx1|Ahi1|Epha7|Foxp1|Nrp1|Ryr2
GOBP_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL,0.000262236276009799,0.0361230470203499,0.49849310876659,-0.874319074331914,-1.98212333558575,5,Ubb|Hsp90aa1|Ppia|Hsp90ab1
GOBP_CELL_CYCLE,0.000509556002280797,0.0451038033944656,0.477270815362862,-0.637069404487396,-2.01172724361735,15,Ubb|Tubb2b|Tubb2a|Hspa8|Hsp90ab1|Actb|Hecw2|Tuba1a
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM,0.0006548646590848,0.0451038033944656,0.477270815362862,-0.802869282817365,-1.91719503065253,6,Hsp90aa1|Actg1|Hsp90ab1|Pak3
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL,0.000432654033915676,0.0451038033944656,0.49849310876659,-0.711217597288349,-2.00959130974024,10,Ubb|Hsp90aa1|Ppia|Hsp90ab1|Hecw2|Bcl11a|Otud7a
GOBP_REGULATION_OF_RESPONSE_TO_STRESS,0.000651679924805479,0.0451038033944656,0.477270815362862,-0.665410575805604,-1.99183385223496,12,Hsp90aa1|Ppia|Actg1|Hsp90ab1|Actb|Pak3
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION,0.000816031830508204,0.04995928206778,0.477270815362862,-0.627653160996302,-1.98199278544037,15,Ubb|Hsp90aa1|Grm1|Ppia|Hsp90ab1
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS,0.00105967741423926,0.0583882255245833,0.45505986738723,0.429428087015566,2.08132220487348,18,Pou2f1|Klf7|Gli3|Wwox|Rorb|Stox2|Maml2|Pbx1|Rora|Npas3
GOBP_HEART_DEVELOPMENT,0.00136859622520255,0.062767255348257,0.45505986738723,0.466084558265272,2.10271451044257,15,Gli3|Robo1|Ahi1|Akap6|Cacna1c|Plxna4|Nrg1|Sgcd|Sorbs2|Nrp1|Ryr2|Slc8a1
GOBP_IMMUNE_SYSTEM_DEVELOPMENT,0.00148089713162857,0.062767255348257,0.45505986738723,0.800796812749004,2.10741346926845,5,Gli3|Pbx1|Rora|Cacna1c|Foxp1
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION,0.00128477814284356,0.062767255348257,0.45505986738723,-0.708493679014125,-1.95917579095248,9,Ubb|Hsp90aa1|Ppia|Hsp90ab1|Hecw2|Bcl11a
GOBP_PROTEIN_IMPORT,0.00174201496816833,0.0685607319614821,0.45505986738723,-0.821546449711368,-1.86248526086981,5,Hsp90aa1|Hspa8|Hsp90ab1|Pex5l
GOBP_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY,0.00187619843378341,0.068919022467644,0.45505986738723,-0.540687913965878,-1.88589144423291,21,Hsp90aa1|Ppia|Epha3|Hsp90ab1|Grin1|Dock9|Rapgef4|Cdkl5|Grin2a|Tenm1|Epha6|Nrg3
GOBP_CHROMOSOME_ORGANIZATION,0.00294771498783657,0.0846313748934831,0.431707695803346,-0.746871158406705,-1.78347547238366,6,Hsp90aa1|Hsp90ab1|Actb|Hecw2
GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION,0.00307191923388323,0.0846313748934831,0.431707695803346,0.764940239043825,2.01305167213703,5,Gli3|Pbx1|Nrg1|Foxp1|Nrp1
GOBP_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION,0.0028914566303988,0.0846313748934831,0.431707695803346,-0.509361878255817,-1.83592543347468,24,Ubb|Hsp90aa1|Grm1|Ppia|Hsp90ab1|Pak3|Pex5l
GOBP_STEM_CELL_DIFFERENTIATION,0.00307191923388323,0.0846313748934831,0.431707695803346,0.764940239043825,2.01305167213703,5,Msi2|Sema6d|Fbxl17|Nrg1|Nrp1
GOBP_UROGENITAL_SYSTEM_DEVELOPMENT,0.00307191923388323,0.0846313748934831,0.431707695803346,0.764940239043825,2.01305167213703,5,Gli3|Pbx1|Ahi1|Epha7|Nrp1
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE,0.00337346095623985,0.088513189851817,0.431707695803346,-0.708259327887365,-1.80460576674616,7,Hsp90aa1|Hspa8|Hsp90ab1|Pex5l
GOBP_PROTEIN_CATABOLIC_PROCESS,0.00364977841750688,0.0914103594566495,0.431707695803346,-0.589930934542844,-1.80749922699487,13,Ubb|Hsp90aa1|Hspa8|Hsp90ab1|Hecw2|Otud7a|Nell1|Grin2a
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,0.00574386179768056,0.0930843485447644,0.407017918923954,0.594377510040161,1.8656041303834,7,Cacna1d|Cacna1c|Kcnj3|Sgcd|Ryr2|Cacnb2|Cacna2d1
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION,0.00574386179768056,0.0930843485447644,0.407017918923954,0.594377510040161,1.8656041303834,7,Cacna1d|Cacna1c|Kcnj3|Sgcd|Ryr2|Cacnb2|Cacna2d1
GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION,0.00574386179768056,0.0930843485447644,0.407017918923954,0.594377510040161,1.8656041303834,7,Cacna1d|Cacna1c|Kcnj3|Sgcd|Ryr2|Cacnb2|Cacna2d1
GOBP_CARDIAC_MUSCLE_CELL_DIFFERENTIATION,0.00534243113673507,0.0930843485447644,0.407017918923954,0.741035856573705,1.95014380738275,5,Akap6|Nrg1|Sgcd|Sorbs2|Slc8a1
GOBP_CARDIOCYTE_DIFFERENTIATION,0.00534243113673507,0.0930843485447644,0.407017918923954,0.741035856573705,1.95014380738275,5,Akap6|Nrg1|Sgcd|Sorbs2|Slc8a1
