pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_NEUROGENESIS,0.0513698630136986,0.333904109589041,0.261663521711573,-0.678978878620741,-1.52379208948782,5,Cck|Hsp90aa1|Kras|Tmem30a
GOBP_RNA_PROCESSING,0.0458374494985466,0.333904109589041,0.321775918075361,0.663095542092939,1.69862310266905,6,Dalrd3|Las1l|Pabpn1|Prpf4b|Snrnp70
GOBP_PROGRAMMED_CELL_DEATH,0.122689075630252,0.531652661064426,0.163180127180689,-0.595142571137481,-1.40332765773416,6,Hsp90aa1|Oxr1|Kras|Peg3|Ppia
GOBP_BEHAVIOR,0.26541095890411,0.575057077625571,0.106729884364606,-0.538334851551543,-1.20815302820052,5,Cck|Oxr1|Kras
GOBP_REGULATION_OF_CELL_DEATH,0.25513698630137,0.575057077625571,0.109250039480711,-0.544485873288883,-1.22195740203416,5,Hsp90aa1|Oxr1|Kras|Ppia
GOBP_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,0.198630136986301,0.575057077625571,0.126253987849115,-0.579908268102603,-1.30145378506968,5,Hsp90aa1|Oxr1|Kras|Ppia
GOBP_POSITIVE_REGULATION_OF_SIGNALING,0.581847649918963,0.945502431118314,0.0610363728309177,-0.363636363636364,-0.905610907768155,7,Hsp90aa1|Kras|Ppia|Atp6v0c|Grik2|Auts2|Zeb2
GOBP_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION,0.527397260273973,0.945502431118314,0.0684714904492088,-0.416666666666667,-0.935100325815244,5,Hsp90aa1|Kras|Ppia|Grik2|Auts2
GOBP_CELL_CELL_SIGNALING,0.705882352941177,1,0.0536769600638127,-0.347826086956522,-0.820163086257823,6,Kras|Gad1|Atp6v0c|Grik2|Cacna1d|Zeb2
GOBP_NITROGEN_COMPOUND_TRANSPORT,0.922945205479452,1,0.0422468188360053,-0.279843385239331,-0.628035937714893,5,Hsp90aa1|Tmem30a|Ppia|Atp1b1
GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION,0.966981132075472,1,0.0547939500773363,0.208333333333333,0.503790598929957,5,Pabpn1|Cacna1d|Atp1b1|Ppia|Hsp90aa1
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.900684931506849,1,0.0433636987883266,-0.291666666666667,-0.654570228070671,5,Hsp90aa1|Peg3|Auts2|Zeb2|Snrnp70
GOBP_TRANSMEMBRANE_TRANSPORT,1,1,0.0385579101998489,0,0,5,
