pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,0.10192023633678,0.699506970418225,0.16823816568964,-0.571428571428571,-1.43607731767288,7,Gapdh|Actg1|Ppia|Hspa8|Tubb5|Hsp90aa1|Hsp90ab1
GOBP_CELLULAR_COMPONENT_MORPHOGENESIS,0.290519877675841,0.699506970418225,0.0943563635421779,-0.521739130434783,-1.17368808480358,5,Ubb|Actg1|Tubb2b|Hsp90aa1|Hsp90ab1
GOBP_CELL_CYCLE,0.304913294797688,0.699506970418225,0.0883594442500905,-0.440083348107802,-1.14779287216914,8,Ubb|Tubb2a|Tubb2b|Hspa8|Tuba1a|Tubb5
GOBP_CELL_MIGRATION,0.0871559633027523,0.699506970418225,0.186432558434075,-0.629232006897796,-1.41550070905655,5,Tubb2a|Actg1|Ppia|Tubb2b
GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT,0.290519877675841,0.699506970418225,0.0943563635421779,-0.521739130434783,-1.17368808480358,5,Ubb|Ckb|mt-Co1|Hsp90aa1|Hsp90ab1
GOBP_CYTOSKELETON_ORGANIZATION,0.299132947976879,0.699506970418225,0.0894366833718621,-0.444050290262524,-1.15813915759228,8,Gapdh|Tubb2a|Actg1|Tubb2b|Tuba1a|Tubb5
GOBP_DEFENSE_RESPONSE,0.290519877675841,0.699506970418225,0.0943563635421779,-0.521739130434783,-1.17368808480358,5,Gapdh|Actg1|Tubb5|Hsp90aa1|Hsp90ab1
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM,0.290519877675841,0.699506970418225,0.0943563635421779,-0.521739130434783,-1.17368808480358,5,Gapdh|Actg1|Tubb5|Hsp90aa1|Hsp90ab1
GOBP_IMMUNE_RESPONSE,0.290519877675841,0.699506970418225,0.0943563635421779,-0.521739130434783,-1.17368808480358,5,Gapdh|Actg1|Tubb5|Hsp90aa1|Hsp90ab1
GOBP_INNATE_IMMUNE_RESPONSE,0.290519877675841,0.699506970418225,0.0943563635421779,-0.521739130434783,-1.17368808480358,5,Gapdh|Actg1|Tubb5|Hsp90aa1|Hsp90ab1
GOBP_LOCOMOTION,0.0871559633027523,0.699506970418225,0.186432558434075,-0.629232006897796,-1.41550070905655,5,Tubb2a|Actg1|Ppia|Tubb2b
GOBP_MICROTUBULE_BASED_PROCESS,0.0328067858101444,0.699506970418225,0.321775918075361,-0.630385301987504,-1.64412436746915,8,Ubb|Gapdh|Tubb2a|Tubb2b|Hspa8|Tuba1a|Tubb5
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION,0.188707280832095,0.699506970418225,0.119887845115423,-0.532747545448293,-1.27795417180868,6,Gapdh|Tubb2a|Tubb2b|Tuba1a|Tubb5
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION,0.18348623853211,0.699506970418225,0.12384217120105,-0.567306521246391,-1.27619506680166,5,Ubb|Gapdh
GOBP_POSITIVE_REGULATION_OF_SIGNALING,0.18348623853211,0.699506970418225,0.12384217120105,-0.567306521246391,-1.27619506680166,5,Ubb|Gapdh
GOBP_PROGRAMMED_CELL_DEATH,0.18348623853211,0.699506970418225,0.12384217120105,-0.567306521246391,-1.27619506680166,5,Ubb|Gapdh
GOBP_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION,0.18348623853211,0.699506970418225,0.12384217120105,-0.567306521246391,-1.27619506680166,5,Ubb|Gapdh
GOBP_ATP_METABOLIC_PROCESS,0.349182763744428,0.716743567685931,0.0824344091527096,-0.455969071965645,-1.09377806188463,6,Gapdh|Hspa8|mt-Nd2|mt-Co1
GOBP_INTRACELLULAR_TRANSPORT,0.332348596750369,0.716743567685931,0.0847985102819124,-0.447722960646852,-1.12518837967601,7,Ubb|Hspa8|Tuba1a|Tubb5|Hsp90aa1|Hsp90ab1
GOBP_NEUROGENESIS,0.435364041604755,0.729197622585438,0.0709609456938284,-0.423609558393119,-1.01615409961389,6,Ubb|Tubb2a
GOBP_PHOSPHORYLATION,0.448736998514116,0.729197622585438,0.0694481442003175,-0.414340050657859,-0.993918415597885,6,Gapdh|Ckb|Ppia
GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION,0.418960244648318,0.729197622585438,0.0743625384422526,-0.463929450235406,-1.04364123020064,5,Gapdh|Actg1|Hspa8
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION,0.391437308868502,0.729197622585438,0.0778840111977068,-0.478260869565217,-1.07588074440328,5,Hspa8|mt-Nd2|Hsp90aa1|Hsp90ab1|mt-Co3
GOBP_REGULATION_OF_TRANSPORT,0.438837920489297,0.729197622585438,0.072003313661988,-0.450892531509572,-1.0143137842061,5,Actg1|Ppia|Hspa8
GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION,0.635327635327635,0.773422296358076,0.0852884689790502,0.347826086956522,0.891680426194731,5,Cep350|Atp1b1|Hsp90ab1|Hsp90aa1|Hspa8
GOBP_CELL_JUNCTION_ORGANIZATION,0.614678899082569,0.773422296358076,0.0557104226766671,-0.391777188922531,-0.881329752194411,5,Actg1|Hspa8|Tuba1a|Tubb5
GOBP_CELL_PROJECTION_ORGANIZATION,0.654434250764526,0.773422296358076,0.052805004567129,-0.382265757705983,-0.859933133008519,5,Ubb
GOBP_MACROMOLECULE_CATABOLIC_PROCESS,0.634556574923547,0.773422296358076,0.0542315935495841,-0.389187794641718,-0.875504731533768,5,Ubb
GOBP_MITOTIC_CELL_CYCLE,0.610091743119266,0.773422296358076,0.0560595875032335,-0.395244753402484,-0.889130277161777,5,Tubb2a|Tubb2b|Tuba1a|Tubb5
GOBP_NITROGEN_COMPOUND_TRANSPORT,0.62691131498471,0.773422296358076,0.0547939500773363,-0.391304347826087,-0.880266063602682,5,Ppia|Hspa8|Hsp90aa1|Hsp90ab1|Atp1b1
GOBP_POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS,0.645259938837921,0.773422296358076,0.053457214108991,-0.386402572322495,-0.869239182222031,5,Ubb
GOBP_REGULATION_OF_PROTEIN_STABILITY,0.62691131498471,0.773422296358076,0.0547939500773363,-0.391304347826087,-0.880266063602682,5,Gapdh|Hspa8|Hsp90aa1|Hsp90ab1|Atp1b1
GOBP_RESPONSE_TO_ABIOTIC_STIMULUS,0.614678899082569,0.773422296358076,0.0557104226766671,-0.391304347826087,-0.880266063602682,5,Actg1|mt-Co1|Hsp90aa1|Hsp90ab1|Atp1b1
GOBP_CELL_MORPHOGENESIS,0.740061162079511,0.824639580602883,0.0471642455670861,-0.351297628785106,-0.790268195489253,5,Ubb
GOBP_NEURON_DIFFERENTIATION,0.740061162079511,0.824639580602883,0.0471642455670861,-0.35121492041795,-0.790082137324585,5,Ubb
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION,0.807807807807808,0.867867867867868,0.0753093764172773,0.272727272727273,0.759095336261708,6,Epb41l5|Atp1b1|Hsp90ab1|Hsp90aa1|Hspa8|Ppia
GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION,0.823361823361823,0.867867867867868,0.0716527366829457,0.279646821313628,0.716897340837195,5,Epb41l5|Atp1b1|Hsp90ab1|Hsp90aa1
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION,0.88034188034188,0.903508771929825,0.0683110858318647,0.260869565217391,0.668760319646048,5,Epb41l5|Hsp90ab1|Hsp90aa1|Hspa8|Ppia
GOBP_BIOLOGICAL_ADHESION,0.940366972477064,0.940366972477064,0.0361491929398957,-0.262816557596871,-0.591223935769369,5,Actg1|Ppia
