pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_ATP_METABOLIC_PROCESS,2.71734151813769e-15,2.73636290876465e-12,1.00731795687447,-0.857642903506414,-3.28284136644298,22,Gapdh|Aldoa|Hspa8|mt-Co1|mt-Nd4|mt-Co3|mt-Nd2|Atp6v0c|Ndufa4|mt-Nd1|Atp5b|mt-Atp6|Atp1b1|Cox6a1|mt-Co2|Tmsb4x|Pkm|Cox4i1|Cox7c|mt-Cytb
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,1.54280596711456e-10,7.7680280444218e-08,0.826657301178302,-0.738937313903929,-3.02584467707889,27,Gapdh|Aldoa|mt-Co1|mt-Nd4|mt-Co3|mt-Nd2|Ndufa4|mt-Nd1|Atp5b|Slc25a4|mt-Atp6|Mdh1|Cox6a1|mt-Co2|Pkm|Cox4i1|Cox6c|Cox7c|mt-Cytb
GOBP_OXIDATIVE_PHOSPHORYLATION,1.12714719256695e-09,3.7834574097164e-07,0.788186810800237,-0.852517985611511,-2.8518458258948,14,mt-Co1|mt-Nd4|mt-Co3|mt-Nd2|Ndufa4|mt-Nd1|Atp5b|mt-Atp6|Cox6a1|mt-Co2|Cox4i1|Cox7c|mt-Cytb|Atp5a1
GOBP_AEROBIC_RESPIRATION,1.63888654529065e-09,4.12589687776922e-07,0.788186810800237,-0.817551854310979,-2.86442706321691,16,mt-Co1|mt-Nd4|mt-Co3|mt-Nd2|Ndufa4|mt-Nd1|Atp5b|mt-Atp6|Mdh1|Cox6a1|mt-Co2|Cox4i1|Cox7c|mt-Cytb|Atp5a1
GOBP_CELLULAR_RESPIRATION,2.99729930440328e-09,6.03656079906821e-07,0.774939030136436,-0.798224456873492,-2.85557034832896,17,mt-Co1|mt-Nd4|mt-Co3|mt-Nd2|Ndufa4|mt-Nd1|Atp5b|mt-Atp6|Mdh1|Cox6a1|mt-Co2|Cox4i1|Cox7c|mt-Cytb|Atp5a1
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,5.03490972351627e-09,7.24307727368698e-07,0.761460801445585,-0.883720930232558,-2.7075665589205,11,mt-Co1|mt-Nd4|mt-Co3|mt-Nd2|Ndufa4|mt-Nd1|Cox6a1|mt-Co2|Cox4i1|Cox7c|mt-Cytb
GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN,5.03490972351627e-09,7.24307727368698e-07,0.761460801445585,-0.883720930232558,-2.7075665589205,11,mt-Co1|mt-Nd4|mt-Co3|mt-Nd2|Ndufa4|mt-Nd1|Cox6a1|mt-Co2|Cox4i1|Cox7c|mt-Cytb
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,4.19471755324054e-08,5.28010072014152e-06,0.719512826338911,-0.751153247140373,-2.74518068770665,19,mt-Co1|mt-Nd4|mt-Co3|mt-Nd2|Ndufa4|mt-Nd1|Atp5b|mt-Atp6|Mdh1|Cox6a1|mt-Co2|Cox4i1|Cox7c|mt-Cytb|Atp5a1
GOBP_ELECTRON_TRANSPORT_CHAIN,6.50698746544085e-08,7.28059597522104e-06,0.704975715167238,-0.833467701856142,-2.66905782096351,12,mt-Co1|mt-Nd4|mt-Co3|mt-Nd2|Ndufa4|mt-Nd1|Cox6a1|mt-Co2|Cox4i1|Cox7c|mt-Cytb
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,7.82557608358483e-08,7.88035511616993e-06,0.704975715167238,-0.744145413515248,-2.71956970938287,19,mt-Co1|mt-Nd4|mt-Co3|Atp6v0c|Ndufa4|Atp5b|Slc25a4|mt-Atp6|Cox6a1|mt-Co2|Tmsb4x|Cox4i1|mt-Cytb|Atp1a3|Atp5a1|Slc25a3
GOBP_MICROTUBULE_BASED_PROCESS,3.05568998344225e-07,2.79734528484214e-05,0.674962860011025,-0.567441061305638,-2.60047304096731,41,Ubb|Gapdh|Tubb2b|Tuba1a|Tubb2a|Tubb5|Hspa8|Tuba1b|Cfl1|Tubb4b|Tubb3|Uchl1|Ppp2r1a|Stmn3|Dynll1
GOBP_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT,6.96781640672078e-06,0.00053973777858214,0.610526878385931,-0.484798645906305,-2.35592737039159,53,mt-Co1|mt-Nd4|mt-Co3|Calm3|Atp6v0c|Ndufa4|Ywhah|Atp5b|Slc25a4|Calm1|mt-Atp6|Atp1b1|Cox6a1|mt-Co2|Tmsb4x|Cox4i1|mt-Cytb|Atp1a3|Prnp|Ywhae|Atp5a1|Atp2a2|Slc25a3|Dmd
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION,6.7290348550152e-06,0.00053973777858214,0.610526878385931,-0.594026170230168,-2.48043337580355,29,Gapdh|Tubb2b|Tuba1a|Tubb2a|Tubb5|Tuba1b|Cfl1|Tubb4b|Tubb3|Ppp2r1a|Stmn3
GOBP_CATION_TRANSPORT,9.18670393070281e-06,0.000660786489872695,0.593325476396405,-0.459820051379052,-2.31619346534921,61,mt-Co1|mt-Nd4|mt-Co3|Calm3|Atp6v0c|Ndufa4|Ywhah|Atp5b|Slc25a4|Calm1|mt-Atp6|Atp1b1|Cox6a1|mt-Co2|Tmsb4x|Cox4i1|Fth1|Cnih2|mt-Cytb|Atp1a3|Prnp|Ywhae|Atp5a1|Slc22a17|Atp2a2|Slc25a3|Dmd
GOBP_CATION_TRANSMEMBRANE_TRANSPORT,1.25833266263647e-05,0.000780760142972942,0.593325476396405,-0.481907754155723,-2.36493710068511,55,mt-Co1|mt-Nd4|mt-Co3|Calm3|Atp6v0c|Ndufa4|Ywhah|Atp5b|Slc25a4|Calm1|mt-Atp6|Atp1b1|Cox6a1|mt-Co2|Tmsb4x|Cox4i1|Cnih2|mt-Cytb|Atp1a3|Prnp|Ywhae|Atp5a1|Atp2a2|Slc25a3|Dmd
GOBP_CELL_CYCLE,1.18845880426076e-05,0.000780760142972942,0.593325476396405,-0.498372450089719,-2.38005901102272,50,Ubb|Tubb2b|Tuba1a|Tubb2a|Actb|Tubb5|Hspa8|Hsp90ab1|Tuba1b|Cfl1|Tubb4b|Calm3|Tubb3|Ppp2r1a|Calm1
GOBP_INTRACELLULAR_TRANSPORT,1.31806578257597e-05,0.000780760142972942,0.593325476396405,-0.453265256188133,-2.32882664334855,67,Ubb|Tuba1a|Hsp90aa1|Tubb5|Hspa8|Hsp90ab1|Tuba1b|Uchl1|Ywhah|Atp5b|Slc25a4|mt-Atp6|Atp1b1|Psap|Ywhab|Nsg1|Ywhag|Cnih2|Prnp|Ywhae|Gdi1|Hnrnpa1|Ndrg4|Atp5a1|Calr|Xpo1|Atp2a2|Ywhaz|Hnrnpa2b1|Tbc1d5
GOBP_ATP_BIOSYNTHETIC_PROCESS,6.68358771132312e-05,0.00240370458046514,0.538434096309916,-0.803315944135854,-2.1868828033484,8,Aldoa|Atp6v0c|Atp5b|mt-Atp6|mt-Co2|Tmsb4x|Atp5a1
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,5.17604407864619e-05,0.00240370458046514,0.557332238758646,-0.808369958837272,-2.20064144702911,8,Gapdh|Ppia|Hspa8|Hsp90ab1|Cfl1
GOBP_CELL_KILLING,6.30839897914967e-05,0.00240370458046514,0.538434096309916,-0.891768726334665,-2.0424561154012,5,Gapdh|Tubb5|Hsp90ab1|Tubb4b
GOBP_CYTOSKELETON_ORGANIZATION,4.93543663227163e-05,0.00240370458046514,0.557332238758646,-0.436390299908089,-2.20651593610785,63,Gapdh|Tubb2b|Aldoa|Tuba1a|Actg1|Tubb2a|Actb|Tubb5|Tuba1b|Cfl1|Tubb4b|Tubb3|Ppp2r1a|Stmn3|Specc1|Tmsb4x
GOBP_ION_TRANSMEMBRANE_TRANSPORT,5.9002421375132e-05,0.00240370458046514,0.557332238758646,-0.434455878440983,-2.19673494007009,63,mt-Co1|mt-Nd4|mt-Co3|Calm3|Atp6v0c|Ndufa4|Ywhah|Atp5b|Slc25a4|Calm1|mt-Atp6|Atp1b1|Cox6a1|mt-Co2|Tmsb4x|Cox4i1|Cnih2|mt-Cytb|Atp1a3|Prnp|Ywhae
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN,4.63236627482393e-05,0.00240370458046514,0.557332238758646,-0.879432624113475,-2.13611573720028,6,mt-Co1|mt-Co3|Cox6a1|mt-Co2|Cox4i1|Cox7c
GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,6.68358771132312e-05,0.00240370458046514,0.538434096309916,-0.803315944135854,-2.1868828033484,8,Aldoa|Atp6v0c|Atp5b|mt-Atp6|mt-Co2|Tmsb4x|Atp5a1
GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,6.68358771132312e-05,0.00240370458046514,0.538434096309916,-0.803315944135854,-2.1868828033484,8,Aldoa|Atp6v0c|Atp5b|mt-Atp6|mt-Co2|Tmsb4x|Atp5a1
GOBP_PEPTIDE_METABOLIC_PROCESS,4.51995572927436e-05,0.00240370458046514,0.557332238758646,-0.557050078111807,-2.36047739629539,30,Gapdh|Enc1|Rpl19|Rpl38|Rps29|Eef1a1|Pkm|Eif4a1|Pcsk1n|Prnp|Rplp1|Rplp2|Lars2|Cpe|Calr|Eif4a2|Rpsa|Dmd|Rtn1
GOBP_RIBONUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,6.68358771132312e-05,0.00240370458046514,0.538434096309916,-0.803315944135854,-2.1868828033484,8,Aldoa|Atp6v0c|Atp5b|mt-Atp6|mt-Co2|Tmsb4x|Atp5a1
GOBP_RIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,6.68358771132312e-05,0.00240370458046514,0.538434096309916,-0.803315944135854,-2.1868828033484,8,Aldoa|Atp6v0c|Atp5b|mt-Atp6|mt-Co2|Tmsb4x|Atp5a1
GOBP_MITOTIC_CELL_CYCLE,8.09477053471889e-05,0.00271714464282064,0.538434096309916,-0.570072067373708,-2.33436517300892,27,Tubb2b|Tuba1a|Tubb2a|Tubb5|Tuba1b|Tubb4b|Calm3|Tubb3|Ppp2r1a|Calm1|Ywhae|Stmn1|Usp22
GOBP_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION,7.95179739590007e-05,0.00271714464282064,0.538434096309916,-0.493217619937677,-2.29994751963226,43,Gapdh|Actb|Ppia|Calm3|Uchl1|Calm1|Dnaja1|Tmsb4x|Pebp1|Ywhab|Pcsk1n|Ywhag|Cst3|Prnp|Ywhae|Spock2|Stmn1|Ly6h|Prkar1a|Eif4a2|Atp2a2
GOBP_TRANSMEMBRANE_TRANSPORT,8.63504820540784e-05,0.002804997917047,0.538434096309916,-0.414925936541931,-2.14124324369387,71,Actb|mt-Co1|mt-Nd4|mt-Co3|Calm3|Atp6v0c|Ndufa4|Ywhah|Atp5b|Slc25a4|Calm1|mt-Atp6|Atp1b1|Cox6a1|mt-Co2|Tmsb4x|Cox4i1|Cnih2|mt-Cytb|Atp1a3|Prnp|Ywhae|Atp5a1|Slc22a17|Atp2a2|Slc25a3|Dmd
GOBP_PROGRAMMED_CELL_DEATH,9.08097173323217e-05,0.0028576682923015,0.538434096309916,-0.461462915504389,-2.22717359431942,52,Ubb|Gapdh|Hsp90aa1|Ppia|Hsp90ab1|Cfl1|Ppp2r1a|Slc25a4|Ptms|Olfm1|Dnaja1|Dynll1|Pkm|Nsg1|Aplp1|Hnrnpk|Prnp|Maged1|Atp5a1|Calr|Oxr1
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,9.76177689202325e-05,0.00297882100917194,0.538434096309916,-0.56685068367183,-2.32117405849387,27,Gapdh|Actg1|Hsp90aa1|Ppia|Tubb5|Hspa8|Hsp90ab1|Cfl1|Tubb4b
GOBP_ION_TRANSPORT,0.000194490498446238,0.0055911352078658,0.518848077743792,-0.39730626035323,-2.06413187569651,74,mt-Co1|mt-Nd4|mt-Co3|Calm3|Atp6v0c|Ndufa4|Ywhah|Atp5b|Slc25a4|Calm1|mt-Atp6|Atp1b1|Cox6a1|mt-Co2|Psap|Tmsb4x|Cox4i1|Fth1|Cnih2|mt-Cytb|Atp1a3|Prnp|Ywhae|Atp5a1|Slc22a17|Atp2a2|Slc25a3|Dmd
