pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.00010061601618495,0.0535277206103933,0.538434096309916,-0.735930735930736,-2.32872321651952,10,Aldoa|Gapdh|Hpca|Atp5o|Atp5g3|Fhit|Atp6v0c|Pkm|Tmsb4x|Atp6v1a
GOBP_LOCALIZATION_WITHIN_MEMBRANE,0.000436638597020499,0.0774305778716352,0.49849310876659,-0.554886975342034,-2.19268509183261,19,Arl5b|Calm3|Rab3a|Hsp90aa1|Nptx1|Pkp2|Hpca
GOBP_ORGANOPHOSPHATE_METABOLIC_PROCESS,0.000418072094658991,0.0774305778716352,0.49849310876659,-0.586070867641243,-2.16624847887454,15,Aldoa|Gapdh|Hpca|Atp5o|Atp5g3|Fhit|Atp6v0c|Pkm|Ckb|Tmsb4x|Serinc1|Atp6v1a
GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS,0.000985715446861305,0.10987051153971,0.45505986738723,-0.653185132319212,-2.1557569669945,11,Aldoa|Gapdh|Hpca|Atp5o|Atp5g3|Fhit|Atp6v0c|Pkm|Tmsb4x|Atp6v1a
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE,0.00103261758965893,0.10987051153971,0.45505986738723,-0.561362423959003,-2.07492056701734,15,Arl5b|Calm3|Hsp90aa1|Nptx1|Pom121|Kpnb1|Ranbp2
GOBP_ATP_METABOLIC_PROCESS,0.00155990390033351,0.118552696425347,0.45505986738723,-0.638538267751058,-2.10741679699505,11,Aldoa|Chchd2|Gapdh|Atp5o|Atp5g3|Atp6v0c|Pkm|Tmsb4x|Atp6v1a
GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,0.00146499452286904,0.118552696425347,0.45505986738723,-0.726495726495727,-2.04295940823026,7,Aldoa|Hpca|Atp5o|Atp5g3|Atp6v0c|Tmsb4x|Atp6v1a
GOBP_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,0.0021918097591807,0.129560310209348,0.431707695803346,-0.780187855299481,-1.86061877294702,5,Ppia|Ppp2r1a|Ubb|Itm2c
GOBP_RESPONSE_TO_KETONE,0.00206602707414843,0.129560310209348,0.431707695803346,-0.753749822648342,-1.96588736252023,6,Calm3|Nefl|Klf9|Hpca
GOBP_ATP_BIOSYNTHETIC_PROCESS,0.00482581357145344,0.160458301250827,0.407017918923954,-0.723404255319149,-1.88674178194634,6,Aldoa|Atp5o|Atp5g3|Atp6v0c|Tmsb4x|Atp6v1a
GOBP_CYTOPLASMIC_TRANSLATION,0.0033280653908287,0.160458301250827,0.431707695803346,-0.682403433476395,-2.00744300834937,8,Rps10|Rpl19|Pkm|Rpsa|Rplp1|Rpl23|Rpl13|Eif4a2
GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,0.00482581357145344,0.160458301250827,0.407017918923954,-0.723404255319149,-1.88674178194634,6,Aldoa|Atp5o|Atp5g3|Atp6v0c|Tmsb4x|Atp6v1a
GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,0.00482581357145344,0.160458301250827,0.407017918923954,-0.723404255319149,-1.88674178194634,6,Aldoa|Atp5o|Atp5g3|Atp6v0c|Tmsb4x|Atp6v1a
GOBP_RIBONUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,0.00482581357145344,0.160458301250827,0.407017918923954,-0.723404255319149,-1.88674178194634,6,Aldoa|Atp5o|Atp5g3|Atp6v0c|Tmsb4x|Atp6v1a
GOBP_RIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,0.00482581357145344,0.160458301250827,0.407017918923954,-0.723404255319149,-1.88674178194634,6,Aldoa|Atp5o|Atp5g3|Atp6v0c|Tmsb4x|Atp6v1a
GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS,0.0040255980848053,0.160458301250827,0.407017918923954,-0.628071927324301,-1.90571705850888,9,Aldoa|Gapdh|Atp5o|Atp5g3|Atp6v0c|Pkm|Tmsb4x|Atp6v1a
