pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_AEROBIC_RESPIRATION,0.0939716312056738,0.167060677698976,0.193813302725311,0.75,1.49497594396086,6,mt-Nd1|mt-Cytb|mt-Nd4|mt-Co3|mt-Co2|mt-Atp6
GOBP_ATP_METABOLIC_PROCESS,0.0939716312056738,0.167060677698976,0.193813302725311,0.75,1.49497594396086,6,mt-Nd1|mt-Cytb|mt-Nd4|mt-Co3|mt-Co2|mt-Atp6
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,0.0629251700680272,0.167060677698976,0.234392647294686,0.8,1.65719244624135,5,mt-Nd1|mt-Cytb|mt-Nd4|mt-Co3|mt-Co2
GOBP_CELLULAR_RESPIRATION,0.0939716312056738,0.167060677698976,0.193813302725311,0.75,1.49497594396086,6,mt-Nd1|mt-Cytb|mt-Nd4|mt-Co3|mt-Co2|mt-Atp6
GOBP_ELECTRON_TRANSPORT_CHAIN,0.0629251700680272,0.167060677698976,0.234392647294686,0.8,1.65719244624135,5,mt-Nd1|mt-Cytb|mt-Nd4|mt-Co3|mt-Co2
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,0.0939716312056738,0.167060677698976,0.193813302725311,0.75,1.49497594396086,6,mt-Nd1|mt-Cytb|mt-Nd4|mt-Co3|mt-Co2|mt-Atp6
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,0.0939716312056738,0.167060677698976,0.193813302725311,0.75,1.49497594396086,6,mt-Nd1|mt-Cytb|mt-Nd4|mt-Co3|mt-Co2|mt-Atp6
GOBP_OXIDATIVE_PHOSPHORYLATION,0.0939716312056738,0.167060677698976,0.193813302725311,0.75,1.49497594396086,6,mt-Nd1|mt-Cytb|mt-Nd4|mt-Co3|mt-Co2|mt-Atp6
GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN,0.0629251700680272,0.167060677698976,0.234392647294686,0.8,1.65719244624135,5,mt-Nd1|mt-Cytb|mt-Nd4|mt-Co3|mt-Co2
GOBP_CATION_TRANSMEMBRANE_TRANSPORT,0.277210884353742,0.277210884353742,0.103576326612592,0.6,1.24289433468101,5,mt-Cytb|mt-Nd4|mt-Co3|mt-Co2|mt-Atp6
GOBP_CATION_TRANSPORT,0.277210884353742,0.277210884353742,0.103576326612592,0.6,1.24289433468101,5,mt-Cytb|mt-Nd4|mt-Co3|mt-Co2|mt-Atp6
GOBP_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT,0.277210884353742,0.277210884353742,0.103576326612592,0.6,1.24289433468101,5,mt-Cytb|mt-Nd4|mt-Co3|mt-Co2|mt-Atp6
GOBP_ION_TRANSMEMBRANE_TRANSPORT,0.277210884353742,0.277210884353742,0.103576326612592,0.6,1.24289433468101,5,mt-Cytb|mt-Nd4|mt-Co3|mt-Co2|mt-Atp6
GOBP_ION_TRANSPORT,0.277210884353742,0.277210884353742,0.103576326612592,0.6,1.24289433468101,5,mt-Cytb|mt-Nd4|mt-Co3|mt-Co2|mt-Atp6
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,0.277210884353742,0.277210884353742,0.103576326612592,0.6,1.24289433468101,5,mt-Cytb|mt-Nd4|mt-Co3|mt-Co2|mt-Atp6
GOBP_TRANSMEMBRANE_TRANSPORT,0.277210884353742,0.277210884353742,0.103576326612592,0.6,1.24289433468101,5,mt-Cytb|mt-Nd4|mt-Co3|mt-Co2|mt-Atp6
