pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS,0.000521866514856885,0.525994954000348,0.477270815362862,-0.842932093002766,-2.01330412298866,6,Chst9|Chst1|Ndst4|Csgalnact1
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,0.000816128710628935,0.525994954000348,0.477270815362862,-0.786162286432688,-2.03041764722886,8,Chst9|Chst1|Ndst4|Csgalnact1|Ahcyl2
GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS,0.00563845941364345,0.778344741718111,0.407017918923954,-0.720868190438171,-1.86178289196898,8,Chst9|Chst1|Ndst4|Csgalnact1|Cemip
GOBP_AMINOGLYCAN_METABOLIC_PROCESS,0.00563845941364345,0.778344741718111,0.407017918923954,-0.720868190438171,-1.86178289196898,8,Chst9|Chst1|Ndst4|Csgalnact1|Cemip
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,0.00566518581482147,0.778344741718111,0.407017918923954,-0.590466613381948,-1.89103543258877,16,Chst9|Ndst4|Itm2c|Galnt13|Csgalnact1|St3gal5
GOBP_GLYCOPROTEIN_METABOLIC_PROCESS,0.00566518581482147,0.778344741718111,0.407017918923954,-0.590466613381948,-1.89103543258877,16,Chst9|Ndst4|Itm2c|Galnt13|Csgalnact1|St3gal5
GOBP_MUCOPOLYSACCHARIDE_METABOLIC_PROCESS,0.00563845941364345,0.778344741718111,0.407017918923954,-0.720868190438171,-1.86178289196898,8,Chst9|Chst1|Ndst4|Csgalnact1|Cemip
GOBP_NEGATIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION,0.00603836106841048,0.778344741718111,0.407017918923954,0.695509212407779,1.93729069796653,7,Sema3e|Map4k4|Ptpro|Rasa1|Nexmif|Clasp2
GOBP_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS,0.00301264768687171,0.778344741718111,0.431707695803346,-0.819572250406491,-1.83613664110038,5,Chst9|Ndst4|Csgalnact1
GOBP_PROTEOGLYCAN_METABOLIC_PROCESS,0.00301264768687171,0.778344741718111,0.431707695803346,-0.819572250406491,-1.83613664110038,5,Chst9|Ndst4|Csgalnact1
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,0.0267294040261864,0.835883414830783,0.352487857583619,0.490589932662776,1.65119323163872,11,Eps8|Dpysl3|Tgfbr1|Mtss1|Clasp2|Phactr1|Ccdc88a|Sorbs1
GOBP_AEROBIC_RESPIRATION,0.0825242718446602,0.835883414830783,0.245041785430996,0.562207161555902,1.46858727531761,6,mt-Atp6|mt-Nd1|mt-Co2|mt-Co3|Snca
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,0.0459756288466339,0.835883414830783,0.321775918075361,0.334187601976673,1.56191602220628,29,Robo1|Fgfr1|Tgfbr1|Sema4d|Ptprg|Sema3e|Slc8a1|Map4k4|Sema6d|Mef2c|Cdh13|Nrp2|Clasp2|Srgap2|Macf1
GOBP_AMIDE_TRANSPORT,0.0927318295739348,0.835883414830783,0.234392647294686,0.45961648407634,1.43428405005576,9,Smpd3|Nnat|Irs1|Ptprn2
GOBP_ASSOCIATIVE_LEARNING,0.0711864406779661,0.835883414830783,0.219250346703755,-0.631921194550827,-1.5093144002395,6,Tanc1|Neurod2|Grin2a
GOBP_BIOMINERALIZATION,0.0825471698113208,0.835883414830783,0.241339976815091,0.598269867409462,1.47185550232652,5,Smpd3|Nell1|Slc8a1|Mef2c
GOBP_BONE_MINERALIZATION,0.0825471698113208,0.835883414830783,0.241339976815091,0.598269867409462,1.47185550232652,5,Smpd3|Nell1|Slc8a1|Mef2c
GOBP_CAMERA_TYPE_EYE_DEVELOPMENT,0.0287393551688922,0.835883414830783,0.352487857583619,0.480875468747356,1.64101936391804,12,Ephb2|Tgfbr1|Tenm3|Cacna1c|Hcn1|Ahi1|Celf4|Dscam|Prox1|Gpm6a
GOBP_CAMERA_TYPE_EYE_MORPHOGENESIS,0.0201535690480351,0.835883414830783,0.352487857583619,0.658576051779935,1.72032032960284,6,Ephb2|Tenm3|Hcn1|Ahi1|Dscam|Prox1
GOBP_CAMP_MEDIATED_SIGNALING,0.086734693877551,0.835883414830783,0.197822021315103,-0.593999574734071,-1.47744950149297,7,Adcy2|Adcy1|Cap2|Pde7b|Rapgef2
GOBP_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS,0.0149820217996924,0.835883414830783,0.380730400722792,-0.453489868238215,-1.75682120534156,33,Chst9|Chst1|Ndst4|Itm2c|Galnt13|Csgalnact1|Adcy2|Aldoa|Cemip|St3gal5|Atp6v1a
GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS,0.0393700787401575,0.835883414830783,0.261663521711573,-0.371750570596497,-1.59189233378699,48,Chst9|Chst1|Ndst4|Itm2c|Galnt13|Csgalnact1|Adcy2|Aldoa|Cemip|St3gal5|Atp6v1a|Pde8b|Rora|Adcy1|Pde7b|Adcy9|Pkm|Parp1|Prkag2|Gapdh|Dlg1|Nt5c2|Adk
GOBP_CARBOHYDRATE_METABOLIC_PROCESS,0.0353118535066844,0.835883414830783,0.321775918075361,-0.450857534863807,-1.66122478244027,27,Inpp4b|Chst9|Chst1|Ndst4|Csgalnact1|Aldoa|St3gal5|Ptk2b|Rora
GOBP_CARDIAC_CHAMBER_DEVELOPMENT,0.0852130325814536,0.835883414830783,0.245041785430996,0.473295218679921,1.47697005359693,9,Robo1|Tgfbr1|Mef2c|Nrp2|Nrg1|Slit3|Prox1
GOBP_CARDIAC_CHAMBER_MORPHOGENESIS,0.0322718958593631,0.835883414830783,0.321775918075361,0.558935327490103,1.64835400655951,8,Robo1|Tgfbr1|Mef2c|Nrp2|Nrg1|Slit3|Prox1
GOBP_CARDIAC_MUSCLE_CELL_DIFFERENTIATION,0.087281795511222,0.835883414830783,0.241339976815091,0.49512987012987,1.46018557971774,8,Akap13|Slc8a1|Mef2c|Nrg1|Prox1|Sorbs2|Nebl
GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,0.0116188910348603,0.835883414830783,0.380730400722792,0.575518184581795,1.85672111227392,10,Tgfbr1|Akap13|Slc8a1|Tenm4|Mef2c|Nrg1
GOBP_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS,0.0617283950617284,0.835883414830783,0.224966093540314,-0.529046748613771,-1.60337014392995,13,Inpp4b|Ndst4|Csgalnact1|Ptk2b|Rora
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,0.0919811320754717,0.835883414830783,0.227987202850442,0.584814216478191,1.43875209040585,5,Akap13|Tenm4|Clasp2|Prox1|Nebl
GOBP_CELLULAR_LIPID_CATABOLIC_PROCESS,0.0800970873786408,0.835883414830783,0.248911114434702,0.564471150653978,1.47450122627422,6,Smpd3|Cpt1c|Irs1
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,0.0266400230103739,0.835883414830783,0.352487857583619,0.65405107680666,1.60908768541004,5,Ephb2|Pabpn1|Pde4b|Mef2c
GOBP_CELL_CELL_JUNCTION_ORGANIZATION,0.0312206286040536,0.835883414830783,0.352487857583619,0.447292757927992,1.61277826105222,14,Ephb2|Tgfbr1|Mtss1|Cntnap2|Ptpro|Cdh11|Ctnnd2|Epha4|Apc|Cdh10|Cdh2
GOBP_CELL_MATRIX_ADHESION,0.0813953488372093,0.835883414830783,0.271288554688953,0.40076953577837,1.4789442411233,15,L1cam|Sema3e|Map4k4|Rasa1|Cdh13|Gsk3b|Nexmif|Clasp2|Macf1
GOBP_CELL_PROJECTION_ASSEMBLY,0.0331058034844217,0.835883414830783,0.321775918075361,0.356684036453924,1.64685352233616,28,Eps8|Dpysl3|Ephb2|Tgfbr1|Mtss1|Map4k4|Ptpro|Ablim3|Cdh13|Gsk3b|Dnm3|Srgap2|Ahi1
GOBP_CEREBRAL_CORTEX_DEVELOPMENT,0.0150178159566229,0.835883414830783,0.380730400722792,0.585767216433016,1.82795135658339,9,Robo1|Cntnap2|Fgf13|Gsk3b|Srgap2|Dab1|Phactr1|Cdh2
GOBP_CYCLIC_NUCLEOTIDE_MEDIATED_SIGNALING,0.0921052631578947,0.835883414830783,0.188204146308491,-0.538757759163647,-1.4871291521635,10,Adcy2|Ptk2b|Adcy1|Cap2|Pde7b|Rapgef2
GOBP_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION,0.0677233429394813,0.835883414830783,0.206587922696891,-0.415191095894522,-1.52980860829322,27,Diaph2|Syne1|Wipf3|Zbtb16|Immp2l|Ptk2b|Stk3|Map3k4|Ubb|Smarca2|Stox2|Dlg1|H3f3b|Mapk1|Hectd1
GOBP_EPHRIN_RECEPTOR_SIGNALING_PATHWAY,0.0849514563106796,0.835883414830783,0.241339976815091,0.559870550161812,1.46248362172625,6,Ephb2|Rasa1|Epha4|Ntrk3|Anks1b|Kalrn
GOBP_EYE_MORPHOGENESIS,0.0201535690480351,0.835883414830783,0.352487857583619,0.658576051779935,1.72032032960284,6,Ephb2|Tenm3|Hcn1|Ahi1|Dscam|Prox1
GOBP_FAT_CELL_DIFFERENTIATION,0.0829187396351576,0.835883414830783,0.199915231309662,-0.552526774078514,-1.4769682376011,9,Zbtb16|Rreb1|Lmo3|Rora|Stk3
GOBP_FEMALE_GAMETE_GENERATION,0.0432525951557093,0.835883414830783,0.287857117255149,-0.712439418416801,-1.59612056175709,5,Diaph2|Immp2l|Ptk2b|Ubb|H3f3b
GOBP_FILOPODIUM_ASSEMBLY,0.0546371710833833,0.835883414830783,0.321775918075361,0.523185022775776,1.63265670269284,9,Dpysl3|Ephb2|Tgfbr1|Dnm3|Srgap2
GOBP_GAMETE_GENERATION,0.0828220858895705,0.835883414830783,0.191892240384838,-0.465612828523983,-1.5104019167745,17,Diaph2|Syne1|Wipf3|Zbtb16|Immp2l|Ptk2b|Ubb|Smarca2
