pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_NEURON_DEVELOPMENT,0.00229202766527459,0.489347906536124,0.431707695803346,-0.342888361120266,-1.96574815155295,38,Ntm|Tenm3|Tenm4|Cntnap2|Actb|Robo1|Hcn1|Ptprg|Ptprs|Camk1d|Grip1|Cdh11|Ctnna2|Negr1|Herc1|Ccdc88a|Ncam1|Ctnnd2|Cdh2|Dcc|Hecw1|Nrxn1|App|Prkg1|Dab1|Dmd|Slit3|Ank3
GOBP_NEURON_DIFFERENTIATION,0.00132262825723862,0.489347906536124,0.45505986738723,-0.337752072023629,-2.03841135489856,42,Ntm|Tenm3|Tenm4|Cntnap2|Actb|Robo1|Hcn1|Nrg1|Ptprg|Ptprs|Zswim6|Camk1d|Tcf4|Grip1|Cdh11|Ctnna2|Negr1|Herc1|Ccdc88a|Ncam1|Ctnnd2|Cdh2|Dcc|Hecw1|Nrxn1|App|Prkg1|Dab1|Dmd|Slit3|Ank3
GOBP_NEUROGENESIS,0.00947620977275555,0.578048796138088,0.380730400722792,-0.274454626601998,-1.73691266999241,45,Ntm|Tenm3|Tenm4|Cntnap2|Actb|Robo1|Hcn1|Nrg1|Ptprg|Ptprs|Zswim6|Camk1d|Tcf4|Grip1|Cdh11|Ctnna2|Negr1|Herc1|Ccdc88a|Ncam1|Ctnnd2|Cdh2|Dcc|Hecw1|Nrxn1|App|Prkg1|Dab1|Dmd|Slit3|Ank3
GOBP_POTASSIUM_ION_TRANSPORT,0.00878715777910838,0.578048796138088,0.380730400722792,-0.549222797927461,-1.95935049185502,10,Hcn1|Kcnh7|Dpp10|Kcnq5|Akap6|Kcnb2|Dpp6|Ank3|Kcnip4|Kcnj3
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME,0.00811101196274061,0.578048796138088,0.380730400722792,-0.619753814321474,-1.97458535769105,8,Khdrbs3|Celf4|Ddx5|Hnrnpa2b1|Snrnp70|Cwc22|Son
GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS,0.00943732470478439,0.578048796138088,0.380730400722792,-0.61025641025641,-1.94432586663252,8,Chrm3|Slc8a1|Pde4d|Akap6|Kcnb2|Cacna1c|Prkg1|Dmd
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,0.00811101196274061,0.578048796138088,0.380730400722792,-0.619753814321474,-1.97458535769105,8,Khdrbs3|Celf4|Ddx5|Hnrnpa2b1|Snrnp70|Cwc22|Son
GOBP_CELLULAR_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND,0.016371881329761,0.61209103794674,0.352487857583619,-0.536948694345832,-1.80394009380622,9,Actb|Chrm3|Hcn1|Ddx5|Slc8a1
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,0.0200326318976485,0.61209103794674,0.352487857583619,-0.525324758599357,-1.76488816210083,9,Tenm3|Pcdh15|Robo1|Ptprg|Cadm1|Cdh11
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS,0.0136336692146368,0.61209103794674,0.380730400722792,0.653125499300217,1.74582366982095,7,Runx2|Spred1|Ldlrad4|Itga8
GOBP_REGULATION_OF_GTPASE_ACTIVITY,0.0163594621559079,0.61209103794674,0.352487857583619,0.684915716066847,1.73614303100664,6,Rapgef5|Rasal2|Iqgap2|Dock10|Rasgrf1
GOBP_REGULATION_OF_MUSCLE_CONTRACTION,0.0191935687815166,0.61209103794674,0.352487857583619,-0.607142857142857,-1.81775195517857,7,Chrm3|Slc8a1|Pde4d|Kcnb2|Cacna1c|Prkg1|Dmd
GOBP_REGULATION_OF_SYSTEM_PROCESS,0.0200685586212046,0.61209103794674,0.352487857583619,-0.380819960315006,-1.68057885162195,18,Tenm4|Chrm3|Celf4|Slc8a1|Asic2|Pde4d|Akap6|Kcnb2|Cacna1c|Nrxn1|App|Prkg1|Dmd|Celf2|Kcnj3|Cacna2d1
GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,0.0143575624350615,0.61209103794674,0.380730400722792,0.650977910836695,1.74008310269155,7,Runx2|Spred1|Ldlrad4|Itga8
GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,0.0273836256218499,0.634168032536,0.352487857583619,-0.433099898359362,-1.76452210482416,14,Tenm3|Pcdh15|Tenm4|Robo1|Ptprg|Ptprs|Cadm1|Cdh11
GOBP_NEURON_RECOGNITION,0.0248732214720634,0.634168032536,0.352487857583619,-0.667448614299373,-1.74267821666671,5,Ntm|Cntnap2|Robo1
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS,0.0282182496912974,0.634168032536,0.352487857583619,0.486183681060529,1.64837720970837,14,Runx2|St18|Itga8|Map3k4|Zbtb16|Glis3|Mrtfa|Maml2
GOBP_REGULATION_OF_CELL_PROJECTION_ORGANIZATION,0.0275222768788482,0.634168032536,0.352487857583619,-0.36573468573335,-1.58652987647578,17,Tenm3|Robo1|Ptprg|Ptprs|Camk1d|Grip1|Ctnna2|Negr1|Ccdc88a|Cdh2|Dcc|Hecw1
GOBP_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND,0.0234640322988572,0.634168032536,0.352487857583619,-0.500295114568777,-1.78480114536772,10,Actb|Chrm3|Hcn1|Ddx5|Slc8a1
GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION,0.0299606678798925,0.639660259235706,0.352487857583619,-0.583312185977747,-1.74640425077264,7,Tenm3|Robo1|Camk1d|Grip1|Negr1|Ccdc88a
GOBP_BIOLOGICAL_ADHESION,0.0404930488900364,0.657431188830094,0.321775918075361,-0.272965326298026,-1.53935384311297,34,Ntm|Tenm3|Pcdh15|Tenm4|Cntnap2|Actb|Robo1|Ptprg|Ptprs|Cadm1|Clasp2|Cdh11|Ctnna2|Negr1|Ncam1|Ctnnd2|Cdh2|Dcc|Nrxn1|App|Prkg1|Dab1|Ank3|Ppfia2
GOBP_CALCIUM_MEDIATED_SIGNALING,0.0370101459750618,0.657431188830094,0.321775918075361,-0.566326530612245,-1.69555014306572,7,Chrm3|Nrg1|Slc8a1|Akap6|Cacna1c|Dmd|Grin2a
GOBP_HEAD_DEVELOPMENT,0.0477291963787656,0.657431188830094,0.321775918075361,-0.298899323566889,-1.51047418374688,24,Cntnap2|Actb|Robo1|Nrg1|Ptprg|Slc8a1|Zswim6|Cadm1|Ctnna2|Nnat|Negr1|Herc1|Cdh2|App|Prkg1|Dab1|Slit3|Grin2a|Plcb1
GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION,0.0378907860512651,0.657431188830094,0.321775918075361,-0.356340975315601,-1.57255178165129,18,Tenm3|Cntnap2|Robo1|Nrg1|Hnrnpa2b1|Asic2|Camk1d|Clasp2|Grip1|Negr1|Ccdc88a
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II,0.0465116279069768,0.657431188830094,0.261663521711573,0.486872652216708,1.56484875728596,12,Runx2|St18|Itga8|Zbtb16|Glis3|Mrtfa|Maml2
