pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_NUCLEOBASE_CATABOLIC_PROCESS,0.000107484652453445,0.016731777565253,0.538434096309916,-0.873170731707317,-2.16099315800121,5,Dpysl3|Dpysl5|Dpyd|Crmp1|Dpysl2
GOBP_NUCLEOBASE_METABOLIC_PROCESS,0.000107484652453445,0.016731777565253,0.538434096309916,-0.873170731707317,-2.16099315800121,5,Dpysl3|Dpysl5|Dpyd|Crmp1|Dpysl2
GOBP_PYRIMIDINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS,0.000107484652453445,0.016731777565253,0.538434096309916,-0.873170731707317,-2.16099315800121,5,Dpysl3|Dpysl5|Dpyd|Crmp1|Dpysl2
GOBP_PYRIMIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.000107484652453445,0.016731777565253,0.538434096309916,-0.873170731707317,-2.16099315800121,5,Dpysl3|Dpysl5|Dpyd|Crmp1|Dpysl2
GOBP_PYRIMIDINE_NUCLEOBASE_CATABOLIC_PROCESS,0.000107484652453445,0.016731777565253,0.538434096309916,-0.873170731707317,-2.16099315800121,5,Dpysl3|Dpysl5|Dpyd|Crmp1|Dpysl2
GOBP_PYRIMIDINE_NUCLEOBASE_METABOLIC_PROCESS,0.000107484652453445,0.016731777565253,0.538434096309916,-0.873170731707317,-2.16099315800121,5,Dpysl3|Dpysl5|Dpyd|Crmp1|Dpysl2
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION,0.000472038992271701,0.0629834883973955,0.49849310876659,-0.40782622370359,-2.1126324949672,37,Mid1|Tubb2b|Tubb5|Tuba1a|Stmn2|Tubb3|Flna|Stmn1|Pard3b|Tubb2a|Nav1|Chd3|Crmp1|Kif2a|Akap9|Tuba1b|Dctn1
GOBP_CYTOSKELETON_ORGANIZATION,0.0013582750761434,0.158578615139742,0.45505986738723,-0.292934782733441,-1.85949261908547,75,Mid1|Tubb2b|Tubb5|Dpysl3|Tuba1a|Stmn2|Tmsb10|Tubb3|Flna|Sema6a|Stmn1|Pard3b|Actb|Tubb2a|Marcks|Nav1|Chd3|Crmp1|Dpysl2|Rufy3|Kif2a|Akap9|Tuba1b|Agrn|Actg1|Dctn1
GOBP_MICROTUBULE_BASED_PROCESS,0.00232374826164466,0.241153430708457,0.431707695803346,-0.360044726419131,-1.97548137013672,44,Mid1|Tubb2b|Tubb5|Tuba1a|Stmn2|Tubb3|Flna|Stmn1|Pard3b|Tubb2a|Nav1|Chd3|Ubb|Crmp1|Kif2a|Akap9|Tuba1b|Dctn1|Dync1i2|Ccser2|Nckap5
GOBP_FAT_CELL_DIFFERENTIATION,0.00466966020623907,0.290764175508486,0.407017918923954,0.694531663304219,1.87833190424432,7,Pparg|Zbtb16|Nr4a1|Rora|Osbpl8|Plcb1
GOBP_MONONUCLEAR_CELL_DIFFERENTIATION,0.00447643601671479,0.290764175508486,0.407017918923954,0.697022878353992,1.8850692914011,7,Pparg|Zbtb16|Tox|Rasgrp1|Rora
GOBP_REGULATION_OF_CELL_ACTIVATION,0.00323825042962498,0.290764175508486,0.431707695803346,0.691964775478939,2.00585273648357,8,Zbtb16|Tox|Rasgrp1|Lrrk2|Dlg1|Rora
