pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_ANATOMICAL_STRUCTURE_HOMEOSTASIS,0.0066315344571423,0.738850092007597,0.407017918923954,-0.726662575008551,-1.84132898888227,6,Homer1|Aldoa|Cx3cl1|Sgcz
GOBP_CHEMICAL_HOMEOSTASIS,0.00583430928359761,0.738850092007597,0.407017918923954,-0.471339439014447,-1.91275330960053,21,Homer1|Nptx1|Cx3cl1|Sgcd|Rora|Calm1|Ckb|Atp2a2|Atp1b1|Dmd|Slc4a10|Grik2|Mbd5|Slc8a1|Csmd1|Grin2b
GOBP_MULTICELLULAR_ORGANISM_REPRODUCTION,0.00720126795329042,0.738850092007597,0.407017918923954,-0.744872794240956,-1.77650145454563,5,Zbtb16|Ctsb|H3f3b|Syne1
GOBP_MUSCLE_CELL_DIFFERENTIATION,0.00495944260040656,0.738850092007597,0.407017918923954,-0.607963556457084,-1.93156193054207,10,Homer1|H3f3b|Sgcd|Sgcz|Rora|Syne1|Atp2a2|Dmd
GOBP_MUSCLE_STRUCTURE_DEVELOPMENT,0.00389658818841107,0.738850092007597,0.431707695803346,-0.551395894208901,-1.99435165478725,14,Homer1|H3f3b|Sgcd|Sgcz|Rora|Myl6|Syne1|Atp2a2|Plcb1|Dmd
GOBP_CELLULAR_HOMEOSTASIS,0.0169340146604015,0.741250650257598,0.352487857583619,-0.438265372479805,-1.68483864896692,18,Nptx1|Aldoa|Cx3cl1|Sgcz|Calm1|Ckb|Atp2a2|Atp1b1|Dmd|Slc4a10|Grik2|Slc8a1
GOBP_HOMEOSTATIC_PROCESS,0.0143256839666715,0.741250650257598,0.380730400722792,-0.390748716758544,-1.75087399894376,28,Homer1|Nptx1|Aldoa|Cx3cl1|Sgcd|Sgcz|Rora|Calm1|Ckb|Atp2a2|Atp1b1|Dmd|Slc4a10|Grik2|Mbd5|Slc8a1|Akt3|Csmd1
GOBP_MONOSACCHARIDE_METABOLIC_PROCESS,0.00962538793395269,0.741250650257598,0.380730400722792,-0.730083737398644,-1.74122995423731,5,Arpp19|Aldoa|Ranbp2|Rora
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE,0.0182343722124934,0.741250650257598,0.352487857583619,-0.628078949593321,-1.72344120935629,7,Zbtb16|Nptx1|Ranbp2|Syne1|Hsp90aa1
GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE,0.0164017658608558,0.741250650257598,0.352487857583619,0.516225924764867,1.75286643821091,12,Kcnmb2|Sema6a|Eps8|Tmod3|Rufy3|Fgf13|Add3|L1cam
GOBP_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY,0.0196324387404748,0.741250650257598,0.352487857583619,-0.694563224098832,-1.65651449136741,5,Rasgrf1|Homer1|Nptx1
GOBP_REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY,0.0196324387404748,0.741250650257598,0.352487857583619,-0.694563224098832,-1.65651449136741,5,Rasgrf1|Homer1|Nptx1
GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING,0.0186653672978835,0.741250650257598,0.352487857583619,-0.512596162280431,-1.70522221612918,11,Nos1ap|Sgcd|Pde10a|Calm1|Atp2a2|Atp1b1|Dmd
GOBP_STRIATED_MUSCLE_CONTRACTION,0.0202290625801294,0.741250650257598,0.352487857583619,-0.512871084209592,-1.75224841446271,12,Homer1|Nos1ap|Aldoa|Sgcd|Calm1|Atp2a2|Atp1b1|Dmd
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,0.0748440748440749,0.90183299389002,0.237793834423688,0.615649825856033,1.46952058536357,5,Dalrd3|Taco1|St6galnac3|Elovl6
GOBP_CALCIUM_MEDIATED_SIGNALING,0.132692307692308,0.90183299389002,0.16823816568964,-0.434068847496575,-1.3209286275688,9,Sgcd|Calm1|Atp2a2|Atp1b1|Dmd|Slc8a1|Grin2b
GOBP_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS,0.163776493256262,0.90183299389002,0.150169802128406,-0.409384651465178,-1.30065659252092,10,Itm2c|Aldoa|Galntl6|Galnt13|Atp6v0c|Plcb1
GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS,0.0637065637065637,0.90183299389002,0.248911114434702,-0.417961544281526,-1.51173105608852,14,Itm2c|Aldoa|Galntl6|Pde10a|Rora|Galnt13|Atp6v0c|Plcb1
GOBP_CARBOHYDRATE_METABOLIC_PROCESS,0.0591603053435115,0.90183299389002,0.257206466468838,-0.559705931916571,-1.61953566951687,8,Arpp19|Aldoa|Ranbp2|Mdh1|Rora
GOBP_CARDIAC_MUSCLE_CONTRACTION,0.154142581888247,0.90183299389002,0.155241966228839,-0.413491993294906,-1.31370603443198,10,Nos1ap|Sgcd|Calm1|Atp2a2|Atp1b1|Dmd
GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS,0.0339888927576279,0.90183299389002,0.321775918075361,0.600154726922312,1.57679036269259,6,Dalrd3|Taco1|St6galnac3|Elovl6|Smpd3
GOBP_CELLULAR_ION_HOMEOSTASIS,0.133204633204633,0.90183299389002,0.16823816568964,-0.371422837048735,-1.34340454376557,14,Cx3cl1|Calm1|Ckb|Atp2a2|Atp1b1|Dmd|Slc4a10|Grik2|Slc8a1|Grin2b
GOBP_CELLULAR_LIPID_METABOLIC_PROCESS,0.0922431865828092,0.90183299389002,0.213927855492356,0.434762171504055,1.40728464770488,11,Pik3c2b|Cpt1c|Prkar2b|Osbpl10|St6galnac3|Elovl6|Smpd3|Plppr1
GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION,0.158699808795411,0.90183299389002,0.152144922367565,-0.314630622778416,-1.3038005615573,22,Zbtb16|Nptx1|Efr3a|Ranbp2|Dpp10|Syne1|Hsp90aa1|Atp1b1|Dmd|Snap25|Grik2|Rims2|Macf1|Dlg2|Clasp2
GOBP_CELL_PROJECTION_ASSEMBLY,0.132505175983437,0.90183299389002,0.175204047558551,0.501429687910681,1.39351917086702,7,Eps8|Ephb2|Mtss1|Map4|Dpysl3|Fnbp1l|Auts2
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM,0.145038167938931,0.90183299389002,0.159646701919906,-0.451929335111986,-1.3076789731505,8,Cx3cl1|Agbl4|Rasgrp1|Hsp90aa1|Ptk2
GOBP_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION,0.135496183206107,0.90183299389002,0.165656695205483,-0.46107017285968,-1.33412842086488,8,Zbtb16|Ctsb|H3f3b|Syne1|Ptk2
GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,0.0360463240849743,0.90183299389002,0.321775918075361,0.434353912045954,1.56582200402828,15,Sema6a|Ephb2|Hip1|Mtss1|Ptpre|Tmem108|Ephb1|Smpd3|Zeb2
GOBP_FAT_CELL_DIFFERENTIATION,0.134099616858238,0.90183299389002,0.166933848713193,-0.568527918781726,-1.35592369928713,5,Zbtb16|Rora|Plcb1|Runx1t1|Lmo3
GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY,0.053639846743295,0.90183299389002,0.271288554688953,-0.654822335025381,-1.56173354650035,5,Homer1|Cx3cl1|Plcb1|Grik2|Grin2b
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,0.134099616858238,0.90183299389002,0.166933848713193,-0.570125184032812,-1.35973313368155,5,Itm2c|Galntl6|Galnt13|Plcb1
GOBP_GLYCOPROTEIN_METABOLIC_PROCESS,0.134099616858238,0.90183299389002,0.166933848713193,-0.570125184032812,-1.35973313368155,5,Itm2c|Galntl6|Galnt13|Plcb1
