pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_ATP_METABOLIC_PROCESS,1.8543472044875e-12,1.22757784937073e-09,0.898671232061694,-0.874160646487746,-3.3325881864464,16,mt-Co3|mt-Co1|mt-Nd2|Aldoa|Hspa8|Gapdh|mt-Nd4|mt-Nd1|mt-Cytb|mt-Co2|Atp6v0c|mt-Atp6|Atp5b
GOBP_OXIDATIVE_PHOSPHORYLATION,5.93326279334571e-09,1.96390998459743e-06,0.761460801445585,-0.886690756936502,-2.84436279889418,10,mt-Co3|mt-Co1|mt-Nd2|mt-Nd4|mt-Nd1|mt-Cytb|mt-Co2|mt-Atp6|Atp5b
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,2.02725582067499e-08,3.3551083832171e-06,0.73376198835648,-0.917840724020188,-2.68261571126179,8,mt-Co3|mt-Co1|mt-Nd2|mt-Nd4|mt-Nd1|mt-Cytb|mt-Co2
GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN,2.02725582067499e-08,3.3551083832171e-06,0.73376198835648,-0.917840724020188,-2.68261571126179,8,mt-Co3|mt-Co1|mt-Nd2|mt-Nd4|mt-Nd1|mt-Cytb|mt-Co2
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,7.42192570920389e-08,9.82662963898595e-06,0.704975715167238,-0.764829258868636,-2.91578094140378,16,mt-Co3|mt-Co1|mt-Nd2|Aldoa|Gapdh|mt-Nd4|mt-Nd1|mt-Cytb|mt-Co2|mt-Atp6|Atp5b
GOBP_MICROTUBULE_BASED_PROCESS,1.10781189242962e-07,1.22228578798068e-05,0.704975715167238,-0.637311629613687,-2.84195342088601,28,Ubb|Mid1|Tubb2a|Tuba1a|Tubb2b|Tubb5|Hspa8|Gapdh|Tuba1b|Tubb3|Uchl1|Cfl1|Stmn1|Stmn3
GOBP_AEROBIC_RESPIRATION,7.03792967367699e-07,5.17678827108241e-05,0.659444398037935,-0.813465458810347,-2.72889332309304,11,mt-Co3|mt-Co1|mt-Nd2|mt-Nd4|mt-Nd1|mt-Cytb|mt-Co2|mt-Atp6|Atp5b
GOBP_CELLULAR_RESPIRATION,7.03792967367699e-07,5.17678827108241e-05,0.659444398037935,-0.813465458810347,-2.72889332309304,11,mt-Co3|mt-Co1|mt-Nd2|mt-Nd4|mt-Nd1|mt-Cytb|mt-Co2|mt-Atp6|Atp5b
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,7.03792967367699e-07,5.17678827108241e-05,0.659444398037935,-0.813465458810347,-2.72889332309304,11,mt-Co3|mt-Co1|mt-Nd2|mt-Nd4|mt-Nd1|mt-Cytb|mt-Co2|mt-Atp6|Atp5b
GOBP_ELECTRON_TRANSPORT_CHAIN,1.09290865767672e-06,7.23505531381988e-05,0.643551836150722,-0.850649112427074,-2.59634426340997,9,mt-Co3|mt-Co1|mt-Nd2|mt-Nd4|mt-Nd1|mt-Cytb|mt-Co2
GOBP_CELL_CYCLE,1.37098448862234e-06,8.25083392243629e-05,0.643551836150722,-0.600585928611405,-2.67818309762807,28,Ubb|Tubb2a|Tuba1a|Tubb2b|Tubb5|Hspa8|Actb|Tuba1b|Hsp90ab1|Tubb3|Cfl1|Stmn1|Calm1
GOBP_CYTOSKELETON_ORGANIZATION,1.54016684266794e-06,8.49658708205147e-05,0.643551836150722,-0.520320434549358,-2.59752499989306,40,Mid1|Tubb2a|Tuba1a|Tubb2b|Tubb5|Marcks|Aldoa|Actb|Gapdh|Actg1|Tuba1b|Tubb3|Cfl1|Tmsb10|Stmn1|Stmn3
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION,2.93805976780605e-06,0.000149615043560585,0.627256739718528,-0.646889882782459,-2.6558100820326,21,Mid1|Tubb2a|Tuba1a|Tubb2b|Tubb5|Gapdh|Tuba1b|Tubb3|Cfl1|Stmn1|Stmn3
GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT,1.36834995055134e-05,0.000603898444843324,0.593325476396405,-0.556704262042982,-2.51963088892134,29,Ubb|Ndn|Marcks|mt-Co1|Hsp90aa1|Actb|mt-Nd4|Ckb|Hsp90ab1|Calm1|Aplp1|Unc5c
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,1.27849140865147e-05,0.000603898444843324,0.593325476396405,-0.763860980834771,-2.56248757435845,11,mt-Co3|mt-Co1|mt-Nd4|mt-Cytb|mt-Co2|Atp6v0c|mt-Atp6|Atp5b|Atp1a3
GOBP_ATP_BIOSYNTHETIC_PROCESS,4.18406331388744e-05,0.00138492495689674,0.557332238758646,-0.905325443786982,-2.20049097564795,5,Aldoa|mt-Co2|Atp6v0c|mt-Atp6|Atp5b
GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,4.18406331388744e-05,0.00138492495689674,0.557332238758646,-0.905325443786982,-2.20049097564795,5,Aldoa|mt-Co2|Atp6v0c|mt-Atp6|Atp5b
GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,4.18406331388744e-05,0.00138492495689674,0.557332238758646,-0.905325443786982,-2.20049097564795,5,Aldoa|mt-Co2|Atp6v0c|mt-Atp6|Atp5b
GOBP_RIBONUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,4.18406331388744e-05,0.00138492495689674,0.557332238758646,-0.905325443786982,-2.20049097564795,5,Aldoa|mt-Co2|Atp6v0c|mt-Atp6|Atp5b
GOBP_RIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,4.18406331388744e-05,0.00138492495689674,0.557332238758646,-0.905325443786982,-2.20049097564795,5,Aldoa|mt-Co2|Atp6v0c|mt-Atp6|Atp5b
GOBP_CELLULAR_COMPONENT_MORPHOGENESIS,5.58573096517996e-05,0.00176083518997578,0.557332238758646,-0.504349208242486,-2.41361764845096,34,Ubb|Tubb2b|Ndn|Hsp90aa1|Actb|Actg1|Hsp90ab1|Tubb3|Uchl1|Cfl1|Stmn1|Aplp1|Unc5c
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION,0.000107502184025341,0.00323483844658073,0.538434096309916,-0.465040051556311,-2.26309160990407,37,Mid1|mt-Co3|mt-Nd2|Hsp90aa1|Aldoa|Hspa8|mt-Nd4|mt-Nd1|Hsp90ab1|Cfl1|Tmsb10|Stmn1|Calm1|Stmn3|Kmt2a|Stmn2
GOBP_CELL_PART_MORPHOGENESIS,0.00012485279355936,0.0035935891015781,0.518848077743792,-0.49806482799883,-2.34004134228505,32,Ubb|Tubb2b|Ndn|Hsp90aa1|Actb|Hsp90ab1|Tubb3|Uchl1|Cfl1|Stmn1|Aplp1|Unc5c
GOBP_AXON_DEVELOPMENT,0.000137050038944751,0.00378029690755938,0.518848077743792,-0.528649659936335,-2.25451863226702,24,Tubb2b|Ndn|Hsp90aa1|Actb|Hsp90ab1|Tubb3|Uchl1|Stmn1|Aplp1|Unc5c
GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT,0.000194485013702918,0.00514996316285327,0.518848077743792,-0.699772943694987,-2.34749452856071,11,Ubb|Tuba1a|Tubb5|Hspa8|Tuba1b|Uchl1
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION,0.000210161184213368,0.00515284088700924,0.518848077743792,-0.481453942414989,-2.22490685712035,30,Tubb2b|Ndn|Hsp90aa1|Actb|Hsp90ab1|Tubb3|Uchl1|Cfl1|Stmn1|Aplp1|Unc5c
GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION,0.000204546305395531,0.00515284088700924,0.518848077743792,-0.548109578042978,-2.26749394472019,22,Mid1|Marcks|Aldoa|Hspa8|Actg1|Hsp90ab1|Cfl1|Tmsb10|Stmn1|Stmn3
GOBP_NEUROGENESIS,0.000245180993638554,0.00579677920674009,0.49849310876659,-0.40191628036979,-2.14844910702888,52,Ubb|Tubb2a|Tubb2b|Ndn|Hsp90aa1|Actb|Hsp90ab1|Tubb3|Uchl1|Cfl1|Stmn1|Stmn3|Aplp1|Unc5c|Stmn2|Grm5|Ptprs|Auts2|Slc4a10|Csmd3
GOBP_NEURON_DEVELOPMENT,0.000260189096201713,0.00593948902363911,0.49849310876659,-0.420586729139029,-2.12508007086068,45,Ubb|Tubb2b|Ndn|Hsp90aa1|Actb|Hsp90ab1|Tubb3|Uchl1|Cfl1|Stmn1|Stmn3|Aplp1|Unc5c|Stmn2|Ptprs|Auts2|Slc4a10|Csmd3
GOBP_CELL_MORPHOGENESIS,0.000278380386937707,0.00614292720509207,0.49849310876659,-0.424747322156272,-2.12040833816971,40,Ubb|Tubb2b|Ndn|Hsp90aa1|Aldoa|Actb|Hsp90ab1|Tubb3|Uchl1|Cfl1|Stmn1|Aplp1|Unc5c
GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.000365828895203423,0.00781221705240858,0.49849310876659,-0.649051272330836,-2.23535646875606,12,Aldoa|Gapdh|mt-Co2|Atp6v0c|mt-Atp6|Atp5b
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,0.000487383376173261,0.00983995978505408,0.49849310876659,-0.502471344312942,-2.14287664172565,24,Tubb5|Hsp90aa1|Hspa8|Gapdh|Actg1|Hsp90ab1|Ppia|Cfl1|Stmn1
GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,0.000490511590493632,0.00983995978505408,0.477270815362862,-0.769760096638983,-2.13208273597908,7,Aldoa|mt-Co2|Atp6v0c|mt-Atp6|Atp5b
GOBP_MITOTIC_CELL_CYCLE,0.000648213144769605,0.0126210912305141,0.477270815362862,-0.58477199108737,-2.2637167249812,17,Tubb2a|Tuba1a|Tubb2b|Tubb5|Tuba1b|Tubb3|Stmn1|Calm1
GOBP_NEURON_DIFFERENTIATION,0.00138503380817054,0.0261969251716828,0.45505986738723,-0.384885132404347,-1.98177731346137,48,Ubb|Tubb2b|Ndn|Hsp90aa1|Actb|Hsp90ab1|Tubb3|Uchl1|Cfl1|Stmn1|Stmn3|Aplp1|Unc5c|Stmn2|Ptprs|Auts2|Slc4a10|Csmd3
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,0.00149178133807846,0.0274322012724428,0.45505986738723,-0.668963142015482,-2.04180383054653,9,Hspa8|Gapdh|Hsp90ab1|Ppia|Cfl1
