pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_CATION_TRANSPORT,0.1285140562249,0.544581342720644,0.175204047558551,-0.464794813123551,-1.3955629363599,9,Ywhah|Syt4|Homer1|Atp6v1a
GOBP_CELLULAR_COMPONENT_MORPHOGENESIS,0.173116089613035,0.544581342720644,0.150169802128406,-0.460744448576792,-1.31602769574669,8,Ywhah|Syt4|Hsp90aa1
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS,0.208494208494208,0.544581342720644,0.131457611642763,0.488777885434735,1.24551175218687,6,Taco1|Cdc7|Dalrd3
GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION,0.243512974051896,0.544581342720644,0.122679189568808,-0.381818181818182,-1.19137123704707,10,Ywhah|Hsp90aa1|Xpo1|Atp1b1|Snap25|Gphn|Rims2|Mapt|Ahi1|Rufy3
GOBP_CELL_CELL_SIGNALING,0.021176656142946,0.544581342720644,0.352487857583619,-0.583872939060674,-1.66772049229108,8,Ywhah|Syt4|Homer1|Gad1
GOBP_CELL_GROWTH,0.155241935483871,0.544581342720644,0.158514105424824,-0.485651770993961,-1.32497599398726,7,Syt4|H3f3b|Hsp90aa1
GOBP_CELL_MORPHOGENESIS,0.173116089613035,0.544581342720644,0.150169802128406,-0.460744448576792,-1.31602769574669,8,Ywhah|Syt4|Hsp90aa1
GOBP_CELL_PART_MORPHOGENESIS,0.173116089613035,0.544581342720644,0.150169802128406,-0.460744448576792,-1.31602769574669,8,Ywhah|Syt4|Hsp90aa1
GOBP_CELL_PROJECTION_ORGANIZATION,0.0934959349593496,0.544581342720644,0.208955027549354,-0.45077249204953,-1.43355461715653,11,Ywhah|Syt4|Homer1|Hsp90aa1
GOBP_DEVELOPMENTAL_GROWTH,0.219959266802444,0.544581342720644,0.131457611642763,-0.434364309948673,-1.24067791527841,8,Syt4|H3f3b|Hsp90aa1
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION,0.0898203592814371,0.544581342720644,0.211400189384923,-0.473494368121639,-1.47742459093402,10,Ywhah|Syt4|Hsp90aa1|Xpo1|Atp1b1|Snap25|Stxbp5l
GOBP_EXPORT_FROM_CELL,0.127413127413127,0.544581342720644,0.172324344900946,-0.566666666666667,-1.39168889033829,5,Syt4|Atp1b1|Snap25|Stxbp5l|Rims2
GOBP_GROWTH,0.219959266802444,0.544581342720644,0.131457611642763,-0.434364309948673,-1.24067791527841,8,Syt4|H3f3b|Hsp90aa1
GOBP_HOMEOSTATIC_PROCESS,0.0637065637065637,0.544581342720644,0.248911114434702,-0.633333333333333,-1.55541699508397,5,Homer1|Atp6v1a|Atp1b1|Akt3|Mbd5
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT,0.179381443298969,0.544581342720644,0.148261500475107,-0.507769550161176,-1.28655101739518,6,Ywhah|Hsp90aa1|Xpo1|Atp1b1
GOBP_INTRACELLULAR_TRANSPORT,0.16260162601626,0.544581342720644,0.155241966228839,-0.408479525520136,-1.2990537802359,11,Ywhah|Syt4|Hsp90aa1|Tuba1b|Xpo1|Atp1b1
GOBP_ION_TRANSPORT,0.141716566866267,0.544581342720644,0.165656695205483,-0.43448644247959,-1.35570979881618,10,Ywhah|Syt4|Homer1|Atp6v1a
GOBP_MEMBRANE_ORGANIZATION,0.193814432989691,0.544581342720644,0.142056643575821,-0.497279557966721,-1.25997220792155,6,Syt4|Hsp90aa1|Atp1b1|Snap25|Gphn
GOBP_METAL_ION_TRANSPORT,0.0733590733590734,0.544581342720644,0.231126709673834,-0.6,-1.47355294271113,5,Ywhah|Homer1|Atp1b1|Snap25|Gpm6a
GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS,0.0733590733590734,0.544581342720644,0.231126709673834,-0.600196927505488,-1.47403658121982,5,Ywhah|Syt4
GOBP_NEUROGENESIS,0.211382113821138,0.544581342720644,0.134273452883202,-0.388888888888889,-1.23675129263718,11,Ywhah|Syt4|Hsp90aa1|Snap25|Gpm6a|Rims2|Tcf4|Mapt|Ahi1|Alcam|Rufy3
GOBP_NEURON_DEVELOPMENT,0.243512974051896,0.544581342720644,0.122679189568808,-0.381818181818182,-1.19137123704707,10,Ywhah|Syt4|Hsp90aa1|Snap25|Gpm6a|Rims2|Mapt|Ahi1|Alcam|Rufy3
GOBP_NEURON_DIFFERENTIATION,0.211382113821138,0.544581342720644,0.134273452883202,-0.388888888888889,-1.23675129263718,11,Ywhah|Syt4|Hsp90aa1|Snap25|Gpm6a|Rims2|Tcf4|Mapt|Ahi1|Alcam|Rufy3
GOBP_NITROGEN_COMPOUND_TRANSPORT,0.231707317073171,0.544581342720644,0.127505315300183,-0.380881230475834,-1.21128519634001,11,Ywhah|Syt4|Hsp90aa1|Xpo1|Atp1b1|Snap25|Stxbp5l
GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION,0.139059304703477,0.544581342720644,0.169570644405628,0.566666666666667,1.33225092639719,5,Rufy3|Ahi1|Zeb2|Mapt|Tcf4
GOBP_POSITIVE_REGULATION_OF_CELL_GROWTH,0.148648648648649,0.544581342720644,0.158514105424824,-0.546011702719864,-1.34096191882928,5,Syt4|H3f3b
GOBP_POSITIVE_REGULATION_OF_GROWTH,0.148648648648649,0.544581342720644,0.158514105424824,-0.546011702719864,-1.34096191882928,5,Syt4|H3f3b
GOBP_POSITIVE_REGULATION_OF_SIGNALING,0.163306451612903,0.544581342720644,0.154190966581424,-0.482758620689655,-1.31708277722342,7,Homer1|Hsp90aa1|Snap25|Akt3|Mbd5|Rims2|Zeb2
GOBP_POSITIVE_REGULATION_OF_TRANSPORT,0.16988416988417,0.544581342720644,0.147331213699377,-0.53255019546108,-1.30790151277177,5,Syt4|Homer1
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION,0.136456211812627,0.544581342720644,0.170932335370056,-0.4886705740655,-1.39579328964926,8,Nap1l5|Homer1|H3f3b|Hsp90aa1
GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS,0.129032258064516,0.544581342720644,0.175204047558551,-0.507830066018559,-1.38548376982635,7,Ywhah|Syt4
GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS,0.224948875255624,0.544581342720644,0.130105630751129,0.534870426774378,1.25749697924581,5,Taco1|Cdc7
GOBP_REGULATION_OF_CELL_DIFFERENTIATION,0.110887096774194,0.544581342720644,0.190023305279108,-0.52052875215928,-1.42012887007421,7,Ywhah|Syt4
GOBP_REGULATION_OF_CELL_PROJECTION_ORGANIZATION,0.187628865979381,0.544581342720644,0.144630528034484,-0.501103107644733,-1.26966005101247,6,Ywhah|Homer1
GOBP_REGULATION_OF_GROWTH,0.245360824742268,0.544581342720644,0.124434168630393,-0.478555325568808,-1.21253005579992,6,Syt4|H3f3b
GOBP_REGULATION_OF_ION_TRANSPORT,0.0733590733590734,0.544581342720644,0.231126709673834,-0.59803201436694,-1.46871972434312,5,Ywhah|Syt4|Homer1
GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT,0.123711340206186,0.544581342720644,0.181383128498408,-0.543327987224429,-1.37664650139218,6,Ywhah|Syt4
GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY,0.0579150579150579,0.544581342720644,0.261663521711573,-0.646519558264476,-1.58780132933486,5,Ywhah|Syt4
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING,0.0132757109493538,0.544581342720644,0.380730400722792,-0.703531436985981,-1.78255881183994,6,Ywhah|Syt4|Homer1
GOBP_RNA_PROCESSING,0.151574803149606,0.544581342720644,0.158514105424824,0.500870969650349,1.33839166653779,7,Dalrd3|Las1l|Prpf4b|Pabpn1|Snrnp70|Son
GOBP_SYNAPTIC_SIGNALING,0.0221696755988852,0.544581342720644,0.352487857583619,-0.634649314615846,-1.73147748384701,7,Ywhah|Syt4|Homer1|Gad1
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION,0.258064516129032,0.559139784946237,0.119348440591015,-0.432886465142898,-1.18101942316087,7,Syt4|Hsp90aa1|Xpo1|Snap25|Stxbp5l
GOBP_CHROMOSOME_ORGANIZATION,0.272164948453608,0.575976983936706,0.117249716749792,-0.470234508216249,-1.19144735001913,6,Nap1l5|H3f3b|Hsp90aa1
GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS,0.310810810810811,0.615480961923848,0.104343952581949,-0.466666666666667,-1.14609673321977,5,Ywhah|Cpeb4|Mbd5|Mapt|Zeb2
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION,0.324324324324324,0.615480961923848,0.101713902282311,-0.460944672448744,-1.13204396418977,5,Ywhah|H3f3b
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS,0.316602316602317,0.615480961923848,0.103197466945307,-0.461650728694713,-1.13377798295472,5,Hsp90aa1|Gad1|Xpo1
GOBP_REGULATION_OF_TRANSPORT,0.324649298597194,0.615480961923848,0.103958471559957,-0.331588175878429,-1.0894701733554,12,Ywhah|Syt4|Homer1
GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS,0.310810810810811,0.615480961923848,0.104343952581949,-0.466666666666667,-1.14609673321977,5,Ywhah|Cpeb4|Mbd5|Mapt|Zeb2
GOBP_REGULATION_OF_CATABOLIC_PROCESS,0.341698841698842,0.634583563154992,0.0985499803531691,-0.449902806680079,-1.10492600786238,5,Atp6v1a|Hsp90aa1|Xpo1
GOBP_CATION_TRANSMEMBRANE_TRANSPORT,0.374745417515275,0.667798466593647,0.096240602328129,-0.372127202770662,-1.06290961659913,8,Ywhah|Homer1|Atp6v1a
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION,0.403474903474904,0.667798466593647,0.088894528862045,-0.428547956827575,-1.05248017146019,5,Ywhah|Hsp90aa1
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION,0.403474903474904,0.667798466593647,0.088894528862045,-0.428547956827575,-1.05248017146019,5,Ywhah|Hsp90aa1
GOBP_ION_TRANSMEMBRANE_TRANSPORT,0.403614457831325,0.667798466593647,0.0911073131586733,-0.341537923945081,-1.02547974839892,9,Ywhah|Homer1|Atp6v1a
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS,0.384928716904277,0.667798466593647,0.0946646223153342,-0.368421052631579,-1.05232371319282,8,Syt4|Akt3|Rims2|Tcf4|Mapt|Zeb2|Ahi1|Rufy3
GOBP_TRANSMEMBRANE_TRANSPORT,0.403614457831325,0.667798466593647,0.0911073131586733,-0.341537923945081,-1.02547974839892,9,Ywhah|Homer1|Atp6v1a
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS,0.455598455598456,0.74034749034749,0.0822054920415869,-0.405710238970622,-0.996392527538659,5,Ywhah
