pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_CELLULAR_COMPONENT_MORPHOGENESIS,0.622061482820977,0.805704099821747,0.0630790410571939,0.4,0.883918123920796,5,Kank1|Pid1|Rims2|Ptprz1|Chl1
GOBP_CELL_CELL_SIGNALING,0.578288100208768,0.805704099821747,0.0738052724171275,-0.368421052631579,-0.910875467723295,6,Sulf2|Rims2|Gpc5|Kcnd2|Zeb2|Kank1
GOBP_CELL_MIGRATION,0.738562091503268,0.805704099821747,0.0637845390312975,-0.35,-0.809721221588397,5,Cspg4|Chl1|Gpc5|Zeb2|Kank1
GOBP_CELL_PART_MORPHOGENESIS,0.622061482820977,0.805704099821747,0.0630790410571939,0.4,0.883918123920796,5,Kank1|Pid1|Rims2|Ptprz1|Chl1
GOBP_CELL_PROJECTION_ORGANIZATION,0.738562091503268,0.805704099821747,0.0637845390312975,-0.35,-0.809721221588397,5,Cspg4|Chl1|Ptprz1|Rims2|Kank1
GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING,0.738562091503268,0.805704099821747,0.0637845390312975,-0.35,-0.809721221588397,5,Sulf2|Rims2|Gpc5|Zeb2|Kank1
GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,0.738562091503268,0.805704099821747,0.0637845390312975,-0.35,-0.809721221588397,5,Sulf2|Cspg4|Zeb2|Pid1|Kank1
GOBP_LOCOMOTION,0.738562091503268,0.805704099821747,0.0637845390312975,-0.35,-0.809721221588397,5,Cspg4|Chl1|Gpc5|Zeb2|Kank1
GOBP_NEUROGENESIS,0.652078774617068,0.805704099821747,0.070113215764256,-0.333333333333333,-0.850165795635107,7,Cspg4|Chl1|Ptprz1|Rims2|Tcf4|Kank1|Zfp536
GOBP_NEURON_DIFFERENTIATION,0.523452157598499,0.805704099821747,0.0734381410838857,0.421052631578947,0.968490163616021,6,Zfp536|Kank1|Tcf4|Rims2|Ptprz1|Chl1
GOBP_REGULATION_OF_CELL_DIFFERENTIATION,0.365280289330922,0.805704099821747,0.0908241419007155,0.5,1.10489765490099,5,Zfp536|Kank1|Zeb2|Tcf4
GOBP_POSITIVE_REGULATION_OF_SIGNALING,0.972627737226277,0.972627737226277,0.0427591434738678,0.222222222222222,0.526147229742133,7,Usp29|Kank1|Zeb2|Gpc5|Rims2
