pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING,3.9965876053005e-06,0.000439624636583055,0.610526878385931,-0.904,-2.16900281133134,6,Ubb|Hsp90aa1|Actg1|Hspa8|Hsp90ab1|Ckb
GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,0.000296516795602287,0.00994986243200326,0.49849310876659,0.552708409376503,2.44915465856354,14,Pou2f1|Klf7|Gli3|Rorb|Stox2|Pbx1|Rora|Npas3|Zbtb20
GOMF_RIBONUCLEOTIDE_BINDING,0.000326891043044954,0.00994986243200326,0.49849310876659,-0.530144765574131,-1.98512418089383,28,Hsp90aa1|Tubb2b|Tubb2a|Actg1|Hspa8|Epha3|Hsp90ab1|Actb|Pak3|Pfkp|Ckb|Tuba1a|Rapgef4|Cacna1b|Cdkl5|Epha6
GOMF_TRANSCRIPTION_REGULATOR_ACTIVITY,0.000361813179345573,0.00994986243200326,0.49849310876659,0.459302797789511,2.3634123066908,20,Pou2f1|Klf7|Gli3|Wwox|Rorb|Stox2|Maml2|Pbx1|Rora|Npas3|Zbtb20
GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING,0.000570269080297889,0.0125459197665536,0.477270815362862,0.585045522102694,2.31002988170465,11,Pou2f1|Klf7|Gli3|Rorb|Pbx1|Rora|Zbtb20|Hivep2|Foxp1
GOMF_SEQUENCE_SPECIFIC_DNA_BINDING,0.000698114386815219,0.012798763758279,0.477270815362862,0.471228247562818,2.26313008780059,16,Pou2f1|Klf7|Gli3|Rorb|Stox2|Pbx1|Rora|Npas3|Zbtb20
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES,0.00266192004024882,0.0418301720610528,0.431707695803346,-0.665005549650044,-1.87411076572877,10,Hsp90aa1|Tubb2b|Tubb2a|Hspa8|Hsp90ab1
GOMF_STRUCTURAL_CONSTITUENT_OF_CYTOSKELETON,0.00353944126653741,0.0486673174148893,0.431707695803346,-0.700665185820215,-1.85398209139802,8,Tubb2b|Tubb2a|Actg1|Actb|Tuba1a
GOMF_ADENYL_NUCLEOTIDE_BINDING,0.00670336325597929,0.0535500709702143,0.407017918923954,-0.492695094295029,-1.76901364963831,24,Hsp90aa1|Actg1|Hspa8|Epha3|Hsp90ab1|Actb|Pak3|Pfkp|Ckb|Rapgef4|Cacna1b|Cdkl5|Epha6
GOMF_ATP_HYDROLYSIS_ACTIVITY,0.00520363626860615,0.0535500709702143,0.407017918923954,-0.75936693019185,-1.71965965011224,5,Hsp90aa1|Hspa8|Hsp90ab1
GOMF_CADHERIN_BINDING,0.00730228240502922,0.0535500709702143,0.407017918923954,-0.665826023556949,-1.76179657366062,8,Cdh12|Hspa8|Hsp90ab1|Pfkp|Dock9
GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY,0.00605654900442061,0.0535500709702143,0.407017918923954,0.70050572628349,1.81866442891073,5,Klf7|Rorb|Stox2|Pbx1
GOMF_GTPASE_BINDING,0.00550849931122281,0.0535500709702143,0.407017918923954,-0.67488211424942,-1.70087536634236,7,Hsp90aa1|Pak3|Pex5l|Rapgef4|Cdkl5
GOMF_PEPTIDE_BINDING,0.00672058231176117,0.0535500709702143,0.407017918923954,-0.612224842667355,-1.76389064270399,11,Ppia|Hsp90ab1|Pex5l|Grin1|Cacna1b|Gria3|Grin2a
GOMF_PROTEIN_DOMAIN_SPECIFIC_BINDING,0.00709136733547927,0.0535500709702143,0.407017918923954,-0.609740024269478,-1.75673159325781,11,Hsp90aa1|Hspa8|Hsp90ab1|Pak3|Khdrbs2
GOMF_AMIDE_BINDING,0.0090073013200729,0.0619251965755012,0.380730400722792,-0.577653566915607,-1.71313779651685,12,Ppia|Hsp90ab1|Pex5l|Grin1|Cacna1b|Gria3|Grin2a
GOMF_GUANYL_NUCLEOTIDE_BINDING,0.0134860417200863,0.0872626228946758,0.380730400722792,-0.684626920466589,-1.6426523398287,6,Tubb2b|Tubb2a|Hsp90ab1|Tuba1a
GOMF_STRUCTURAL_MOLECULE_ACTIVITY,0.0146115373638376,0.089292728334563,0.380730400722792,-0.558676478909835,-1.65685775499628,12,Tubb2b|Tubb2a|Actg1|Actb|Tuba1a|Edil3
GOMF_KINASE_ACTIVITY,0.017978938108622,0.0988841595974209,0.352487857583619,-0.574504447810599,-1.65521381861914,11,Epha3|Pak3|Pfkp|Ckb|Dlg2|Cdkl5|Epha6
GOMF_TRANSFERASE_ACTIVITY_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS,0.017978938108622,0.0988841595974209,0.352487857583619,-0.574504447810599,-1.65521381861914,11,Epha3|Pak3|Pfkp|Ckb|Dlg2|Cdkl5|Epha6
GOMF_RNA_BINDING,0.0191895316439979,0.100516594325703,0.352487857583619,-0.506064931281291,-1.62501244840695,16,Hsp90aa1|Ppia|Hspa8|Hsp90ab1|Khdrbs2|Rbfox3
