pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES,0.103658536585366,0.290243902439024,0.169570644405628,-0.571428571428571,-1.44959831560117,7,Tubb2a|Tubb2b|Hspa8|Tuba1a|Tubb5|Hsp90aa1|Hsp90ab1
GOMF_RIBONUCLEOTIDE_BINDING,0.102857142857143,0.290243902439024,0.16440575583821,-0.52386905423431,-1.44441772163203,10,Tubb2a|Actg1|Ckb|Tubb2b|Hspa8|Tuba1a|Tubb5|Hsp90aa1|Hsp90ab1
GOMF_STRUCTURAL_CONSTITUENT_OF_CYTOSKELETON,0.0923566878980892,0.290243902439024,0.184706471207739,-0.652173913043478,-1.48151502226484,5,Tubb2a|Actg1|Tubb2b|Tuba1a|Tubb5
GOMF_STRUCTURAL_MOLECULE_ACTIVITY,0.0923566878980892,0.290243902439024,0.184706471207739,-0.652173913043478,-1.48151502226484,5,Tubb2a|Actg1|Tubb2b|Tuba1a|Tubb5
GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING,0.103658536585366,0.290243902439024,0.169570644405628,-0.571428571428571,-1.44959831560117,7,Ubb|Actg1|Ckb|Hspa8|Tubb5|Hsp90aa1|Hsp90ab1
GOMF_GUANYL_NUCLEOTIDE_BINDING,0.269108280254777,0.538216560509554,0.101350743797099,-0.521739130434783,-1.18521201781187,5,Tubb2a|Tubb2b|Tuba1a|Tubb5|Hsp90ab1
GOMF_SIGNALING_RECEPTOR_BINDING,0.269108280254777,0.538216560509554,0.101350743797099,-0.521739130434783,-1.18521201781187,5,Ppia|Hspa8|mt-Nd2|Tubb5|Hsp90ab1
GOMF_PROTEIN_CONTAINING_COMPLEX_BINDING,0.488299531981279,0.854524180967239,0.0676760401641789,-0.409090909090909,-0.98847019942727,6,Ppia|Hspa8|Tubb5|Hsp90aa1|Hsp90ab1|Atp1b1
GOMF_ADENYL_NUCLEOTIDE_BINDING,0.630265210608424,0.882371294851794,0.0554793308704233,-0.351760251084824,-0.849944395765429,6,Actg1|Ckb|Hspa8|Hsp90aa1|Hsp90ab1
GOMF_IDENTICAL_PROTEIN_BINDING,0.611544461778471,0.882371294851794,0.0568864160475701,-0.357075480560624,-0.862787374729741,6,Gapdh|Actg1|Tuba1a|Hsp90aa1|Hsp90ab1
GOMF_PROTEIN_DIMERIZATION_ACTIVITY,0.731382978723404,0.886375455018201,0.0741758965588009,0.304347826086957,0.768862662738916,5,Pank1|Atp1b1|Hsp90ab1|Hsp90aa1
GOMF_PROTEIN_DOMAIN_SPECIFIC_BINDING,0.759750390015601,0.886375455018201,0.0468819856878333,-0.317581647087412,-0.767359985408953,6,Gapdh|Hspa8|Tubb5|Hsp90aa1|Hsp90ab1
GOMF_CYTOSKELETAL_PROTEIN_BINDING,0.918789808917197,0.989465948064674,0.0391155247681459,-0.259448948503102,-0.589378855901183,5,Gapdh
GOMF_RNA_BINDING,1,1,0.0341946045318573,0,0,6,
