pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOMF_STRUCTURAL_CONSTITUENT_OF_CYTOSKELETON,1.08781243828701e-05,0.000804981204332385,0.593325476396405,-0.811685349234234,-2.27756814820451,10,Tubb2b|Tuba1a|Tubb2a|Actb|Tubb4b|Tuba1b|Actg1|Tubb5|Nefl
GOMF_ELECTRON_TRANSFER_ACTIVITY,7.31648824642579e-05,0.00135355032558877,0.538434096309916,-0.740740740740741,-2.12875853208288,11,mt-Co1|mt-Co3|Ndufa4|mt-Cytb|mt-Nd1|mt-Nd2|mt-Co2|mt-Nd4|Cox4i1|Cox8a|Cox6a1
GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,7.31648824642579e-05,0.00135355032558877,0.538434096309916,-0.740740740740741,-2.12875853208288,11,mt-Co1|mt-Co3|Ndufa4|mt-Cytb|mt-Nd1|mt-Nd2|mt-Co2|mt-Nd4|Cox4i1|Cox8a|Cox6a1
GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING,4.45230266786517e-05,0.00135355032558877,0.557332238758646,-0.741296388523227,-2.15745285232487,12,Ubb|Hsp90aa1|Hspa8|Ckb|Tuba1b|Actg1|Tubb5|Atp6v0c|Hsp90ab1
GOMF_PRIMARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.000135363643119869,0.00200338191817406,0.518848077743792,-0.679931495435409,-2.09928912420333,15,mt-Co1|mt-Co3|Atp6v0c|Ndufa4|mt-Cytb|mt-Nd1|mt-Nd2|mt-Co2|mt-Nd4|Cox4i1|Atp5b|Cox8a|Cox6a1
GOMF_GUANYL_NUCLEOTIDE_BINDING,0.000562681521101326,0.00693973876024969,0.477270815362862,-0.656966149433843,-1.95924936943015,13,Tubb2b|Tuba1a|Tubb2a|Tubb4b|Tuba1b|Tubb5|Rab3a|Hsp90ab1
GOMF_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.000750569936412491,0.00793459647064633,0.477270815362862,-0.622575362412605,-1.98897319227681,17,mt-Co1|mt-Co3|Atp6v0c|Ndufa4|mt-Cytb|mt-Nd1|mt-Nd2|mt-Co2|mt-Nd4|Cox4i1|Atp5b|Cox8a|Cox6a1
GOMF_RIBONUCLEOTIDE_BINDING,0.000962308560054352,0.00890135418050276,0.477270815362862,-0.521510368979434,-1.91593451616632,32,Tubb2b|Tuba1a|Tubb2a|Hsp90aa1|Hspa8|Ckb|Actb|Tubb4b|Tuba1b|Actg1|Tubb5|Rab3a|Hsp90ab1
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES,0.00108803594450544,0.00894607332148921,0.45505986738723,-0.582550826589695,-1.94359224399142,20,Tubb2b|Tuba1a|Tubb2a|Hsp90aa1|Hspa8|Tubb4b|Tuba1b|Tubb5|Rab3a|Hsp90ab1
GOMF_CYTOSKELETAL_PROTEIN_BINDING,0.00212731277348026,0.0157421145237539,0.431707695803346,-0.594964784350045,-1.93137228499573,18,Gapdh|Aldoa|Hsp90aa1|Actb|Ndn|Rab3a|Hsp90ab1|Cfl1|Stmn1|Enc1|Calm3
GOMF_GTPASE_ACTIVITY,0.00310712154542641,0.0202707149632889,0.431707695803346,-0.61281098992176,-1.82756683372311,13,Tubb2b|Tuba1a|Tubb2a|Tubb4b|Tuba1b|Tubb5|Rab3a
GOMF_SIGNALING_RECEPTOR_BINDING,0.00339717960725372,0.0202707149632889,0.431707695803346,-0.515035345396478,-1.78967098480135,24,Ttr|Hspa8|Tubb4b|Tubb5|Ppia|Bex3|Hsp90ab1|Calm3|mt-Nd2|Atp5b|Mif|Nsg1|Uchl1|Pcsk1n|Tubb3|Aplp1
GOMF_STRUCTURAL_MOLECULE_ACTIVITY,0.00356107154760482,0.0202707149632889,0.431707695803346,-0.579511717966267,-1.8513955759163,17,Tubb2b|Tuba1a|Tubb2a|Actb|Tubb4b|Tuba1b|Actg1|Tubb5|Nefl|Myl6|Rpl19
GOMF_PROTEIN_CONTAINING_COMPLEX_BINDING,0.00423394456958095,0.0208874598765994,0.407017918923954,-0.55008670630985,-1.83528064351994,20,Ttr|Hsp90aa1|Hspa8|Actb|Tubb5|Ppia|Hsp90ab1|Cfl1|Ndufa4|Nefl
GOMF_UNFOLDED_PROTEIN_BINDING,0.00405442462961419,0.0208874598765994,0.407017918923954,-0.772025958682174,-1.82422895835214,6,Hsp90aa1|Hspa8|Tubb4b|Ppia|Hsp90ab1
GOMF_OXIDOREDUCTASE_ACTIVITY,0.00570408424400934,0.02628552366096,0.407017918923954,-0.54217392227346,-1.78584042339119,19,Gapdh|mt-Co1|mt-Co3|Ndufa4|mt-Cytb|mt-Nd1|Ldha|mt-Nd2|mt-Co2|mt-Nd4|Cox4i1|Cox8a|Cox6a1|Fth1|Mdh1
GOMF_TRANSPORTER_ACTIVITY,0.00603856624643675,0.02628552366096,0.407017918923954,-0.496404283422861,-1.72493082409538,24,mt-Co1|mt-Co3|Atp6v0c|Atp5g3|Ndufa4|mt-Cytb|mt-Nd1|mt-Nd2|mt-Co2|mt-Nd4|Cox4i1|Atp5b|Cox8a|Cox6a1
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_HEME_GROUP_OF_DONORS,0.0119724750836005,0.0482287679695046,0.380730400722792,-0.718562874251497,-1.69790042532231,6,mt-Co1|mt-Co3|mt-Co2|Cox4i1|Cox8a|Cox6a1
GOMF_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.0123830620462241,0.0482287679695046,0.380730400722792,-0.562549595533736,-1.67767386686891,13,mt-Co1|mt-Co3|Atp6v0c|Atp5g3|mt-Cytb|mt-Co2|Cox4i1|Atp5b|Cox8a|Cox6a1
GOMF_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.0133939092501844,0.0495574642256825,0.380730400722792,-0.560777586221195,-1.67238925953989,13,mt-Co1|mt-Co3|Atp6v0c|mt-Cytb|mt-Co2|Cox4i1|Atp5b|Cox8a|Cox6a1
GOMF_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.0275290312671917,0.0925976506260084,0.352487857583619,0.636904761904762,1.63669055803462,5,Grik4|Kcnq3|Slc24a3|Atp1a3|Atp1b1
GOMF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.0275290312671917,0.0925976506260084,0.352487857583619,0.636904761904762,1.63669055803462,5,Grik4|Kcnq3|Slc24a3|Atp1a3|Atp1b1
GOMF_TUBULIN_BINDING,0.0320102432778489,0.10298947837221,0.287857117255149,-0.665530016237845,-1.57258847920871,6,Gapdh|Aldoa|Ndn|Stmn1
GOMF_DISORDERED_DOMAIN_SPECIFIC_BINDING,0.0552631578947368,0.170394736842105,0.219250346703755,-0.669304029016557,-1.49795275077205,5,Gapdh|Hsp90aa1|Hsp90ab1|Calm3
GOMF_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.0652173913043478,0.178743961352657,0.181383128498408,-0.438217567228916,-1.44342362044264,19,mt-Co1|mt-Co3|Atp6v0c|Atp5g3|mt-Cytb|mt-Co2|Cox4i1|Atp5b|Cox8a|Cox6a1
GOMF_INORGANIC_MOLECULAR_ENTITY_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.0652173913043478,0.178743961352657,0.181383128498408,-0.438217567228916,-1.44342362044264,19,mt-Co1|mt-Co3|Atp6v0c|Atp5g3|mt-Cytb|mt-Co2|Cox4i1|Atp5b|Cox8a|Cox6a1
