pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOMF_ACTIN_BINDING,0.0257412618342346,0.494777350192413,0.352487857583619,0.528436125653292,1.62361548670693,10,Diaph2|Wipf3|Syne1|Sntb2|Iqgap2|Mrtfa
GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING,0.0443349753694581,0.494777350192413,0.276500599254472,0.615005040535977,1.55136647241257,6,Runx2|St18|Zbtb16|Glis3
GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,0.0276887673988797,0.494777350192413,0.352487857583619,0.67848126475069,1.59973001190297,5,Runx2|St18|Zbtb16|Glis3
GOMF_ENZYME_REGULATOR_ACTIVITY,0.0480769230769231,0.494777350192413,0.241339976815091,0.399580267649728,1.57095397446402,22,Spred1|Ppp4r4|Ccnl1|Mtmr12|Rapgef5|Rasal2|Acap2|Iqgap2|Prex2|Dock10|Rasgrf1|Arhgap39|Arhgap20|Mnat1|Plekhg5
GOMF_IDENTICAL_PROTEIN_BINDING,0.00935837038440903,0.494777350192413,0.380730400722792,-0.376179587153383,-1.75589434490379,20,Khdrbs3|Tenm3|Tuba1a|Tenm4|Actb|Robo1|Hcn1|Ptprg|Cadm1|Tcf4
GOMF_LIGAND_GATED_CATION_CHANNEL_ACTIVITY,0.111638954869359,0.494777350192413,0.206587922696891,-0.535353535353535,-1.40915575071363,5,Hcn1|Kcnh7|Asic2|Grin2a|Kcnj3
GOMF_MOLECULAR_FUNCTION_REGULATOR,0.0775401069518717,0.494777350192413,0.184706471207739,0.34759446137462,1.46037891686521,28,Spred1|Ppp4r4|Ccnl1|Mtmr12|Rapgef5|Scn3b|Rasal2|Acap2|Iqgap2|Prex2|Dock10|Rasgrf1
GOMF_MRNA_BINDING,0.0952380952380952,0.494777350192413,0.252961123069611,-0.451053858021057,-1.42510037362964,8,Khdrbs3|Celf4|Ddx5|Hnrnpa2b1|Snrnp70
GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY,0.063768115942029,0.494777350192413,0.213927855492356,0.4311402261817,1.48519125171831,14,Rapgef5|Rasal2|Acap2|Iqgap2|Prex2|Dock10|Rasgrf1|Arhgap39|Arhgap20|Plekhg5
GOMF_POTASSIUM_CHANNEL_ACTIVITY,0.0737913486005089,0.494777350192413,0.266350657088526,-0.538071065989848,-1.53029413949487,6,Hcn1|Kcnh7|Kcnq5|Kcnb2|Kcnip4|Kcnj3
