pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOMF_TRANSMEMBRANE_TRANSPORTER_BINDING,0.00146115508620142,0.172416300171768,0.45505986738723,-0.636187365825814,-2.09580131261606,12,Kcnh5|Lrrk2|Homer1|Dpp10|Rims2|Prnp|Dlg1
GOMF_MOLECULAR_FUNCTION_REGULATOR,0.00362651917603579,0.213964631386111,0.431707695803346,-0.386739273120221,-1.89344982739621,46,Efna5|Lrrk2|Dkk3|Cck|Tbc1d1|Arpp19|Rasgrp1|Cx3cl1|Spred1|Dpp10|Rapgef5|Psap|Prnp|Dlg1|Atp1b1|Plcb1|Cpeb2|Acap2|Rasal2|Arhgap26|Rit2
GOMF_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.00726684762348969,0.285829339857261,0.407017918923954,-0.470426386899084,-1.81360493481274,20,Kcnh5|Slc4a4|Ptk2b|Trpm3|Slc2a13|Gria3|Atp1b1|Slc4a10|Unc80|Snap25|Kcnq5
GOMF_ENZYME_REGULATOR_ACTIVITY,0.0136262549240364,0.401974520259075,0.380730400722792,-0.389763001795282,-1.71602710934641,30,Efna5|Lrrk2|Tbc1d1|Arpp19|Rasgrp1|Spred1|Rapgef5|Psap|Prnp|Plcb1|Cpeb2|Acap2|Rasal2|Arhgap26
GOMF_INORGANIC_MOLECULAR_ENTITY_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.0225849730000749,0.533005362801768,0.352487857583619,-0.433790509620326,-1.75308036702441,23,Kcnh5|Slc4a4|Ptk2b|Ano3|Trpm3|Slc2a13|Gria3|Atp1b1|Slc4a10|Unc80|Snap25|Kcnq5
GOMF_ACTIN_BINDING,0.0533596837944664,0.572403880704276,0.276500599254472,-0.390440846375951,-1.53144811721464,21,Lrrk2|Fmn1|Wipf3|Cap2|Ncald|Cobl|Syne1|Sntg1|Myo5a|Dmd|Kcnma1|Macf1|Map1b|Ctnna2
GOMF_ENZYME_INHIBITOR_ACTIVITY,0.0375867652851868,0.572403880704276,0.321775918075361,-0.614516691396791,-1.64511759022746,7,Lrrk2|Arpp19|Spred1|Prnp|Cpeb2
GOMF_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.0428345203407923,0.572403880704276,0.321775918075361,-0.365998446644044,-1.52893337123153,26,Kcnh5|Slc4a4|Ptk2b|Ano3|Trpm3|Slc2a13|Gria3|Atp1b1|Slc4a10|Unc80|Snap25|Kcnq5
GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY,0.0482242852684771,0.572403880704276,0.321775918075361,-0.544276798703523,-1.68675610626626,10,Efna5|Dkk3|Cck|Cx3cl1
GOMF_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY,0.0532672793724329,0.572403880704276,0.321775918075361,-0.534151361795727,-1.65537659023045,10,Kcnh5|Ptk2b|Snap25|Kcnq5|Kcnma1|Grin2b|Cacna1d|Cacna1b|Cacna1a
GOMF_VOLTAGE_GATED_CHANNEL_ACTIVITY,0.0532672793724329,0.572403880704276,0.321775918075361,-0.534151361795727,-1.65537659023045,10,Kcnh5|Ptk2b|Snap25|Kcnq5|Kcnma1|Grin2b|Cacna1d|Cacna1b|Cacna1a
GOMF_SULFUR_COMPOUND_BINDING,0.0674373795761079,0.663134232498394,0.241339976815091,0.611203851375135,1.43549028783936,5,Col11a1|Fn1|Dpysl3|Slit1
GOMF_ENZYME_ACTIVATOR_ACTIVITY,0.0823293172690763,0.731404958677686,0.222056046145248,-0.423100568058235,-1.50954799396681,15,Efna5|Lrrk2|Tbc1d1|Psap|Plcb1|Acap2|Rasal2|Arhgap26
GOMF_SIGNALING_ADAPTOR_ACTIVITY,0.0867768595041322,0.731404958677686,0.219250346703755,-0.619289087365137,-1.49388599092502,5,Lrrk2|Homer1
