pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOMF_STRUCTURAL_MOLECULE_ACTIVITY,1.20074211154334e-05,0.000504311686848202,0.593325476396405,-0.838709677419355,-2.1489915086024,9,Tubb2b|Tubb4b|Tuba1b|Tubb2a|Tubb5|Actb|Myl6|Tuba1a|Actg1
GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING,4.8839490102315e-05,0.00102562929214862,0.557332238758646,-0.754695282198343,-2.07396761065905,12,Ubb|Tuba1b|Hspa8|Tubb5|Hsp90aa1|Ckb|Atp6v0c|Actg1|Uchl1|Mid1|Hsp90ab1
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES,7.44152821465447e-05,0.00104181395005163,0.538434096309916,-0.764012765965903,-2.05726077722405,11,Tubb2b|Tubb4b|Tuba1b|Hspa8|Tubb2a|Tubb5|Hsp90aa1|Tuba1a
GOMF_STRUCTURAL_CONSTITUENT_OF_CYTOSKELETON,0.000120726632008049,0.00126762963608451,0.538434096309916,-0.829787234042553,-2.07225279024686,8,Tubb2b|Tubb4b|Tuba1b|Tubb2a|Tubb5|Actb|Tuba1a|Actg1
GOMF_GTPASE_ACTIVITY,0.000453187060113749,0.00380677130495549,0.49849310876659,-0.81499441934144,-1.97228095299943,7,Tubb2b|Tubb4b|Tuba1b|Tubb2a|Tubb5|Tuba1a
GOMF_RIBONUCLEOTIDE_BINDING,0.000729037960847183,0.00510326572593028,0.477270815362862,-0.636005847517883,-1.89958370623806,18,Tubb2b|Tubb4b|Tuba1b|Hspa8|Tubb2a|Tubb5|Actb|Hsp90aa1|Tuba1a|Ckb|Actg1|Hsp90ab1
GOMF_PROTEIN_CONTAINING_COMPLEX_BINDING,0.00306761316948661,0.0184056790169197,0.431707695803346,-0.66852795342515,-1.80014837228624,11,Hspa8|Tubb5|Actb|Cfl1|Hsp90aa1|Ppia|Marcks|Ndufa4|Hsp90ab1
GOMF_GUANYL_NUCLEOTIDE_BINDING,0.00500375267314113,0.0210157612271927,0.407017918923954,-0.726427919129892,-1.81413044280811,8,Tubb2b|Tubb4b|Tuba1b|Tubb2a|Tubb5|Tuba1a
GOMF_OXIDOREDUCTASE_ACTIVITY,0.00443961235598463,0.0210157612271927,0.407017918923954,-0.688172043010753,-1.76327508398146,9,Gapdh|Ndufa4|mt-Nd4|mt-Co3|mt-Co1|mt-Nd2|mt-Co2|mt-Cytb|mt-Nd1
GOMF_PRIMARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.00468576839055542,0.0210157612271927,0.407017918923954,-0.633333333333333,-1.74045452657124,12,Ndufa4|mt-Nd4|Atp6v0c|mt-Co3|mt-Co1|mt-Nd2|Atp5b|mt-Co2|mt-Cytb|mt-Nd1|Atp1b1|Atp1a3
GOMF_TRANSPORTER_ACTIVITY,0.0107345852234001,0.0409865981257093,0.380730400722792,-0.549192672969115,-1.6658592670537,19,Atp5g3|Ndufa4|mt-Nd4|Atp6v0c|mt-Co3|mt-Co1|Slc25a4|mt-Nd2|Atp5b|mt-Co2|mt-Cytb|mt-Nd1|Atp1b1|Slc22a17|Atp1a3|mt-Atp6
GOMF_ELECTRON_TRANSFER_ACTIVITY,0.0182938303773259,0.0512227250565124,0.352487857583619,-0.680851063829787,-1.70030998174101,8,Ndufa4|mt-Nd4|mt-Co3|mt-Co1|mt-Nd2|mt-Co2|mt-Cytb|mt-Nd1
GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.0182938303773259,0.0512227250565124,0.352487857583619,-0.680851063829787,-1.70030998174101,8,Ndufa4|mt-Nd4|mt-Co3|mt-Co1|mt-Nd2|mt-Co2|mt-Cytb|mt-Nd1
GOMF_RNA_BINDING,0.0181807866287141,0.0512227250565124,0.352487857583619,-0.604398859692843,-1.62746765922563,11,Tubb4b|Tuba1b|Hspa8|Aldoa|Hsp90aa1|Ppia
GOMF_UNFOLDED_PROTEIN_BINDING,0.0162436873582835,0.0512227250565124,0.352487857583619,-0.752577319587629,-1.65718755391514,5,Tubb4b|Hspa8|Hsp90aa1|Ppia|Hsp90ab1
GOMF_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.02162641460806,0.0556455116702291,0.352487857583619,-0.562619015543044,-1.62716415090064,15,Ndufa4|mt-Nd4|Atp6v0c|mt-Co3|mt-Co1|Slc25a4|mt-Nd2|Atp5b|mt-Co2|mt-Cytb|mt-Nd1|Atp1b1|Atp1a3
GOMF_PROTEIN_DOMAIN_SPECIFIC_BINDING,0.0225231832950928,0.0556455116702291,0.352487857583619,-0.670212765957447,-1.67374263827631,8,Gapdh|Hspa8|Tubb5|Hsp90aa1|Calm3|Hsp90ab1|Calm1|Stmn3
GOMF_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.0274545582270575,0.0640606358631342,0.352487857583619,-0.623005161566573,-1.59630064856473,9,Atp5g3|Atp6v0c|mt-Co3|mt-Co1|Slc25a4|Atp5b|mt-Co2|mt-Cytb
GOMF_DISORDERED_DOMAIN_SPECIFIC_BINDING,0.0368067045719352,0.0813621890537516,0.321775918075361,-0.701030927835052,-1.54368155707163,5,Gapdh|Hsp90aa1|Calm3|Hsp90ab1|Calm1
GOMF_ATP_DEPENDENT_ACTIVITY,0.053416149068323,0.100358422939068,0.216542836735348,-0.574835712458629,-1.47287803893712,9,Hspa8|Myl6|Hsp90aa1|Atp6v0c|Hsp90ab1|Atp5b|Atp1b1|Atp1a3
GOMF_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.0549581839904421,0.100358422939068,0.208955027549354,-0.525006021619411,-1.46766428162326,13,Atp5g3|Atp6v0c|mt-Co3|mt-Co1|Slc25a4|Atp5b|mt-Co2|mt-Cytb|Atp1b1|Atp1a3|mt-Atp6
GOMF_CYTOSKELETAL_PROTEIN_BINDING,0.0526315789473684,0.100358422939068,0.208955027549354,-0.491131251394675,-1.46688104584982,18,Gapdh|Aldoa|Actb|Cfl1|Hsp90aa1|Marcks|Calm3|Mid1|Hsp90ab1|Calm1|Stmn3
GOMF_INORGANIC_MOLECULAR_ENTITY_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.0549581839904421,0.100358422939068,0.208955027549354,-0.525006021619411,-1.46766428162326,13,Atp5g3|Atp6v0c|mt-Co3|mt-Co1|Slc25a4|Atp5b|mt-Co2|mt-Cytb|Atp1b1|Atp1a3|mt-Atp6
