pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOMF_STRUCTURAL_CONSTITUENT_OF_CYTOSKELETON,0.000111275127883704,0.00856818484704524,0.538434096309916,-0.780608629416554,-2.42386573818363,8,Tubb2b|Tubb5|Tuba1a|Tubb2a|Tubb3|Actg1
GOMF_GTPASE_ACTIVITY,0.00022784464083938,0.00877201867231612,0.518848077743792,-0.827923538197764,-2.26955933009714,6,Tubb2b|Tubb5|Tuba1a|Tubb2a|Tubb3
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES,0.000578088458368279,0.0148376037647858,0.477270815362862,-0.758951580117227,-2.21235168032469,7,Tubb2b|Tubb5|Tuba1a|Tubb2a|Tubb3
GOMF_GUANYL_NUCLEOTIDE_BINDING,0.00166345608542361,0.0320215296444044,0.45505986738723,-0.697882334636072,-2.16699254461522,8,Tubb2b|Tubb5|Tuba1a|Tubb2a|Tubb3
GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING,0.0218337041814314,0.336239044394044,0.352487857583619,-0.642977083185417,-1.7625717483026,6,Mid1|Tubb5|Ubb|Actg1
GOMF_STRUCTURAL_MOLECULE_ACTIVITY,0.0297947552174673,0.382366025290831,0.352487857583619,-0.466737627639738,-1.70850157718711,12,Tubb2b|Tubb5|Tuba1a|Tubb2a|Tubb3|Actg1
GOMF_TRANSCRIPTION_FACTOR_BINDING,0.0498442367601246,0.548286604361371,0.252961123069611,0.551107253545122,1.56558479324707,8,Zbtb16|Nr4a1
GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY,0.0641447368421053,0.617393092105263,0.227987202850442,0.606126349179294,1.51237670967803,6,Zbtb16|Nr4a1|Etv5|Atf6
GOMF_ENZYME_REGULATOR_ACTIVITY,0.102158273381295,0.648796296296296,0.165656695205483,0.385198375450325,1.41840221647751,20,Rcan2|Arap2|Arpp19|Pik3r3|Ngef|Plekhg5|Asap1|Ccnl1|Rasgrf1|Ppme1|Stxbp5l|Chn1|Psd3|Acap2
GOMF_MOLECULAR_FUNCTION_REGULATOR,0.126388888888889,0.648796296296296,0.144630528034484,0.349483712620182,1.35648460907715,24,Rcan2|Arap2|Arpp19|Chgb|Itpr1|Pik3r3|Ngef|Plekhg5|Asap1|Ccnl1|Rasgrf1|Ppme1|Stxbp5l|Chn1|Psd3|Acap2
